date,open,high,low,close,volume
1980-12-12,0.0981,0.0985,0.0981,0.0981,469033600.0
1980-12-15,0.0934,0.0934,0.093,0.093,175884800.0
1980-12-16,0.0866,0.0866,0.0862,0.0862,105728000.0
1980-12-17,0.0883,0.0887,0.0883,0.0883,86441600.0
1980-12-18,0.0909,0.0913,0.0909,0.0909,73449600.0
1980-12-19,0.0964,0.0968,0.0964,0.0964,48630400.0
1980-12-22,0.1011,0.1015,0.1011,0.1011,37363200.0
1980-12-23,0.1054,0.1058,0.1054,0.1054,46950400.0
1980-12-24,0.1109,0.1113,0.1109,0.1109,48003200.0
1980-12-26,0.1212,0.1216,0.1212,0.1212,55574400.0
1980-12-29,0.1229,0.1233,0.1229,0.1229,93161600.0
1980-12-30,0.1203,0.1203,0.1199,0.1199,68880000.0
1980-12-31,0.1169,0.1169,0.1165,0.1165,35750400.0
1981-01-02,0.1177,0.1186,0.1177,0.1177,21660800.0
1981-01-05,0.1156,0.1156,0.1152,0.1152,35728000.0
1981-01-06,0.1105,0.1105,0.1101,0.1101,45158400.0
1981-01-07,0.1058,0.1058,0.1054,0.1054,55686400.0
1981-01-08,0.1037,0.1037,0.1032,0.1032,39827200.0
1981-01-09,0.1088,0.1092,0.1088,0.1088,21504000.0
1981-01-12,0.1088,0.1088,0.1079,0.1079,23699200.0
1981-01-13,0.1045,0.1045,0.1041,0.1041,23049600.0
1981-01-14,0.1045,0.1049,0.1045,0.1045,14291200.0
1981-01-15,0.1067,0.1075,0.1067,0.1067,14067200.0
1981-01-16,0.1062,0.1062,0.1058,0.1058,13395200.0
1981-01-19,0.1122,0.1126,0.1122,0.1122,41574400.0
1981-01-20,0.1092,0.1092,0.1088,0.1088,30083200.0
1981-01-21,0.1109,0.1118,0.1109,0.1109,15904000.0
1981-01-22,0.1122,0.1131,0.1122,0.1122,35548800.0
1981-01-23,0.1122,0.1126,0.1118,0.1118,11222400.0
1981-01-26,0.1105,0.1105,0.1101,0.1101,24640000.0
1981-01-27,0.1101,0.1101,0.1092,0.1092,23699200.0
1981-01-28,0.1062,0.1062,0.1058,0.1058,28156800.0
1981-01-29,0.1024,0.1024,0.102,0.102,43904000.0
1981-01-30,0.0973,0.0973,0.0964,0.0964,46188800.0
1981-02-02,0.0913,0.0913,0.0909,0.0909,23766400.0
1981-02-03,0.0943,0.0947,0.0943,0.0943,19152000.0
1981-02-04,0.0977,0.0981,0.0977,0.0977,27865600.0
1981-02-05,0.0977,0.0985,0.0977,0.0977,7929600.0
1981-02-06,0.0981,0.0985,0.0981,0.0981,13865600.0
1981-02-09,0.0939,0.0939,0.093,0.093,16755200.0
1981-02-10,0.093,0.0934,0.093,0.093,18345600.0
1981-02-11,0.0904,0.0904,0.09,0.09,13843200.0
1981-02-12,0.0896,0.0896,0.0892,0.0892,14560000.0
1981-02-13,0.0879,0.0879,0.087,0.087,11155200.0
1981-02-17,0.0892,0.0896,0.0892,0.0892,12275200.0
1981-02-18,0.093,0.0939,0.093,0.093,19241600.0
1981-02-19,0.0879,0.0879,0.0875,0.0875,22310400.0
1981-02-20,0.0832,0.0832,0.0828,0.0828,24371200.0
1981-02-23,0.084,0.0845,0.084,0.084,14112000.0
