date,open,high,low,close,volume
2024-09-14,144.31,144.31,137.68,140.08,6710.90001305
2024-09-15,140.1,149.9,140.01,143.48,16992.00966315
2024-09-16,143.54,143.68,138.21,140.21,12939.71114685
2024-09-17,140.1,147.58,136.77,140.56,7404.41794004
2024-09-18,140.46,141.76,134.21,141.76,10670.75499189
2024-09-19,141.73,152.7,141.65,150.51,11195.87786472
2024-09-20,150.59,157.43,147.65,153.37,6778.54346514
2024-09-21,153.37,154.72,149.84,154.61,4455.95794867
2024-09-22,154.88,163.37,154.48,162.63,10728.06107117
2024-09-23,162.2,178.62,158.79,172.02,21280.91954307
2024-09-24,172.02,173.47,163.79,166.12,8674.66009565
2024-09-25,165.98,173.73,164.19,165.36,6824.99398836
2024-09-26,164.78,169.89,163.08,165.21,6557.67299486
2024-09-27,165.35,173.94,163.77,170.6,7253.68347503
2024-09-28,170.24,170.98,161.63,164.09,3236.0024353
2024-09-29,164.01,164.9,158.75,161.56,4606.50055197
2024-09-30,161.67,161.72,154.45,156.67,5377.37018688
2024-10-01,156.66,164.17,143.01,144.84,14726.93202724
2024-10-02,144.65,150.09,136.62,139.31,10238.49110239
2024-10-03,139.14,146.2,134.78,143.68,12009.4805561
2024-10-04,143.86,152.8,141.68,151.23,10541.79516321
2024-10-05,151.35,151.72,146.13,148.65,3821.25895777
2024-10-06,148.44,150.39,146.26,150.09,1750.97721938
2024-10-07,150.04,154.63,145.63,146.48,5264.2825167
2024-10-08,146.81,147.54,141.77,143.09,2971.78495741
2024-10-09,143.01,144.13,138.4,139.58,6563.57631845
2024-10-10,139.32,144.89,136.16,140.67,4845.09727617
2024-10-11,140.57,145.66,140.31,143.81,3076.94322914
2024-10-12,143.97,156.98,143.48,154.9,5722.42371101
2024-10-13,154.92,155.8,150.62,154.9,3236.99255959
2024-10-14,154.91,165.15,152.99,162.87,6431.02526968
2024-10-15,162.87,165.61,151.72,157.12,7977.73897409
2024-10-16,156.74,159.76,153.57,156.19,3254.49856196
2024-10-17,155.94,157.39,150.51,153.01,3486.13333136
2024-10-18,153.07,158.92,152.2,158.92,2373.5381933
2024-10-19,158.92,159.75,155.77,157.87,1146.12213017
2024-10-20,158.12,160.63,156.16,158.61,4042.58672064
2024-10-21,158.94,159.64,151.56,153.26,4071.45628982
2024-10-22,153.32,155.06,150.15,152.37,2845.87182703
2024-10-23,152.56,152.88,143.78,149.49,3255.38504982
2024-10-24,149.55,152.89,145.79,147.42,1987.20451278
2024-10-25,147.42,149.52,131.81,137.8,3727.27648609
2024-10-26,137.53,143.59,136.48,142.62,1989.92480254
2024-10-27,142.61,147.76,141.76,147.73,1688.93201189
2024-10-28,147.82,154.12,146.37,151.93,4225.55719109
2024-10-29,151.57,155.22,149.2,151.28,5059.86860598
2024-10-30,151.29,158.0,148.53,156.11,8160.1668257
2024-10-31,156.33,157.47,140.71,143.35,5752.87819713
2024-11-01,143.32,146.78,140.25,141.58,1885.24243154
2024-11-02,141.45,143.53,137.04,138.3,1742.21115019
2024-11-03,138.3,138.46,128.73,132.83,5133.97499625
2024-11-04,132.47,134.64,125.68,128.15,3749.4316558
2024-11-05,128.18,136.7,127.86,135.78,5401.11843495
2024-11-06,135.8,176.34,135.8,173.76,25289.71431589
2024-11-07,173.93,191.27,173.41,183.73,26853.94489811
2024-11-08,183.79,185.31,176.1,182.13,7833.95117199
2024-11-09,182.17,199.49,181.36,195.59,13145.09610451
2024-11-10,195.31,199.18,181.47,190.79,11190.14399001
2024-11-11,189.62,195.17,183.53,194.35,8201.28980402
2024-11-12,193.09,196.57,172.38,180.3,15081.67197946
2024-11-13,179.12,187.98,167.74,173.49,8165.7133138
2024-11-14,173.07,176.96,155.88,158.12,8963.71047295
2024-11-15,158.01,166.33,151.0,164.59,23733.41318276
2024-11-16,163.93,175.62,163.05,168.97,19315.27573733
2024-11-17,168.97,172.55,159.53,162.06,12288.74551097
2024-11-18,162.07,172.63,161.36,170.83,8941.6642076
2024-11-19,170.78,173.34,158.79,162.08,10800.18408574
2024-11-20,161.94,167.93,153.21,156.73,11414.20803697
2024-11-21,156.67,170.91,152.18,169.46,12426.26025435
2024-11-22,169.31,173.54,161.67,173.54,9373.7796673
2024-11-23,173.73,184.07,170.31,174.59,17870.77071587
2024-11-24,174.59,183.66,161.05,171.05,13107.51662117
2024-11-25,170.91,188.67,166.32,181.14,17231.45587637
2024-11-26,181.4,184.05,165.47,181.63,11141.19931595
2024-11-27,181.51,211.19,180.65,210.8,25513.35581373
2024-11-28,210.84,211.51,198.07,200.34,6653.91188639
2024-11-29,200.34,202.2,194.6,198.99,6290.98722109
2024-11-30,198.64,212.68,197.86,211.64,7306.49379984
2024-12-01,211.88,214.62,202.92,209.16,9249.48918486
2024-12-02,209.33,241.47,204.11,235.37,26977.66917602
2024-12-03,234.71,249.22,222.0,240.58,20980.78220099
2024-12-04,240.64,273.53,236.43,256.51,19035.28609138
2024-12-05,256.27,266.84,240.93,248.24,13009.07662848
2024-12-06,248.0,291.33,246.92,282.46,15148.55865173
2024-12-07,282.39,297.45,278.68,282.76,9406.03054859
2024-12-08,283.0,285.27,274.31,282.74,3457.50651312
2024-12-09,282.42,283.95,223.84,261.55,15477.59685004
2024-12-10,260.28,287.98,247.98,276.81,23084.441864
2024-12-11,276.2,307.45,259.77,302.84,12831.12896494
2024-12-12,302.69,387.26,295.42,367.17,39583.8487334
2024-12-13,367.19,390.88,353.03,377.77,22538.85520093
2024-12-14,377.67,395.8,360.75,365.75,15569.76597107
2024-12-15,365.52,381.01,355.0,367.93,11852.11593691
2024-12-16,368.3,399.98,361.66,379.24,21202.24526882
2024-12-17,379.33,387.05,357.4,361.33,12987.10117162
2024-12-18,361.36,380.45,336.52,339.76,16640.70669441
2024-12-19,340.35,350.7,298.88,316.07,21078.57997718
2024-12-20,314.87,340.86,271.17,330.5,26985.79854919
2024-12-21,328.65,343.42,294.34,299.17,10538.23997346
2024-12-22,298.79,323.44,290.96,318.72,15550.79634315
2024-12-23,318.72,388.42,308.74,383.49,26670.01822041
2024-12-24,383.52,389.06,365.2,375.15,13978.62781774
2024-12-25,374.86,385.27,364.81,369.49,5227.2811025
2024-12-26,370.11,371.53,330.37,337.18,8344.17081718
2024-12-27,338.5,351.11,320.3,322.93,10138.28659823
2024-12-28,323.94,361.45,319.0,354.41,5852.35696524
2024-12-29,354.08,354.87,326.06,332.2,5551.56199376
2024-12-30,332.39,343.95,318.92,321.42,8094.70952324
2024-12-31,320.6,328.04,305.88,308.4,5846.2334688
2025-01-01,309.27,321.94,306.87,319.04,4098.38590706
2025-01-02,319.25,339.15,318.12,333.08,5568.41302794
2025-01-03,333.11,355.82,317.13,349.9,9640.41635671
2025-01-04,350.94,360.89,339.18,351.67,4409.73243901
2025-01-05,351.67,351.97,339.37,341.45,3884.19637041
2025-01-06,341.77,354.99,336.05,341.36,8093.04202437
2025-01-07,340.59,343.12,305.36,306.68,11602.40929589
2025-01-08,307.04,312.19,275.7,294.36,12487.20157643
2025-01-09,293.6,299.52,273.7,280.88,7578.05185662
2025-01-10,282.38,300.54,277.22,286.09,7195.81902473
2025-01-11,286.84,293.1,280.11,287.43,2607.01909595
2025-01-12,287.12,295.37,284.94,288.36,2265.07291823
2025-01-13,288.02,296.24,256.16,290.39,16789.13995534
2025-01-14,289.23,301.22,285.46,295.64,13376.04457403
2025-01-15,295.63,323.66,285.51,319.86,11389.42324939
2025-01-16,320.26,321.17,305.33,311.12,6313.21363456
2025-01-17,311.28,336.41,311.16,335.37,7723.76982131
2025-01-18,335.29,341.75,306.49,315.13,9374.70775201
2025-01-19,314.97,347.49,292.4,309.03,23941.83699481
2025-01-20,308.49,364.59,296.46,336.73,28905.84794583
2025-01-21,336.87,378.15,327.32,370.68,20169.52965948
2025-01-22,369.6,371.93,345.5,346.25,7795.06461086
2025-01-23,346.42,350.2,324.71,337.76,18576.07786383
2025-01-24,337.74,357.42,328.35,335.01,7875.58029566
2025-01-25,334.81,338.09,326.18,326.25,8117.53091213
2025-01-26,326.58,335.92,315.94,316.42,7953.06404379
2025-01-27,316.04,320.31,288.2,305.22,15943.26085756
2025-01-28,304.41,307.67,281.03,284.22,9987.00839182
2025-01-29,283.96,301.66,282.75,290.49,9148.97864313
2025-01-30,290.76,322.29,287.2,314.64,11998.8066378
2025-01-31,315.45,349.18,312.73,332.5,15576.79998616
2025-02-01,332.59,333.19,296.2,296.2,10670.26488127
2025-02-02,296.19,304.33,245.36,258.34,18038.27707989
2025-02-03,258.54,285.06,200.0,276.39,46441.98767487
2025-02-04,276.82,278.41,249.49,272.24,21796.21275026
2025-02-05,272.03,283.47,256.14,259.56,6206.1861051
2025-02-06,259.83,266.69,239.18,241.98,6111.64849896
2025-02-07,241.48,262.0,231.22,237.93,6766.92890091
2025-02-08,237.72,241.93,231.27,238.87,2245.55944477
2025-02-09,239.0,252.42,230.05,241.36,4715.61713017
2025-02-10,241.31,257.83,234.91,252.29,4791.0004461
2025-02-11,252.51,262.5,242.0,243.92,4756.14310528
2025-02-12,243.19,260.76,231.96,252.87,4734.74075585
2025-02-13,252.89,258.01,246.77,256.53,7389.79919519
2025-02-14,256.57,269.97,253.37,262.4,5381.64758138
2025-02-15,262.21,263.41,249.93,253.24,1483.64389853
2025-02-16,252.97,258.8,250.25,253.83,1632.85450491
2025-02-17,253.97,278.44,249.88,264.33,10593.83273634
2025-02-18,264.35,265.84,241.62,249.5,8912.7468917
2025-02-19,248.99,258.02,246.88,252.94,4591.46366293
2025-02-20,253.05,263.35,251.44,261.95,5471.91128565
2025-02-21,261.2,269.04,238.6,242.67,18194.31107674
2025-02-22,241.83,251.53,239.27,247.07,3534.20249358
2025-02-23,246.94,254.08,243.65,247.49,2355.13755681
2025-02-24,247.69,249.14,205.62,210.7,11218.15605148
2025-02-25,210.43,213.17,189.53,204.99,11894.95626143
2025-02-26,205.09,211.51,191.57,202.38,15606.27057076
2025-02-27,202.53,209.63,196.28,203.74,6472.02706919
2025-02-28,203.8,204.13,178.0,192.56,14993.74348479
2025-03-01,192.06,196.92,183.56,195.03,6686.70090141
2025-03-02,194.93,226.83,190.47,223.41,13397.77208021
2025-03-03,223.56,224.2,177.85,180.3,16438.62479519
2025-03-04,180.32,216.56,167.66,206.49,31165.50896729
2025-03-05,206.21,226.16,204.45,220.83,14786.81277635
2025-03-06,220.79,239.46,208.33,208.33,15945.17126552
2025-03-07,208.44,211.91,195.45,196.7,12201.55592947
2025-03-08,196.5,199.04,185.42,195.78,5482.9375962
2025-03-09,195.55,198.28,176.42,178.34,7201.99812776
2025-03-10,178.44,201.49,175.38,180.63,20384.68375102
2025-03-11,180.32,185.83,167.0,181.6,20685.0790608
2025-03-12,181.89,184.08,163.72,174.91,10715.13824913
2025-03-13,174.99,175.97,160.1,162.49,16326.80491787
2025-03-14,162.52,177.0,162.08,173.09,7037.51163251
2025-03-15,173.38,177.09,171.84,172.89,1576.85726245
2025-03-16,173.06,173.86,163.35,165.03,3341.19391597
2025-03-17,164.69,177.08,164.69,174.93,3886.23789567
2025-03-18,174.93,175.12,164.71,169.95,6020.4847559
2025-03-19,170.16,184.28,169.84,182.47,7622.8180445
2025-03-20,182.52,182.9,171.56,178.69,3912.13401156
2025-03-21,178.71,183.06,174.11,177.82,4442.47780087
2025-03-22,178.19,183.67,178.19,179.62,4062.92014835
2025-03-23,179.83,186.34,179.69,184.68,3844.24478389
2025-03-24,184.98,194.6,181.46,190.86,4440.78675154
2025-03-25,190.75,192.22,185.33,186.87,7642.37267856
2025-03-26,186.55,190.05,175.38,177.38,8308.10238191
2025-03-27,177.63,186.05,177.08,184.72,2919.78887758
2025-03-28,184.76,186.72,168.48,175.29,6241.36913766
2025-03-29,175.57,180.34,165.85,167.89,4453.01094208
2025-03-30,167.98,169.35,161.26,163.41,3676.25358919
2025-03-31,163.63,164.44,151.92,159.85,6666.34664488
2025-04-01,159.38,171.27,159.19,166.43,3929.64174612
2025-04-02,166.05,168.64,149.62,150.21,30768.50396223
2025-04-03,149.95,157.08,146.28,150.98,8145.12295589
2025-04-04,151.31,153.85,144.46,151.87,6740.77144357
2025-04-05,151.87,155.06,149.48,152.69,1850.02477828
2025-04-06,152.36,152.36,126.31,129.01,6289.63663383
2025-04-07,128.94,136.05,114.03,131.95,24339.97021203
2025-04-08,131.76,135.95,123.54,124.88,9926.20923729
2025-04-09,125.21,144.99,119.86,142.97,13965.22690542
2025-04-10,143.0,143.2,128.31,132.12,12221.1381495
2025-04-11,131.52,139.27,131.4,136.53,7969.64254219
2025-04-12,136.54,149.95,133.83,147.98,16773.15850121
2025-04-13,148.14,148.25,136.77,139.06,9441.20270328
2025-04-14,139.05,147.11,136.94,137.56,7480.14188123
2025-04-15,137.73,142.1,133.72,134.23,8825.96812169
2025-04-16,133.85,137.25,129.99,134.04,6137.0194924
2025-04-17,134.09,141.46,134.09,138.46,8192.57351224
2025-04-18,138.86,141.04,137.43,138.62,1878.90894098
2025-04-19,138.62,142.92,137.97,142.09,3210.22025214
2025-04-20,142.03,143.4,136.95,140.78,3241.37077699
2025-04-21,140.98,145.98,139.19,142.88,6101.7691954
2025-04-22,142.91,158.73,139.88,158.22,12808.06637144
2025-04-23,158.41,169.17,157.95,168.14,18655.80430057
2025-04-24,168.14,170.55,158.38,167.9,12624.86040177
2025-04-25,167.78,170.55,162.82,166.58,6276.84275921
2025-04-26,166.92,173.14,164.64,172.93,6603.63941148
2025-04-27,172.85,179.26,165.68,166.81,7516.13891839
2025-04-28,167.06,174.89,161.93,166.36,7387.44485952
2025-04-29,166.32,171.32,163.54,165.75,3602.97165197
2025-04-30,165.67,166.99,155.59,164.32,7522.38110847
2025-05-01,164.36,179.21,164.36,173.2,5910.74153049
2025-05-02,173.25,179.19,172.06,174.78,7300.19870801
2025-05-03,174.51,181.12,169.73,177.91,5600.95397685
2025-05-04,178.11,178.76,171.04,171.27,4927.73885313
2025-05-05,171.01,180.75,169.73,176.86,5462.38713718
2025-05-06,176.83,178.83,163.4,177.82,7076.92062162
2025-05-07,177.94,179.85,167.6,172.08,4784.83716827
2025-05-08,172.08,208.06,172.08,206.28,33812.34707711
2025-05-09,206.29,220.67,202.57,211.47,16299.22538115
2025-05-10,211.29,230.16,209.43,228.47,15597.69760134
2025-05-11,228.64,230.28,214.03,221.24,7537.53965218
2025-05-12,220.96,229.4,211.94,221.62,15609.91409973
2025-05-13,221.79,238.11,210.51,236.24,13529.59153469
2025-05-14,236.64,239.43,224.22,229.79,5892.98410021
2025-05-15,229.66,235.25,216.96,223.59,11890.88956587
2025-05-16,223.77,244.99,221.83,231.56,12438.4515791
2025-05-17,231.01,232.01,220.09,222.45,7244.38665306
2025-05-18,222.32,244.1,219.2,233.14,12835.9258502
2025-05-19,232.32,249.67,212.17,247.69,11539.3177434
2025-05-20,247.76,270.12,246.54,259.31,22167.417939
2025-05-21,259.33,262.08,243.53,247.61,11441.31854061
2025-05-22,247.64,259.75,246.81,257.3,10284.31348385
2025-05-23,256.41,263.99,239.63,256.46,16859.23458519
2025-05-24,256.37,276.8,250.97,262.04,14254.81751049
2025-05-25,262.0,270.54,256.77,269.4,10105.6244331
2025-05-26,269.42,276.16,259.52,267.32,10923.88656905
2025-05-27,267.39,282.87,263.16,271.7,11124.72302973
2025-05-28,271.66,274.54,260.61,264.88,11381.0895672
2025-05-29,265.0,274.29,249.05,250.11,10965.30386512
2025-05-30,249.7,256.0,239.55,251.04,8771.93128556
2025-05-31,251.17,254.44,242.47,247.09,10545.73262864
2025-06-01,247.11,254.49,238.0,245.96,9743.36168056
2025-06-02,246.11,259.49,239.5,257.86,6869.28862072
2025-06-03,257.67,273.59,254.55,266.55,11140.24217198
2025-06-04,267.13,275.8,262.84,264.72,9948.51233798
2025-06-05,264.51,266.93,240.34,242.02,15116.34925985
2025-06-06,241.65,255.23,240.04,251.53,9446.08090697
2025-06-07,251.09,260.6,249.5,257.66,3026.98464939
2025-06-08,257.61,257.7,252.42,254.03,1688.1747022
2025-06-09,253.87,285.7,250.4,283.86,13745.34412623
2025-06-10,283.7,317.97,282.81,308.27,23690.67942641
2025-06-11,308.04,325.0,300.3,304.35,17924.34843392
2025-06-12,304.22,309.22,288.68,294.34,16390.4792272
2025-06-13,293.65,293.65,262.72,291.18,23718.92952933
2025-06-14,291.33,291.35,267.89,275.45,12605.86108956
2025-06-15,275.33,278.9,266.29,274.5,4432.25085163
2025-06-16,274.93,293.74,271.99,275.01,15039.74110542
2025-06-17,275.24,283.64,262.15,266.97,11611.51403874
2025-06-18,266.57,269.87,255.49,258.81,7813.20792515
2025-06-19,258.93,266.08,247.75,255.84,6174.94060394
2025-06-20,256.12,264.44,242.04,247.42,6450.54384261
2025-06-21,247.27,249.94,227.04,234.96,7269.36401781
2025-06-22,234.84,238.87,213.29,227.82,20063.26888857
2025-06-23,227.66,258.35,222.04,257.31,18932.5137858
2025-06-24,257.3,269.7,253.41,263.51,10132.74211809
2025-06-25,264.33,271.09,254.46,256.11,5824.94528423
2025-06-26,255.76,265.69,249.49,250.34,5271.09308062
2025-06-27,250.13,266.65,249.0,259.35,11537.73476271
2025-06-28,259.14,261.87,253.25,259.93,2495.39375393
2025-06-29,260.08,280.64,256.72,278.71,11892.03858893
2025-06-30,278.82,284.9,268.62,274.73,12055.45483254
2025-07-01,274.69,277.43,259.61,260.09,6462.99584375
2025-07-02,260.0,283.29,257.56,276.0,12935.86715717
2025-07-03,276.0,285.43,273.07,279.45,8269.21515776
2025-07-04,279.53,282.66,258.89,265.95,7408.87527379
2025-07-05,266.05,276.4,265.29,273.81,3653.27293792
2025-07-06,273.58,291.65,270.19,287.56,7013.68769326
2025-07-07,287.6,290.57,277.76,283.39,10404.04353285
2025-07-08,283.39,294.88,275.11,293.0,18163.49820646
2025-07-09,293.11,306.53,290.0,301.93,22963.50260973
2025-07-10,301.94,315.91,292.5,308.56,12563.9088026
2025-07-11,308.68,317.95,294.69,297.51,13070.93716363
2025-07-12,297.58,306.77,291.62,302.02,10048.35398631
2025-07-13,302.21,317.85,300.15,306.1,9992.04641435
2025-07-14,306.09,331.58,305.5,315.27,21528.85844524
2025-07-15,315.15,331.1,305.75,327.33,14836.42882792
2025-07-16,327.58,334.73,321.42,323.56,13436.09384478
2025-07-17,323.41,332.0,312.91,321.45,12571.24629275
2025-07-18,321.96,338.5,311.72,324.75,18792.29287549
2025-07-19,324.69,325.88,312.36,319.43,4225.10894567
2025-07-20,319.44,335.44,318.0,324.53,9920.70426394
2025-07-21,324.19,334.82,318.49,322.81,4964.72453306
2025-07-22,322.45,324.49,300.52,310.76,12282.90172922
2025-07-23,310.27,311.69,282.66,290.5,7352.99415761
2025-07-24,290.42,295.45,276.39,285.63,5555.60713502
2025-07-25,286.23,295.08,280.5,294.22,4196.6915804
2025-07-26,294.26,299.76,292.26,294.93,2369.0477589
2025-07-27,295.18,305.76,294.6,305.58,4175.91675383
2025-07-28,305.11,309.0,285.95,288.74,5570.68890975
2025-07-29,288.93,295.39,278.84,282.26,6265.82936396
2025-07-30,282.17,284.39,263.79,274.34,8421.05051508
2025-07-31,274.34,279.95,260.1,260.6,6310.83178437
2025-08-01,261.02,262.32,249.24,256.32,8011.9035822
2025-08-02,255.03,257.89,245.0,249.27,3698.63245998
2025-08-03,250.01,260.7,246.94,260.16,2981.99451483
2025-08-04,260.13,271.1,259.87,267.54,5465.26984639
2025-08-05,268.03,268.03,250.42,255.21,3254.16245485
2025-08-06,255.27,264.39,251.31,263.48,3853.02519073
2025-08-07,263.49,286.33,262.59,284.94,8509.0839939
2025-08-08,285.06,294.72,279.14,290.87,8005.10929358
2025-08-09,290.96,311.12,290.13,308.23,12310.77937395
2025-08-10,308.02,311.22,298.25,306.26,5503.48670997
2025-08-11,306.14,312.47,291.47,293.15,8928.73157918
2025-08-12,293.0,323.86,292.7,322.12,13690.88212297
2025-08-13,322.47,335.51,316.81,332.36,10020.89155045
2025-08-14,332.27,340.21,304.13,312.67,13899.15044964
2025-08-15,312.97,318.16,293.7,299.93,5645.37158383
2025-08-16,300.37,303.68,290.32,295.73,4966.723194
2025-08-17,295.85,310.75,294.58,303.18,5745.42092303
2025-08-18,302.92,304.25,284.59,288.97,6387.09778135
2025-08-19,288.81,292.35,275.68,277.1,5673.15494008
2025-08-20,277.16,299.59,277.16,299.04,3857.6575652
2025-08-21,299.52,304.61,293.75,300.1,7081.14095769
2025-08-22,300.49,346.2,294.27,345.17,12214.1680562
2025-08-23,345.46,385.61,339.72,357.76,23200.98296446
2025-08-24,357.77,360.01,343.39,348.84,10167.19308482
2025-08-25,348.69,350.32,309.75,318.22,15392.44945431
2025-08-26,317.79,338.64,314.27,335.64,15977.93328525
2025-08-27,335.55,336.06,319.86,320.46,6724.83016691
2025-08-28,320.2,328.79,313.0,317.39,5416.73291727
2025-08-29,317.61,350.33,300.0,319.04,15516.88761392
2025-08-30,319.25,319.72,310.76,319.25,2455.31002186
2025-08-31,319.26,324.92,315.43,315.66,3322.49511439
2025-09-01,315.47,319.19,299.24,304.81,3658.48560526
2025-09-02,304.82,318.09,303.94,315.52,5178.27296841
2025-09-03,315.73,328.75,312.99,328.0,4034.21053836
2025-09-04,328.03,331.75,306.02,306.32,16573.22932329
2025-09-05,306.2,313.23,298.17,302.39,15016.17214485
2025-09-06,302.37,304.57,297.68,298.44,1581.04133777
2025-09-07,298.38,303.84,298.38,301.45,1426.68644673
2025-09-08,301.61,307.85,298.76,302.84,3358.82465423
2025-09-09,302.8,310.0,295.28,298.12,7721.55766489
2025-09-10,298.1,306.6,296.21,299.88,4259.60203119
2025-09-11,300.58,310.16,299.67,309.82,4105.81858153
2025-09-12,309.83,321.64,308.22,321.61,3915.68260839
2025-09-13,321.61,321.61,309.99,315.02,3872.18085922
2025-09-14,315.22,315.45,302.78,306.72,5705.88408246
2025-09-15,306.24,309.89,295.58,299.35,5894.4315869
2025-09-16,299.06,301.61,289.79,299.06,5892.86691284
2025-09-17,299.39,308.39,291.15,306.09,7517.67206409
2025-09-18,306.05,312.91,302.7,309.49,2295.7404669
2025-09-19,309.6,311.81,297.01,298.69,3510.54427226
2025-09-20,298.66,300.86,295.1,297.01,1911.76750494
2025-09-21,297.17,299.2,293.25,294.08,1590.80900632
2025-09-22,294.09,295.56,248.81,270.45,15273.68235929
2025-09-23,270.63,280.37,263.69,274.57,5540.43744668
2025-09-24,275.13,281.12,268.96,278.38,3747.0085901
2025-09-25,278.65,279.22,256.0,259.87,8741.97474703
2025-09-26,260.1,272.57,256.77,270.84,3407.18572791
2025-09-27,270.91,272.15,265.77,266.68,1171.31156526
2025-09-28,266.67,276.97,261.22,275.17,2127.64894972
2025-09-29,275.16,280.4,269.18,277.15,3308.55198172
2025-09-30,277.12,278.96,266.31,274.42,3159.59845564
2025-10-01,274.77,288.11,269.97,286.62,4441.80410194
2025-10-02,286.85,294.14,279.16,289.33,4283.24791433
2025-10-03,288.81,300.0,284.39,290.89,7422.6960329
2025-10-04,290.88,292.04,280.34,283.29,1383.27120368
2025-10-05,283.29,295.86,281.5,285.75,2542.28960727
2025-10-06,285.53,301.76,283.23,297.23,3368.84879548
2025-10-07,297.57,298.2,275.71,276.53,3756.93833085
2025-10-08,276.33,287.23,275.06,286.04,3499.35688612
2025-10-09,285.4,286.83,268.38,273.66,3073.54819266
2025-10-10,273.9,279.6,81.84,231.3,29844.46354902
2025-10-11,228.25,244.82,217.27,234.51,16186.88588164
2025-10-12,234.51,256.19,225.62,251.75,11902.34026001
2025-10-13,250.82,263.33,244.05,260.97,11126.46544729
2025-10-14,261.63,263.65,237.33,255.36,9280.25296505
2025-10-15,255.4,262.4,236.9,242.41,5429.49406974
2025-10-16,242.45,246.12,222.55,223.28,6060.91015969
