date,open,high,low,close,volume
1980-03-17,0.1763,0.1813,0.1763,0.1776,7513463.0
1980-03-18,0.1776,0.1813,0.1751,0.1788,5303621.0
1980-03-19,0.1788,0.1825,0.1782,0.1813,2523497.0
1980-03-20,0.1813,0.1819,0.1769,0.1769,4654925.0
1980-03-21,0.1769,0.1794,0.1769,0.1788,1333034.0
1980-03-24,0.1751,0.1751,0.1713,0.1732,4106029.0
1980-03-25,0.1732,0.1769,0.1713,0.1726,8575613.0
1980-03-26,0.1726,0.1757,0.1726,0.1726,3728217.0
1980-03-27,0.1726,0.1738,0.1695,0.1738,4277113.0
1980-03-28,0.1738,0.18,0.1738,0.1794,2644682.0
1980-03-31,0.1794,0.1825,0.1794,0.1819,4056129.0
1980-04-01,0.1819,0.185,0.1813,0.1825,7584748.0
1980-04-02,0.1825,0.1844,0.1813,0.1838,4932938.0
1980-04-03,0.1838,0.1838,0.1825,0.1838,3279120.0
1980-04-07,0.1838,0.1838,0.1807,0.1838,2701710.0
1980-04-08,0.1831,0.1831,0.1788,0.1831,5004223.0
1980-04-09,0.1831,0.1856,0.1819,0.1856,1632432.0
1980-04-10,0.1881,0.1937,0.1881,0.1937,3079522.0
1980-04-11,0.1949,0.1993,0.1949,0.1962,4220085.0
1980-04-14,0.1931,0.1931,0.1893,0.1912,4597897.0
1980-04-15,0.1912,0.1931,0.1906,0.1931,2423698.0
1980-04-16,0.1931,0.1962,0.19,0.19,4904423.0
1980-04-17,0.1893,0.1893,0.1875,0.1881,2644682.0
1980-04-18,0.1881,0.19,0.1869,0.1869,2388055.0
1980-04-21,0.1875,0.19,0.1875,0.19,2530625.0
1980-04-22,0.1918,0.1962,0.1918,0.1962,2067272.0
1980-04-23,0.1962,0.1968,0.1931,0.1949,4776110.0
1980-04-24,0.1949,0.1993,0.1943,0.1974,2587654.0
1980-04-25,0.1974,0.1974,0.1937,0.1949,6465570.0
1980-04-28,0.1956,0.198,0.1956,0.1968,3100907.0
1980-04-29,0.1968,0.198,0.1949,0.1974,1525504.0
1980-04-30,0.1974,0.1993,0.1974,0.1993,4298499.0
1980-05-01,0.1993,0.2024,0.198,0.2005,5339263.0
1980-05-02,0.2005,0.2011,0.1993,0.2011,3464462.0
1980-05-05,0.2011,0.2018,0.1999,0.2005,1860544.0
1980-05-06,0.2005,0.2036,0.1993,0.2024,3243478.0
1980-05-07,0.2024,0.2049,0.1999,0.203,3264863.0
1980-05-08,0.203,0.2055,0.1987,0.1987,3892173.0
1980-05-09,0.1987,0.1999,0.1962,0.1999,1055021.0
1980-05-12,0.1999,0.2024,0.1974,0.2005,1055021.0
1980-05-13,0.2005,0.2018,0.1987,0.1987,1603918.0
