date,open,high,low,close,volume
1986-08-13,0.1981,0.2054,0.1981,0.1981,18899200.0
1986-08-14,0.2091,0.2164,0.2091,0.2091,4160000.0
1986-08-15,0.2091,0.2091,0.2054,0.2054,4332800.0
1986-08-18,0.2054,0.2054,0.1981,0.1981,2828800.0
1986-08-19,0.2017,0.2054,0.2017,0.2017,2060800.0
1986-08-20,0.2017,0.2127,0.2017,0.2017,684800.0
1986-08-21,0.2091,0.2201,0.2091,0.2091,883200.0
1986-08-22,0.2091,0.2164,0.2091,0.2091,1734400.0
1986-08-25,0.2091,0.2091,0.2017,0.2017,627200.0
1986-08-26,0.2017,0.2091,0.2017,0.2017,793600.0
1986-08-27,0.2017,0.2054,0.2017,0.2017,2540800.0
1986-08-28,0.2017,0.2054,0.1944,0.1944,1555200.0
1986-08-29,0.1944,0.2054,0.1944,0.1944,1548800.0
1986-09-02,0.2091,0.2164,0.2091,0.2091,1068800.0
1986-09-03,0.2091,0.2201,0.2091,0.2091,403200.0
1986-09-04,0.2347,0.2421,0.2347,0.2347,1804800.0
1986-09-05,0.2347,0.2421,0.2311,0.2311,2137600.0
1986-09-08,0.2311,0.2384,0.2274,0.2274,492800.0
1986-09-09,0.2347,0.2457,0.2347,0.2347,499200.0
1986-09-10,0.2457,0.2567,0.2457,0.2457,934400.0
1986-09-11,0.2274,0.2274,0.2164,0.2164,1798400.0
1986-09-12,0.2201,0.2274,0.2201,0.2201,1286400.0
1986-09-15,0.2421,0.2531,0.2421,0.2421,998400.0
1986-09-16,0.2531,0.2641,0.2531,0.2531,1254400.0
1986-09-17,0.2714,0.2787,0.2714,0.2714,1356800.0
1986-09-18,0.2714,0.2824,0.2714,0.2714,352000.0
1986-09-19,0.2714,0.2824,0.2714,0.2714,1024000.0
1986-09-22,0.2714,0.2714,0.2604,0.2604,780800.0
1986-09-23,0.2604,0.2641,0.2531,0.2531,1798400.0
1986-09-24,0.2567,0.2677,0.2567,0.2567,1312000.0
1986-09-25,0.2567,0.2641,0.2494,0.2494,1657600.0
1986-09-26,0.2494,0.2604,0.2494,0.2494,768000.0
1986-09-29,0.2531,0.2604,0.2531,0.2531,473600.0
1986-09-30,0.2531,0.2677,0.2531,0.2531,192000.0
1986-10-01,0.2531,0.2677,0.2531,0.2531,371200.0
1986-10-02,0.2531,0.2677,0.2531,0.2531,224000.0
1986-10-03,0.2531,0.2641,0.2531,0.2531,44800.0
1986-10-06,0.2567,0.2677,0.2567,0.2567,128000.0
