date,open,high,low,close,volume
1980-03-17,0.0689,0.0708,0.0689,0.0689,3600000.0
1980-03-18,0.0689,0.0695,0.0677,0.0677,3715200.0
1980-03-19,0.0689,0.0708,0.0689,0.0689,2016000.0
1980-03-20,0.0702,0.0721,0.0702,0.0702,3657600.0
1980-03-21,0.0727,0.0746,0.0727,0.0727,3024000.0
1980-03-24,0.0708,0.0708,0.0689,0.0689,2649600.0
1980-03-25,0.0689,0.0689,0.067,0.067,4320000.0
1980-03-26,0.062,0.062,0.0602,0.0602,3312000.0
1980-03-27,0.0576,0.0576,0.0551,0.0551,9993600.0
1980-03-28,0.0614,0.0639,0.0614,0.0614,6134400.0
1980-03-31,0.0683,0.0708,0.0683,0.0683,6134400.0
1980-04-01,0.0683,0.0702,0.0677,0.0677,3542400.0
1980-04-02,0.0667,0.0667,0.0639,0.0639,4147200.0
1980-04-03,0.0658,0.0686,0.0658,0.0658,4646400.0
1980-04-07,0.0639,0.0639,0.0611,0.0611,940800.0
1980-04-08,0.0639,0.0667,0.0639,0.0639,1152000.0
1980-04-09,0.0639,0.0658,0.063,0.063,2400000.0
1980-04-10,0.063,0.0658,0.063,0.063,1152000.0
1980-04-11,0.063,0.0658,0.063,0.063,1056000.0
1980-04-14,0.063,0.0658,0.063,0.063,326400.0
1980-04-15,0.063,0.0649,0.062,0.062,1094400.0
1980-04-16,0.062,0.0649,0.062,0.062,960000.0
1980-04-17,0.062,0.0649,0.062,0.062,979200.0
1980-04-18,0.063,0.0658,0.063,0.063,576000.0
1980-04-21,0.063,0.0639,0.0611,0.0611,3494400.0
1980-04-22,0.0677,0.0705,0.0677,0.0677,4051200.0
1980-04-23,0.0686,0.0714,0.0686,0.0686,1747200.0
1980-04-24,0.0705,0.0733,0.0705,0.0705,1056000.0
1980-04-25,0.0705,0.0724,0.0695,0.0695,2073600.0
1980-04-28,0.0695,0.0724,0.0695,0.0695,1075200.0
1980-04-29,0.0705,0.0733,0.0705,0.0705,902400.0
1980-04-30,0.0705,0.0733,0.0705,0.0705,96000.0
1980-05-01,0.0705,0.0724,0.0695,0.0695,844800.0
1980-05-02,0.0695,0.0724,0.0695,0.0695,1171200.0
1980-05-05,0.0695,0.0724,0.0695,0.0695,633600.0
1980-05-06,0.0695,0.0724,0.0695,0.0695,192000.0
1980-05-07,0.0695,0.0724,0.0695,0.0695,10272000.0
1980-05-08,0.0695,0.0705,0.0677,0.0677,13056000.0
1980-05-09,0.0677,0.0705,0.0677,0.0677,5625600.0
1980-05-12,0.0686,0.0714,0.0686,0.0686,2841600.0
1980-05-13,0.0695,0.0724,0.0695,0.0695,1632000.0
1980-05-14,0.0705,0.0733,0.0705,0.0705,3398400.0
1980-05-15,0.0714,0.0742,0.0714,0.0714,3340800.0
1980-05-16,0.0714,0.0742,0.0714,0.0714,2880000.0
1980-05-19,0.0714,0.0724,0.0695,0.0695,2457600.0
1980-05-20,0.0695,0.0714,0.0686,0.0686,1593600.0
1980-05-21,0.0686,0.0705,0.0677,0.0677,1574400.0
1980-05-22,0.0714,0.0742,0.0714,0.0714,2841600.0
1980-05-23,0.0742,0.0771,0.0742,0.0742,4070400.0
1980-05-27,0.0761,0.0789,0.0761,0.0761,4992000.0
1980-05-28,0.0771,0.0799,0.0771,0.0771,3168000.0
1980-05-29,0.0789,0.0818,0.0789,0.0789,5203200.0
1980-05-30,0.0789,0.0818,0.0789,0.0789,2323200.0
1980-06-02,0.0789,0.0799,0.0771,0.0771,1516800.0
1980-06-03,0.0771,0.0771,0.0742,0.0742,2438400.0
1980-06-04,0.0771,0.0799,0.0771,0.0771,2592000.0
1980-06-05,0.0789,0.0818,0.0789,0.0789,3148800.0
1980-06-06,0.0789,0.0799,0.0771,0.0771,2707200.0
1980-06-09,0.078,0.0808,0.078,0.078,2956800.0
1980-06-10,0.078,0.0799,0.0771,0.0771,883200.0
1980-06-11,0.078,0.0808,0.078,0.078,4108800.0
1980-06-12,0.0789,0.0818,0.0789,0.0789,2707200.0
1980-06-13,0.0799,0.0827,0.0799,0.0799,1382400.0
1980-06-16,0.0799,0.0818,0.0789,0.0789,2457600.0
1980-06-17,0.0789,0.0818,0.0789,0.0789,2323200.0
1980-06-18,0.0789,0.0799,0.0771,0.0771,3417600.0
1980-06-19,0.0771,0.078,0.0752,0.0752,2092800.0
1980-06-20,0.0752,0.0771,0.0742,0.0742,2150400.0
1980-06-23,0.0742,0.0752,0.0724,0.0724,1209600.0
1980-06-24,0.0733,0.0761,0.0733,0.0733,2438400.0
1980-06-25,0.0742,0.0771,0.0742,0.0742,3705600.0
1980-06-26,0.0771,0.0799,0.0771,0.0771,7180800.0
1980-06-27,0.0771,0.0789,0.0761,0.0761,1324800.0
1980-06-30,0.0761,0.0771,0.0742,0.0742,1785600.0
1980-07-01,0.0742,0.0761,0.0733,0.0733,8121600.0
1980-07-02,0.0733,0.0761,0.0733,0.0733,3244800.0
1980-07-03,0.0733,0.0761,0.0733,0.0733,3417600.0
1980-07-07,0.0761,0.0771,0.0761,0.0761,9600000.0
1980-07-08,0.078,0.0799,0.078,0.078,5222400.0
1980-07-09,0.0808,0.0827,0.0808,0.0808,7814400.0
1980-07-10,0.0836,0.0846,0.0836,0.0836,6028800.0
1980-07-11,0.0855,0.0874,0.0855,0.0855,4665600.0
1980-07-14,0.0921,0.094,0.0921,0.0921,8140800.0
1980-07-15,0.093,0.094,0.093,0.093,9638400.0
1980-07-16,0.093,0.093,0.0921,0.0921,3187200.0
1980-07-17,0.0959,0.0977,0.0959,0.0959,3436800.0
1980-07-18,0.0968,0.0977,0.0968,0.0968,5664000.0
1980-07-21,0.0977,0.0987,0.0977,0.0977,3571200.0
1980-07-22,0.0977,0.0987,0.0977,0.0977,3648000.0
1980-07-23,0.0977,0.0977,0.0968,0.0968,4300800.0
1980-07-24,0.0977,0.0987,0.0977,0.0977,4166400.0
1980-07-25,0.0977,0.0987,0.0977,0.0977,2937600.0
1980-07-28,0.0987,0.0996,0.0987,0.0987,1900800.0
1980-07-29,0.0987,0.1006,0.0987,0.0987,2476800.0
1980-07-30,0.1062,0.1081,0.1062,0.1062,4665600.0
1980-07-31,0.1062,0.1071,0.1062,0.1062,6643200.0
1980-08-01,0.1118,0.1137,0.1118,0.1118,7046400.0
1980-08-04,0.1118,0.1118,0.1109,0.1109,4684800.0
1980-08-05,0.1194,0.1203,0.1194,0.1194,11865600.0
1980-08-06,0.1259,0.1269,0.1259,0.1259,10444800.0
1980-08-07,0.1222,0.1222,0.1212,0.1212,10387200.0
1980-08-08,0.1194,0.1194,0.1184,0.1184,6624000.0
1980-08-11,0.1194,0.1212,0.1194,0.1194,2515200.0
1980-08-12,0.1165,0.1165,0.1156,0.1156,4742400.0
1980-08-13,0.1156,0.1175,0.1156,0.1156,8179200.0
1980-08-14,0.1165,0.1175,0.1165,0.1165,4396800.0
1980-08-15,0.1156,0.1156,0.1147,0.1147,3052800.0
1980-08-18,0.1137,0.1137,0.1128,0.1128,4780800.0
1980-08-19,0.1137,0.1147,0.1137,0.1137,6355200.0
1980-08-20,0.1175,0.1184,0.1175,0.1175,3513600.0
1980-08-21,0.1175,0.1184,0.1175,0.1175,3244800.0
1980-08-22,0.1212,0.1231,0.1212,0.1212,8966400.0
1980-08-25,0.1194,0.1194,0.1184,0.1184,4089600.0
1980-08-26,0.1194,0.1212,0.1194,0.1194,6739200.0
1980-08-27,0.1194,0.1194,0.1175,0.1175,2553600.0
1980-08-28,0.1175,0.1175,0.1165,0.1165,2380800.0
1980-08-29,0.1165,0.1165,0.1156,0.1156,2496000.0
1980-09-02,0.1165,0.1175,0.1165,0.1165,1574400.0
1980-09-03,0.1222,0.1231,0.1222,0.1222,4550400.0
1980-09-04,0.1259,0.1269,0.1259,0.1259,7123200.0
1980-09-05,0.1269,0.1278,0.1269,0.1269,4032000.0
1980-09-08,0.1269,0.1288,0.1269,0.1269,3897600.0
1980-09-09,0.1269,0.1278,0.1269,0.1269,9369600.0
1980-09-10,0.1278,0.1288,0.1278,0.1278,2246400.0
1980-09-11,0.1335,0.1344,0.1335,0.1335,5817600.0
1980-09-12,0.1344,0.1353,0.1344,0.1344,960000.0
1980-09-15,0.1306,0.1306,0.1288,0.1288,4377600.0
1980-09-16,0.1297,0.1306,0.1297,0.1297,2284800.0
1980-09-17,0.1325,0.1344,0.1325,0.1325,3820800.0
1980-09-18,0.1325,0.1344,0.1325,0.1325,2304000.0
1980-09-19,0.1372,0.1382,0.1372,0.1372,2956800.0
1980-09-22,0.1372,0.1372,0.1353,0.1353,2073600.0
1980-09-23,0.1335,0.1335,0.1325,0.1325,3321600.0
1980-09-24,0.1325,0.1325,0.1306,0.1306,2342400.0
1980-09-25,0.1297,0.1297,0.1288,0.1288,2227200.0
1980-09-26,0.1222,0.1222,0.1203,0.1203,4684800.0
1980-09-29,0.1147,0.1147,0.1128,0.1128,5068800.0
1980-09-30,0.1184,0.1194,0.1184,0.1184,7200000.0
1980-10-01,0.1269,0.1278,0.1269,0.1269,4608000.0
1980-10-02,0.1269,0.1278,0.1259,0.1259,1516800.0
1980-10-03,0.1297,0.1316,0.1297,0.1297,1728000.0
1980-10-06,0.1372,0.14,0.1372,0.1372,3379200.0
1980-10-07,0.1372,0.1382,0.1363,0.1363,2419200.0
1980-10-08,0.1438,0.1447,0.1438,0.1438,8044800.0
1980-10-09,0.1447,0.1457,0.1447,0.1447,1958400.0
1980-10-10,0.1457,0.1466,0.1457,0.1457,3052800.0
1980-10-13,0.156,0.157,0.156,0.156,4339200.0
1980-10-14,0.1551,0.1551,0.1532,0.1532,4454400.0
1980-10-15,0.1551,0.156,0.1551,0.1551,3187200.0
1980-10-16,0.1513,0.1513,0.1494,0.1494,3552000.0
1980-10-17,0.1494,0.1504,0.1485,0.1485,4416000.0
1980-10-20,0.1485,0.1485,0.1466,0.1466,1459200.0
1980-10-21,0.1466,0.1476,0.1466,0.1466,883200.0
1980-10-22,0.1466,0.1485,0.1466,0.1466,787200.0
1980-10-23,0.1457,0.1457,0.1447,0.1447,1382400.0
1980-10-24,0.1429,0.1429,0.141,0.141,3148800.0
1980-10-27,0.1353,0.1353,0.1335,0.1335,2188800.0
1980-10-28,0.1335,0.1353,0.1335,0.1335,1824000.0
1980-10-29,0.1344,0.1353,0.1344,0.1344,1939200.0
1980-10-30,0.1316,0.1316,0.1297,0.1297,3744000.0
1980-10-31,0.1306,0.1325,0.1306,0.1306,1190400.0
1980-11-03,0.1335,0.1353,0.1335,0.1335,2438400.0
1980-11-05,0.141,0.1419,0.141,0.141,2457600.0
1980-11-06,0.141,0.141,0.1391,0.1391,1036800.0
1980-11-07,0.1391,0.14,0.1391,0.1391,1094400.0
1980-11-10,0.1391,0.1391,0.1372,0.1372,1075200.0
1980-11-11,0.1372,0.1391,0.1372,0.1372,806400.0
1980-11-12,0.1485,0.1494,0.1485,0.1485,3494400.0
1980-11-13,0.1504,0.1523,0.1504,0.1504,2438400.0
1980-11-14,0.1513,0.1523,0.1513,0.1513,1209600.0
1980-11-17,0.1513,0.1532,0.1513,0.1513,1017600.0
1980-11-18,0.156,0.157,0.156,0.156,2169600.0
1980-11-19,0.156,0.157,0.1551,0.1551,1536000.0
1980-11-20,0.156,0.157,0.156,0.156,1920000.0
1980-11-21,0.156,0.157,0.156,0.156,614400.0
1980-11-24,0.156,0.156,0.1551,0.1551,1420800.0
1980-11-25,0.1617,0.1635,0.1617,0.1617,1420800.0
1980-11-26,0.1664,0.1682,0.1664,0.1664,2092800.0
1980-11-28,0.1701,0.1711,0.1701,0.1701,844800.0
1980-12-01,0.1654,0.1654,0.1645,0.1645,2265600.0
1980-12-02,0.1645,0.1654,0.1635,0.1635,2784000.0
1980-12-03,0.1617,0.1617,0.1607,0.1607,2112000.0
1980-12-04,0.1626,0.1635,0.1626,0.1626,1344000.0
1980-12-05,0.1579,0.1579,0.156,0.156,2707200.0
1980-12-08,0.1466,0.1466,0.1457,0.1457,4262400.0
1980-12-09,0.1457,0.1476,0.1457,0.1457,2304000.0
1980-12-10,0.1419,0.1419,0.14,0.14,1728000.0
1980-12-11,0.1391,0.1391,0.1372,0.1372,2553600.0
1980-12-12,0.14,0.1419,0.14,0.14,2899200.0
1980-12-15,0.1457,0.1466,0.1457,0.1457,2016000.0
1980-12-16,0.1466,0.1485,0.1466,0.1466,1612800.0
1980-12-17,0.1466,0.1485,0.1466,0.1466,1363200.0
1980-12-18,0.1485,0.1494,0.1485,0.1485,2188800.0
1980-12-19,0.1485,0.1485,0.1476,0.1476,1036800.0
1980-12-22,0.1476,0.1485,0.1476,0.1476,1190400.0
1980-12-23,0.1494,0.1513,0.1494,0.1494,10483200.0
1980-12-24,0.1504,0.1523,0.1504,0.1504,556800.0
1980-12-26,0.1541,0.156,0.1541,0.1541,1190400.0
1980-12-29,0.1541,0.156,0.1541,0.1541,1804800.0
1980-12-30,0.1551,0.157,0.1551,0.1551,1171200.0
1980-12-31,0.156,0.157,0.156,0.156,960000.0
1981-01-02,0.156,0.1579,0.156,0.156,1113600.0
1981-01-05,0.1635,0.1654,0.1635,0.1635,3283200.0
1981-01-06,0.1786,0.1795,0.1786,0.1786,12364800.0
1981-01-07,0.1701,0.1701,0.1682,0.1682,10848000.0
1981-01-08,0.1682,0.1682,0.1673,0.1673,5126400.0
1981-01-09,0.1701,0.172,0.1701,0.1701,4953600.0
1981-01-12,0.1692,0.1692,0.1673,0.1673,3475200.0
1981-01-13,0.1654,0.1654,0.1645,0.1645,6220800.0
1981-01-14,0.1588,0.1588,0.157,0.157,2438400.0
1981-01-15,0.1588,0.1607,0.1588,0.1588,1804800.0
1981-01-16,0.1588,0.1607,0.1588,0.1588,4128000.0
1981-01-19,0.1607,0.1626,0.1607,0.1607,3283200.0
1981-01-20,0.156,0.156,0.1551,0.1551,1536000.0
1981-01-21,0.1551,0.156,0.1551,0.1551,1497600.0
1981-01-22,0.1485,0.1485,0.1476,0.1476,2860800.0
1981-01-23,0.1476,0.1494,0.1476,0.1476,3283200.0
1981-01-26,0.1476,0.1494,0.1476,0.1476,2016000.0
1981-01-27,0.1476,0.1494,0.1476,0.1476,1824000.0
1981-01-28,0.1447,0.1447,0.1429,0.1429,1996800.0
1981-01-29,0.141,0.141,0.14,0.14,2246400.0
1981-01-30,0.1306,0.1306,0.1288,0.1288,12134400.0
1981-02-02,0.1203,0.1203,0.1184,0.1184,9254400.0
1981-02-03,0.1222,0.1241,0.1222,0.1222,4358400.0
1981-02-04,0.1241,0.1259,0.1241,0.1241,2553600.0
1981-02-05,0.1297,0.1306,0.1297,0.1297,3091200.0
1981-02-06,0.1353,0.1353,0.1339,0.1339,1856000.0
1981-02-09,0.1367,0.1396,0.1367,0.1367,1920000.0
1981-02-10,0.141,0.1424,0.141,0.141,1817600.0
1981-02-11,0.141,0.1424,0.141,0.141,3148800.0
1981-02-12,0.1382,0.1382,0.1367,0.1367,1587200.0
1981-02-13,0.1353,0.1353,0.1339,0.1339,1228800.0
1981-02-17,0.1339,0.1353,0.1339,0.1339,652800.0
1981-02-18,0.1311,0.1311,0.1297,0.1297,3136000.0
1981-02-19,0.1241,0.1241,0.1212,0.1212,1740800.0
1981-02-20,0.1255,0.1269,0.1255,0.1255,9113600.0
1981-02-23,0.1241,0.1241,0.1227,0.1227,2547200.0
1981-02-24,0.1212,0.1212,0.1198,0.1198,1574400.0
1981-02-25,0.1184,0.1184,0.117,0.117,5977600.0
1981-02-26,0.117,0.1184,0.1142,0.1142,2227200.0
1981-02-27,0.1156,0.117,0.1156,0.1156,2611200.0
1981-03-02,0.1241,0.1269,0.1241,0.1241,3545600.0
1981-03-03,0.1255,0.1269,0.1255,0.1255,2905600.0
1981-03-04,0.1269,0.1283,0.1269,0.1269,5452800.0
1981-03-05,0.1198,0.1198,0.1184,0.1184,1907200.0
1981-03-06,0.1128,0.1128,0.11,0.11,2009600.0
1981-03-09,0.117,0.1198,0.117,0.117,2611200.0
1981-03-10,0.1142,0.1142,0.1114,0.1114,4416000.0
1981-03-11,0.1071,0.1071,0.1057,0.1057,6502400.0
1981-03-12,0.1071,0.11,0.1071,0.1071,7488000.0
1981-03-13,0.1071,0.1086,0.1071,0.1071,3315200.0
1981-03-16,0.1071,0.1071,0.1043,0.1043,2099200.0
1981-03-17,0.1071,0.1086,0.1071,0.1071,3763200.0
1981-03-18,0.1142,0.1156,0.1142,0.1142,4723200.0
1981-03-19,0.117,0.1198,0.117,0.117,2790400.0
