date,open,high,low,close,volume
1983-06-17,0.2294,0.2329,0.2294,0.2294,42936000.0
1983-06-20,0.2051,0.2051,0.2016,0.2016,7329600.0
1983-06-21,0.2016,0.2086,0.2016,0.2016,2280000.0
1983-06-22,0.2086,0.212,0.2086,0.2086,5937600.0
1983-06-23,0.2086,0.212,0.2086,0.2086,1272000.0
1983-06-24,0.2086,0.2086,0.2051,0.2051,1574400.0
1983-06-27,0.1877,0.1877,0.1808,0.1808,5884800.0
1983-06-28,0.1808,0.1842,0.1808,0.1808,4987200.0
1983-06-29,0.1808,0.1808,0.1773,0.1773,1056000.0
1983-06-30,0.1808,0.186,0.1808,0.1808,2164800.0
1983-07-01,0.1808,0.1842,0.1808,0.1808,350400.0
1983-07-05,0.1808,0.1808,0.1738,0.1738,576000.0
1983-07-06,0.1738,0.1773,0.1738,0.1738,638400.0
1983-07-07,0.1773,0.1808,0.1773,0.1773,1046400.0
1983-07-08,0.1773,0.1808,0.1738,0.1738,681600.0
1983-07-11,0.1773,0.1808,0.1773,0.1773,729600.0
1983-07-12,0.1773,0.1842,0.1773,0.1773,777600.0
1983-07-13,0.1842,0.1912,0.1842,0.1842,4420800.0
1983-07-14,0.186,0.1912,0.186,0.186,777600.0
1983-07-15,0.186,0.1912,0.186,0.186,897600.0
1983-07-18,0.186,0.1877,0.1842,0.1842,456000.0
1983-07-19,0.1842,0.1877,0.1808,0.1808,417600.0
1983-07-20,0.1808,0.1825,0.179,0.179,484800.0
1983-07-21,0.1773,0.1773,0.1703,0.1703,1156800.0
1983-07-22,0.1703,0.1703,0.1686,0.1686,3038400.0
1983-07-25,0.1686,0.1721,0.1686,0.1686,1401600.0
1983-07-26,0.1686,0.1721,0.1686,0.1686,2697600.0
1983-07-27,0.1669,0.1669,0.1616,0.1616,566400.0
1983-07-28,0.1616,0.1616,0.1616,0.1616,0.0
1983-07-29,0.1616,0.1669,0.1599,0.1599,734400.0
1983-08-01,0.1599,0.1599,0.1564,0.1564,710400.0
1983-08-02,0.1564,0.1599,0.1547,0.1547,225600.0
1983-08-03,0.1547,0.1599,0.1547,0.1547,105600.0
1983-08-04,0.1547,0.1564,0.1495,0.1495,360000.0
1983-08-05,0.1495,0.1512,0.146,0.146,417600.0
1983-08-08,0.146,0.146,0.1425,0.1425,292800.0
1983-08-09,0.1425,0.1425,0.1373,0.1373,849600.0
1983-08-10,0.1373,0.1425,0.1373,0.1373,700800.0
1983-08-11,0.1373,0.1425,0.1373,0.1373,124800.0
1983-08-12,0.1373,0.1408,0.1373,0.1373,201600.0
1983-08-15,0.1373,0.1408,0.1356,0.1356,585600.0
1983-08-16,0.1356,0.1408,0.1356,0.1356,235200.0
1983-08-17,0.1356,0.1408,0.1356,0.1356,153600.0
1983-08-18,0.1321,0.1321,0.1269,0.1269,715200.0
1983-08-19,0.1269,0.1304,0.1251,0.1251,744000.0
1983-08-22,0.1165,0.1165,0.1112,0.1112,508800.0
1983-08-23,0.1112,0.1147,0.1112,0.1112,523200.0
1983-08-24,0.1112,0.1147,0.1112,0.1112,700800.0
1983-08-25,0.1112,0.1147,0.1095,0.1095,331200.0
1983-08-26,0.1112,0.1147,0.1112,0.1112,643200.0
1983-08-29,0.1112,0.1147,0.1112,0.1112,398400.0
1983-08-30,0.1112,0.1147,0.1112,0.1112,230400.0
1983-08-31,0.1165,0.1199,0.1165,0.1165,1300800.0
1983-09-01,0.1234,0.1286,0.1234,0.1234,2064000.0
1983-09-02,0.1321,0.1356,0.1321,0.1321,1252800.0
1983-09-06,0.1338,0.1373,0.1338,0.1338,868800.0
1983-09-07,0.1338,0.1373,0.1338,0.1338,590400.0
1983-09-08,0.1356,0.139,0.1356,0.1356,566400.0
1983-09-09,0.1356,0.139,0.1356,0.1356,331200.0
1983-09-12,0.1373,0.1425,0.1373,0.1373,1516800.0
1983-09-13,0.1373,0.1408,0.1373,0.1373,105600.0
1983-09-14,0.1373,0.1408,0.1356,0.1356,465600.0
1983-09-15,0.1286,0.1286,0.1251,0.1251,1867200.0
1983-09-16,0.1112,0.1112,0.1078,0.1078,1680000.0
1983-09-19,0.1095,0.1112,0.1095,0.1095,648000.0
1983-09-20,0.113,0.1147,0.113,0.113,1252800.0
1983-09-21,0.113,0.1165,0.113,0.113,2169600.0
1983-09-22,0.1147,0.1182,0.1147,0.1147,3772800.0
1983-09-23,0.1182,0.1217,0.1182,0.1182,6825600.0
1983-09-26,0.1199,0.1234,0.1199,0.1199,518400.0
1983-09-27,0.1199,0.1234,0.1182,0.1182,1881600.0
1983-09-28,0.1199,0.1217,0.1199,0.1199,2011200.0
1983-09-29,0.1199,0.1234,0.1199,0.1199,696000.0
1983-09-30,0.1199,0.1217,0.1182,0.1182,283200.0
1983-10-03,0.1182,0.1199,0.1182,0.1182,1305600.0
1983-10-04,0.1182,0.1217,0.1182,0.1182,268800.0
1983-10-05,0.1182,0.1217,0.1182,0.1182,316800.0
1983-10-06,0.1182,0.1217,0.1182,0.1182,312000.0
1983-10-07,0.1182,0.1217,0.1182,0.1182,456000.0
1983-10-10,0.1182,0.1182,0.1147,0.1147,201600.0
1983-10-11,0.1112,0.1112,0.1078,0.1078,657600.0
1983-10-12,0.1078,0.1095,0.106,0.106,336000.0
1983-10-13,0.106,0.1078,0.1025,0.1025,1036800.0
1983-10-14,0.1043,0.1078,0.1043,0.1043,1315200.0
1983-10-17,0.1043,0.1078,0.1043,0.1043,734400.0
1983-10-18,0.1043,0.106,0.1008,0.1008,235200.0
1983-10-19,0.0973,0.0973,0.0939,0.0939,3417600.0
1983-10-20,0.0939,0.0973,0.0939,0.0939,1584000.0
1983-10-21,0.0939,0.0973,0.0939,0.0939,288000.0
1983-10-24,0.0939,0.0973,0.0939,0.0939,484800.0
1983-10-25,0.0939,0.0939,0.0904,0.0904,110400.0
1983-10-26,0.0904,0.0939,0.0904,0.0904,998400.0
1983-10-27,0.0904,0.0939,0.0904,0.0904,739200.0
1983-10-28,0.0904,0.0939,0.0904,0.0904,331200.0
1983-10-31,0.0904,0.0939,0.0904,0.0904,1281600.0
1983-11-01,0.0886,0.0886,0.0869,0.0869,681600.0
1983-11-02,0.0852,0.0852,0.0817,0.0817,1454400.0
1983-11-03,0.0817,0.0834,0.0817,0.0817,1089600.0
1983-11-04,0.0834,0.0852,0.0834,0.0834,811200.0
1983-11-07,0.0834,0.0852,0.0817,0.0817,1598400.0
1983-11-08,0.0817,0.0834,0.0817,0.0817,331200.0
1983-11-09,0.0817,0.0834,0.0817,0.0817,960000.0
1983-11-10,0.0817,0.0834,0.0817,0.0817,1291200.0
1983-11-11,0.0817,0.0834,0.0817,0.0817,1094400.0
1983-11-14,0.0886,0.0904,0.0886,0.0886,4737600.0
1983-11-15,0.0939,0.0956,0.0939,0.0939,2640000.0
1983-11-16,0.1025,0.1078,0.1025,0.1025,4368000.0
1983-11-17,0.1078,0.113,0.1078,0.1078,3043200.0
1983-11-18,0.1078,0.1112,0.1078,0.1078,412800.0
1983-11-21,0.1078,0.1078,0.1043,0.1043,960000.0
1983-11-22,0.1043,0.1043,0.0991,0.0991,460800.0
1983-11-23,0.0991,0.1008,0.0956,0.0956,1156800.0
1983-11-25,0.0973,0.0991,0.0973,0.0973,230400.0
1983-11-28,0.0973,0.1008,0.0973,0.0973,230400.0
1983-11-29,0.0973,0.0991,0.0956,0.0956,753600.0
1983-11-30,0.0956,0.0991,0.0956,0.0956,268800.0
1983-12-01,0.0956,0.0991,0.0956,0.0956,153600.0
1983-12-02,0.0956,0.0991,0.0956,0.0956,288000.0
1983-12-05,0.0939,0.0939,0.0904,0.0904,864000.0
1983-12-06,0.0904,0.0921,0.0886,0.0886,1185600.0
1983-12-07,0.0904,0.0939,0.0904,0.0904,696000.0
1983-12-08,0.0904,0.0939,0.0904,0.0904,2496000.0
1983-12-09,0.0939,0.0973,0.0939,0.0939,1641600.0
1983-12-12,0.0939,0.0973,0.0939,0.0939,806400.0
1983-12-13,0.0956,0.0991,0.0956,0.0956,993600.0
1983-12-14,0.0956,0.0991,0.0939,0.0939,3772800.0
1983-12-15,0.0939,0.0973,0.0939,0.0939,5769600.0
1983-12-16,0.0939,0.0973,0.0921,0.0921,1281600.0
1983-12-19,0.0956,0.0991,0.0956,0.0956,2476800.0
1983-12-20,0.0956,0.0973,0.0939,0.0939,691200.0
1983-12-21,0.0939,0.0956,0.0921,0.0956,1315200.0
1983-12-22,0.0956,0.0973,0.0921,0.0956,3513600.0
1983-12-23,0.0956,0.0973,0.0939,0.0939,292800.0
1983-12-27,0.0939,0.0991,0.0939,0.0973,3720000.0
1983-12-28,0.0973,0.1008,0.0973,0.0991,2457600.0
1983-12-29,0.0991,0.1025,0.0991,0.0991,892800.0
1983-12-30,0.0991,0.1008,0.0973,0.1008,1464000.0
1984-01-03,0.1008,0.1008,0.0973,0.1008,643200.0
1984-01-04,0.1008,0.1008,0.0991,0.0991,960000.0
1984-01-05,0.0991,0.1043,0.0991,0.1043,2337600.0
1984-01-06,0.1043,0.1112,0.0973,0.1112,1464000.0
1984-01-09,0.1112,0.1112,0.1078,0.1095,753600.0
1984-01-10,0.1095,0.1147,0.1095,0.113,446400.0
1984-01-11,0.113,0.1147,0.1112,0.1147,1939200.0
1984-01-12,0.1147,0.1147,0.1112,0.1112,609600.0
1984-01-13,0.1112,0.1147,0.1112,0.1112,3278400.0
1984-01-16,0.1112,0.113,0.1112,0.113,249600.0
1984-01-17,0.113,0.113,0.1043,0.1112,1780800.0
1984-01-18,0.1112,0.1112,0.1078,0.1078,412800.0
1984-01-19,0.1078,0.1112,0.1078,0.1112,456000.0
1984-01-20,0.1112,0.1112,0.106,0.1078,796800.0
1984-01-23,0.1078,0.1078,0.1043,0.1043,628800.0
1984-01-24,0.1043,0.1112,0.1025,0.1112,1104000.0
1984-01-25,0.1112,0.1112,0.1095,0.1095,825600.0
1984-01-26,0.1095,0.113,0.1095,0.113,72000.0
1984-01-27,0.113,0.113,0.1095,0.1112,1305600.0
1984-01-30,0.1112,0.113,0.1095,0.1112,571200.0
1984-01-31,0.1112,0.1112,0.1078,0.1078,432000.0
1984-02-01,0.1078,0.1095,0.106,0.106,398400.0
1984-02-02,0.106,0.1095,0.1043,0.106,1713600.0
1984-02-03,0.106,0.1078,0.1043,0.1043,264000.0
1984-02-06,0.1043,0.1078,0.0991,0.0991,465600.0
1984-02-07,0.0991,0.1008,0.0956,0.0991,417600.0
1984-02-08,0.0973,0.0973,0.0939,0.0973,1041600.0
1984-02-09,0.0973,0.0973,0.0939,0.0939,331200.0
