date,open,high,low,close,volume
1991-11-08,0.1251,0.1251,0.1251,0.1251,176057600.0
1991-11-11,0.1251,0.1251,0.1251,0.1251,23718400.0
1991-11-12,0.1251,0.1251,0.1251,0.1251,26195200.0
1991-11-13,0.1251,0.1251,0.1218,0.1218,38118400.0
1991-11-14,0.1133,0.1184,0.1133,0.1184,41670400.0
1991-11-15,0.1184,0.1184,0.1116,0.1116,43494400.0
1991-11-18,0.1099,0.1116,0.1032,0.1048,17747200.0
1991-11-19,0.1048,0.1082,0.1015,0.1048,19916800.0
1991-11-20,0.1065,0.1065,0.1048,0.1065,1945600.0
1991-11-21,0.1048,0.1048,0.1015,0.1015,3366400.0
1991-11-22,0.1015,0.1015,0.0947,0.0964,5222400.0
1991-11-25,0.0981,0.1048,0.0947,0.0998,11315200.0
1991-11-26,0.1015,0.1032,0.0998,0.0998,6585600.0
1991-11-27,0.1015,0.1032,0.1015,0.1032,6758400.0
1991-11-29,0.1015,0.1048,0.1015,0.1048,1971200.0
1991-12-02,0.1032,0.1116,0.1032,0.1065,4070400.0
1991-12-03,0.1082,0.1099,0.1065,0.1099,4454400.0
1991-12-04,0.1116,0.1218,0.1116,0.1133,19648000.0
1991-12-05,0.1116,0.1184,0.1099,0.1167,10099200.0
1991-12-06,0.1167,0.1167,0.115,0.1167,2899200.0
1991-12-09,0.1167,0.1167,0.115,0.115,4716800.0
1991-12-10,0.1133,0.1133,0.1099,0.1099,4748800.0
1991-12-11,0.1099,0.1116,0.1065,0.1065,3961600.0
1991-12-12,0.1082,0.1116,0.1048,0.1099,3955200.0
1991-12-13,0.1116,0.115,0.1116,0.1133,3014400.0
1991-12-16,0.115,0.115,0.1116,0.1133,5510400.0
1991-12-17,0.1116,0.1116,0.1099,0.1099,2195200.0
1991-12-18,0.1099,0.1099,0.1048,0.1065,3974400.0
1991-12-19,0.1048,0.1048,0.1015,0.1048,3161600.0
1991-12-20,0.1065,0.1065,0.0981,0.1048,4115200.0
1991-12-23,0.1032,0.1099,0.1015,0.1099,3833600.0
1991-12-24,0.1082,0.1167,0.1082,0.1167,4857600.0
1991-12-26,0.1167,0.1218,0.1167,0.1218,4288000.0
1991-12-27,0.1201,0.1218,0.115,0.1218,6726400.0
1991-12-30,0.1218,0.1218,0.1184,0.1201,5260800.0
1991-12-31,0.1201,0.1218,0.1184,0.1218,12588800.0
1992-01-02,0.1201,0.1201,0.1167,0.1201,2912000.0
1992-01-03,0.1201,0.1234,0.1201,0.1218,12038400.0
1992-01-06,0.1234,0.1336,0.1218,0.1251,39193600.0
1992-01-07,0.1251,0.1302,0.1234,0.1285,23987200.0
1992-01-08,0.1285,0.137,0.1285,0.1336,73504000.0
1992-01-09,0.1353,0.1353,0.1302,0.1302,18982400.0
1992-01-10,0.1319,0.1319,0.1302,0.1302,8966400.0
1992-01-13,0.1302,0.1336,0.1302,0.1319,5862400.0
1992-01-14,0.1302,0.1336,0.1302,0.1319,9676800.0
1992-01-15,0.1319,0.1336,0.1302,0.1319,5811200.0
1992-01-16,0.1319,0.137,0.1302,0.137,61542400.0
1992-01-17,0.137,0.1437,0.1353,0.137,18380800.0
1992-01-20,0.137,0.137,0.1319,0.1319,8256000.0
1992-01-21,0.1319,0.1336,0.1285,0.1302,8211200.0
1992-01-22,0.1302,0.1302,0.1268,0.1268,4595200.0
1992-01-23,0.1285,0.1285,0.1251,0.1268,4697600.0
1992-01-24,0.1251,0.1268,0.1251,0.1268,4256000.0
1992-01-27,0.1251,0.1268,0.1234,0.1268,6899200.0
1992-01-28,0.1251,0.1268,0.1251,0.1251,2246400.0
1992-01-29,0.1251,0.1302,0.1234,0.1234,10880000.0
1992-01-30,0.1218,0.1336,0.115,0.1268,15308800.0
1992-01-31,0.1234,0.1251,0.1234,0.1234,2342400.0
1992-02-03,0.1218,0.1268,0.1218,0.1268,1139200.0
1992-02-04,0.1167,0.1184,0.1082,0.1167,37568000.0
1992-02-05,0.1167,0.1201,0.1133,0.1133,11372800.0
1992-02-06,0.1133,0.1167,0.1133,0.1133,3987200.0
1992-02-07,0.115,0.1184,0.115,0.1167,5395200.0
1992-02-10,0.115,0.1167,0.115,0.115,4736000.0
1992-02-11,0.115,0.1167,0.1133,0.1133,8588800.0
1992-02-12,0.115,0.115,0.1133,0.115,6086400.0
1992-02-13,0.1184,0.1184,0.115,0.115,2137600.0
1992-02-14,0.115,0.1167,0.1116,0.1116,3059200.0
1992-02-18,0.1133,0.1133,0.1116,0.1116,2214400.0
1992-02-19,0.1116,0.1116,0.1082,0.1082,4729600.0
1992-02-20,0.1082,0.1099,0.1048,0.1082,2323200.0
1992-02-21,0.1099,0.1116,0.1082,0.1099,7046400.0
1992-02-24,0.1099,0.1099,0.1065,0.1065,2406400.0
1992-02-25,0.1082,0.1082,0.1065,0.1065,2438400.0
1992-02-26,0.1082,0.1133,0.1065,0.1116,6105600.0
1992-02-27,0.1133,0.1133,0.1099,0.1099,2048000.0
1992-02-28,0.1116,0.1116,0.1082,0.1116,1683200.0
1992-03-02,0.1099,0.1099,0.1082,0.1099,1548800.0
1992-03-03,0.1099,0.1116,0.1065,0.1099,9497600.0
1992-03-04,0.1116,0.1167,0.1116,0.115,6470400.0
1992-03-05,0.1184,0.1184,0.1133,0.1133,3564800.0
1992-03-06,0.115,0.115,0.1099,0.1116,2182400.0
1992-03-09,0.1116,0.1116,0.1099,0.1099,2630400.0
1992-03-10,0.1116,0.1133,0.1099,0.1099,5049600.0
1992-03-11,0.1082,0.1099,0.1048,0.1065,2297600.0
1992-03-12,0.1048,0.1065,0.1048,0.1048,2105600.0
1992-03-13,0.1048,0.1082,0.1048,0.1065,4083200.0
1992-03-16,0.1065,0.1065,0.1048,0.1048,409600.0
1992-03-17,0.1065,0.1065,0.1032,0.1048,3276800.0
1992-03-18,0.1048,0.1065,0.1048,0.1065,2022400.0
1992-03-19,0.1048,0.1065,0.1032,0.1032,1222400.0
1992-03-20,0.1048,0.1082,0.1048,0.1065,1830400.0
1992-03-23,0.1065,0.1082,0.1032,0.1082,1772800.0
1992-03-24,0.1082,0.1184,0.1082,0.115,14534400.0
1992-03-25,0.115,0.115,0.1116,0.1116,2252800.0
1992-03-26,0.1116,0.1116,0.1065,0.1082,8064000.0
1992-03-27,0.1099,0.1116,0.1099,0.1116,1996800.0
1992-03-30,0.1116,0.1116,0.1065,0.1082,2553600.0
1992-03-31,0.1065,0.1099,0.1065,0.1099,5772800.0
