date,open,high,low,close,volume
1995-03-15,1.5642,1.7891,1.5251,1.7598,71337728.0
1995-03-16,1.9357,1.9944,1.8575,1.9357,17607744.0
1995-03-17,1.9455,1.9455,1.8575,1.8673,13216075.0
1995-03-20,1.8575,1.8673,1.8184,1.8575,5498827.0
1995-03-21,1.8575,1.9651,1.838,1.9455,6312768.0
1995-03-22,1.9553,2.3268,1.9553,2.1801,14026731.0
1995-03-23,2.1606,2.2192,2.1215,2.1313,6550955.0
1995-03-24,2.1508,2.1606,2.1019,2.141,1577781.0
1995-03-27,2.1313,2.1704,2.1019,2.1704,1945739.0
1995-03-28,2.1801,2.3268,2.1704,2.2388,10769323.0
1995-03-29,2.2681,2.317,2.2095,2.2486,3939936.0
1995-03-30,2.229,2.229,2.0628,2.1215,2329301.0
1995-03-31,2.0922,2.1997,2.0628,2.1997,3544875.0
1995-04-03,2.1899,2.1899,2.1215,2.1508,2472213.0
1995-04-04,2.141,2.1508,2.0042,2.0237,2035264.0
1995-04-05,2.0237,2.0237,1.9553,1.9748,3745280.0
1995-04-06,1.9944,2.0237,1.9748,1.9748,2031979.0
1995-04-07,1.9748,2.0042,1.9455,1.9748,1200789.0
1995-04-10,1.9748,2.1117,1.9455,2.0726,2306304.0
1995-04-11,2.0726,2.1019,2.0531,2.0726,1878389.0
1995-04-12,2.0824,2.1264,2.0824,2.1117,3177739.0
1995-04-13,2.1313,2.1313,2.0531,2.0726,602037.0
1995-04-17,2.0531,2.0922,2.0042,2.0042,770411.0
1995-04-18,2.0042,2.0335,1.9455,1.9651,1040629.0
1995-04-19,1.9651,1.9846,1.9455,1.9455,1360128.0
1995-04-20,1.9553,1.9846,1.9455,1.9455,1312491.0
1995-04-21,1.9748,1.9846,1.9748,1.9846,502656.0
1995-04-24,1.9846,2.2486,1.9846,2.229,4398240.0
1995-04-25,2.1997,2.2192,2.141,2.141,983957.0
1995-04-26,2.141,2.2388,2.141,2.2192,2085365.0
1995-04-27,2.2095,2.2486,2.1997,2.229,1733013.0
1995-04-28,2.2192,2.2192,2.1117,2.141,817227.0
1995-05-01,2.1606,2.1606,2.1215,2.1313,820512.0
1995-05-02,2.1606,2.1606,2.1215,2.141,272683.0
1995-05-03,2.1215,2.2095,2.1215,2.1997,1546571.0
1995-05-04,2.2095,2.4246,2.2095,2.3366,6742325.0
1995-05-05,2.3366,2.4148,2.3366,2.3659,1885781.0
1995-05-08,2.3561,2.4343,2.3463,2.405,1213109.0
1995-05-09,2.405,2.405,2.317,2.3366,2055797.0
1995-05-10,2.3072,2.3072,2.2486,2.2584,3379787.0
1995-05-11,2.2779,2.2779,2.2095,2.2095,749877.0
1995-05-12,2.2095,2.3854,2.2095,2.3366,1915349.0
1995-05-15,2.3659,2.4246,2.3463,2.405,1425835.0
1995-05-16,2.3952,2.4148,2.3854,2.405,536331.0
1995-05-17,2.5125,2.6787,2.4832,2.6494,5533323.0
1995-05-18,2.7374,2.8058,2.669,2.7276,2813888.0
1995-05-19,2.6299,2.6983,2.6299,2.6396,1774080.0
1995-05-22,2.6592,2.6787,2.5614,2.6005,607787.0
1995-05-23,2.6103,2.6983,2.5516,2.6983,2675083.0
1995-05-24,2.757,2.8449,2.7472,2.7765,5276245.0
1995-05-25,2.8254,2.8352,2.6885,2.6885,1796256.0
1995-05-26,2.6983,2.7178,2.669,2.669,509227.0
1995-05-30,2.6885,2.7276,2.5516,2.5675,1418443.0
1995-05-31,2.5223,2.5614,2.4539,2.5223,2255381.0
1995-06-01,2.5321,2.5565,2.5028,2.5565,292395.0
1995-06-02,2.5125,2.6201,2.493,2.6005,1369163.0
1995-06-05,2.6103,2.6396,2.6005,2.6299,768768.0
1995-06-06,2.6005,2.6201,2.5712,2.5712,487051.0
1995-06-07,2.6103,2.6299,2.5712,2.5908,560149.0
1995-06-08,2.6201,2.6396,2.6103,2.6103,251328.0
1995-06-09,2.6396,2.669,2.6103,2.6396,177408.0
1995-06-12,2.6396,2.6494,2.6299,2.6299,154411.0
1995-06-13,2.6592,2.669,2.6299,2.6396,285003.0
1995-06-14,2.6299,2.6299,2.6005,2.6005,523189.0
1995-06-15,2.6005,2.669,2.581,2.6103,925643.0
1995-06-16,2.6396,2.6396,2.6103,2.6103,175765.0
1995-06-19,2.6103,2.6494,2.6103,2.6396,1864427.0
1995-06-20,2.6396,2.6592,2.6201,2.6494,4287360.0
1995-06-21,2.6787,2.6787,2.6299,2.6299,1582709.0
1995-06-22,2.6201,2.6494,2.581,2.5908,534688.0
1995-06-23,2.581,2.6103,2.5321,2.5908,2169141.0
1995-06-26,2.6299,2.6983,2.6103,2.6592,1710016.0
1995-06-27,2.6592,2.6787,2.6005,2.6103,758091.0
1995-06-28,2.581,2.5908,2.5614,2.5712,358923.0
1995-06-29,2.5908,2.7765,2.5908,2.7472,882112.0
1995-06-30,2.7374,2.9036,2.7374,2.8058,1806933.0
1995-07-03,2.8938,2.8938,2.8645,2.8938,212725.0
1995-07-05,3.0111,3.0698,2.9916,3.0209,2205280.0
1995-07-06,3.0991,3.1676,2.972,3.0209,1107979.0
1995-07-07,3.0698,3.148,3.0698,3.0991,744128.0
1995-07-10,3.1285,3.1773,3.1285,3.1676,487872.0
1995-07-11,3.1578,3.1578,3.104,3.1089,1273067.0
1995-07-12,3.1187,3.2849,3.1187,3.2653,2828672.0
1995-07-13,3.3142,3.9106,3.3142,3.7639,10247776.0
1995-07-14,3.4902,3.6759,3.3729,3.6271,6320981.0
1995-07-17,3.6173,3.6857,3.6173,3.6466,4528832.0
1995-07-18,3.6759,3.6955,3.5195,3.5293,2629909.0
1995-07-19,3.412,3.5,3.0894,3.5,2351477.0
1995-07-20,3.4804,3.8128,3.4511,3.7933,1821717.0
1995-07-21,3.7346,3.9986,3.6173,3.8812,1379840.0
1995-07-24,3.8715,4.0963,3.8715,4.0181,802443.0
1995-07-25,4.1159,4.243,4.0474,4.2136,5065984.0
1995-07-26,4.1843,4.2625,4.1843,4.2234,2552704.0
1995-07-27,4.2234,4.4287,4.067,4.3505,2496032.0
1995-07-28,4.2723,4.4092,4.1941,4.3701,1667307.0
1995-07-31,4.5656,4.6047,4.3505,4.3798,1921099.0
1995-08-01,4.4189,4.4189,4.1159,4.1208,1020096.0
1995-08-02,4.2039,4.2039,3.9595,3.9595,918251.0
1995-08-03,3.9399,3.979,3.8617,3.8715,1378197.0
1995-08-04,3.891,3.9497,3.6368,3.6368,2884523.0
1995-08-07,3.6759,3.8519,3.6759,3.7737,1553141.0
1995-08-08,3.9497,3.957,3.7737,3.8519,1120299.0
1995-08-09,3.8715,3.8715,3.7737,3.7737,440235.0
1995-08-10,3.8055,3.8055,3.6564,3.6662,246400.0
1995-08-11,3.7346,3.8519,3.7248,3.7248,616000.0
1995-08-14,3.7542,3.8812,3.7248,3.8812,1707552.0
1995-08-15,3.9106,3.9301,3.8128,3.8715,1546571.0
1995-08-16,4.0181,4.1745,3.9497,4.1061,968352.0
1995-08-17,4.0865,4.1648,4.0865,4.0963,1195861.0
1995-08-18,4.1452,4.1452,4.0865,4.0865,36960.0
1995-08-21,4.067,4.0768,3.7444,3.7444,489515.0
1995-08-22,3.7541,3.8128,3.6466,3.8128,1167115.0
1995-08-23,3.8617,3.9692,3.7933,3.8812,974101.0
1995-08-24,3.8812,3.8812,3.77,3.8128,228331.0
1995-08-25,3.8812,3.8812,3.8128,3.8324,1357664.0
1995-08-28,3.8128,3.891,3.7737,3.7737,854187.0
1995-08-29,3.7639,3.8226,3.5586,3.6759,1954773.0
1995-08-30,3.715,3.7737,3.6466,3.6564,757269.0
1995-08-31,3.6759,3.7248,3.6564,3.6857,514976.0
1995-09-01,3.7346,3.8226,3.7346,3.7933,258720.0
1995-09-05,3.8128,4.0377,3.8128,4.0377,559328.0
1995-09-06,4.0768,4.1159,3.9888,4.0474,1126869.0
1995-09-07,4.0474,4.0963,4.0083,4.0377,477195.0
1995-09-08,4.0083,4.0768,3.9888,4.0279,40245.0
1995-09-11,3.9888,4.3016,3.9888,4.2234,618464.0
1995-09-12,4.2821,4.3701,4.067,4.1061,397525.0
1995-09-13,4.0963,4.155,4.0572,4.0572,671851.0
1995-09-14,4.0572,4.0572,3.979,4.0279,179872.0
1995-09-15,3.9692,3.9692,3.803,3.8519,654603.0
1995-09-18,3.803,3.891,3.715,3.7835,1117013.0
1995-09-19,3.7835,3.8812,3.7835,3.8519,5069269.0
1995-09-20,3.9497,3.9692,3.891,3.891,418880.0
1995-09-21,3.8617,3.9203,3.8324,3.8421,992171.0
1995-09-22,3.8324,3.8556,3.4511,3.4609,632427.0
1995-09-25,3.5782,3.6564,3.5488,3.5782,593003.0
1995-09-26,3.715,3.715,3.5977,3.6026,867328.0
1995-09-27,3.5586,3.6075,2.9916,3.3435,1974485.0
1995-09-28,3.3533,3.5,3.3533,3.4315,1023381.0
1995-09-29,3.5977,3.6759,3.4315,3.4315,932213.0
1995-10-02,3.4609,3.5,3.0698,3.1089,514155.0
1995-10-03,3.1187,3.2079,3.1187,3.1676,2758037.0
1995-10-04,3.148,3.2067,3.1382,3.1382,151947.0
1995-10-05,3.1773,3.1969,3.1089,3.1285,254613.0
1995-10-06,3.1871,3.2751,3.1871,3.1871,1471008.0
1995-10-09,3.1871,3.1871,3.1187,3.1187,128128.0
1995-10-10,3.1285,3.1285,2.8938,3.06,560149.0
1995-10-11,3.1187,3.3142,3.1187,3.1871,510048.0
1995-10-12,3.2653,3.324,3.2653,3.324,320320.0
1995-10-13,3.3435,3.3533,3.2849,3.2849,1835680.0
1995-10-16,3.3435,3.3435,3.2067,3.2262,2468107.0
1995-10-17,3.3826,3.5097,3.324,3.5097,840224.0
1995-10-18,3.7541,3.891,3.7444,3.8519,3057003.0
1995-10-19,3.7835,3.8421,3.5488,3.5488,1162187.0
1995-10-20,3.5586,3.6857,3.5391,3.6271,1321525.0
1995-10-23,3.6271,3.803,3.6271,3.803,1355200.0
1995-10-24,3.8324,4.067,3.8128,3.9301,982315.0
1995-10-25,3.9692,3.9692,3.8226,3.8519,404096.0
1995-10-26,3.7933,3.7933,3.6955,3.7541,320320.0
1995-10-27,3.6759,3.7639,3.6759,3.715,327712.0
1995-10-30,3.7542,3.8226,3.7346,3.8226,586432.0
1995-10-31,3.8324,3.8812,3.7933,3.8812,1335488.0
1995-11-01,3.8812,3.8812,3.7835,3.8617,290752.0
1995-11-02,3.7933,3.8519,3.7835,3.8324,1509611.0
1995-11-03,3.8128,3.9008,3.7835,3.8519,941248.0
1995-11-06,3.8324,3.8812,3.8324,3.8812,1842251.0
1995-11-07,3.7444,3.7933,3.6368,3.6368,463232.0
1995-11-08,3.7444,3.7444,3.6368,3.6368,157696.0
1995-11-09,3.7542,3.8128,3.7248,3.7248,372064.0
1995-11-10,3.7346,3.7737,3.715,3.715,41888.0
1995-11-13,3.6662,3.6662,3.5293,3.5293,304715.0
1995-11-14,3.4022,3.4511,3.3631,3.412,1048843.0
1995-11-15,3.4218,3.4413,3.3826,3.3826,69813.0
1995-11-16,3.4022,3.5977,3.4022,3.5391,284181.0
1995-11-17,3.5195,3.6368,3.5195,3.5586,722773.0
1995-11-20,3.5684,3.6564,3.412,3.4645,729344.0
1995-11-21,3.412,3.4902,3.2653,3.3533,436128.0
1995-11-22,3.3729,3.3729,3.3338,3.3631,117451.0
1995-11-24,3.3729,3.401,3.3729,3.401,119915.0
1995-11-27,3.4706,3.4706,3.3729,3.4022,1149045.0
1995-11-28,3.3631,3.3631,3.324,3.3533,214368.0
1995-11-29,3.4022,3.4902,3.4022,3.4022,608608.0
1995-11-30,3.4511,3.4511,3.2849,3.2947,283360.0
1995-12-01,3.3093,3.324,3.2849,3.2849,720309.0
1995-12-04,3.2287,3.2287,2.9916,3.0698,2087008.0
1995-12-05,3.1676,3.2103,3.1285,3.1969,1574496.0
1995-12-06,3.3435,3.4609,3.1285,3.148,3058645.0
1995-12-07,3.1285,3.1285,2.9329,3.0111,596288.0
1995-12-08,3.0698,3.148,3.0502,3.0698,1390517.0
1995-12-11,3.1187,3.1382,3.0502,3.1285,1672235.0
1995-12-12,3.1578,3.1578,3.0698,3.1089,680064.0
1995-12-13,3.1187,3.1639,3.0502,3.0502,779445.0
1995-12-14,3.0698,3.1089,3.0405,3.0796,41888.0
1995-12-15,3.1089,3.1089,2.972,3.0502,2289056.0
1995-12-18,3.0698,3.0698,2.6787,2.7178,1112085.0
1995-12-19,2.6787,2.7472,2.669,2.7276,3483275.0
1995-12-20,2.8156,2.8156,2.7276,2.757,1729728.0
1995-12-21,2.7374,2.757,2.6787,2.6983,1361771.0
1995-12-22,2.7337,2.8058,2.6885,2.7276,930571.0
1995-12-26,2.6885,2.757,2.6885,2.6885,467339.0
1995-12-27,2.7374,2.7374,2.6787,2.7032,506763.0
1995-12-28,2.6714,2.6983,2.581,2.6201,973280.0
1995-12-29,2.6005,2.6396,2.6005,2.6005,172480.0
1996-01-02,2.6396,2.6885,2.6201,2.6885,2356405.0
1996-01-03,2.7961,2.8058,2.6787,2.7472,9935669.0
1996-01-04,2.8352,2.9623,2.8352,2.9232,2777749.0
1996-01-05,3.1285,3.2849,3.0991,3.2262,2735040.0
1996-01-08,3.5195,3.5195,3.3338,3.3338,1065269.0
1996-01-09,3.3631,3.3826,3.0894,3.0894,2120683.0
1996-01-10,3.1089,3.1089,2.9427,3.0111,896896.0
1996-01-11,3.2213,3.2556,3.1773,3.2262,1434048.0
1996-01-12,3.2653,3.324,3.1871,3.2849,616000.0
1996-01-15,3.3338,3.3631,3.1773,3.1773,601216.0
1996-01-16,3.2849,3.2849,3.1578,3.1969,763840.0
1996-01-17,3.148,3.324,3.0894,3.2458,425451.0
1996-01-18,3.2653,3.2653,3.1578,3.2067,901824.0
1996-01-19,3.2556,3.4413,3.2067,3.4413,785195.0
1996-01-22,3.3826,3.3826,3.2604,3.3044,568363.0
1996-01-23,3.3093,3.3631,3.3044,3.3044,635712.0
1996-01-24,3.3533,3.412,3.3533,3.4022,582325.0
1996-01-25,3.4315,3.5977,3.3435,3.3435,1142475.0
1996-01-26,3.4413,3.4804,3.3924,3.4315,652139.0
1996-01-29,3.5391,3.5586,3.4804,3.5097,1372448.0
1996-01-30,3.5,3.5391,3.4413,3.4609,977387.0
1996-01-31,3.4804,3.5,3.4315,3.5,314571.0
1996-02-01,3.4804,3.6271,3.3631,3.6173,1300992.0
1996-02-02,3.5391,3.6173,3.5391,3.6173,631605.0
1996-02-05,3.6466,3.6955,3.5782,3.6368,4204405.0
1996-02-06,3.5586,3.6564,3.5586,3.5586,1171221.0
1996-02-07,3.5586,3.6173,3.4413,3.4609,658709.0
1996-02-08,3.7737,3.7737,3.5977,3.6759,1921920.0
1996-02-09,3.7346,3.7346,3.6368,3.6368,276789.0
1996-02-12,3.5977,3.7835,3.5977,3.7444,2746539.0
1996-02-13,3.6368,3.715,3.5977,3.5977,536331.0
1996-02-14,3.6173,3.6295,3.5195,3.5977,1589280.0
1996-02-15,3.5195,3.5293,3.3484,3.4218,1673056.0
1996-02-16,3.5195,3.5782,3.4902,3.5,1669771.0
1996-02-20,3.9106,4.0865,3.9008,3.9497,2526421.0
1996-02-21,4.0474,4.1452,4.0279,4.1257,2139573.0
1996-02-22,4.1257,4.1452,4.0474,4.0768,1722336.0
1996-02-23,4.0474,4.1061,3.9888,4.0474,1495648.0
1996-02-26,4.0474,4.0572,4.0083,4.0279,498549.0
1996-02-27,3.9692,3.9692,3.7737,3.7933,2288235.0
1996-02-28,3.7248,3.8324,3.5977,3.6173,3678752.0
1996-02-29,3.7346,3.8324,3.7346,3.7933,2723541.0
1996-03-01,3.8324,3.891,3.5977,3.715,2565845.0
1996-03-04,3.7248,3.7346,3.4511,3.5977,3716533.0
1996-03-05,3.5391,3.6368,3.368,3.5684,6773536.0
1996-03-06,3.3924,3.4609,3.148,3.2262,7479061.0
1996-03-07,3.1285,3.1871,3.0698,3.1285,27365184.0
1996-03-08,3.0894,3.1285,3.0698,3.1089,4859008.0
1996-03-11,3.1089,3.2067,3.0894,3.1969,3323936.0
1996-03-12,3.1871,3.2067,3.1285,3.1871,1909600.0
1996-03-13,3.2262,3.2458,3.1871,3.2067,3137493.0
1996-03-14,3.2067,3.2164,3.1285,3.1431,2566667.0
1996-03-15,3.148,3.2067,3.1285,3.1773,1898923.0
1996-03-18,3.2067,3.3435,3.2067,3.3435,2278379.0
1996-03-19,3.3631,3.4218,3.2458,3.3044,1319883.0
1996-03-20,3.2849,3.3044,3.1871,3.2653,1066912.0
1996-03-21,3.236,3.2751,3.2067,3.2751,978208.0
1996-03-22,3.2947,3.324,3.2067,3.3044,2798283.0
1996-03-25,3.1285,3.2458,3.0894,3.2458,871435.0
1996-03-26,3.2262,3.2653,3.2067,3.2556,637355.0
1996-03-27,3.2262,3.2849,3.1431,3.1431,2526421.0
1996-03-28,3.2164,3.2458,3.148,3.1871,3167883.0
1996-03-29,3.2262,3.2262,3.1285,3.1578,1289493.0
1996-04-01,3.1969,3.2067,3.148,3.1969,90347.0
1996-04-02,3.2067,3.2849,3.1676,3.2849,2327659.0
1996-04-03,3.3435,3.4022,3.2947,3.3924,1387232.0
1996-04-04,3.4218,3.4218,3.3631,3.412,524011.0
1996-04-08,3.3338,3.4218,3.3044,3.3631,1232821.0
1996-04-09,3.4315,3.4413,3.3729,3.3778,995456.0
1996-04-10,3.3277,3.4218,3.3277,3.4022,1255819.0
1996-04-11,3.3826,3.4022,3.3435,3.4022,2549419.0
1996-04-12,3.4022,3.4022,3.3631,3.3631,1232821.0
1996-04-15,3.3826,3.4022,3.3631,3.3949,835296.0
1996-04-16,3.4511,3.5195,3.4022,3.4804,934677.0
1996-04-17,3.4609,3.5293,3.4609,3.4804,390955.0
1996-04-18,3.4804,3.5782,3.4413,3.5782,311285.0
1996-04-19,3.5391,3.5391,3.5195,3.5195,96096.0
1996-04-22,3.5293,3.5391,3.4804,3.5097,183979.0
1996-04-23,3.4609,3.5977,3.4609,3.5488,536331.0
1996-04-24,3.5684,3.5684,3.4902,3.4902,445163.0
1996-04-25,3.5097,3.5586,3.4902,3.5586,226688.0
1996-04-26,3.5,3.5586,3.5,3.5195,38603.0
1996-04-29,3.4804,3.5195,3.4804,3.4804,90347.0
1996-04-30,3.4609,3.5,3.4413,3.4609,198763.0
1996-05-01,3.4413,3.4804,3.4218,3.4609,593824.0
1996-05-02,3.4218,3.4315,3.3631,3.4218,981493.0
1996-05-03,3.3631,3.4315,3.3631,3.412,662816.0
1996-05-06,3.4413,3.4706,3.412,3.4706,1129333.0
1996-05-07,3.4609,3.5782,3.4511,3.5586,8932000.0
1996-05-08,3.5782,3.5782,3.5,3.5782,1560533.0
1996-05-09,3.5391,3.5391,3.5195,3.5195,190549.0
1996-05-10,3.5195,3.5195,3.4609,3.4609,303072.0
1996-05-13,3.4609,3.5097,3.4609,3.5,575755.0
1996-05-14,3.5293,3.5782,3.5,3.5195,167552.0
1996-05-15,3.5586,3.7541,3.5586,3.715,662816.0
1996-05-16,3.715,3.715,3.6759,3.6955,41888.0
1996-05-17,3.6368,3.7444,3.6368,3.715,468981.0
1996-05-20,3.7004,3.715,3.6662,3.715,1264853.0
1996-05-21,3.6759,3.6955,3.6466,3.6662,130592.0
1996-05-22,3.6368,3.6564,3.6368,3.6466,293216.0
1996-05-23,3.5391,3.5488,3.3631,3.4315,1435691.0
1996-05-24,3.5782,3.5782,3.5391,3.5782,676779.0
1996-05-28,3.6173,3.6173,3.5586,3.5635,439413.0
1996-05-29,3.5977,3.5977,3.5586,3.5684,367957.0
1996-05-30,3.5684,3.6564,3.5684,3.6368,298144.0
1996-05-31,3.6564,3.715,3.6075,3.6955,705525.0
1996-06-03,3.715,3.7541,3.6955,3.7346,294859.0
1996-06-04,3.8324,3.9106,3.8324,3.8324,555221.0
1996-06-05,3.8519,3.891,3.8324,3.8421,849259.0
1996-06-06,3.8715,3.8812,3.8128,3.8128,1216395.0
1996-06-07,3.7346,3.7835,3.715,3.7444,434485.0
1996-06-10,3.7737,3.7933,3.7346,3.7737,1078411.0
1996-06-11,3.715,3.715,3.5391,3.5488,1209003.0
1996-06-12,3.6466,3.6955,3.6173,3.6759,1779829.0
1996-06-13,3.6955,3.7346,3.6857,3.6955,1005312.0
1996-06-14,3.6466,3.6759,3.6368,3.6466,751520.0
1996-06-17,3.6075,3.6173,3.5244,3.5391,1809397.0
1996-06-18,3.5488,3.5684,3.2849,3.3924,3612224.0
1996-06-19,3.3924,3.412,3.3044,3.3435,2730933.0
1996-06-20,3.3142,3.4413,3.3142,3.4022,2284128.0
1996-06-21,3.4804,3.4804,3.2751,3.3631,1861141.0
1996-06-24,3.2849,3.3435,3.2849,3.3044,2269344.0
1996-06-25,3.2458,3.3044,3.1969,3.2067,1970379.0
1996-06-26,3.2164,3.2164,3.1089,3.1187,3550624.0
1996-06-27,3.0698,3.236,3.0698,3.2067,1520288.0
1996-06-28,3.2556,3.2653,3.1871,3.2067,382741.0
1996-07-01,3.2849,3.3044,3.2458,3.2947,508405.0
1996-07-02,3.2604,3.2947,3.2213,3.2458,1897280.0
1996-07-03,3.1089,3.1517,3.0894,3.1285,1777365.0
1996-07-05,3.148,3.2262,3.148,3.2262,1161365.0
1996-07-08,3.2067,3.2653,3.2067,3.2458,1475936.0
1996-07-09,3.3044,3.3729,3.2849,3.3435,2441003.0
1996-07-10,3.2849,3.324,3.1187,3.236,3474240.0
1996-07-11,3.148,3.1871,3.0894,3.148,2605269.0
1996-07-12,3.1089,3.1333,3.0111,3.0698,2079616.0
1996-07-15,3.0111,3.0111,2.8205,2.8743,1377376.0
1996-07-16,2.8645,2.972,2.8547,2.972,1049664.0
1996-07-17,3.0796,3.1285,3.0209,3.06,1435691.0
1996-07-18,3.0502,3.0502,2.9427,2.9818,713739.0
1996-07-19,3.0209,3.0698,3.0209,3.0698,700597.0
1996-07-22,3.0796,3.0796,2.9525,2.9916,912501.0
1996-07-23,3.0307,3.0405,2.9525,2.972,578219.0
1996-07-24,2.8938,2.9329,2.8645,2.8743,451733.0
1996-07-25,2.8938,2.972,2.6983,2.7178,4160875.0
1996-07-26,2.7374,2.9134,2.6787,2.8352,3530091.0
1996-07-29,2.8938,2.9134,2.8743,2.8743,1164651.0
1996-07-30,2.8938,2.8938,2.8401,2.8938,758912.0
1996-07-31,2.8938,2.9525,2.8547,2.9525,1898101.0
1996-08-01,2.9671,3.0698,2.9329,3.0405,1168757.0
1996-08-02,3.0502,3.148,3.0502,3.1285,292395.0
1996-08-05,3.1285,3.1676,3.1285,3.148,265291.0
1996-08-06,3.0698,3.0894,3.0502,3.0502,80491.0
1996-08-07,3.0796,3.1871,3.0796,3.1773,244757.0
1996-08-08,3.1676,3.2262,3.148,3.2262,1087445.0
1996-08-09,3.1382,3.1773,3.1187,3.148,407381.0
1996-08-12,3.0698,3.0698,2.9574,2.9818,114987.0
1996-08-13,2.972,2.972,2.9134,2.9623,174123.0
1996-08-14,2.9134,2.9623,2.9036,2.9525,103488.0
1996-08-15,2.9036,2.9329,2.8449,2.9134,490336.0
1996-08-16,2.884,2.9134,2.8645,2.8743,436128.0
1996-08-19,2.9134,2.972,2.9134,2.9574,248043.0
1996-08-20,2.9916,3.0307,2.9329,2.9916,928107.0
1996-08-21,2.9623,2.9916,2.9329,2.9427,797515.0
1996-08-22,2.9525,3.0111,2.9525,2.9916,459125.0
1996-08-23,2.9525,2.9916,2.9525,2.9916,14784.0
1996-08-26,3.0111,3.0111,2.972,3.0111,115808.0
1996-08-27,3.0111,3.0111,2.9525,3.0014,475552.0
1996-08-28,3.0111,3.0111,2.972,3.0111,386848.0
1996-08-29,3.0502,3.0502,3.0111,3.0111,176587.0
1996-08-30,2.972,3.0209,2.972,3.0111,244757.0
1996-09-03,2.8743,2.884,2.8352,2.8743,926464.0
1996-09-04,2.8058,2.8156,2.7961,2.8156,556864.0
1996-09-05,2.6592,2.6983,2.5712,2.6005,1111264.0
1996-09-06,2.6592,2.757,2.6592,2.7081,556864.0
1996-09-09,2.7961,2.7961,2.7374,2.7765,114165.0
1996-09-10,2.8254,2.9134,2.8156,2.8938,809013.0
1996-09-11,2.7765,2.8254,2.6885,2.7374,1929312.0
1996-09-12,2.7374,2.7374,2.6787,2.6983,230795.0
1996-09-13,2.7178,2.7178,2.6396,2.669,836117.0
1996-09-16,2.6983,2.7374,2.6787,2.7178,2004053.0
1996-09-17,2.7765,2.8058,2.7374,2.7765,1828288.0
1996-09-18,2.8352,2.8645,2.8156,2.8645,254613.0
1996-09-19,2.8645,2.8645,2.8352,2.8352,95275.0
1996-09-20,2.8743,2.972,2.8743,2.972,772053.0
1996-09-23,2.9134,2.9134,2.8645,2.8938,318677.0
1996-09-24,2.9036,2.972,2.884,2.972,874720.0
1996-09-25,2.972,3.0111,2.972,3.0111,749056.0
1996-09-26,3.0502,3.1089,3.0502,3.1089,448448.0
1996-09-27,3.1089,3.1089,2.972,2.972,793408.0
1996-09-30,2.9818,3.0111,2.9427,2.9769,669387.0
