date,open,high,low,close,volume
2024-09-12,4.1655,4.1768,4.0622,4.1432,21848.29962047
2024-09-13,4.1466,4.2566,4.1224,4.208,34710.18308354
2024-09-14,4.2009,4.2476,4.15,4.2376,18462.76173905
2024-09-15,4.2372,4.2532,4.0268,4.0601,22691.80674623
2024-09-16,4.0593,4.0593,3.9192,3.9708,26352.11651798
2024-09-17,3.9676,4.237,3.9427,4.1865,29225.19673648
2024-09-18,4.1575,4.3714,4.102,4.3714,62656.53957825
2024-09-19,4.3784,4.6128,4.3747,4.5105,68140.75213973
2024-09-20,4.5184,4.5858,4.4415,4.5202,44848.39941104
2024-09-21,4.5203,4.7284,4.4676,4.7217,31779.64139665
2024-09-22,4.7255,4.7258,4.4934,4.5985,41783.28181679
2024-09-23,4.5633,4.7024,4.5176,4.5822,43395.8271706
2024-09-24,4.5835,4.8467,4.498,4.8177,59949.63252054
2024-09-25,4.8223,4.968,4.745,4.779,53446.07663753
2024-09-26,4.7862,5.0921,4.6976,5.0087,65427.62228763
2024-09-27,5.0077,5.19,5.0077,5.1437,45531.78840141
2024-09-28,5.1457,5.1596,4.9394,5.018,33416.1761008
2024-09-29,5.019,5.1279,4.9536,5.0264,27824.43174573
2024-09-30,5.0286,5.0505,4.6847,4.7229,60343.0083596
2024-10-01,4.7345,4.9031,4.2435,4.44,121222.14846395
2024-10-02,4.4351,4.5847,4.3489,4.4273,31227.49668852
2024-10-03,4.4339,4.4953,4.2286,4.3784,41158.88721255
2024-10-04,4.3841,4.6211,4.3613,4.6167,60420.89556229
2024-10-05,4.6311,4.7099,4.5709,4.6274,16323.7978002
2024-10-06,4.6303,4.649,4.5561,4.6474,37014.74858131
2024-10-07,4.6496,4.7903,4.4134,4.4134,56073.01156652
2024-10-08,4.4237,4.4658,4.3123,4.3454,45666.29360684
2024-10-09,4.3511,4.3862,4.1648,4.2278,55198.9900286
2024-10-10,4.2405,4.2832,4.0462,4.1288,36370.99865876
2024-10-11,4.1484,4.2984,4.1082,4.2657,19155.81303286
2024-10-12,4.2807,4.3808,4.2777,4.349,74258.29333701
2024-10-13,4.3486,4.3611,4.2257,4.3402,13179.02365464
2024-10-14,4.3481,4.5306,4.2974,4.5094,87002.05307808
2024-10-15,4.5076,4.5809,4.37,4.4832,27250.45791664
2024-10-16,4.4859,4.5084,4.3895,4.4361,23768.95844631
2024-10-17,4.4481,4.4607,4.24,4.2978,34945.65625175
2024-10-18,4.3056,4.393,4.2852,4.3491,71232.61927342
2024-10-19,4.3542,4.4862,4.3531,4.4655,55109.41095468
2024-10-20,4.4733,4.69,4.3981,4.6899,40566.86269083
2024-10-21,4.69,5.1151,4.686,4.8985,137092.5606476
2024-10-22,4.9039,4.9565,4.7045,4.7843,36042.27422851
2024-10-23,4.7865,4.8499,4.56,4.618,39888.63900945
2024-10-24,4.6148,4.85,4.5706,4.847,32568.50512153
2024-10-25,4.85,4.8553,4.258,4.4053,48014.51661978
2024-10-26,4.3959,4.5005,4.3017,4.3716,21835.83928729
2024-10-27,4.3655,4.4617,4.3163,4.4455,13550.68924851
2024-10-28,4.4532,4.5016,4.2685,4.4562,23320.59088162
2024-10-29,4.4455,4.6008,4.4323,4.5301,65351.7204035
2024-10-30,4.5229,4.5257,4.3737,4.4521,56035.6552515
2024-10-31,4.4663,4.4663,4.1846,4.241,32068.69938546
2024-11-01,4.2325,4.3094,4.1092,4.1646,72313.32033187
