date,open,high,low,close,volume
2024-09-06,21.37,22.18,20.49,21.15,167315.57405341
2024-09-07,21.15,21.98,21.07,21.79,19056.64534648
2024-09-08,21.79,23.49,21.72,23.21,71669.92635648
2024-09-09,23.23,24.39,23.16,23.86,118559.16696731
2024-09-10,23.87,24.58,23.57,24.35,35451.51016601
2024-09-11,24.36,24.5,22.87,23.31,55531.36927664
2024-09-12,23.28,24.09,23.28,24.06,46041.65787104
2024-09-13,24.09,25.09,23.68,24.93,80183.99752127
2024-09-14,24.93,25.66,24.65,25.33,47317.28367954
2024-09-15,25.33,25.36,23.64,23.83,36619.41882768
2024-09-16,23.8,24.22,23.22,23.51,35879.09603914
2024-09-17,23.52,24.47,23.16,23.77,31123.56303099
2024-09-18,23.75,24.72,22.81,24.72,56737.46412048
2024-09-19,24.72,28.36,24.72,26.66,259529.62356943
2024-09-20,26.7,28.78,26.5,27.67,131610.75103577
2024-09-21,27.67,28.1,27.04,27.81,15092.49813526
2024-09-22,27.73,27.78,26.48,27.31,47035.31185255
2024-09-23,27.31,28.15,26.58,27.41,50669.56606987
2024-09-24,27.4,28.52,26.86,28.5,46599.0063239
2024-09-25,28.49,28.5,27.18,27.3,69181.29260856
2024-09-26,27.26,29.4,26.96,29.14,131297.86927223
2024-09-27,29.15,30.85,28.97,30.46,141439.09262768
2024-09-28,30.47,30.74,29.07,29.35,38188.63595066
2024-09-29,29.32,29.44,28.28,29.1,30453.02399332
2024-09-30,29.04,29.12,27.59,27.74,36845.10366361
2024-10-01,27.74,28.89,25.01,25.82,105107.23711396
2024-10-02,25.76,26.75,25.06,25.41,72767.132276
2024-10-03,25.34,25.64,23.91,24.66,64299.82459261
2024-10-04,24.57,26.51,24.44,26.27,46071.2067737
2024-10-05,26.28,26.42,25.11,25.71,33628.52159815
2024-10-06,25.66,27.07,25.47,26.94,42947.40463662
2024-10-07,26.93,27.7,26.53,26.54,65422.69347091
2024-10-08,26.58,27.19,26.06,26.33,30565.12245373
2024-10-09,26.32,26.65,25.69,25.77,42865.99631416
2024-10-10,25.77,26.31,25.06,25.88,29452.23967159
2024-10-11,25.83,27.56,25.75,27.44,80638.11746701
2024-10-12,27.5,29.34,27.42,28.62,77859.03810949
2024-10-13,28.62,29.31,28.29,29.05,70544.94284478
2024-10-14,29.01,29.82,28.66,29.07,94622.51228603
2024-10-15,29.07,29.59,27.55,28.2,80052.70206098
2024-10-16,28.19,28.2,27.28,28.03,37832.82126251
2024-10-17,28.03,28.23,26.84,27.27,23905.1748447
2024-10-18,27.27,28.14,27.1,28.09,34369.25538338
2024-10-19,28.1,28.44,27.75,28.11,10364.70568163
2024-10-20,28.12,29.0,27.79,28.96,24637.81285231
2024-10-21,28.98,29.29,27.38,27.73,76851.36163318
2024-10-22,27.73,28.19,27.25,27.62,56023.44440244
2024-10-23,27.64,27.64,25.88,26.74,51743.153408
2024-10-24,26.6,27.21,26.39,26.83,31842.99782512
2024-10-25,26.8,26.8,24.01,24.93,168233.35081626
2024-10-26,24.9,25.62,24.55,25.36,44593.99721557
2024-10-27,25.37,25.88,25.17,25.71,43030.17033292
2024-10-28,25.72,26.5,25.05,26.29,77800.75589069
2024-10-29,26.25,27.14,26.18,26.84,55671.99326035
2024-10-30,26.85,26.86,25.98,26.18,41394.54643617
2024-10-31,26.18,26.21,24.65,25.02,59204.57648846
2024-11-01,25.0,25.67,24.41,24.78,37213.93207978
2024-11-02,24.82,24.99,23.96,24.09,26967.86490489
2024-11-03,24.15,24.18,22.61,23.52,70427.72964144
2024-11-04,23.51,23.89,22.35,22.71,39457.46771678
2024-11-05,22.71,24.47,22.61,24.0,38890.84093889
2024-11-06,24.0,27.32,24.0,27.03,138537.10785244
2024-11-07,27.04,28.0,26.58,27.39,98011.19938615
2024-11-08,27.43,28.77,27.15,28.77,72722.04301288
2024-11-09,28.78,30.47,28.54,30.41,97787.10612565
2024-11-10,30.4,33.32,29.73,31.93,220020.21238596
2024-11-11,31.93,35.82,30.75,35.77,241067.64941058
2024-11-12,35.75,37.69,32.72,33.98,279711.61092773
2024-11-13,34.0,35.09,31.25,33.09,237901.71544605
2024-11-14,33.1,34.69,30.72,31.22,104673.70384921
2024-11-15,31.19,33.31,30.63,33.14,92070.49776156
2024-11-16,33.14,35.71,32.84,35.15,129939.38774206
2024-11-17,35.19,37.24,33.14,34.72,159089.7124759
2024-11-18,34.73,36.16,34.1,35.48,198449.07729354
2024-11-19,35.48,35.62,33.57,34.21,110820.35161883
2024-11-20,34.24,35.76,32.8,33.61,243425.97685069
2024-11-21,33.62,36.22,32.38,35.81,237872.09185441
2024-11-22,35.85,43.56,35.23,43.2,444992.56636951
2024-11-23,43.26,45.32,40.73,41.49,363309.3064815
2024-11-24,41.43,43.16,38.33,42.1,211349.72205161
2024-11-25,42.12,47.99,40.11,41.31,284840.01607906
2024-11-26,41.27,43.3,38.5,42.67,219045.93045807
2024-11-27,42.75,44.42,41.96,43.83,181651.78940383
2024-11-28,43.83,44.24,41.55,42.8,108642.49042543
2024-11-29,42.8,45.0,42.58,44.86,126304.81190773
2024-11-30,44.86,46.23,43.71,44.85,80573.57210478
2024-12-01,44.84,45.77,43.69,45.13,135698.45363388
2024-12-02,45.11,52.52,45.03,52.33,399865.72441843
2024-12-03,52.3,53.9,47.88,50.93,309177.89448634
2024-12-04,50.96,55.79,50.92,52.88,296606.75691484
2024-12-05,52.85,53.61,49.16,50.39,215920.77169351
2024-12-06,50.37,53.55,49.6,52.63,112122.19654494
2024-12-07,52.51,53.07,51.2,51.65,60039.30877516
2024-12-08,51.65,54.4,50.42,54.1,129861.54116461
2024-12-09,54.02,54.22,40.7,45.22,416113.07460667
2024-12-10,45.01,46.45,41.34,44.63,208640.07676706
2024-12-11,44.63,48.46,42.9,48.46,129266.66401608
2024-12-12,48.47,55.37,48.24,53.14,327195.21939487
2024-12-13,53.16,53.97,50.91,52.76,131078.6662061
2024-12-14,52.77,53.8,49.4,49.83,149582.90985946
2024-12-15,49.77,51.36,48.12,50.73,124233.73481647
2024-12-16,50.74,51.96,48.35,48.97,197816.28030639
2024-12-17,48.98,50.79,47.59,47.89,136792.67203466
2024-12-18,47.9,48.19,42.66,42.82,208727.18070206
2024-12-19,42.76,43.53,37.41,38.79,246541.39974542
2024-12-20,38.81,40.33,33.56,39.84,185421.30233612
2024-12-21,39.81,42.32,36.94,37.38,132580.57205851
2024-12-22,37.29,38.48,35.53,36.51,60697.64051255
2024-12-23,36.52,39.66,35.56,39.04,128674.07643826
2024-12-24,39.05,41.99,37.69,41.19,84490.53964119
2024-12-25,41.21,41.8,39.81,40.22,38039.01015521
2024-12-26,40.27,40.69,36.93,37.28,116004.10409646
2024-12-27,37.29,38.97,36.28,36.5,36584.39581638
2024-12-28,36.57,38.08,36.27,37.68,34757.49839976
2024-12-29,37.67,37.68,35.49,35.77,27316.77293439
2024-12-30,35.75,37.11,34.82,35.92,67363.16664892
2024-12-31,35.91,37.21,34.94,35.55,40518.41085742
2025-01-01,35.66,37.92,34.86,37.66,82603.60545887
2025-01-02,37.81,40.55,37.78,39.24,147011.63962026
2025-01-03,39.25,42.14,38.91,41.89,233438.7865383
2025-01-04,41.91,42.88,40.89,42.65,124910.48239919
2025-01-05,42.66,43.16,41.22,43.09,88227.52563162
2025-01-06,43.11,45.2,42.07,44.08,188940.58187535
2025-01-07,44.07,44.57,39.17,39.17,147288.51500861
2025-01-08,39.17,39.88,36.17,37.41,110546.14887239
2025-01-09,37.41,37.88,35.52,36.18,51529.58893782
2025-01-10,36.21,37.88,35.95,36.69,55082.43786717
2025-01-11,36.71,37.73,36.04,37.11,31489.92242062
2025-01-12,37.11,37.58,36.09,36.56,12601.33293233
2025-01-13,36.53,37.3,32.73,35.3,111640.53279047
2025-01-14,35.3,36.69,35.01,36.52,32212.84997748
2025-01-15,36.53,40.0,36.19,39.85,128063.28757772
2025-01-16,39.94,40.5,38.35,40.04,98943.77561505
2025-01-17,40.08,41.81,40.08,41.37,107706.51186827
2025-01-18,41.37,41.67,38.29,39.22,99488.70806424
2025-01-19,39.18,40.5,35.0,35.64,247862.70181069
2025-01-20,35.62,40.05,34.5,35.96,229836.16447603
2025-01-21,35.93,37.57,34.46,36.98,225181.29820267
2025-01-22,36.95,37.75,36.54,36.77,57711.54361926
2025-01-23,36.77,36.93,34.67,35.56,73487.71681404
2025-01-24,35.58,36.78,34.57,35.34,97905.78969394
2025-01-25,35.25,37.24,34.94,36.59,73430.16239775
2025-01-26,36.61,38.16,35.65,35.72,101467.29445173
2025-01-27,35.73,36.0,32.86,34.21,150581.70761375
2025-01-28,34.21,34.5,31.83,32.06,72621.36680951
2025-01-29,32.08,33.83,31.9,32.79,62629.36964456
2025-01-30,32.83,34.66,32.47,34.29,55250.26286366
2025-01-31,34.33,36.16,33.83,34.42,51064.10786388
