date,open,high,low,close,volume
1972-06-01,1.217,1.217,1.217,1.217,0.0
1972-06-02,1.2117,1.2117,1.2117,1.2117,0.0
1972-06-05,1.1879,1.1879,1.1879,1.1879,0.0
1972-06-06,1.1242,1.1242,1.1242,1.1242,0.0
1972-06-07,1.111,1.111,1.111,1.111,0.0
1972-06-08,1.1375,1.1375,1.1375,1.1375,0.0
1972-06-09,1.1295,1.1295,1.1295,1.1295,0.0
1972-06-12,1.1481,1.1481,1.1481,1.1481,0.0
1972-06-13,1.1481,1.1481,1.1481,1.1481,0.0
1972-06-14,1.1348,1.1348,1.1348,1.1348,0.0
1972-06-15,1.1216,1.1216,1.1216,1.1216,0.0
1972-06-16,1.1189,1.1189,1.1189,1.1189,0.0
1972-06-19,1.1083,1.1083,1.1083,1.1083,0.0
1972-06-20,1.111,1.111,1.111,1.111,0.0
1972-06-21,1.1348,1.1348,1.1348,1.1348,0.0
1972-06-22,1.156,1.156,1.156,1.156,0.0
1972-06-23,1.0977,1.0977,1.0977,1.0977,0.0
1972-06-26,1.0659,1.0659,1.0659,1.0659,0.0
1972-06-27,1.111,1.111,1.111,1.111,0.0
1972-06-28,1.1216,1.1216,1.1216,1.1216,0.0
1972-06-29,1.1481,1.1481,1.1481,1.1481,0.0
1972-06-30,1.1826,1.1826,1.1826,1.1826,0.0
1972-07-03,1.2276,1.2276,1.2276,1.2276,0.0
1972-07-05,1.2727,1.2727,1.2727,1.2727,0.0
1972-07-06,1.2727,1.2727,1.2727,1.2727,0.0
1972-07-07,1.2515,1.2515,1.2515,1.2515,0.0
1972-07-10,1.2409,1.2409,1.2409,1.2409,0.0
1972-07-11,1.2435,1.2435,1.2435,1.2435,0.0
1972-07-12,1.2409,1.2409,1.2409,1.2409,0.0
1972-07-13,1.1905,1.1905,1.1905,1.1905,0.0
1972-07-14,1.1985,1.1985,1.1985,1.1985,0.0
1972-07-17,1.1879,1.1879,1.1879,1.1879,0.0
1972-07-18,1.1985,1.1985,1.1985,1.1985,0.0
1972-07-19,1.1985,1.1985,1.1985,1.1985,0.0
1972-07-20,1.1375,1.1375,1.1375,1.1375,0.0
1972-07-21,1.1613,1.1613,1.1613,1.1613,0.0
1972-07-24,1.1826,1.1826,1.1826,1.1826,0.0
1972-07-25,1.1719,1.1719,1.1719,1.1719,0.0
1972-07-26,1.1719,1.1719,1.1719,1.1719,0.0
1972-07-27,1.1693,1.1693,1.1693,1.1693,0.0
1972-07-28,1.1746,1.1746,1.1746,1.1746,0.0
1972-07-31,1.1719,1.1719,1.1719,1.1719,0.0
1972-08-01,1.2011,1.2011,1.2011,1.2011,0.0
1972-08-02,1.278,1.278,1.278,1.278,0.0
1972-08-03,1.2992,1.2992,1.2992,1.2992,0.0
1972-08-04,1.3019,1.3019,1.3019,1.3019,0.0
1972-08-07,1.2992,1.2992,1.2992,1.2992,0.0
1972-08-08,1.2807,1.2807,1.2807,1.2807,0.0
1972-08-09,1.2807,1.2807,1.2807,1.2807,0.0
1972-08-10,1.3178,1.3178,1.3178,1.3178,0.0
1972-08-11,1.331,1.331,1.331,1.331,0.0
1972-08-14,1.3204,1.3204,1.3204,1.3204,0.0
1972-08-15,1.3072,1.3072,1.3072,1.3072,0.0
1972-08-16,1.2992,1.2992,1.2992,1.2992,0.0
1972-08-17,1.2727,1.2727,1.2727,1.2727,0.0
1972-08-18,1.278,1.278,1.278,1.278,0.0
1972-08-21,1.2727,1.2727,1.2727,1.2727,0.0
1972-08-22,1.2541,1.2541,1.2541,1.2541,0.0
1972-08-23,1.2276,1.2276,1.2276,1.2276,0.0
1972-08-24,1.2223,1.2223,1.2223,1.2223,0.0
1972-08-25,1.2223,1.2223,1.2223,1.2223,0.0
1972-08-28,1.2223,1.2223,1.2223,1.2223,0.0
1972-08-29,1.2409,1.2409,1.2409,1.2409,0.0
1972-08-30,1.2727,1.2727,1.2727,1.2727,0.0
1972-08-31,1.2674,1.2674,1.2674,1.2674,0.0
1972-09-01,1.3151,1.3151,1.3151,1.3151,0.0
1972-09-05,1.2913,1.2913,1.2913,1.2913,0.0
1972-09-06,1.2488,1.2488,1.2488,1.2488,0.0
1972-09-07,1.2515,1.2515,1.2515,1.2515,0.0
1972-09-08,1.225,1.225,1.225,1.225,0.0
1972-09-11,1.1905,1.1905,1.1905,1.1905,0.0
1972-09-12,1.1613,1.1613,1.1613,1.1613,0.0
1972-09-13,1.1879,1.1879,1.1879,1.1879,0.0
1972-09-14,1.1985,1.1985,1.1985,1.1985,0.0
1972-09-15,1.2011,1.2011,1.2011,1.2011,0.0
1972-09-18,1.217,1.217,1.217,1.217,0.0
1972-09-19,1.2276,1.2276,1.2276,1.2276,0.0
1972-09-20,1.2674,1.2674,1.2674,1.2674,0.0
1972-09-21,1.2409,1.2409,1.2409,1.2409,0.0
1972-09-22,1.2409,1.2409,1.2409,1.2409,0.0
1972-09-25,1.2276,1.2276,1.2276,1.2276,0.0
1972-09-26,1.2409,1.2409,1.2409,1.2409,0.0
1972-09-27,1.3178,1.3178,1.3178,1.3178,0.0
1972-09-28,1.3204,1.3204,1.3204,1.3204,0.0
1972-09-29,1.3072,1.3072,1.3072,1.3072,0.0
