date,open,high,low,close,volume
1962-01-02,0.1943,0.1943,0.1909,0.1909,352350.0
1962-01-03,0.1938,0.1976,0.1938,0.1947,710775.0
1962-01-04,0.1947,0.1981,0.1928,0.1928,911250.0
1962-01-05,0.1928,0.1938,0.1838,0.189,880875.0
1962-01-08,0.189,0.1924,0.1866,0.1895,473850.0
1962-01-09,0.1895,0.1943,0.1881,0.19,577125.0
1962-01-10,0.19,0.1933,0.1895,0.19,352350.0
1962-01-11,0.1905,0.1962,0.1905,0.1919,692550.0
1962-01-12,0.1938,0.1986,0.1938,0.1971,972000.0
1962-01-15,0.1962,0.1962,0.1924,0.1933,625725.0
1962-01-16,0.1933,0.1943,0.1919,0.1919,376650.0
1962-01-17,0.1919,0.1962,0.1919,0.1924,674325.0
1962-01-18,0.1924,0.1952,0.1924,0.1933,710775.0
1962-01-19,0.1938,0.2024,0.1938,0.2024,1293975.0
1962-01-22,0.2024,0.2038,0.1995,0.2019,1148175.0
1962-01-23,0.2,0.2024,0.1995,0.2024,923400.0
1962-01-24,0.2024,0.2033,0.1995,0.2033,1020600.0
1962-01-25,0.2033,0.2091,0.2033,0.2081,2897775.0
1962-01-26,0.2081,0.2095,0.2057,0.2072,1919700.0
1962-01-29,0.2072,0.2086,0.2053,0.2081,941625.0
1962-01-30,0.2081,0.2115,0.2072,0.21,1749600.0
1962-01-31,0.2105,0.2148,0.2105,0.2143,3383775.0
1962-02-01,0.2143,0.2162,0.2081,0.2095,1968300.0
1962-02-02,0.2095,0.2115,0.2053,0.2115,1105650.0
1962-02-05,0.2129,0.2129,0.209,0.2095,893025.0
1962-02-06,0.2095,0.21,0.2042,0.2095,801900.0
1962-02-07,0.2095,0.2134,0.2081,0.2095,844425.0
1962-02-08,0.21,0.2134,0.21,0.21,656100.0
1962-02-09,0.2105,0.2139,0.2105,0.2139,680400.0
1962-02-12,0.2119,0.2119,0.2095,0.2105,510300.0
1962-02-13,0.2115,0.2148,0.2115,0.2119,656100.0
1962-02-14,0.2119,0.2143,0.2115,0.2134,540675.0
1962-02-15,0.2139,0.2168,0.2139,0.2148,917325.0
1962-02-16,0.2148,0.2158,0.2124,0.2124,510300.0
1962-02-19,0.2124,0.2143,0.2105,0.2115,619650.0
1962-02-20,0.2115,0.2143,0.2105,0.2105,479925.0
1962-02-21,0.2105,0.2115,0.2066,0.2081,400950.0
1962-02-23,0.2057,0.2057,0.1975,0.2013,1160325.0
1962-02-26,0.2013,0.2047,0.1989,0.2023,680400.0
1962-02-27,0.2023,0.2081,0.2009,0.2047,668250.0
1962-02-28,0.2047,0.2066,0.2047,0.2066,303750.0
1962-03-01,0.2066,0.2081,0.1999,0.2042,722925.0
1962-03-02,0.2042,0.2062,0.2009,0.2023,583200.0
1962-03-05,0.2018,0.2018,0.1989,0.2018,419175.0
1962-03-06,0.2013,0.2013,0.1946,0.1951,868725.0
1962-03-07,0.1951,0.1975,0.1946,0.1946,625725.0
1962-03-08,0.1946,0.2004,0.1946,0.1985,595350.0
1962-03-09,0.1985,0.2009,0.197,0.1975,279450.0
1962-03-12,0.198,0.1999,0.198,0.1989,218700.0
1962-03-13,0.1989,0.1989,0.1965,0.1985,291600.0
1962-03-14,0.1985,0.2018,0.1975,0.1985,583200.0
1962-03-15,0.1985,0.2004,0.1956,0.1956,370575.0
1962-03-16,0.1956,0.1985,0.1946,0.1951,328050.0
1962-03-19,0.1951,0.1956,0.1912,0.1917,650025.0
1962-03-20,0.1917,0.1936,0.1912,0.1912,589275.0
1962-03-21,0.1912,0.1922,0.1912,0.1912,528525.0
1962-03-22,0.1912,0.1951,0.1912,0.1941,340200.0
1962-03-23,0.1941,0.1956,0.1936,0.1941,407025.0
1962-03-26,0.1941,0.1951,0.1936,0.1936,273375.0
1962-03-27,0.1936,0.1965,0.1932,0.1951,309825.0
1962-03-28,0.1951,0.196,0.1951,0.1956,230850.0
1962-03-29,0.196,0.198,0.196,0.1965,370575.0
1962-03-30,0.1965,0.1965,0.1932,0.1932,297675.0
1962-04-02,0.1932,0.1951,0.1912,0.1936,388800.0
