date,open,high,low,close,volume
1973-02-21,1.4838,1.4838,1.4838,1.4838,99200.0
1973-02-22,1.4889,1.4889,1.4889,1.4889,47200.0
1973-02-23,1.4838,1.4838,1.4838,1.4838,133600.0
1973-02-26,1.4838,1.4838,1.4838,1.4838,24000.0
1973-02-27,1.4838,1.4838,1.4838,1.4838,41600.0
1973-02-28,1.4838,1.4838,1.4838,1.4838,66400.0
1973-03-01,1.4939,1.4939,1.4939,1.4939,93600.0
1973-03-02,1.4989,1.4989,1.4989,1.4989,26400.0
1973-03-05,1.5189,1.5189,1.5189,1.5189,68000.0
1973-03-06,1.5641,1.5641,1.5641,1.5641,76800.0
1973-03-07,1.5641,1.5641,1.5641,1.5641,51200.0
1973-03-08,1.5741,1.5741,1.5741,1.5741,84800.0
1973-03-09,1.5741,1.5741,1.5741,1.5741,78400.0
1973-03-12,1.5691,1.5691,1.5691,1.5691,73600.0
1973-03-13,1.5741,1.5741,1.5741,1.5741,47200.0
1973-03-14,1.5791,1.5791,1.5791,1.5791,50400.0
1973-03-15,1.5741,1.5741,1.5741,1.5741,70400.0
1973-03-16,1.5691,1.5691,1.5691,1.5691,44800.0
1973-03-19,1.554,1.554,1.554,1.554,28000.0
1973-03-20,1.5239,1.5239,1.5239,1.5239,68800.0
1973-03-21,1.5039,1.5039,1.5039,1.5039,94400.0
1973-03-22,1.4788,1.4788,1.4788,1.4788,55200.0
1973-03-23,1.4788,1.4788,1.4788,1.4788,117600.0
1973-03-26,1.4738,1.4738,1.4738,1.4738,9600.0
1973-03-27,1.4738,1.4738,1.4738,1.4738,15200.0
1973-03-28,1.4939,1.4939,1.4939,1.4939,141600.0
1973-03-29,1.5139,1.5139,1.5139,1.5139,120000.0
1973-03-30,1.5139,1.5139,1.5139,1.5139,85600.0
1973-04-02,1.5039,1.5039,1.5039,1.5039,52800.0
1973-04-03,1.4939,1.4939,1.4939,1.4939,23200.0
1973-04-04,1.4838,1.4838,1.4838,1.4838,78400.0
1973-04-05,1.4788,1.4788,1.4788,1.4788,78400.0
1973-04-06,1.4788,1.4788,1.4788,1.4788,36000.0
1973-04-09,1.4788,1.4788,1.4788,1.4788,28000.0
1973-04-10,1.5139,1.5139,1.5139,1.5139,88800.0
1973-04-11,1.5239,1.5239,1.5239,1.5239,144000.0
1973-04-12,1.544,1.544,1.544,1.544,140800.0
1973-04-13,1.544,1.544,1.544,1.544,13600.0
1973-04-16,1.544,1.544,1.544,1.544,40000.0
1973-04-17,1.5039,1.5039,1.5039,1.5039,92800.0
1973-04-18,1.4989,1.4989,1.4989,1.4989,25600.0
1973-04-19,1.5039,1.5039,1.5039,1.5039,39200.0
1973-04-23,1.4838,1.4838,1.4838,1.4838,48000.0
