date,open,high,low,close,volume
2024-09-11,329.58,343.54,320.0,337.34,2449.55483984
2024-09-12,337.83,340.68,330.01,333.32,959.78713555
2024-09-13,332.72,337.72,327.39,335.68,1318.20976932
2024-09-14,336.56,337.63,325.4,327.17,979.99315002
2024-09-15,327.1,328.94,314.2,316.07,1785.00238026
2024-09-16,316.35,317.09,309.09,312.2,1423.05334669
2024-09-17,311.74,321.28,310.18,314.14,596.25663915
2024-09-18,313.1,327.65,306.92,327.22,1711.24797964
2024-09-19,327.22,349.73,326.36,340.26,6271.25150516
2024-09-20,340.36,345.2,332.56,335.64,2256.62827547
2024-09-21,335.84,346.73,331.47,345.52,617.41142054
2024-09-22,345.49,347.21,334.41,342.93,587.61595267
2024-09-23,342.7,348.9,336.85,341.92,1278.36748426
2024-09-24,341.86,351.51,337.59,348.06,1277.13273646
2024-09-25,348.49,355.16,341.39,343.16,1330.95257021
2024-09-26,344.52,357.93,339.39,352.2,540.84550221
2024-09-27,353.8,364.35,353.75,358.82,1288.16612848
2024-09-28,359.2,361.18,346.63,353.23,1036.21222282
2024-09-29,352.15,357.93,345.95,352.82,2710.33716451
2024-09-30,352.75,353.62,334.33,337.36,1195.55542194
2024-10-01,337.23,347.34,311.13,318.16,2800.9113863
2024-10-02,317.37,324.3,309.19,316.21,1621.28263391
2024-10-03,316.53,322.73,307.73,320.16,1742.16363017
2024-10-04,320.49,325.67,319.11,324.76,2938.56579478
2024-10-05,324.85,325.57,318.64,321.46,420.20330484
2024-10-06,320.94,325.28,320.9,324.49,412.51308441
2024-10-07,324.73,332.23,320.44,323.57,746.49842949
2024-10-08,323.97,333.0,321.69,328.89,862.58092019
2024-10-09,329.32,330.04,318.04,320.31,535.63677778
2024-10-10,319.16,325.01,317.36,322.24,837.75014425
2024-10-11,322.41,328.85,321.95,326.53,449.71459162
2024-10-12,326.95,332.8,324.79,329.41,474.53038181
2024-10-13,329.12,329.55,317.79,321.02,406.71849622
2024-10-14,321.05,370.02,319.3,369.07,3546.39434684
2024-10-15,369.66,385.95,345.0,355.07,3204.70643143
2024-10-16,353.85,371.41,352.61,365.22,3227.27334674
2024-10-17,365.6,375.48,360.24,369.15,2107.1679723
2024-10-18,369.99,376.82,363.0,366.96,3185.54904572
2024-10-19,367.22,368.73,361.58,363.56,688.77377428
2024-10-20,363.24,371.25,357.74,368.81,2140.1520052
2024-10-21,369.65,378.56,359.01,364.11,1065.53869683
2024-10-22,363.66,366.3,354.33,357.42,1239.76736525
2024-10-23,357.11,357.22,338.5,348.37,1344.92238367
2024-10-24,347.78,370.66,346.86,366.84,1414.4708511
2024-10-25,367.75,373.96,339.55,348.94,4561.33495345
2024-10-26,348.44,356.31,345.71,347.52,940.84940674
2024-10-27,347.63,353.79,346.79,352.17,791.08248846
2024-10-28,352.08,367.76,343.87,365.11,1698.14267635
2024-10-29,365.4,389.0,363.8,385.5,3413.44729886
2024-10-30,385.83,387.25,366.22,370.36,3202.58673396
2024-10-31,368.69,377.74,349.64,358.17,2923.41003787
2024-11-01,358.23,359.47,343.84,349.56,1894.15956656
2024-11-02,349.78,357.11,341.44,353.67,1651.65465886
2024-11-03,353.24,353.72,334.24,340.94,1620.52809437
2024-11-04,339.35,342.44,322.31,329.36,2930.65380214
2024-11-05,329.2,345.1,326.81,342.62,1540.03758262
2024-11-06,343.64,384.16,342.71,378.6,7323.47475254
2024-11-07,378.62,386.83,371.01,377.48,2318.29868281
2024-11-08,379.48,383.52,364.62,377.42,3651.05191165
2024-11-09,377.11,407.25,369.35,407.25,6262.6563733
2024-11-10,404.79,454.57,395.64,442.58,16367.08496612
2024-11-11,441.81,482.13,423.05,474.3,11277.21163429
2024-11-12,473.19,474.24,418.83,431.93,9306.19693689
2024-11-13,432.91,451.09,404.2,439.76,6026.97810674
2024-11-14,439.96,446.02,410.57,415.27,3031.77854739
2024-11-15,416.83,436.61,410.43,431.87,2034.93413205
2024-11-16,431.69,483.27,428.75,461.67,9000.25092832
2024-11-17,462.01,488.7,425.1,432.92,9551.17880233
2024-11-18,432.93,471.36,431.59,452.39,9205.73729451
2024-11-19,452.52,460.29,439.0,447.0,2905.46548117
2024-11-20,447.17,454.66,429.61,440.22,4587.1728807
2024-11-21,440.31,535.91,430.0,487.31,18908.98255103
2024-11-22,484.09,503.24,473.01,490.9,8586.8827338
2024-11-23,491.29,568.63,486.87,510.7,14088.03226698
2024-11-24,510.47,527.9,473.99,515.42,4821.09879162
2024-11-25,515.47,532.46,483.46,491.29,9804.35019749
2024-11-26,491.78,504.86,471.24,492.55,3246.95420019
2024-11-27,491.98,523.89,484.94,518.14,8270.44158982
2024-11-28,517.9,525.71,498.13,512.14,3277.3056899
2024-11-29,511.45,522.81,500.0,518.64,2345.33758469
2024-11-30,518.65,539.63,506.3,526.61,5401.36162765
2024-12-01,524.46,537.02,509.89,532.4,3618.71874278
2024-12-02,532.68,561.79,495.37,538.1,10831.224599
2024-12-03,538.1,591.13,512.5,587.35,14466.39068835
2024-12-04,586.27,601.84,542.1,584.5,13943.53905782
2024-12-05,584.5,633.17,551.75,589.02,16333.99518298
2024-12-06,588.97,639.78,580.56,619.74,7115.28419224
2024-12-07,619.44,627.12,605.23,608.17,2623.25982813
2024-12-08,607.66,625.01,602.19,622.44,3727.43785106
2024-12-09,622.87,623.62,512.29,553.49,6928.13984748
2024-12-10,552.23,564.43,485.85,516.57,6078.17295704
2024-12-11,516.62,550.34,503.58,546.96,4419.11412143
2024-12-12,546.36,563.64,537.86,539.95,2242.14832324
2024-12-13,539.46,543.38,526.58,542.43,1575.82058802
2024-12-14,539.94,551.12,520.48,533.76,1878.41279095
2024-12-15,531.55,550.0,525.27,545.46,1643.79162624
2024-12-16,545.77,556.51,522.51,537.77,2430.87268382
2024-12-17,537.9,547.08,524.39,529.76,5270.74789965
2024-12-18,529.83,542.89,472.72,480.27,7873.34583523
2024-12-19,479.83,488.87,421.56,438.95,11021.8693825
2024-12-20,438.46,450.76,390.0,448.97,9909.20953522
2024-12-21,448.45,472.22,442.82,454.63,3029.37448112
2024-12-22,455.45,460.29,434.58,447.62,1912.94214116
2024-12-23,445.57,464.78,431.94,460.3,3048.31169955
2024-12-24,460.56,477.97,450.95,470.24,1106.6188691
2024-12-25,469.35,470.73,454.34,465.37,354.9780997
2024-12-26,465.68,467.71,432.56,437.15,1249.91985786
2024-12-27,436.46,461.21,435.13,440.18,1090.51208614
2024-12-28,441.18,452.84,437.83,450.95,193.94332712
2024-12-29,450.04,452.59,434.49,438.88,901.69659677
2024-12-30,439.31,452.31,428.03,443.42,2376.97434303
2024-12-31,442.22,454.24,433.19,433.49,829.21710082
2025-01-01,434.85,453.38,430.14,449.57,2524.96393448
2025-01-02,450.57,465.68,450.57,460.84,1091.86856697
2025-01-03,461.26,476.88,456.13,473.17,1368.30313996
2025-01-04,473.17,482.51,469.58,479.87,1285.29148538
2025-01-05,477.61,477.61,462.95,469.58,475.68150768
2025-01-06,472.29,485.76,465.63,482.64,2129.89156753
2025-01-07,482.94,486.34,435.37,437.79,1739.62728585
2025-01-08,438.36,441.62,417.94,434.09,1980.01932426
2025-01-09,434.77,436.47,411.83,421.64,902.63666006
2025-01-10,422.25,450.8,420.65,450.14,1683.36652652
2025-01-11,449.92,449.92,436.11,440.72,560.41645886
2025-01-12,440.5,463.4,436.66,447.62,1011.13922965
2025-01-13,447.54,452.48,400.17,428.12,2564.89347637
2025-01-14,426.6,441.0,426.12,438.76,1457.53042598
2025-01-15,437.17,462.52,431.04,461.27,2337.6663599
2025-01-16,461.66,471.09,446.82,462.12,2037.37388254
2025-01-17,462.52,499.99,462.52,489.19,4584.94063262
2025-01-18,489.37,494.83,458.39,465.97,3452.51022668
2025-01-19,466.55,470.38,418.96,426.84,4743.50230728
2025-01-20,427.09,480.01,415.6,431.46,4107.95837656
2025-01-21,430.62,454.28,419.31,445.76,1393.99890606
2025-01-22,447.46,450.66,434.35,434.35,663.25503661
2025-01-23,435.85,447.36,425.44,437.43,834.13743442
2025-01-24,435.96,442.59,426.68,432.2,1502.15385895
2025-01-25,432.3,451.8,430.89,445.06,616.28946682
2025-01-26,445.54,447.23,424.64,425.37,852.76163649
2025-01-27,424.67,428.79,396.74,427.63,5449.92229223
2025-01-28,427.5,431.19,406.38,410.46,1390.324451
2025-01-29,410.17,421.39,404.93,414.92,399.59608371
2025-01-30,416.3,439.05,413.09,434.62,1412.82136061
2025-01-31,435.8,444.83,420.0,421.9,1263.27321844
2025-02-01,423.52,430.7,402.0,403.93,1104.8309438
2025-02-02,403.19,410.13,342.05,360.05,9662.08695583
2025-02-03,360.16,360.16,272.02,353.38,11327.64012787
2025-02-04,353.39,355.74,321.65,331.82,6710.191958
2025-02-05,329.41,338.2,323.63,327.79,896.47835394
2025-02-06,328.13,334.87,314.03,316.16,838.31794867
2025-02-07,316.17,335.29,308.66,318.77,480.03512951
2025-02-08,318.18,324.11,315.66,323.5,192.72398112
2025-02-09,323.13,329.15,313.16,324.83,1037.0986375
2025-02-10,324.92,334.36,315.89,329.4,696.72647923
2025-02-11,329.61,344.27,326.01,331.38,650.81278814
2025-02-12,330.97,346.51,322.56,342.97,856.88036624
2025-02-13,343.13,345.32,327.85,335.48,824.28130546
2025-02-14,335.49,351.0,334.0,341.44,2239.39002486
2025-02-15,341.72,345.39,331.36,333.05,305.11874467
2025-02-16,333.07,334.74,325.6,326.01,553.1414458
2025-02-17,326.33,336.6,317.32,323.43,1377.14991166
2025-02-18,323.62,324.88,307.65,315.88,2033.67119632
2025-02-19,315.89,324.22,311.72,322.66,646.51690881
2025-02-20,322.38,326.83,320.34,325.86,486.98705269
2025-02-21,326.16,333.72,309.71,313.46,863.1180688
2025-02-22,313.13,322.41,312.65,321.04,260.00166151
2025-02-23,321.07,332.06,320.79,328.08,375.37201858
2025-02-24,328.13,329.18,285.92,291.55,2755.79678161
2025-02-25,292.42,296.19,275.45,291.75,1474.96541901
2025-02-26,291.73,300.51,284.26,293.27,1557.69893452
2025-02-27,293.59,303.0,289.91,296.53,1086.19462842
2025-02-28,296.52,319.62,269.69,315.23,4508.58110551
2025-03-01,315.61,323.86,307.6,311.08,2001.2598864
2025-03-02,310.72,341.25,309.83,334.15,3824.19333425
2025-03-03,334.15,356.57,311.09,320.86,9541.21991571
2025-03-04,320.86,329.92,291.33,320.42,4790.03226746
2025-03-05,319.84,398.81,319.84,391.8,14831.22844211
2025-03-06,391.84,419.44,383.97,395.51,7350.53401624
2025-03-07,394.98,409.88,383.07,388.82,10021.44827288
2025-03-08,388.27,395.73,376.91,385.46,2318.46111267
2025-03-09,385.14,386.5,356.37,357.25,2110.36847107
2025-03-10,357.25,372.24,331.29,331.29,2924.86561513
2025-03-11,331.34,350.11,316.45,339.58,2546.44216046
2025-03-12,340.04,360.28,330.21,354.06,6123.64954596
2025-03-13,353.63,355.12,324.01,326.14,2172.09084771
2025-03-14,325.55,335.11,325.54,331.05,1273.51699753
2025-03-15,331.32,352.62,328.46,342.59,3259.17994871
2025-03-16,342.47,342.47,325.2,333.14,1506.9999884
2025-03-17,333.55,341.95,331.29,337.81,718.12706936
2025-03-18,337.62,343.48,329.5,335.11,969.1216662
2025-03-19,335.32,346.51,332.47,345.21,1090.03809831
2025-03-20,345.44,349.84,330.29,333.28,1144.98110387
2025-03-21,333.52,335.03,320.5,322.9,2056.80565943
2025-03-22,322.93,325.94,321.12,322.1,369.43877676
2025-03-23,322.1,325.8,320.94,325.16,810.30147299
2025-03-24,324.78,336.34,321.65,332.47,2394.37152109
2025-03-25,332.13,339.48,326.89,335.85,937.93847248
2025-03-26,336.09,341.76,328.69,334.93,1661.88974174
2025-03-27,335.08,339.65,321.06,325.0,1884.19923959
2025-03-28,324.62,328.0,304.61,307.49,2313.29873857
2025-03-29,307.59,308.68,298.67,303.09,1052.49695449
2025-03-30,303.34,307.87,294.04,298.69,336.58533203
2025-03-31,299.12,305.66,289.87,303.4,1060.885221
2025-04-01,303.5,317.88,302.43,308.48,928.64322168
2025-04-02,307.63,316.57,290.43,293.1,1459.31077691
2025-04-03,292.29,307.56,291.66,300.97,1011.10583203
2025-04-04,301.25,309.83,294.69,301.24,645.30396801
2025-04-05,300.99,304.0,297.09,303.89,400.3259592
2025-04-06,304.0,307.79,265.5,271.9,1804.86764467
2025-04-07,271.75,281.84,249.49,275.51,2458.07162255
2025-04-08,275.31,284.68,267.0,269.05,2099.05706258
2025-04-09,268.6,311.09,259.06,301.34,2777.52977144
2025-04-10,301.22,303.92,282.4,290.06,948.46251406
2025-04-11,289.87,315.75,289.87,312.64,2515.65063332
2025-04-12,312.85,359.39,311.29,344.59,3805.67236199
2025-04-13,343.61,353.08,336.16,342.97,2141.5726779
2025-04-14,344.25,373.59,322.95,323.75,5517.31166999
2025-04-15,323.54,337.18,317.54,319.28,3109.05493341
2025-04-16,318.94,325.79,314.63,321.58,778.51718517
2025-04-17,322.25,340.22,321.16,333.1,1416.13391205
2025-04-18,333.77,344.95,327.6,335.01,1342.32504772
2025-04-19,334.9,339.9,332.83,335.52,791.74112877
2025-04-20,335.4,342.62,331.92,336.17,694.5906798
2025-04-21,336.19,348.03,336.16,344.41,3046.38249652
2025-04-22,343.65,364.6,337.25,362.85,3907.66771153
2025-04-23,362.54,363.66,353.7,358.29,1926.97788847
2025-04-24,358.38,367.45,343.68,356.8,2471.21119313
2025-04-25,356.03,384.27,348.83,373.03,4738.29951863
2025-04-26,373.4,377.27,355.27,355.92,2483.07403636
2025-04-27,355.58,360.38,345.1,346.0,869.4399379
2025-04-28,345.72,369.98,342.0,363.4,5160.66359581
2025-04-29,364.42,377.35,361.01,363.57,3015.92772916
2025-04-30,363.88,369.32,355.47,366.23,1102.79384479
2025-05-01,366.41,374.36,360.44,361.36,1587.1932914
2025-05-02,361.06,386.68,359.46,382.88,2576.96817837
2025-05-03,382.98,383.13,362.66,363.45,1692.37526809
2025-05-04,362.25,370.53,353.03,356.44,1700.20261758
2025-05-05,356.26,360.92,349.71,354.09,1135.90997932
2025-05-06,353.42,374.47,350.53,374.47,2567.93733701
2025-05-07,374.47,390.9,355.43,383.64,8447.34109813
2025-05-08,383.88,430.14,382.3,420.9,17856.03880314
2025-05-09,421.78,428.93,403.69,415.87,5696.21391459
2025-05-10,413.42,433.1,410.61,430.99,2593.99825529
2025-05-11,430.9,432.16,402.33,408.07,1808.32582484
2025-05-12,407.93,420.0,396.67,410.56,8397.4225964
2025-05-13,410.5,415.93,391.78,411.15,4672.31341557
2025-05-14,411.36,413.38,398.98,402.61,1456.8613941
2025-05-15,402.74,404.83,383.34,395.65,939.84912347
2025-05-16,396.01,403.52,393.72,395.92,1101.98456946
2025-05-17,396.3,401.38,386.21,392.28,252.34849397
2025-05-18,392.42,407.68,389.63,406.74,1211.91316739
2025-05-19,406.84,408.42,375.95,393.22,600.65074285
2025-05-20,393.4,398.39,384.32,393.94,660.79735163
2025-05-21,394.2,412.0,391.24,407.15,1163.90430695
2025-05-22,407.17,445.54,407.17,443.43,4241.56811892
2025-05-23,444.64,462.18,424.98,426.14,3428.73668777
2025-05-24,426.37,432.28,419.98,421.78,804.26740495
2025-05-25,421.14,427.15,408.11,422.8,957.57197207
2025-05-26,422.98,428.56,413.5,415.87,620.73374129
2025-05-27,415.28,424.03,409.0,414.8,1033.29642115
2025-05-28,414.84,426.84,404.55,424.99,2421.79960027
2025-05-29,424.71,428.09,405.51,409.52,837.75297815
2025-05-30,409.71,414.51,394.1,398.37,702.05712574
2025-05-31,398.91,422.6,389.01,414.75,667.29816226
2025-06-01,414.87,415.5,397.66,403.56,652.08023872
