date,open,high,low,close,volume
1999-03-31,17.6843,20.2694,17.1556,19.4763,33073333.0
1999-04-01,21.562,21.6207,18.6244,18.9181,12080833.0
1999-04-05,19.6232,19.7407,17.0381,17.655,8122917.0
1999-04-06,17.7137,18.9622,16.4506,18.5656,8847500.0
1999-04-07,18.83,19.0944,17.3318,17.5081,3915417.0
1999-04-08,17.5081,17.655,16.5974,17.0381,3694167.0
1999-04-09,16.9206,17.8606,15.9218,17.3906,3548333.0
1999-04-12,16.4799,18.6244,16.2155,17.9928,4570833.0
1999-04-13,18.5069,20.1813,18.1544,19.1531,6000833.0
1999-04-14,21.7089,23.3245,19.9757,21.8851,15698333.0
1999-04-15,22.0907,22.0907,17.9781,18.7713,8477917.0
1999-04-16,19.0356,19.9757,17.1556,19.1238,4417083.0
1999-04-19,19.2119,19.2707,13.6305,14.0711,5728750.0
1999-04-20,14.0711,16.2155,13.6305,15.8924,6602500.0
1999-04-21,16.8031,17.8606,15.8924,17.5081,3762083.0
1999-04-22,19.0503,19.2119,17.2731,17.9487,3642083.0
1999-04-23,20.2254,22.502,19.2707,20.6807,18544167.0
1999-04-26,24.5436,28.5388,23.6771,28.3772,33809167.0
1999-04-27,28.9354,32.9011,28.2303,30.4776,29918750.0
1999-04-28,29.3613,31.5939,27.2609,28.436,11221667.0
1999-04-29,27.0406,32.6367,27.0259,32.387,18047500.0
1999-04-30,35.6037,38.7763,31.7261,38.1594,21136667.0
1999-05-03,35.824,37.3369,32.6367,32.7249,21832917.0
1999-05-04,33.518,35.2512,30.6979,31.4911,17318750.0
1999-05-05,33.1802,35.7212,28.2303,35.5303,31600833.0
1999-05-06,34.7812,35.7212,32.4017,32.7689,15802083.0
1999-05-07,33.8999,33.9146,30.4629,30.7053,14242083.0
1999-05-10,30.081,30.9917,28.436,30.081,11229167.0
1999-05-11,31.6086,31.6673,28.906,28.906,7161667.0
1999-05-12,28.8472,30.316,28.671,29.611,6012917.0
1999-05-13,30.5217,31.021,28.436,28.5535,4679167.0
1999-05-14,28.201,31.6086,27.9659,31.212,19815000.0
1999-05-17,30.9035,31.0945,29.141,30.9623,8535000.0
1999-05-18,30.8448,32.8424,30.0076,31.9905,10462917.0
1999-05-19,32.1373,33.8999,31.6673,33.4886,5664583.0
1999-05-20,34.0615,34.0762,30.8154,31.5792,4360000.0
1999-05-21,34.1496,34.2524,32.1961,32.6514,13843333.0
1999-05-24,32.4898,32.6367,28.4653,29.4568,7865000.0
1999-05-25,28.436,30.4042,24.2058,24.4408,13515000.0
1999-05-26,25.4984,27.0259,22.7958,26.7395,17277500.0
1999-05-27,26.4971,27.4959,25.6306,26.0418,6840417.0
1999-05-28,25.1458,26.3796,24.9108,26.3282,4870833.0
1999-06-01,25.7627,25.9684,22.9133,23.3686,8849583.0
1999-06-02,22.6195,24.8374,20.9451,21.8337,18701250.0
1999-06-03,21.9439,22.5314,19.7407,19.77,11211250.0
1999-06-04,19.8582,21.6795,19.5938,21.2241,10795417.0
1999-06-07,21.7382,25.7334,21.5326,23.8533,18454583.0
1999-06-08,24.6465,26.0859,23.8827,24.4996,14006667.0
1999-06-09,25.0577,25.5865,24.1764,24.6758,5619583.0
1999-06-10,23.6624,24.4702,23.5008,24.0296,7263333.0
1999-06-11,24.4408,24.9696,22.3258,22.4873,6709167.0
1999-06-14,22.0907,22.0907,17.9781,18.0662,13357917.0
1999-06-15,17.89,19.8141,17.5668,18.4334,13605417.0
1999-06-16,19.9757,21.1507,19.6819,20.7982,13053333.0
