date,open,high,low,close,volume
1972-06-01,0.28,0.2828,0.28,0.2812,3146956.0
1972-06-02,0.2812,0.2851,0.2812,0.284,1136401.0
1972-06-05,0.284,0.2856,0.2834,0.2845,480785.0
1972-06-06,0.2845,0.2862,0.2828,0.2828,1338129.0
1972-06-07,0.2828,0.284,0.2812,0.2823,894327.0
1972-06-08,0.2823,0.284,0.2806,0.284,369835.0
1972-06-09,0.2823,0.2823,0.2806,0.2806,527855.0
1972-06-12,0.2806,0.2834,0.2795,0.2812,376559.0
1972-06-13,0.2812,0.2834,0.2795,0.2817,231987.0
1972-06-14,0.2812,0.2812,0.2756,0.2778,353024.0
1972-06-15,0.2778,0.2806,0.2778,0.28,443801.0
1972-06-16,0.28,0.2806,0.2778,0.2778,363110.0
1972-06-19,0.2778,0.2789,0.2761,0.2784,504320.0
1972-06-20,0.2784,0.2806,0.2784,0.28,316040.0
1972-06-21,0.28,0.2817,0.2789,0.2806,595097.0
1972-06-22,0.2795,0.2795,0.2767,0.2778,484147.0
1972-06-23,0.2778,0.2795,0.2744,0.2744,541303.0
1972-06-26,0.2744,0.2767,0.2728,0.2767,238711.0
1972-06-27,0.2767,0.2772,0.275,0.2761,292505.0
1972-06-28,0.2761,0.2778,0.2761,0.2767,3573946.0
1972-06-29,0.2767,0.2784,0.2761,0.2784,369835.0
1972-06-30,0.2784,0.2817,0.2784,0.28,648891.0
1972-07-03,0.28,0.2806,0.2784,0.2789,302592.0
1972-07-05,0.2789,0.2806,0.2784,0.28,2841002.0
1972-07-06,0.28,0.284,0.2795,0.28,2067711.0
1972-07-07,0.28,0.2806,0.2789,0.28,527855.0
1972-07-10,0.28,0.2828,0.28,0.28,282419.0
1972-07-11,0.28,0.2806,0.2784,0.2784,699323.0
1972-07-12,0.2784,0.28,0.2784,0.2784,480785.0
1972-07-13,0.2784,0.28,0.2778,0.2795,242074.0
1972-07-14,0.2795,0.2806,0.2778,0.28,228625.0
1972-07-17,0.2789,0.2789,0.2772,0.2772,706048.0
1972-07-18,0.2772,0.2789,0.2739,0.2772,1045623.0
1972-07-19,0.2772,0.2823,0.2739,0.2784,2111419.0
1972-07-20,0.2806,0.2834,0.2806,0.2812,847257.0
