date,open,high,low,close,volume
1977-01-03,6.5458,6.5878,6.5458,6.5878,47952.0
1977-01-04,6.5879,6.6089,6.5668,6.6089,34217.0
1977-01-05,6.6089,6.6089,6.5458,6.5668,15422.0
1977-01-06,6.5458,6.5458,6.4616,6.5247,39036.0
1977-01-07,6.5247,6.5458,6.4616,6.5458,20482.0
1977-01-10,6.5458,6.6299,6.5458,6.6089,42892.0
1977-01-11,6.6089,6.651,6.6089,6.6299,22169.0
1977-01-12,6.6299,6.6299,6.5458,6.6299,34940.0
1977-01-13,6.6299,6.7141,6.6299,6.672,34458.0
1977-01-14,6.672,6.7141,6.651,6.6931,20723.0
1977-01-17,6.6089,6.6089,6.5037,6.5458,33735.0
1977-01-18,6.5458,6.5668,6.5037,6.5668,34217.0
1977-01-19,6.5668,6.5878,6.5247,6.5878,19759.0
1977-01-20,6.5878,6.6299,6.4616,6.5458,79518.0
1977-01-21,6.5458,6.5668,6.4826,6.5458,19277.0
1977-01-24,6.5458,6.5668,6.5037,6.5668,24096.0
1977-01-25,6.5668,6.6299,6.5668,6.6089,25060.0
1977-01-26,6.5878,6.5878,6.5247,6.5458,22892.0
1977-01-27,6.5458,6.5668,6.4826,6.5668,26506.0
1977-01-28,6.5458,6.5668,6.4826,6.5668,26506.0
1977-01-31,6.5458,6.5458,6.4826,6.5037,18072.0
1977-02-01,6.5037,6.5458,6.5037,6.5458,20241.0
1977-02-02,6.5458,6.5668,6.5037,6.5037,72048.0
1977-02-03,6.5037,6.5668,6.4405,6.5037,186988.0
1977-02-04,6.5037,6.5668,6.4826,6.5247,35663.0
1977-02-07,6.5247,6.5668,6.5037,6.5458,20723.0
1977-02-08,6.5458,6.5879,6.5247,6.5668,23614.0
1977-02-09,6.5668,6.5668,6.5037,6.5247,17349.0
1977-02-10,6.5247,6.6089,6.5247,6.6089,16386.0
1977-02-11,6.6089,6.6089,6.5458,6.5878,24819.0
1977-02-14,6.5879,6.5879,6.5458,6.5668,17349.0
1977-02-15,6.5668,6.5668,6.5247,6.5668,16867.0
1977-02-16,6.5668,6.5879,6.5247,6.5668,25301.0
1977-02-17,6.5668,6.5878,6.5458,6.5458,22410.0
1977-02-18,6.5458,6.6089,6.5247,6.6089,26265.0
1977-02-22,6.6089,6.6089,6.5668,6.6089,17590.0
1977-02-23,6.6089,6.6299,6.5879,6.6299,44337.0
1977-02-24,6.6299,6.6299,6.5879,6.6299,80723.0
1977-02-25,6.6089,6.6089,6.5668,6.5668,18072.0
1977-02-28,6.5668,6.6089,6.4826,6.5458,35181.0
1977-03-01,6.5458,6.6089,6.5037,6.5668,47229.0
1977-03-02,6.5668,6.6299,6.5668,6.6299,36386.0
1977-03-03,6.6299,6.6299,6.5879,6.6299,68434.0
1977-03-04,6.6299,6.672,6.6089,6.672,43614.0
1977-03-07,6.672,6.6931,6.6299,6.672,21205.0
1977-03-08,6.672,6.7141,6.6299,6.6299,43614.0
1977-03-09,6.6299,6.6299,6.5879,6.6089,21687.0
1977-03-10,6.6089,6.6299,6.5458,6.5878,25542.0
1977-03-11,6.5879,6.6299,6.5879,6.6089,24819.0
1977-03-14,6.6089,6.651,6.5878,6.651,28916.0
1977-03-15,6.672,6.7352,6.672,6.6931,103614.0
1977-03-16,6.6931,6.7773,6.6931,6.7352,86024.0
1977-03-17,6.7352,6.7562,6.672,6.7141,40964.0
1977-03-18,6.7141,6.7352,6.6931,6.6931,22651.0
1977-03-21,6.6931,6.7562,6.6931,6.7141,31807.0
1977-03-22,6.7141,6.7141,6.651,6.672,33253.0
1977-03-23,6.672,6.7141,6.672,6.6931,29398.0
1977-03-24,6.6931,6.6931,6.672,6.6931,31084.0
1977-03-25,6.6931,6.6931,6.5879,6.6299,20482.0
1977-03-28,6.6089,6.6089,6.5458,6.6089,33735.0
1977-03-29,6.6089,6.6299,6.5879,6.6299,13735.0
1977-03-30,6.6299,6.6299,6.6089,6.6089,15904.0
1977-03-31,6.6089,6.651,6.6089,6.6089,44096.0
1977-04-01,6.6089,6.672,6.6089,6.651,31566.0
1977-04-04,6.651,6.672,6.6089,6.6299,17831.0
1977-04-05,6.6299,6.651,6.5458,6.6299,37590.0
1977-04-06,6.6299,6.6931,6.6299,6.651,21446.0
1977-04-07,6.672,6.7141,6.672,6.7141,24337.0
1977-04-11,6.7141,6.7562,6.672,6.6931,42410.0
1977-04-12,6.6931,6.8194,6.6931,6.8194,24578.0
1977-04-13,6.8194,6.8615,6.7352,6.8615,144337.0
1977-04-14,6.8615,6.9667,6.8615,6.9036,49398.0
1977-04-15,6.9036,6.9667,6.8615,6.8615,33012.0
1977-04-18,6.7773,6.7773,6.6931,6.7141,37108.0
1977-04-19,6.6931,6.6931,6.651,6.651,57108.0
1977-04-20,6.6931,6.7352,6.6931,6.7352,28675.0
1977-04-21,6.7352,6.7352,6.6931,6.7141,16627.0
1977-04-22,6.7141,6.7352,6.672,6.672,25060.0
1977-04-25,6.672,6.6931,6.5878,6.5878,22651.0
1977-04-26,6.5878,6.651,6.5668,6.651,23855.0
1977-04-27,6.651,6.7352,6.6299,6.672,27711.0
1977-04-28,6.672,6.7141,6.651,6.672,20000.0
1977-04-29,6.672,6.7141,6.651,6.6931,34217.0
1977-05-02,6.6931,6.7773,6.672,6.7352,34217.0
1977-05-03,6.7352,6.7773,6.7141,6.7352,21446.0
1977-05-04,6.7352,6.7773,6.7141,6.7562,21205.0
1977-05-05,6.7562,6.7562,6.7141,6.7352,20723.0
1977-05-06,6.7352,6.7352,6.672,6.7352,14458.0
1977-05-09,6.7352,6.7983,6.6931,6.7562,49157.0
1977-05-10,6.7562,6.7983,6.7562,6.7562,16386.0
1977-05-11,6.7562,6.7983,6.7352,6.7773,17108.0
1977-05-12,6.7773,6.7983,6.7141,6.7562,39518.0
1977-05-13,6.7562,6.7773,6.7352,6.7352,11566.0
1977-05-16,6.7352,6.7562,6.7352,6.7352,24337.0
1977-05-17,6.7352,6.7983,6.7352,6.7773,29880.0
1977-05-18,6.7773,6.7983,6.7562,6.7773,35422.0
1977-05-19,6.7773,6.8404,6.7562,6.7773,53494.0
1977-05-20,6.8194,6.8615,6.8194,6.8615,19759.0
1977-05-23,6.8404,6.8404,6.7773,6.7983,23133.0
1977-05-24,6.7983,6.8194,6.7352,6.7773,23855.0
1977-05-25,6.7773,6.8194,6.7562,6.7983,26024.0
1977-05-26,6.7983,6.7983,6.7352,6.7773,14217.0
1977-05-27,6.7773,6.7773,6.7352,6.7352,15904.0
1977-05-31,6.7352,6.7352,6.6299,6.6931,28916.0
1977-06-01,6.6931,6.7352,6.672,6.7141,14699.0
1977-06-02,6.7141,6.7562,6.6931,6.7562,30120.0
1977-06-03,6.7562,6.7773,6.7352,6.7773,26506.0
1977-06-06,6.7773,6.7773,6.651,6.672,35663.0
1977-06-07,6.672,6.7562,6.651,6.7352,43373.0
1977-06-08,6.7352,6.7562,6.6931,6.7141,25542.0
1977-06-09,6.7141,6.7352,6.6931,6.7352,14458.0
1977-06-10,6.7352,6.7352,6.6931,6.7352,11566.0
1977-06-13,6.7352,6.7352,6.6931,6.7352,13976.0
1977-06-14,6.7352,6.7352,6.651,6.7352,16386.0
1977-06-15,6.7352,6.7352,6.672,6.6931,19759.0
1977-06-16,6.6931,6.6931,6.6299,6.6931,73735.0
1977-06-17,6.6931,6.7141,6.672,6.7141,40482.0
1977-06-20,6.7141,6.7141,6.651,6.6931,14699.0
1977-06-21,6.6931,6.7352,6.6931,6.6931,33012.0
1977-06-22,6.6931,6.7141,6.672,6.7141,16386.0
1977-06-23,6.7141,6.7352,6.6931,6.7352,20241.0
1977-06-24,6.7352,6.7562,6.6931,6.7352,47229.0
1977-06-27,6.7352,6.7562,6.6931,6.6931,22410.0
1977-06-28,6.6931,6.7141,6.6931,6.6931,19759.0
1977-06-29,6.6931,6.7352,6.6299,6.7352,16386.0
1977-06-30,6.7352,6.7352,6.7141,6.7141,46506.0
1977-07-01,6.7352,6.7773,6.7352,6.7773,22169.0
1977-07-05,6.7773,6.8194,6.7562,6.7983,27952.0
1977-07-06,6.8404,6.8825,6.8404,6.8404,24337.0
1977-07-07,6.8404,6.9036,6.8404,6.9036,46747.0
1977-07-08,6.9036,6.9246,6.8615,6.9036,20482.0
1977-07-11,6.9036,6.9457,6.8825,6.9457,23133.0
1977-07-12,6.9457,6.9667,6.9036,6.9457,33976.0
1977-07-13,6.9457,6.9667,6.9246,6.9667,22651.0
1977-07-15,6.9667,6.9878,6.9457,6.9667,27229.0
1977-07-18,6.9036,6.9036,6.7983,6.8404,19036.0
1977-07-19,6.8404,6.9457,6.8404,6.9457,19759.0
1977-07-20,6.9457,7.0088,6.9457,6.9878,36867.0
1977-07-21,6.9878,7.0298,6.9878,7.0298,23855.0
1977-07-22,7.0088,7.0088,6.9246,6.9246,30602.0
1977-07-25,6.9246,6.9667,6.9246,6.9457,53494.0
1977-07-26,6.9457,6.9878,6.9246,6.9667,19277.0
1977-07-27,6.9667,7.0088,6.9246,6.9457,15904.0
1977-07-28,6.9457,6.9457,6.8615,6.8825,39277.0
1977-07-29,6.8825,6.9246,6.7983,6.8404,34458.0
1977-08-01,6.8404,6.8825,6.8194,6.8194,31807.0
1977-08-02,6.8194,6.8404,6.7773,6.8404,17349.0
1977-08-03,6.8404,6.8825,6.7773,6.8615,19518.0
1977-08-04,6.8615,6.9246,6.8404,6.9246,20482.0
1977-08-05,6.9246,7.0088,6.9036,7.0088,21205.0
1977-08-08,7.0088,7.0088,6.9457,6.9457,18072.0
1977-08-09,6.9457,6.9667,6.8404,6.8404,19277.0
1977-08-10,6.8404,6.9457,6.8404,6.9457,17349.0
1977-08-11,6.9457,7.0088,6.8825,6.8825,25542.0
1977-08-12,6.8825,6.8825,6.8194,6.8404,10120.0
1977-08-15,6.8404,6.8615,6.6931,6.7773,12771.0
1977-08-16,6.672,6.672,6.5037,6.5037,15181.0
1977-08-17,6.4405,6.4405,6.2932,6.4405,46506.0
1977-08-18,6.4405,6.4616,6.4195,6.4616,14940.0
1977-08-19,6.4616,6.4826,6.3984,6.4195,31566.0
1977-08-22,6.4195,6.4826,6.3984,6.4405,18313.0
1977-08-23,6.4405,6.4826,6.4195,6.4826,13253.0
1977-08-24,6.4826,6.5037,6.4405,6.4826,13253.0
1977-08-25,6.4826,6.5037,6.4616,6.4826,12771.0
1977-08-26,6.5037,6.6089,6.5037,6.5878,37831.0
1977-08-29,6.5879,6.651,6.5879,6.6089,18313.0
1977-08-30,6.6089,6.6299,6.6089,6.6089,53253.0
1977-08-31,6.6089,6.672,6.6089,6.672,26506.0
1977-09-01,6.6931,6.7352,6.6931,6.6931,26988.0
1977-09-02,6.7352,6.7983,6.7352,6.7773,17831.0
1977-09-06,6.7773,6.7983,6.7352,6.7562,32530.0
1977-09-07,6.7562,6.8194,6.7352,6.8194,14940.0
1977-09-08,6.8194,6.9457,6.7983,6.8194,23133.0
1977-09-09,6.7983,6.7983,6.7352,6.7773,30120.0
1977-09-12,6.7562,6.7562,6.7141,6.7352,25060.0
1977-09-13,6.7352,6.7773,6.672,6.7562,34699.0
1977-09-14,6.7562,6.7773,6.7141,6.7562,20000.0
1977-09-15,6.7562,6.7562,6.7352,6.7352,35904.0
1977-09-16,6.7352,6.7562,6.7352,6.7562,47470.0
1977-09-19,6.7562,6.7562,6.7141,6.7352,17590.0
1977-09-20,6.7352,6.7562,6.6931,6.7352,34940.0
1977-09-21,6.7352,6.7773,6.672,6.6931,105060.0
1977-09-22,6.6931,6.6931,6.6089,6.6299,58554.0
1977-09-23,6.6299,6.6299,6.5879,6.6089,9639.0
1977-09-26,6.6089,6.6089,6.5247,6.5458,28434.0
1977-09-27,6.5458,6.5879,6.4826,6.5247,27711.0
1977-09-28,6.5247,6.5458,6.4826,6.4826,14458.0
1977-09-29,6.4826,6.5458,6.4616,6.5458,20000.0
1977-09-30,6.5458,6.5668,6.5037,6.5668,21928.0
1977-10-03,6.5879,6.672,6.5879,6.672,22892.0
1977-10-04,6.672,6.7141,6.5668,6.672,23855.0
1977-10-05,6.672,6.6931,6.6299,6.651,17108.0
1977-10-06,6.651,6.7352,6.6299,6.6931,67952.0
1977-10-07,6.6931,6.7141,6.651,6.6931,155663.0
