date,open,high,low,close,volume
1962-01-02,0.4615,0.466,0.457,0.4615,163200.0
1962-01-03,0.4615,0.466,0.457,0.466,156000.0
1962-01-04,0.4765,0.4914,0.4765,0.478,355200.0
1962-01-05,0.478,0.4884,0.4765,0.4825,163200.0
1962-01-08,0.4825,0.4899,0.4795,0.4854,204000.0
1962-01-09,0.4854,0.4944,0.481,0.4899,290400.0
1962-01-10,0.4899,0.4929,0.4825,0.484,182400.0
1962-01-11,0.484,0.4914,0.4795,0.4914,384000.0
1962-01-12,0.4914,0.5004,0.4854,0.4944,352800.0
1962-01-15,0.4944,0.4974,0.4854,0.4929,280800.0
1962-01-16,0.4914,0.4914,0.4854,0.4884,163200.0
1962-01-17,0.4884,0.4944,0.4854,0.4869,160800.0
1962-01-18,0.4869,0.4975,0.4869,0.4975,261600.0
1962-01-19,0.4975,0.5065,0.4884,0.5065,357600.0
1962-01-22,0.5065,0.5125,0.505,0.505,261600.0
1962-01-23,0.505,0.5095,0.4944,0.4944,223200.0
1962-01-24,0.4944,0.4944,0.4824,0.4914,120000.0
1962-01-25,0.4914,0.499,0.4899,0.4944,151200.0
1962-01-26,0.4944,0.499,0.4884,0.4944,108000.0
1962-01-29,0.4944,0.499,0.4929,0.499,122400.0
1962-01-30,0.4975,0.4975,0.4899,0.4914,120000.0
1962-01-31,0.4914,0.499,0.4914,0.4944,189600.0
1962-02-01,0.4944,0.5065,0.4944,0.5035,112800.0
1962-02-02,0.5035,0.505,0.499,0.5005,199200.0
1962-02-05,0.5005,0.502,0.499,0.499,96000.0
1962-02-06,0.5005,0.505,0.5005,0.502,105600.0
1962-02-07,0.502,0.505,0.496,0.496,122400.0
1962-02-08,0.496,0.4975,0.496,0.496,141600.0
1962-02-09,0.496,0.4975,0.4899,0.4899,115200.0
1962-02-12,0.4899,0.4914,0.4839,0.4914,98400.0
1962-02-13,0.4914,0.4929,0.4869,0.4899,86400.0
1962-02-14,0.4899,0.4899,0.4824,0.4854,177600.0
1962-02-15,0.4839,0.4839,0.4764,0.4824,60000.0
1962-02-16,0.4824,0.4884,0.4733,0.4854,88800.0
1962-02-19,0.4854,0.4899,0.4809,0.4854,170400.0
1962-02-20,0.4854,0.4869,0.4824,0.4839,67200.0
1962-02-21,0.4839,0.4839,0.4703,0.4733,98400.0
1962-02-23,0.4733,0.4794,0.4703,0.4733,96000.0
1962-02-26,0.4824,0.4914,0.4824,0.4914,158400.0
1962-02-27,0.4914,0.4944,0.4854,0.4869,117600.0
1962-02-28,0.4869,0.4929,0.4824,0.4869,139200.0
1962-03-01,0.4869,0.4929,0.4869,0.4869,74400.0
1962-03-02,0.4869,0.4884,0.4824,0.4884,105600.0
1962-03-05,0.4884,0.4899,0.4824,0.4884,79200.0
1962-03-06,0.4884,0.4929,0.4824,0.4854,98400.0
1962-03-07,0.4854,0.4854,0.4764,0.4794,172800.0
1962-03-08,0.4794,0.4809,0.4733,0.4749,98400.0
1962-03-09,0.4749,0.4764,0.4733,0.4733,86400.0
1962-03-12,0.4733,0.4749,0.4673,0.4673,96000.0
1962-03-13,0.4673,0.4733,0.4598,0.4703,141600.0
1962-03-14,0.4718,0.4809,0.4718,0.4809,117600.0
1962-03-15,0.4809,0.4809,0.4733,0.4764,139200.0
1962-03-16,0.4764,0.4809,0.4764,0.4809,79200.0
1962-03-19,0.4809,0.4869,0.4779,0.4809,105600.0
1962-03-20,0.4824,0.4914,0.4824,0.4914,177600.0
1962-03-21,0.4914,0.4929,0.4764,0.4794,232800.0
1962-03-22,0.4824,0.4899,0.4824,0.4869,268800.0
1962-03-23,0.4869,0.4914,0.4839,0.4869,189600.0
1962-03-26,0.4869,0.4884,0.4794,0.4839,124800.0
1962-03-27,0.4839,0.4854,0.4824,0.4839,112800.0
1962-03-28,0.4839,0.4929,0.4839,0.4929,146400.0
1962-03-29,0.4929,0.4929,0.4854,0.4869,91200.0
1962-03-30,0.4869,0.4929,0.4854,0.4929,86400.0
1962-04-02,0.4914,0.4914,0.4809,0.4839,230400.0
1962-04-03,0.4839,0.4899,0.4809,0.4824,168000.0
1962-04-04,0.4824,0.4869,0.4809,0.4839,115200.0
1962-04-05,0.4839,0.4884,0.4824,0.4884,192000.0
1962-04-06,0.4869,0.4869,0.4809,0.4869,148800.0
1962-04-09,0.4869,0.4869,0.4809,0.4809,124800.0
1962-04-10,0.4809,0.4854,0.4779,0.4854,120000.0
1962-04-11,0.4854,0.4899,0.4794,0.4839,182400.0
1962-04-12,0.4809,0.4809,0.4733,0.4794,158400.0
1962-04-13,0.4779,0.4779,0.4673,0.4673,38400.0
1962-04-16,0.4688,0.4688,0.4521,0.4582,129600.0
1962-04-17,0.4597,0.4719,0.4597,0.4643,172800.0
1962-04-18,0.4643,0.4703,0.4612,0.4673,132000.0
1962-04-19,0.4673,0.4734,0.4673,0.4673,81600.0
1962-04-23,0.4658,0.4658,0.4491,0.4506,136800.0
1962-04-24,0.4521,0.4582,0.4521,0.4582,103200.0
1962-04-25,0.4552,0.4552,0.4461,0.4461,120000.0
1962-04-26,0.4476,0.4597,0.4476,0.4521,163200.0
1962-04-27,0.4521,0.4537,0.443,0.4491,182400.0
1962-04-30,0.4491,0.4491,0.4279,0.4309,187200.0
1962-05-01,0.4309,0.4355,0.4157,0.4339,228000.0
1962-05-02,0.4339,0.4415,0.4339,0.437,139200.0
1962-05-03,0.437,0.4567,0.4355,0.4567,79200.0
1962-05-04,0.4567,0.4612,0.4521,0.4521,76800.0
1962-05-07,0.4521,0.4552,0.4491,0.4521,182400.0
1962-05-08,0.4521,0.4582,0.4506,0.4521,129600.0
1962-05-09,0.4521,0.4552,0.437,0.4491,96000.0
1962-05-10,0.4476,0.4476,0.4279,0.4294,16800.0
1962-05-11,0.4294,0.4294,0.4233,0.4294,141600.0
1962-05-14,0.4294,0.4461,0.4218,0.4218,146400.0
1962-05-15,0.437,0.4476,0.437,0.4446,132000.0
1962-05-16,0.4446,0.4446,0.4385,0.4415,103200.0
1962-05-17,0.4415,0.443,0.437,0.44,180000.0
1962-05-18,0.443,0.4521,0.443,0.4476,187200.0
1962-05-21,0.4476,0.4476,0.44,0.443,132000.0
1962-05-22,0.443,0.4461,0.437,0.437,117600.0
1962-05-23,0.437,0.4385,0.4233,0.4263,256800.0
1962-05-24,0.4263,0.4355,0.4203,0.4218,336000.0
1962-05-25,0.4218,0.4248,0.4157,0.4203,156000.0
1962-05-28,0.4203,0.4203,0.3975,0.3975,148800.0
1962-05-29,0.3975,0.4188,0.3763,0.3945,451200.0
1962-05-31,0.4066,0.4203,0.4066,0.4172,196800.0
1962-06-01,0.4172,0.4233,0.4127,0.4233,148800.0
1962-06-04,0.4157,0.4157,0.4036,0.4051,158400.0
1962-06-05,0.4051,0.4172,0.4021,0.4112,196800.0
1962-06-06,0.4157,0.4263,0.4157,0.4188,141600.0
1962-06-07,0.4188,0.4339,0.4172,0.4248,153600.0
1962-06-08,0.4233,0.4233,0.4142,0.4233,112800.0
1962-06-11,0.4218,0.4218,0.4051,0.4097,120000.0
1962-06-12,0.4066,0.4066,0.4021,0.4066,220800.0
1962-06-13,0.4066,0.4188,0.4006,0.4021,266400.0
1962-06-14,0.4006,0.4006,0.3899,0.3899,544800.0
1962-06-15,0.3899,0.399,0.3899,0.399,278400.0
1962-06-18,0.4021,0.4081,0.4021,0.4021,199200.0
1962-06-19,0.4021,0.4051,0.3975,0.4051,148800.0
1962-06-20,0.4051,0.4051,0.3945,0.3975,139200.0
1962-06-21,0.3975,0.4036,0.3884,0.3884,225600.0
1962-06-22,0.3884,0.3945,0.3748,0.3748,379200.0
1962-06-25,0.3732,0.3732,0.3581,0.3596,319200.0
1962-06-26,0.3596,0.3717,0.3581,0.3657,211200.0
1962-06-27,0.3641,0.3641,0.3581,0.3641,124800.0
1962-06-28,0.3702,0.3915,0.3702,0.3839,146400.0
1962-06-29,0.3839,0.3945,0.3823,0.3869,158400.0
1962-07-02,0.3869,0.3975,0.3823,0.3884,122400.0
1962-07-03,0.3884,0.396,0.3884,0.393,120000.0
1962-07-05,0.396,0.4066,0.396,0.4036,98400.0
1962-07-06,0.4036,0.4036,0.3884,0.4006,108000.0
1962-07-09,0.399,0.399,0.393,0.399,96000.0
1962-07-10,0.4006,0.4172,0.4006,0.4006,321600.0
1962-07-11,0.396,0.396,0.3884,0.3945,160800.0
1962-07-12,0.3945,0.4006,0.3945,0.396,136800.0
1962-07-13,0.396,0.3975,0.3899,0.3899,117600.0
1962-07-16,0.3899,0.399,0.3899,0.3945,132000.0
1962-07-17,0.3975,0.3991,0.3899,0.3914,283200.0
1962-07-18,0.3884,0.3884,0.3807,0.3823,170400.0
1962-07-19,0.3823,0.3884,0.3807,0.3823,175200.0
1962-07-20,0.3838,0.393,0.3838,0.3899,172800.0
1962-07-23,0.3899,0.3945,0.3853,0.3868,127200.0
1962-07-24,0.3853,0.3853,0.3792,0.3792,302400.0
1962-07-25,0.3761,0.3761,0.3608,0.3746,196800.0
1962-07-26,0.3731,0.3731,0.37,0.3731,112800.0
1962-07-27,0.3731,0.3838,0.3716,0.3792,105600.0
1962-07-30,0.3792,0.3853,0.3777,0.3807,100800.0
1962-07-31,0.3807,0.3884,0.3807,0.3884,132000.0
1962-08-01,0.3884,0.3899,0.3838,0.3868,201600.0
1962-08-02,0.3868,0.3899,0.3838,0.3868,103200.0
1962-08-03,0.3868,0.3914,0.3868,0.3914,52800.0
1962-08-06,0.3914,0.396,0.3914,0.3945,88800.0
1962-08-07,0.3945,0.3975,0.3868,0.396,151200.0
1962-08-08,0.393,0.393,0.3868,0.3899,115200.0
1962-08-09,0.3899,0.3914,0.3853,0.3868,172800.0
1962-08-10,0.3868,0.3884,0.3823,0.3853,134400.0
1962-08-13,0.3853,0.3884,0.3792,0.3823,235200.0
1962-08-14,0.3823,0.3899,0.3807,0.3853,160800.0
1962-08-15,0.3899,0.4128,0.3899,0.4128,304800.0
1962-08-16,0.4128,0.4159,0.4067,0.4128,175200.0
1962-08-17,0.4128,0.4159,0.4067,0.4128,163200.0
1962-08-20,0.4128,0.4174,0.4113,0.4113,141600.0
1962-08-21,0.4113,0.4174,0.4067,0.4113,160800.0
1962-08-22,0.4144,0.4205,0.4144,0.419,235200.0
1962-08-23,0.419,0.4342,0.4174,0.4235,247200.0
1962-08-24,0.4235,0.4327,0.4235,0.4281,76800.0
1962-08-27,0.4281,0.4327,0.4235,0.4327,168000.0
1962-08-28,0.4327,0.4327,0.4281,0.4281,180000.0
1962-08-29,0.4281,0.4327,0.422,0.4281,290400.0
1962-08-30,0.4281,0.4327,0.4281,0.4281,168000.0
1962-08-31,0.4297,0.4373,0.4297,0.4297,93600.0
1962-09-04,0.4297,0.4388,0.4251,0.4251,228000.0
1962-09-05,0.422,0.422,0.4113,0.4144,386400.0
1962-09-06,0.4144,0.4159,0.4082,0.4144,182400.0
1962-09-07,0.4144,0.4205,0.4098,0.4205,290400.0
1962-09-10,0.419,0.419,0.4082,0.4128,165600.0
1962-09-11,0.4128,0.4159,0.4113,0.4144,103200.0
1962-09-12,0.4144,0.4205,0.4128,0.4159,103200.0
1962-09-13,0.419,0.4281,0.419,0.4266,120000.0
1962-09-14,0.4266,0.4281,0.4128,0.4128,144000.0
1962-09-17,0.4128,0.4174,0.4098,0.4113,232800.0
1962-09-18,0.4113,0.419,0.4113,0.4174,204000.0
1962-09-19,0.4082,0.4144,0.4082,0.4128,134400.0
1962-09-20,0.4128,0.419,0.4128,0.4174,160800.0
1962-09-21,0.4128,0.4128,0.4082,0.4128,230400.0
1962-09-24,0.4082,0.4082,0.3975,0.4021,261600.0
1962-09-25,0.4021,0.4082,0.4021,0.4082,112800.0
1962-09-26,0.4082,0.4082,0.396,0.396,211200.0
