date,open,high,low,close,volume
1987-07-24,1.8743,1.9045,1.8743,1.9045,15566400.0
1987-07-27,1.9045,1.9045,1.8743,1.8894,1931200.0
1987-07-28,1.8894,1.8894,1.8743,1.8743,2074800.0
1987-07-29,1.8743,1.8894,1.8743,1.8743,4930800.0
1987-07-30,1.8743,1.8894,1.8441,1.8441,4654400.0
1987-07-31,1.829,1.829,1.7231,1.7534,3006800.0
1987-08-03,1.7534,1.8592,1.6929,1.8592,1277600.0
1987-08-04,1.8592,1.8894,1.8138,1.829,698400.0
1987-08-05,1.829,1.8441,1.8138,1.829,262000.0
1987-08-06,1.829,1.829,1.7987,1.8138,480400.0
1987-08-07,1.8138,1.8592,1.8138,1.8592,582400.0
1987-08-10,1.8592,1.9196,1.8441,1.8894,1524800.0
1987-08-11,1.8894,1.9045,1.8743,1.9045,2395200.0
1987-08-12,1.9045,1.9045,1.8894,1.9045,1514400.0
1987-08-13,1.9045,1.9045,1.8592,1.8743,516000.0
1987-08-14,1.8743,1.9045,1.8592,1.8743,324000.0
1987-08-17,1.8743,1.8743,1.8592,1.8743,183600.0
1987-08-18,1.8743,1.8743,1.7987,1.7987,554400.0
1987-08-19,1.7987,1.8138,1.7685,1.8138,304400.0
1987-08-20,1.8138,1.8441,1.8138,1.8138,516000.0
1987-08-21,1.8138,1.8592,1.7987,1.8441,620400.0
1987-08-24,1.8592,1.9045,1.8592,1.9045,1596800.0
1987-08-25,1.9045,2.0103,1.9045,1.9952,1371600.0
1987-08-26,2.0255,2.1161,2.0255,2.0859,1897200.0
1987-08-27,2.0859,2.0859,2.0255,2.0406,604800.0
1987-08-28,2.0406,2.0557,2.0255,2.0557,171200.0
1987-08-31,2.0406,2.0406,2.0103,2.0406,192000.0
1987-09-01,2.0406,2.0708,2.0255,2.0255,1219600.0
1987-09-02,2.0255,2.0406,1.9196,1.9348,1449600.0
1987-09-03,1.9348,1.9801,1.9045,1.9348,252400.0
1987-09-04,1.9348,1.9348,1.8894,1.9196,225600.0
1987-09-08,1.9196,1.9196,1.829,1.8743,536000.0
1987-09-09,1.8743,1.8743,1.8441,1.8592,376800.0
1987-09-10,1.8592,1.8743,1.829,1.8592,803600.0
1987-09-11,1.8592,1.9196,1.8592,1.9045,519600.0
1987-09-14,1.9045,1.9348,1.8894,1.9196,206400.0
1987-09-15,1.9196,1.9348,1.9045,1.9196,78000.0
1987-09-16,1.9196,1.9348,1.9045,1.9348,390400.0
1987-09-17,1.9196,1.9196,1.9045,1.9045,134400.0
1987-09-18,1.9045,1.9196,1.8894,1.8894,95600.0
1987-09-21,1.9045,1.9196,1.9045,1.9196,485600.0
