date,open,high,low,close,volume
1973-05-02,0.4201,0.4273,0.4201,0.4273,672000.0
1973-05-03,0.4273,0.4301,0.4173,0.4284,739200.0
1973-05-04,0.4284,0.4334,0.4251,0.4273,1339200.0
1973-05-07,0.4273,0.4307,0.424,0.4251,316800.0
1973-05-08,0.4251,0.4251,0.4162,0.4245,619200.0
1973-05-09,0.4245,0.4273,0.4229,0.4229,508800.0
1973-05-10,0.4229,0.4251,0.4212,0.4229,307200.0
1973-05-11,0.4229,0.4251,0.4218,0.4229,451200.0
1973-05-14,0.4229,0.424,0.4168,0.4168,657600.0
1973-05-15,0.4168,0.4207,0.4151,0.4184,830400.0
1973-05-16,0.4184,0.4218,0.4151,0.4184,331200.0
1973-05-17,0.4184,0.4184,0.4151,0.4151,619200.0
1973-05-18,0.4129,0.4129,0.4073,0.4079,604800.0
1973-05-21,0.4051,0.4051,0.399,0.4006,1022400.0
1973-05-22,0.4028,0.4073,0.4028,0.4045,1099200.0
1973-05-23,0.4017,0.4017,0.3995,0.4006,768000.0
1973-05-24,0.3939,0.3939,0.3862,0.39,1483200.0
1973-05-25,0.39,0.3939,0.3778,0.3928,3124800.0
1973-05-29,0.3928,0.3973,0.3906,0.3934,1756800.0
1973-05-30,0.3939,0.3939,0.3856,0.3889,2478400.0
1973-05-31,0.3889,0.3889,0.3806,0.3823,3008000.0
1973-06-01,0.3739,0.3739,0.3672,0.3722,800000.0
1973-06-04,0.3656,0.3656,0.3556,0.3556,531200.0
1973-06-05,0.3556,0.3622,0.3372,0.3455,1417600.0
1973-06-06,0.3455,0.3505,0.3155,0.3288,2070400.0
1973-06-07,0.3288,0.3622,0.3272,0.3422,2363200.0
1973-06-08,0.3489,0.3722,0.3489,0.3672,1230400.0
1973-06-11,0.3672,0.3706,0.3639,0.3689,576000.0
1973-06-12,0.3739,0.3873,0.3739,0.3839,857600.0
1973-06-13,0.3839,0.3906,0.3739,0.3773,876800.0
1973-06-14,0.3773,0.3789,0.3672,0.3706,1216000.0
1973-06-15,0.3689,0.3689,0.3489,0.3489,465600.0
1973-06-18,0.3489,0.3539,0.3472,0.3505,457600.0
1973-06-19,0.3539,0.3706,0.3539,0.3706,566400.0
1973-06-20,0.3756,0.3873,0.3756,0.3823,944000.0
