date,open,high,low,close,volume
1981-12-31,0.9728,0.9907,0.9668,0.9698,1420670.0
1982-01-04,0.9608,0.9668,0.9518,0.9548,2069219.0
1982-01-05,0.9309,0.9488,0.9129,0.9189,4173857.0
1982-01-06,0.9129,0.9429,0.883,0.9009,3855878.0
1982-01-07,0.892,0.9009,0.883,0.892,1511183.0
1982-01-08,0.889,0.9009,0.874,0.874,1861431.0
1982-01-11,0.8561,0.877,0.8321,0.8381,2428125.0
1982-01-12,0.8291,0.8471,0.8112,0.8231,3504056.0
1982-01-13,0.8321,0.8441,0.8171,0.8201,1692210.0
1982-01-14,0.8261,0.8441,0.8082,0.8441,2596559.0
1982-01-15,0.895,0.9399,0.8501,0.9279,7508692.0
1982-01-18,0.9339,0.9608,0.9039,0.9608,7078162.0
1982-01-19,0.9518,0.9758,0.9279,0.9339,7444152.0
1982-01-20,0.9009,0.9249,0.877,0.889,5527625.0
1982-01-21,0.9069,0.9189,0.892,0.9069,7028576.0
1982-01-22,0.9129,0.9219,0.9009,0.9039,2916898.0
1982-01-25,0.9129,0.9369,0.889,0.9369,3098713.0
1982-01-26,0.9399,0.9578,0.9219,0.9279,3584338.0
1982-01-27,0.9339,0.9458,0.9219,0.9339,2958613.0
1982-01-28,0.9369,0.9458,0.9249,0.9399,4318678.0
1982-01-29,0.9458,0.9608,0.9309,0.9339,6637400.0
1982-02-01,0.9199,0.9351,0.9017,0.9199,2565076.0
1982-02-02,0.9108,0.9199,0.8987,0.8987,2463543.0
1982-02-03,0.8835,0.9078,0.8592,0.8653,2934214.0
1982-02-04,0.8804,0.8987,0.8592,0.8956,4710641.0
1982-02-05,0.8926,0.9078,0.8774,0.8987,4278538.0
1982-02-08,0.8744,0.8987,0.8501,0.8531,2663460.0
1982-02-09,0.8379,0.8531,0.8228,0.8349,4531188.0
1982-02-10,0.847,0.8531,0.8379,0.844,3217561.0
1982-02-11,0.8926,0.9351,0.847,0.9351,5796804.0
1982-02-12,0.9047,0.9351,0.8713,0.8956,8000613.0
1982-02-16,0.8835,0.9047,0.8622,0.8987,3146724.0
1982-02-17,0.8713,0.8956,0.844,0.8562,3310436.0
1982-02-18,0.8562,0.8683,0.841,0.847,2898796.0
1982-02-19,0.8258,0.8531,0.7985,0.8136,4030609.0
1982-02-22,0.7742,0.8167,0.7317,0.7469,3710270.0
1982-02-23,0.7833,0.8197,0.7469,0.8076,4094362.0
1982-02-24,0.8106,0.8319,0.7894,0.8045,5476465.0
1982-02-25,0.7863,0.8045,0.7681,0.7772,2432848.0
1982-02-26,0.7803,0.7894,0.7681,0.7803,2063710.0
1982-03-01,0.7742,0.7833,0.7651,0.7651,2313212.0
1982-03-02,0.756,0.7742,0.7347,0.7408,2203022.0
1982-03-03,0.7195,0.7317,0.7044,0.7195,4190385.0
1982-03-04,0.7256,0.7347,0.7135,0.7195,4446184.0
1982-03-05,0.7165,0.7317,0.6983,0.7074,2695731.0
1982-03-08,0.6952,0.7195,0.671,0.677,2157371.0
1982-03-09,0.6801,0.7044,0.6558,0.6861,2588688.0
1982-03-10,0.6801,0.6892,0.6679,0.6679,3031811.0
1982-03-11,0.671,0.6801,0.6588,0.671,4148670.0
1982-03-12,0.674,0.6861,0.6618,0.6861,2238440.0
1982-03-15,0.7044,0.7286,0.6801,0.7286,2013337.0
1982-03-16,0.7135,0.7256,0.6983,0.7165,1831523.0
1982-03-17,0.6892,0.7013,0.677,0.6922,1000372.0
1982-03-18,0.6983,0.7044,0.6892,0.6983,1294738.0
1982-03-19,0.7013,0.7104,0.6922,0.7044,1327795.0
1982-03-22,0.7135,0.7195,0.7044,0.7104,1268764.0
1982-03-23,0.7044,0.7135,0.6952,0.7013,1097969.0
1982-03-24,0.7135,0.7195,0.7044,0.7165,3734669.0
1982-03-25,0.7104,0.7165,0.7044,0.7044,1755963.0
1982-03-26,0.7074,0.7226,0.6922,0.7135,1722119.0
1982-03-29,0.7195,0.7347,0.7013,0.7347,1341962.0
1982-03-30,0.7286,0.7408,0.7165,0.7347,2434422.0
1982-03-31,0.7469,0.756,0.7347,0.7499,2202235.0
1982-04-01,0.759,0.7711,0.7469,0.7681,2661886.0
1982-04-02,0.7833,0.7924,0.7711,0.7924,1929907.0
1982-04-05,0.7863,0.7954,0.7772,0.7863,2044820.0
1982-04-06,0.7772,0.7863,0.7651,0.7833,4173857.0
1982-04-07,0.7803,0.7894,0.7681,0.7742,1360065.0
1982-04-08,0.7894,0.7985,0.7803,0.7894,1422244.0
1982-04-12,0.7803,0.7924,0.7651,0.7681,1116072.0
1982-04-13,0.762,0.7742,0.7469,0.7469,1456088.0
1982-04-14,0.756,0.762,0.7499,0.759,1312840.0
1982-04-15,0.7681,0.7833,0.7529,0.7772,1554472.0
1982-04-16,0.7803,0.7863,0.7711,0.7711,2216402.0
1982-04-19,0.756,0.7711,0.7377,0.7408,1730777.0
1982-04-20,0.7377,0.7438,0.7317,0.7347,1189270.0
1982-04-21,0.7408,0.7529,0.7286,0.7469,1086163.0
1982-04-22,0.7651,0.7742,0.7529,0.7711,1765408.0
1982-04-23,0.7863,0.7954,0.7742,0.7894,3086907.0
1982-04-26,0.7803,0.7924,0.7651,0.7742,2420254.0
1982-04-27,0.7772,0.7833,0.7711,0.7772,2074729.0
1982-04-28,0.7711,0.7772,0.7651,0.7681,1167232.0
1982-04-29,0.7651,0.7711,0.756,0.756,867356.0
1982-04-30,0.762,0.7681,0.756,0.7651,2635913.0
1982-05-03,0.7632,0.7694,0.757,0.7601,1744157.0
1982-05-04,0.7601,0.7694,0.7509,0.757,2180984.0
