date,open,high,low,close,volume
1986-07-09,7.1087,7.3581,7.0256,7.3166,1116800.0
1986-07-10,7.3581,7.3997,7.1087,7.275,595600.0
1986-07-11,7.2334,7.275,7.0256,7.0256,800400.0
1986-07-14,7.0671,7.0671,6.7346,6.8177,738000.0
1986-07-15,6.7761,6.7761,6.1941,6.6099,2059200.0
1986-07-16,6.6099,6.984,6.6099,6.7346,1160400.0
1986-07-17,6.7346,6.8177,6.6514,6.7761,1046000.0
1986-07-18,6.7761,6.8801,6.6514,6.8177,1420000.0
1986-07-21,6.8177,6.8593,6.7761,6.8177,322800.0
1986-07-22,6.8177,6.8385,6.7761,6.7761,390800.0
1986-07-23,6.8177,6.8177,6.6514,6.693,1004000.0
1986-07-24,6.693,6.7346,6.5267,6.6099,1071600.0
1986-07-25,6.6099,6.7346,6.5683,6.693,688400.0
1986-07-28,6.693,6.8177,6.6306,6.7346,414800.0
1986-07-29,6.6514,6.7761,6.6514,6.7761,278400.0
1986-07-30,6.693,6.7346,6.5683,6.7346,459200.0
1986-07-31,6.7346,6.8177,6.6514,6.693,1213600.0
1986-08-01,6.6514,6.7346,6.4851,6.4851,1118000.0
1986-08-04,6.5267,6.5267,6.3396,6.4851,892400.0
1986-08-05,6.4851,6.4851,6.3189,6.3604,868800.0
1986-08-06,6.3604,6.402,6.0694,6.0694,550400.0
1986-08-07,5.9863,6.0279,5.4043,5.5706,7560000.0
1986-08-08,5.6121,5.9447,5.5706,5.9031,2802000.0
1986-08-11,5.9863,6.0694,5.9031,6.0694,1428000.0
1986-08-12,6.0694,6.2773,6.0694,6.2357,1155200.0
1986-08-13,6.2773,6.7138,6.2357,6.4436,865600.0
1986-08-14,6.4851,6.5267,6.2357,6.3189,762000.0
1986-08-15,6.3189,6.3189,6.111,6.2357,654400.0
1986-08-18,6.2773,6.5683,6.1526,6.4436,606800.0
1986-08-19,6.4851,6.4851,6.3189,6.3604,2744000.0
1986-08-20,6.3604,6.3604,6.2357,6.3189,500000.0
1986-08-21,6.3189,6.3604,6.2773,6.2773,353200.0
1986-08-22,6.3189,6.3604,6.2357,6.2357,286000.0
1986-08-25,6.3189,6.3189,6.0694,6.1526,766400.0
1986-08-26,6.111,6.2357,6.111,6.2357,408800.0
1986-08-27,6.2357,6.2357,6.111,6.1941,686400.0
1986-08-28,6.1941,6.1941,6.0694,6.111,286000.0
1986-08-29,6.0694,6.1526,6.0279,6.0694,1128800.0
1986-09-02,6.111,6.111,5.7784,5.82,916800.0
1986-09-03,5.82,5.9447,5.7784,5.9447,684400.0
1986-09-04,5.9863,6.1941,5.9031,6.1941,576800.0
1986-09-05,6.1941,6.2773,5.9863,5.9863,961600.0
1986-09-08,6.0694,6.0694,5.7369,5.82,1793200.0
1986-09-09,5.7784,5.82,5.6537,5.7369,388000.0
1986-09-10,5.7369,5.7369,5.6537,5.6537,802400.0
1986-09-11,5.6953,5.6953,5.1549,5.2796,6240000.0
1986-09-12,5.238,5.2796,5.0301,5.0717,2066800.0
1986-09-15,5.0717,5.1549,4.947,5.0717,1746800.0
1986-09-16,5.0301,5.0717,4.8639,4.947,1547200.0
1986-09-17,4.9886,4.9886,4.6976,4.9054,997600.0
1986-09-18,4.9054,5.82,4.9054,5.82,833200.0
1986-09-19,5.82,5.82,5.4459,5.6953,928000.0
1986-09-22,5.6953,5.7784,5.5706,5.6537,464000.0
1986-09-23,5.6953,5.6953,5.3627,5.4874,436400.0
1986-09-24,5.4874,5.6953,5.4043,5.6537,649600.0
1986-09-25,5.6537,5.6537,5.529,5.529,305600.0
1986-09-26,5.529,5.6121,5.4874,5.529,278400.0
1986-09-29,5.5706,5.5706,5.3627,5.4874,724800.0
1986-09-30,5.4459,5.82,5.4459,5.6953,773200.0
1986-10-01,5.7784,5.82,5.6953,5.6953,668400.0
1986-10-02,5.6953,5.7369,5.6953,5.6953,592000.0
1986-10-03,5.7369,5.7369,5.4874,5.5706,228000.0
1986-10-06,5.6537,5.6537,5.529,5.6121,467600.0
1986-10-07,5.5706,5.6537,5.5706,5.6121,176000.0
1986-10-08,5.6537,5.7369,5.6121,5.7369,558800.0
1986-10-09,5.7369,5.7369,5.5706,5.6121,243200.0
1986-10-10,5.6121,5.6121,5.4874,5.529,238400.0
1986-10-13,5.5706,5.5706,5.3627,5.3627,362800.0
1986-10-14,5.3627,5.7369,5.3627,5.6537,612000.0
1986-10-15,5.6953,5.8616,5.6537,5.82,606800.0
1986-10-16,5.82,5.8616,5.7784,5.7784,269200.0
1986-10-17,5.82,5.82,5.6121,5.6537,216000.0
1986-10-20,5.6121,5.6537,5.3627,5.529,595200.0
1986-10-21,5.529,5.529,5.4459,5.4459,327200.0
1986-10-22,5.529,5.529,5.4459,5.4874,396000.0
1986-10-23,5.529,5.529,5.4874,5.5082,1358400.0
1986-10-24,5.529,5.5706,5.4874,5.529,809600.0
1986-10-27,5.5706,5.5706,5.4874,5.529,305200.0
1986-10-28,5.4874,5.6537,5.4874,5.6537,329200.0
1986-10-29,5.6537,5.9863,5.6537,5.9031,835600.0
1986-10-30,5.9031,6.111,5.8616,6.0279,973200.0
1986-10-31,6.0279,6.0279,5.9031,5.9863,632400.0
1986-11-03,5.9031,6.0279,5.9031,5.9863,408800.0
1986-11-04,5.9447,6.0279,5.9447,5.9447,283200.0
1986-11-05,5.9863,5.9863,5.9031,5.9031,231200.0
1986-11-06,5.9031,5.9447,5.6953,5.8616,434000.0
1986-11-07,5.8616,5.9447,5.82,5.8408,517200.0
1986-11-10,5.8616,5.8616,5.7369,5.82,503200.0
1986-11-11,5.8616,5.9447,5.7784,5.9447,142000.0
1986-11-12,5.9447,6.0071,5.9031,5.9655,669600.0
1986-11-13,5.9447,5.9863,5.5706,5.5706,578800.0
1986-11-14,5.529,5.6121,5.4459,5.5706,806000.0
1986-11-17,5.5706,5.6121,5.4874,5.5706,734400.0
1986-11-18,5.6121,5.6121,5.4459,5.4874,605600.0
1986-11-19,5.529,5.5706,5.4459,5.529,495600.0
1986-11-20,5.529,5.6537,5.529,5.6537,828400.0
1986-11-21,5.6953,5.9863,5.6537,5.9447,666800.0
1986-11-24,5.8616,6.1526,5.8616,6.0694,715600.0
1986-11-25,5.9863,6.0694,5.9447,5.9863,424000.0
1986-11-26,5.9447,6.0279,5.9447,6.0279,171600.0
1986-11-28,6.0279,6.0279,5.9031,5.9863,236000.0
1986-12-01,5.9863,6.0279,5.8616,5.9031,596000.0
1986-12-02,5.9447,5.9655,5.8824,5.9447,845600.0
1986-12-03,5.9031,6.0279,5.9031,6.0279,1016800.0
1986-12-04,5.9863,6.111,5.8616,5.9447,643200.0
1986-12-05,5.9031,5.9447,5.6537,5.6953,636400.0
1986-12-08,5.6537,5.7369,5.529,5.6537,712000.0
1986-12-09,5.6121,5.6953,5.6121,5.6121,302400.0
1986-12-10,5.6537,5.6537,5.529,5.5706,341200.0
1986-12-11,5.6121,5.6121,5.2796,5.3627,1172000.0
1986-12-12,5.4459,5.4459,5.3627,5.3627,332000.0
1986-12-15,5.3627,5.7369,5.3211,5.7369,768400.0
1986-12-16,5.6953,5.7784,5.6953,5.7784,770000.0
1986-12-17,5.7784,5.82,5.6537,5.6537,345200.0
1986-12-18,5.6537,5.7369,5.529,5.6121,349200.0
1986-12-19,5.6121,5.6537,5.5706,5.5706,883600.0
1986-12-22,5.6121,5.7369,5.5706,5.6537,371600.0
1986-12-23,5.6953,5.7369,5.529,5.5706,282800.0
1986-12-24,5.5706,5.5706,5.529,5.529,189200.0
1986-12-26,5.529,5.5706,5.4874,5.5706,180000.0
1986-12-29,5.529,5.5706,5.4043,5.5706,462000.0
1986-12-30,5.529,5.5706,5.4043,5.4459,485200.0
1986-12-31,5.5082,5.5706,5.4459,5.4459,378400.0
1987-01-02,5.4459,5.5706,5.4043,5.5498,363600.0
1987-01-05,5.5706,6.111,5.5706,6.0694,1222000.0
1987-01-06,6.0694,6.0694,5.8616,5.9031,1120000.0
1987-01-07,5.9863,6.2357,5.9863,6.2357,976800.0
1987-01-08,6.2357,6.4851,6.1941,6.4436,1178800.0
1987-01-09,6.4436,6.5683,6.402,6.4851,659600.0
1987-01-12,6.4436,6.4851,6.2773,6.2773,1713600.0
1987-01-13,6.2773,6.2773,6.111,6.2773,1000000.0
1987-01-14,6.2773,6.3189,6.1526,6.2357,1237600.0
1987-01-15,6.1941,6.2357,5.9447,6.0279,2141600.0
1987-01-16,6.0279,6.0279,5.8616,5.9031,722400.0
1987-01-19,5.9031,6.111,5.9031,6.0694,1030000.0
1987-01-20,6.111,6.2357,6.0694,6.1941,895200.0
1987-01-21,6.111,6.1526,5.9863,6.0694,923200.0
1987-01-22,6.111,6.2357,6.0694,6.2357,372800.0
1987-01-23,6.2357,6.5683,6.1526,6.2773,1741600.0
1987-01-26,6.3189,6.3189,6.111,6.1526,456800.0
1987-01-27,6.1526,6.4436,6.1526,6.4436,666400.0
1987-01-28,6.4436,6.6099,6.3604,6.6099,937200.0
1987-01-29,6.6514,6.693,6.402,6.4436,712000.0
1987-01-30,6.4851,6.4851,6.2773,6.4644,445200.0
1987-02-02,6.4851,6.5267,6.402,6.4436,483600.0
1987-02-03,6.4436,6.4436,6.2773,6.2773,739200.0
1987-02-04,6.3189,6.5267,6.2773,6.4851,1103600.0
1987-02-05,6.4851,6.7761,6.4436,6.7761,904000.0
1987-02-06,6.7346,6.8177,6.5267,6.5267,1008800.0
1987-02-09,6.5683,6.5683,6.3189,6.3604,663200.0
1987-02-10,6.4436,6.4436,6.3189,6.3604,423600.0
1987-02-11,6.402,6.6099,6.402,6.5267,394000.0
1987-02-12,6.5683,7.0671,6.5267,6.7346,1348800.0
1987-02-13,6.7346,6.8593,6.5683,6.8177,1257600.0
1987-02-17,6.8593,7.0671,6.8177,7.0256,1275200.0
1987-02-18,7.0671,7.275,6.984,7.0671,1346000.0
1987-02-19,7.0671,7.2334,7.0671,7.2334,432800.0
1987-02-20,7.1503,7.275,7.1503,7.1919,350000.0
1987-02-23,7.1919,7.2334,7.1087,7.1295,479200.0
1987-02-24,7.1087,7.1503,7.0671,7.1503,934800.0
1987-02-25,7.1503,7.3166,7.1087,7.2958,831600.0
1987-02-26,7.3166,7.5244,7.3166,7.4413,720000.0
1987-02-27,7.3789,7.4413,7.275,7.3581,314000.0
1987-03-02,7.3581,7.3581,7.1503,7.2334,560400.0
1987-03-03,7.1919,7.2334,7.1087,7.1919,411200.0
1987-03-04,7.1087,7.3997,7.1087,7.3789,508000.0
1987-03-05,7.3997,7.5244,7.3581,7.4413,684400.0
1987-03-06,7.4413,7.6076,7.3997,7.4413,741200.0
1987-03-09,7.4413,7.4829,7.3374,7.3997,481600.0
1987-03-10,7.3997,7.5244,7.3997,7.4829,206000.0
1987-03-11,7.4829,7.6491,7.4829,7.6076,837600.0
1987-03-12,7.6076,7.6076,7.4829,7.566,597600.0
1987-03-13,7.566,8.3974,7.566,8.0649,3545200.0
1987-03-16,8.1064,8.148,8.0649,8.1064,504000.0
1987-03-17,8.148,8.3974,8.1064,8.2311,1909600.0
1987-03-18,8.2311,8.3559,8.2311,8.2311,1048000.0
1987-03-19,8.2311,8.2727,8.148,8.2311,594800.0
1987-03-20,8.2727,8.3974,8.148,8.3143,1144000.0
1987-03-23,8.3143,8.3559,8.2727,8.2727,636800.0
1987-03-24,8.2727,8.3143,8.2311,8.2727,490400.0
1987-03-25,8.3143,8.3143,8.2311,8.2727,939600.0
1987-03-26,8.3143,8.6053,8.2727,8.4806,2110800.0
1987-03-27,8.5637,8.6053,8.4806,8.4806,810400.0
1987-03-30,8.4806,8.4806,7.6076,7.8154,1305600.0
1987-03-31,7.7739,8.0649,7.7323,7.9817,876400.0
1987-04-01,7.8154,7.9401,7.8154,7.8986,830000.0
1987-04-02,7.9817,8.1064,7.857,7.8986,566400.0
1987-04-03,7.9401,8.0233,7.857,8.0233,264800.0
1987-04-06,8.0233,8.148,8.0233,8.148,297600.0
1987-04-07,8.148,8.2311,7.8986,7.8986,304000.0
1987-04-08,7.8986,8.0233,7.8986,7.9817,507200.0
1987-04-09,7.9817,8.0233,7.8986,7.9817,310400.0
1987-04-10,7.9401,7.9401,7.8986,7.8986,442400.0
1987-04-13,7.857,7.8986,7.6491,7.6491,524000.0
1987-04-14,7.6491,7.6491,7.0256,7.0671,1610000.0
1987-04-15,7.2334,7.275,7.0256,7.1919,730400.0
1987-04-16,7.1919,7.3166,7.1503,7.2334,970800.0
1987-04-20,7.2334,7.3166,7.1503,7.2334,482800.0
1987-04-21,7.1919,7.2334,7.0671,7.2334,798800.0
1987-04-22,7.2334,7.3581,7.1503,7.1503,466800.0
1987-04-23,7.1919,7.1919,7.0256,7.1087,288400.0
1987-04-24,7.0671,7.1087,6.7346,6.7761,686000.0
1987-04-27,6.7761,6.7761,6.4851,6.6099,927200.0
1987-04-28,6.7346,6.7761,6.6514,6.693,978800.0
1987-04-29,6.693,6.7346,6.402,6.402,1031200.0
1987-04-30,6.4436,7.1919,6.3189,7.0671,1474800.0
1987-05-01,7.0671,7.0671,6.984,7.0256,763600.0
1987-05-04,7.0256,7.0256,6.8593,6.9424,791600.0
1987-05-05,6.9424,6.9424,6.8177,6.9009,403600.0
1987-05-06,6.8593,6.984,6.8177,6.9424,1174800.0
1987-05-07,6.984,7.0256,6.8593,6.9424,630400.0
1987-05-08,6.984,7.1503,6.9424,7.1087,518800.0
1987-05-11,7.1503,7.4413,7.0671,7.0671,783600.0
1987-05-12,7.1087,7.1503,6.984,7.1503,351200.0
1987-05-13,7.1503,7.3581,7.1087,7.3166,519200.0
1987-05-14,7.3581,7.4413,7.2334,7.2334,436400.0
1987-05-15,7.275,7.4829,7.2334,7.3166,1227600.0
1987-05-18,7.3581,7.3581,7.2334,7.3581,665200.0
1987-05-19,7.275,7.3581,7.1919,7.1919,691200.0
1987-05-20,7.275,7.275,7.1087,7.1503,1437200.0
1987-05-21,7.275,7.3581,7.275,7.275,426800.0
1987-05-22,7.3166,7.3166,7.1087,7.1919,463600.0
1987-05-26,7.1503,7.1919,7.0671,7.1919,851200.0
1987-05-27,7.1919,7.3581,7.1503,7.275,642800.0
1987-05-28,7.275,7.3166,7.1919,7.3166,269600.0
1987-05-29,7.2334,7.3166,7.1503,7.1919,454000.0
1987-06-01,7.1919,7.1919,7.0671,7.0671,270000.0
1987-06-02,7.0671,7.2334,6.9009,6.9009,1157200.0
1987-06-03,6.984,7.1087,6.984,7.0256,454400.0
1987-06-04,7.0256,7.1087,6.984,7.0671,339600.0
1987-06-05,7.0671,7.3166,7.0671,7.2334,298800.0
1987-06-08,7.2334,7.275,7.1503,7.2126,102000.0
1987-06-09,7.275,7.4413,7.2334,7.3581,553200.0
1987-06-10,7.4413,7.8986,7.3581,7.7323,1327600.0
1987-06-11,7.7739,7.7739,7.6907,7.7739,438000.0
1987-06-12,7.7739,8.0233,7.6907,7.9817,802000.0
1987-06-15,7.9817,8.0233,7.6491,7.7115,1014000.0
1987-06-16,7.7323,7.857,7.6907,7.8154,950400.0
1987-06-17,7.7739,7.857,7.7323,7.8154,305200.0
1987-06-18,7.7323,8.148,7.6491,7.8986,716400.0
1987-06-19,7.9401,8.0233,7.6907,7.7323,1115200.0
1987-06-22,7.8154,7.9401,7.7323,7.8778,1788800.0
1987-06-23,7.857,7.8986,7.6907,7.7946,522000.0
1987-06-24,7.8154,7.857,7.6907,7.7115,341200.0
1987-06-25,7.7323,7.7739,7.6491,7.6491,141200.0
1987-06-26,7.6491,7.6491,7.3997,7.6076,665600.0
1987-06-29,7.6491,7.6907,7.566,7.6076,174000.0
1987-06-30,7.566,7.6491,7.3997,7.4621,658800.0
1987-07-01,7.4621,7.4829,7.3997,7.4829,284000.0
1987-07-02,7.4829,7.6491,7.4413,7.6491,1198000.0
1987-07-06,7.566,7.6491,7.566,7.566,557200.0
1987-07-07,7.566,7.9401,7.566,7.8986,1249200.0
1987-07-08,7.857,7.9401,7.7739,7.7739,974800.0
1987-07-09,7.8154,7.8154,7.7323,7.7531,676000.0
1987-07-10,7.7739,7.857,7.7323,7.857,1556400.0
1987-07-13,7.7739,8.148,7.7739,8.0649,1487200.0
1987-07-14,8.0649,8.1896,8.0649,8.148,2787200.0
1987-07-15,8.148,8.1896,7.8986,7.9817,836400.0
1987-07-16,7.9401,7.9817,7.7323,7.9401,608800.0
1987-07-17,7.9817,7.9817,7.8154,7.8154,574000.0
1987-07-20,7.8154,7.857,7.7323,7.7739,333200.0
1987-07-21,7.7739,7.9401,7.6907,7.7739,506400.0
1987-07-22,7.7323,7.8154,7.7323,7.7323,419600.0
1987-07-23,7.7739,7.7739,7.5244,7.5868,607200.0
1987-07-24,7.6491,7.6907,7.566,7.6907,157600.0
1987-07-27,7.6491,7.6907,7.5244,7.5244,364000.0
1987-07-28,7.6076,7.6491,7.566,7.566,281200.0
1987-07-29,7.566,7.7323,7.566,7.6907,695200.0
1987-07-30,7.8154,7.9401,7.7323,7.9401,636400.0
1987-07-31,7.8986,7.9401,7.857,7.9401,402000.0
1987-08-03,7.8986,8.1064,7.7739,8.0233,455200.0
1987-08-04,7.9401,8.0233,7.8986,8.0233,434400.0
1987-08-05,7.9817,8.1064,7.9401,8.0233,400800.0
1987-08-06,8.0233,8.1064,7.9817,8.0649,300800.0
1987-08-07,8.1064,8.2935,8.0649,8.1896,726800.0
1987-08-10,8.1896,8.3974,8.1896,8.3143,2041600.0
1987-08-11,8.3143,8.6469,8.3143,8.5637,2023600.0
1987-08-12,8.5637,8.73,8.4806,8.5637,939600.0
1987-08-13,8.5637,8.6053,8.439,8.439,1182000.0
1987-08-14,8.439,8.4806,8.3559,8.439,324400.0
1987-08-17,8.3974,8.4806,8.148,8.3559,548000.0
1987-08-18,8.3559,8.3559,8.0233,8.148,503200.0
1987-08-19,8.148,8.148,8.0649,8.1064,449200.0
1987-08-20,8.148,8.439,8.0649,8.3559,536800.0
1987-08-21,8.439,8.5637,8.3974,8.5637,403600.0
1987-08-24,8.4806,8.5637,8.439,8.439,344000.0
1987-08-25,8.439,8.5221,8.439,8.4806,244400.0
1987-08-26,8.439,8.5637,8.439,8.4806,475200.0
1987-08-27,8.4806,8.5221,8.3974,8.4806,652800.0
1987-08-28,8.4806,8.4806,8.2311,8.3143,486400.0
1987-08-31,8.2727,8.3559,8.2311,8.3143,378400.0
1987-09-01,8.2727,8.3143,8.0649,8.1064,633600.0
1987-09-02,8.1064,8.148,7.9817,8.1064,476800.0
1987-09-03,8.1064,8.2311,7.9194,8.0233,445200.0
1987-09-04,8.0649,8.0649,7.9401,7.9401,405600.0
1987-09-08,7.9401,8.0233,7.4829,7.6076,1049200.0
1987-09-09,7.6076,7.6491,7.4413,7.5036,1743600.0
1987-09-10,7.5868,7.7323,7.5452,7.7323,691200.0
1987-09-11,7.7323,7.7739,7.6907,7.7323,207600.0
1987-09-14,7.7739,7.8154,7.7323,7.7323,589200.0
1987-09-15,7.8154,7.8154,7.5452,7.5452,787600.0
1987-09-16,7.566,7.566,7.2334,7.3166,736800.0
1987-09-17,7.3166,7.3581,7.0671,7.2334,932000.0
1987-09-18,7.1919,7.5244,7.1503,7.5244,531200.0
1987-09-21,7.5244,7.7739,7.275,7.275,1220800.0
1987-09-22,7.1503,7.6491,7.0256,7.6491,1428400.0
1987-09-23,7.6491,7.7739,7.6076,7.6907,1136400.0
1987-09-24,7.6076,7.6907,7.6076,7.6076,267600.0
1987-09-25,7.6491,7.857,7.6076,7.857,391200.0
1987-09-28,7.8986,8.0649,7.8154,7.8986,432400.0
1987-09-29,7.9401,7.9401,7.7739,7.8154,264400.0
1987-09-30,7.7739,7.7739,7.6076,7.6907,539200.0
1987-10-01,7.6907,7.857,7.6491,7.857,1227200.0
1987-10-02,7.7739,7.857,7.7739,7.8154,56800.0
1987-10-05,7.7739,7.8154,7.7323,7.7739,217600.0
1987-10-06,7.7323,7.7739,7.4413,7.4413,829600.0
1987-10-07,7.3581,7.4413,7.1711,7.275,576800.0
1987-10-08,7.3581,7.3581,7.0464,7.1919,429600.0
1987-10-09,7.1087,7.1919,6.7138,6.7761,3379600.0
1987-10-12,6.7346,6.7346,6.402,6.5267,1616400.0
1987-10-13,6.5683,6.6514,6.402,6.4851,2360400.0
1987-10-14,6.4851,6.4851,6.0694,6.4436,2875600.0
1987-10-15,6.4436,6.5267,6.1941,6.2357,1123200.0
1987-10-16,6.2357,6.3189,5.9863,6.0694,1344800.0
1987-10-19,5.9863,5.9863,5.2796,5.3211,1888800.0
1987-10-20,5.3627,5.4874,4.8223,4.947,2169600.0
1987-10-21,4.947,5.4874,4.9054,5.4459,3149200.0
1987-10-22,5.3627,5.4459,5.1133,5.238,1898400.0
1987-10-23,5.1964,5.1964,4.947,5.0301,2797200.0
1987-10-26,5.0301,5.0301,4.5313,4.5729,1159600.0
1987-10-27,4.656,4.8639,4.5313,4.6976,2040400.0
1987-10-28,4.5936,4.6976,4.4481,4.6144,2135600.0
1987-10-29,4.7391,4.9886,4.6976,4.947,2072000.0
1987-10-30,4.9054,5.238,4.9054,5.1549,980400.0
1987-11-02,5.1549,5.3627,5.0717,5.3211,960400.0
1987-11-03,5.2796,5.3211,4.9886,5.1133,468400.0
1987-11-04,5.1133,5.1964,4.9886,5.1549,1114800.0
1987-11-05,5.0717,5.2588,5.0301,5.1133,1002400.0
1987-11-06,5.1549,5.1549,5.0301,5.0301,1094800.0
1987-11-09,4.947,5.1133,4.7391,5.1133,1442800.0
1987-11-10,4.9886,5.0717,4.8639,4.947,510800.0
1987-11-11,4.947,5.0301,4.9054,5.0301,510000.0
1987-11-12,5.0301,5.1549,4.8639,4.8639,563200.0
1987-11-13,4.8639,4.947,4.7391,4.8223,951200.0
1987-11-16,4.8639,4.9054,4.7391,4.7807,815200.0
1987-11-17,4.7807,4.7807,4.656,4.6976,350400.0
1987-11-18,4.7391,4.7807,4.5313,4.6144,1465600.0
1987-11-19,4.6144,4.656,4.4481,4.4897,2077600.0
1987-11-20,4.4481,4.5729,4.3234,4.5313,1171200.0
1987-11-23,4.5313,4.7391,4.4897,4.6976,1280400.0
1987-11-24,4.7391,4.9886,4.6976,4.8639,1074000.0
1987-11-25,4.8639,4.8639,4.7391,4.8223,408800.0
1987-11-27,4.7391,4.8223,4.656,4.656,267600.0
1987-11-30,4.656,4.656,4.2819,4.4897,901200.0
1987-12-01,4.4897,4.5729,4.3234,4.4066,778000.0
1987-12-02,4.4897,4.4897,4.3442,4.365,853600.0
1987-12-03,4.365,4.4066,3.9909,4.0324,2047200.0
1987-12-04,3.9909,4.074,3.9077,4.0116,2125200.0
1987-12-07,4.0324,4.1156,3.9493,4.074,1709600.0
1987-12-08,4.1156,4.5313,4.074,4.4897,783600.0
1987-12-09,4.4481,4.6976,4.4481,4.6768,819600.0
1987-12-10,4.656,4.8223,4.4481,4.656,1622800.0
1987-12-11,4.6352,4.7391,4.5729,4.656,678000.0
1987-12-14,4.6144,4.7391,4.6144,4.656,485600.0
1987-12-15,4.6976,4.7184,4.6144,4.6352,830000.0
1987-12-16,4.6144,4.9886,4.5313,4.9886,1090800.0
1987-12-17,4.9886,5.0717,4.9054,4.9054,572800.0
1987-12-18,4.8639,5.4043,4.8639,5.3627,1738400.0
1987-12-21,5.3211,5.4874,5.2796,5.4459,1043200.0
1987-12-22,5.4459,5.5082,5.1964,5.238,864800.0
1987-12-23,5.238,5.529,5.1964,5.4251,754800.0
1987-12-24,5.4043,5.4874,5.4043,5.4043,136000.0
1987-12-28,5.4043,5.4459,5.1549,5.1549,765200.0
1987-12-29,5.1964,5.238,5.1549,5.1549,633200.0
1987-12-30,5.3211,5.4874,5.238,5.4459,1693600.0
1987-12-31,5.4459,5.4874,5.3211,5.4459,376800.0
1988-01-04,5.4043,5.6953,5.4043,5.5706,1062000.0
1988-01-05,5.6953,5.9863,5.6537,5.8616,2014800.0
1988-01-06,5.82,5.8616,5.7784,5.82,1394000.0
1988-01-07,5.82,5.82,5.6953,5.7784,458800.0
1988-01-08,5.7784,5.82,5.2588,5.2796,730400.0
1988-01-11,5.1964,5.5706,5.1549,5.529,963600.0
1988-01-12,5.529,5.5706,5.1964,5.3627,607200.0
