date,open,high,low,close,volume
2004-06-23,3.6798,4.244,3.6184,4.2194,43574400.0
2004-06-24,4.3053,4.3397,4.0477,4.1115,8887200.0
2004-06-25,4.0502,4.1091,3.8736,3.876,6710000.0
2004-06-28,3.9251,3.9766,3.7877,3.9251,2270800.0
2004-06-29,3.9251,4.0968,3.8834,4.0232,2112000.0
2004-06-30,4.0232,4.1557,3.9324,3.9422,2087600.0
2004-07-01,3.9447,3.9741,3.9005,3.9324,1754800.0
2004-07-02,3.9496,4.1655,3.9373,4.1655,993200.0
2004-07-06,4.1532,4.1704,4.0428,4.1704,1216800.0
2004-07-07,4.1459,4.1459,3.9373,4.0011,1787600.0
2004-07-08,4.0011,4.0011,3.8417,3.8613,2179200.0
2004-07-09,3.9103,4.0649,3.9005,4.0232,596800.0
2004-07-12,4.0723,4.1287,3.9619,4.1091,780800.0
2004-07-13,4.1066,4.1066,3.9447,3.9447,1674000.0
2004-07-14,3.9373,3.9373,3.822,3.8392,2366000.0
2004-07-15,3.8637,3.876,3.665,3.7632,1806000.0
2004-07-16,3.7779,4.0232,3.6699,3.9251,3278800.0
2004-07-19,3.9373,3.9668,3.8834,3.9275,954800.0
2004-07-20,3.9275,3.9692,3.8098,3.9398,2245200.0
2004-07-21,3.9496,3.9496,2.7108,2.8702,25415200.0
2004-07-22,2.8334,3.2333,2.7721,3.1842,9824800.0
2004-07-23,3.1769,3.3118,3.1278,3.1989,1674400.0
2004-07-26,3.324,3.324,3.1597,3.2578,1286000.0
2004-07-27,3.2823,3.2946,3.2137,3.2235,751200.0
2004-07-28,3.2014,3.2431,3.091,3.1867,1534800.0
2004-07-29,3.1891,3.275,3.1769,3.1793,908000.0
2004-07-30,3.1793,3.2382,3.0787,3.1916,815200.0
2004-08-02,3.1842,3.2087,3.0836,3.1425,1297600.0
2004-08-03,3.1401,3.2112,2.9413,2.9757,2944400.0
2004-08-04,2.9757,2.9806,2.9315,2.9389,2746800.0
2004-08-05,2.9413,2.9413,2.62,2.674,3030400.0
2004-08-06,2.674,2.6985,2.6273,2.6421,1797200.0
2004-08-09,2.6862,2.7108,2.6641,2.696,1121600.0
2004-08-10,2.6985,2.7083,2.669,2.6985,733200.0
2004-08-11,2.6862,2.6862,2.5979,2.6053,628400.0
2004-08-12,2.6298,2.6322,2.4335,2.4507,1578000.0
2004-08-13,2.4507,2.4654,2.3232,2.3526,2496000.0
2004-08-16,2.355,2.4164,2.2079,2.3845,2171200.0
2004-08-17,2.4237,2.696,2.4237,2.6911,2968000.0
2004-08-18,2.674,2.9806,2.62,2.9315,1697600.0
2004-08-19,2.9315,3.0051,2.8702,2.9855,1309600.0
2004-08-20,3.0665,3.2382,2.9168,3.091,4034800.0
2004-08-23,3.1155,3.1769,3.0321,3.0665,1127600.0
2004-08-24,3.091,3.1351,3.0468,3.1327,1072400.0
2004-08-25,3.1401,3.2014,3.0665,3.1793,1200800.0
2004-08-26,3.1818,3.1891,3.1425,3.1646,471200.0
2004-08-27,3.1891,3.2406,3.1646,3.2259,463600.0
2004-08-30,3.2431,3.2529,3.2038,3.2308,606000.0
2004-08-31,3.2382,3.2504,3.1155,3.1891,874400.0
2004-09-01,3.2382,3.2701,3.2284,3.2701,512800.0
2004-09-02,3.2578,3.4271,3.2578,3.4075,998800.0
2004-09-03,3.4099,3.4197,3.3412,3.3731,924000.0
2004-09-07,3.3756,3.3756,3.2872,3.2946,1192000.0
2004-09-08,3.2701,3.2701,3.2259,3.248,550000.0
2004-09-09,3.248,3.2627,3.1818,3.2308,2529200.0
2004-09-10,3.2259,3.508,3.2259,3.4958,2795200.0
2004-09-13,3.5326,3.8024,3.5326,3.7288,4345200.0
2004-09-14,3.7288,3.9471,3.6798,3.903,2052000.0
2004-09-15,3.9054,4.2047,3.8515,4.0085,4147200.0
2004-09-16,4.0109,4.0453,3.9398,3.9889,2518400.0
2004-09-17,3.9741,3.9766,3.6405,3.8441,4487600.0
2004-09-20,3.8637,3.9496,3.849,3.9275,597200.0
2004-09-21,3.9373,4.1459,3.9373,4.0134,2327200.0
2004-09-22,3.9987,3.9987,3.8785,3.9422,2076800.0
2004-09-23,3.9422,3.9422,3.8392,3.8539,1117600.0
2004-09-24,3.9153,4.1336,3.876,3.9349,2796000.0
2004-09-27,3.9251,3.9422,3.8049,3.8245,1380000.0
2004-09-28,3.8073,3.8122,3.6233,3.6798,1862800.0
2004-09-29,3.692,3.8932,3.692,3.8637,1700400.0
2004-09-30,3.8637,3.903,3.8318,3.8343,4521200.0
2004-10-01,3.8343,4.1164,3.8073,4.0845,2613600.0
2004-10-04,4.2072,4.3765,4.0624,4.1385,3153200.0
2004-10-05,4.1409,4.1998,4.0723,4.1459,1360800.0
2004-10-06,4.1459,4.2317,4.0453,4.2317,1433600.0
2004-10-07,4.3912,4.6169,4.32,4.5384,5887200.0
2004-10-08,4.5285,4.5285,4.2857,4.3225,2528400.0
