date,open,high,low,close,volume
1973-02-21,0.5959,0.5959,0.5959,0.5959,420800.0
1973-02-22,0.6074,0.6074,0.6074,0.6074,92800.0
1973-02-23,0.6246,0.6246,0.6246,0.6246,400000.0
1973-02-26,0.6131,0.6131,0.6131,0.6131,187200.0
1973-02-27,0.5673,0.5673,0.5673,0.5673,657600.0
1973-02-28,0.6074,0.6074,0.6074,0.6074,235200.0
1973-03-01,0.616,0.616,0.616,0.616,235200.0
1973-03-02,0.6217,0.6217,0.6217,0.6217,128000.0
1973-03-05,0.6074,0.6074,0.6074,0.6074,244800.0
1973-03-06,0.6103,0.6103,0.6103,0.6103,235200.0
1973-03-07,0.6217,0.6217,0.6217,0.6217,478400.0
1973-03-08,0.6418,0.6418,0.6418,0.6418,299200.0
1973-03-09,0.6303,0.6303,0.6303,0.6303,726400.0
1973-03-12,0.6504,0.6504,0.6504,0.6504,166400.0
1973-03-13,0.6475,0.6475,0.6475,0.6475,115200.0
1973-03-14,0.6418,0.6418,0.6418,0.6418,36800.0
1973-03-15,0.6475,0.6475,0.6475,0.6475,80000.0
1973-03-16,0.6561,0.6561,0.6561,0.6561,86400.0
1973-03-19,0.6475,0.6475,0.6475,0.6475,67200.0
1973-03-20,0.659,0.659,0.659,0.659,72000.0
1973-03-21,0.6446,0.6446,0.6446,0.6446,62400.0
1973-03-22,0.6188,0.6188,0.6188,0.6188,516800.0
1973-03-23,0.6188,0.6188,0.6188,0.6188,89600.0
1973-03-26,0.616,0.616,0.616,0.616,75200.0
1973-03-27,0.6274,0.6274,0.6274,0.6274,168000.0
1973-03-28,0.636,0.636,0.636,0.636,148800.0
1973-03-29,0.6418,0.6418,0.6418,0.6418,217600.0
1973-03-30,0.6475,0.6475,0.6475,0.6475,222400.0
1973-04-02,0.6389,0.6389,0.6389,0.6389,193600.0
1973-04-03,0.6188,0.6188,0.6188,0.6188,307200.0
1973-04-04,0.6217,0.6217,0.6217,0.6217,112000.0
1973-04-05,0.5988,0.5988,0.5988,0.5988,507200.0
1973-04-06,0.6303,0.6303,0.6303,0.6303,336000.0
1973-04-09,0.6303,0.6303,0.6303,0.6303,121600.0
1973-04-10,0.6418,0.6418,0.6418,0.6418,145600.0
1973-04-11,0.6561,0.6561,0.6561,0.6561,94400.0
1973-04-12,0.6532,0.6532,0.6532,0.6532,91200.0
1973-04-13,0.659,0.659,0.659,0.659,49600.0
1973-04-16,0.6618,0.6618,0.6618,0.6618,137600.0
1973-04-17,0.6561,0.6561,0.6561,0.6561,220800.0
1973-04-18,0.6389,0.6389,0.6389,0.6389,691200.0
1973-04-19,0.616,0.616,0.616,0.616,360000.0
1973-04-23,0.5902,0.5902,0.5902,0.5902,176000.0
1973-04-24,0.5615,0.5615,0.5615,0.5615,2009600.0
1973-04-25,0.5558,0.5558,0.5558,0.5558,208000.0
1973-04-26,0.573,0.573,0.573,0.573,220800.0
1973-04-27,0.5845,0.5845,0.5845,0.5845,403200.0
1973-04-30,0.5816,0.5816,0.5816,0.5816,84800.0
1973-05-01,0.6074,0.6074,0.6074,0.6074,155200.0
1973-05-02,0.6074,0.6074,0.6074,0.6074,166400.0
1973-05-03,0.6074,0.6274,0.5988,0.6274,476800.0
1973-05-04,0.6274,0.6274,0.6131,0.6274,108800.0
1973-05-07,0.6274,0.6418,0.6246,0.6418,406400.0
1973-05-08,0.6418,0.6446,0.6274,0.6418,128000.0
1973-05-09,0.6418,0.6532,0.6389,0.6418,134400.0
1973-05-10,0.6418,0.6418,0.6389,0.6418,123200.0
1973-05-11,0.6418,0.6418,0.636,0.636,134400.0
1973-05-14,0.6303,0.6303,0.616,0.616,121600.0
1973-05-15,0.6074,0.6074,0.5988,0.5988,278400.0
1973-05-16,0.5988,0.6017,0.5959,0.5959,68800.0
1973-05-17,0.5959,0.5959,0.5873,0.5902,195200.0
1973-05-18,0.5902,0.5902,0.573,0.5787,430400.0
1973-05-21,0.573,0.573,0.5644,0.5673,107200.0
1973-05-22,0.5673,0.573,0.5673,0.573,92800.0
1973-05-23,0.5787,0.5959,0.5787,0.5816,104000.0
1973-05-24,0.5816,0.5959,0.5787,0.5959,44800.0
1973-05-25,0.6103,0.6246,0.6103,0.6246,128000.0
1973-05-29,0.6188,0.6188,0.6074,0.6131,91200.0
1973-05-30,0.6074,0.6074,0.5845,0.5845,180800.0
1973-05-31,0.5845,0.5845,0.573,0.5759,249600.0
1973-06-01,0.5759,0.5816,0.5759,0.5759,49600.0
1973-06-04,0.573,0.573,0.5615,0.573,340800.0
1973-06-05,0.5701,0.5701,0.5558,0.5558,163200.0
1973-06-06,0.5558,0.5587,0.5415,0.5444,196800.0
1973-06-07,0.5444,0.5472,0.5272,0.5386,139200.0
1973-06-08,0.5386,0.5415,0.5042,0.5186,448000.0
1973-06-11,0.5128,0.5128,0.5042,0.5128,190400.0
1973-06-12,0.5128,0.5644,0.5071,0.5501,1320000.0
1973-06-13,0.5501,0.573,0.5501,0.5501,184000.0
1973-06-14,0.5444,0.5444,0.5214,0.5243,404800.0
1973-06-15,0.5214,0.5214,0.51,0.51,67200.0
1973-06-18,0.51,0.5128,0.5042,0.5071,75200.0
1973-06-19,0.5071,0.5157,0.5042,0.5157,249600.0
1973-06-20,0.5157,0.5214,0.4928,0.4928,102400.0
1973-06-21,0.4842,0.4842,0.4584,0.4613,270400.0
1973-06-22,0.4613,0.4727,0.4355,0.4355,230400.0
1973-06-25,0.4384,0.4469,0.4384,0.4384,248000.0
1973-06-26,0.4384,0.4641,0.4355,0.4641,414400.0
1973-06-27,0.4641,0.4785,0.4527,0.4584,225600.0
1973-06-28,0.4584,0.467,0.4527,0.467,158400.0
1973-06-29,0.467,0.4899,0.467,0.4899,305600.0
1973-07-02,0.4899,0.4985,0.4842,0.4957,60800.0
1973-07-03,0.4985,0.5071,0.4985,0.4985,433600.0
1973-07-05,0.4985,0.4985,0.4899,0.4985,164800.0
1973-07-06,0.4985,0.4985,0.4985,0.4985,62400.0
1973-07-09,0.4985,0.51,0.4985,0.4985,121600.0
1973-07-10,0.5014,0.5214,0.5014,0.5214,129600.0
1973-07-11,0.5214,0.5386,0.5186,0.5386,596800.0
1973-07-12,0.5386,0.5558,0.5272,0.5558,294400.0
1973-07-13,0.5558,0.5558,0.5415,0.5444,284800.0
1973-07-16,0.5444,0.5472,0.5386,0.5472,116800.0
1973-07-17,0.5558,0.5673,0.5558,0.5587,116800.0
1973-07-18,0.5587,0.5644,0.5558,0.5587,60800.0
1973-07-19,0.5558,0.5558,0.53,0.53,534400.0
1973-07-20,0.53,0.5415,0.5272,0.5272,92800.0
1973-07-23,0.5272,0.5501,0.5272,0.5501,81600.0
1973-07-24,0.5501,0.5644,0.5358,0.5644,139200.0
1973-07-25,0.5644,0.5759,0.5644,0.573,150400.0
1973-07-26,0.573,0.5816,0.5615,0.5816,52800.0
1973-07-27,0.5787,0.5787,0.5644,0.5701,190400.0
1973-07-30,0.5701,0.5759,0.5644,0.5759,113600.0
1973-07-31,0.5759,0.5816,0.573,0.5787,249600.0
1973-08-01,0.5701,0.5701,0.5587,0.5615,62400.0
1973-08-02,0.5615,0.5701,0.553,0.5701,180800.0
1973-08-03,0.5759,0.5787,0.5759,0.5759,44800.0
1973-08-06,0.5759,0.5902,0.5759,0.5816,80000.0
1973-08-07,0.5816,0.5816,0.5673,0.5701,177600.0
1973-08-08,0.5673,0.5673,0.5558,0.5673,252800.0
1973-08-09,0.5615,0.5615,0.5415,0.5615,262400.0
1973-08-10,0.5615,0.5615,0.553,0.5558,116800.0
1973-08-13,0.5558,0.5587,0.5415,0.5415,176000.0
1973-08-14,0.5415,0.5472,0.5358,0.5358,72000.0
1973-08-15,0.5358,0.5472,0.5358,0.5386,102400.0
1973-08-16,0.5415,0.5415,0.5415,0.5415,14400.0
1973-08-17,0.5415,0.5501,0.5358,0.5358,113600.0
1973-08-20,0.5329,0.5329,0.5214,0.5272,25600.0
1973-08-21,0.5272,0.5329,0.5243,0.5243,32000.0
1973-08-22,0.5243,0.5272,0.4957,0.4957,113600.0
1973-08-23,0.4957,0.5042,0.4899,0.5042,118400.0
1973-08-24,0.5042,0.5042,0.5014,0.5042,40000.0
1973-08-27,0.5042,0.5071,0.5014,0.5071,22400.0
1973-08-28,0.5071,0.5128,0.5042,0.5042,68800.0
1973-08-29,0.5071,0.5329,0.5071,0.5329,67200.0
1973-08-30,0.5329,0.5501,0.5329,0.5501,158400.0
1973-08-31,0.5444,0.5444,0.5358,0.5415,19200.0
1973-09-04,0.5415,0.5558,0.5386,0.5558,121600.0
1973-09-05,0.5501,0.5501,0.5415,0.5415,52800.0
1973-09-06,0.5386,0.5386,0.5157,0.5243,84800.0
1973-09-07,0.5243,0.53,0.5071,0.53,94400.0
1973-09-10,0.53,0.5472,0.53,0.5415,43200.0
1973-09-11,0.5358,0.5358,0.5186,0.53,102400.0
1973-09-12,0.5243,0.5243,0.51,0.51,28800.0
1973-09-13,0.51,0.51,0.4871,0.4871,161600.0
1973-09-14,0.4899,0.51,0.4899,0.4957,465600.0
1973-09-17,0.4957,0.5014,0.4899,0.4899,49600.0
1973-09-18,0.4899,0.4957,0.4871,0.4957,49600.0
1973-09-19,0.4957,0.5272,0.4928,0.5272,366400.0
1973-09-20,0.5386,0.5615,0.5386,0.5558,387200.0
1973-09-21,0.5558,0.5644,0.5558,0.5558,51200.0
1973-09-24,0.5558,0.5902,0.5558,0.5787,836800.0
1973-09-25,0.5787,0.5931,0.5644,0.5931,139200.0
1973-09-26,0.5931,0.6217,0.5873,0.6045,684800.0
1973-09-27,0.6017,0.6017,0.5873,0.5873,369600.0
1973-09-28,0.5873,0.5959,0.5845,0.5959,113600.0
1973-10-01,0.5959,0.5959,0.5845,0.5845,56000.0
1973-10-02,0.5845,0.5931,0.5845,0.5873,132800.0
1973-10-03,0.5873,0.5931,0.5816,0.5816,156800.0
1973-10-04,0.5759,0.5759,0.5587,0.5587,81600.0
1973-10-05,0.5587,0.5644,0.553,0.5644,44800.0
1973-10-08,0.5701,0.5845,0.5701,0.5816,214400.0
1973-10-09,0.5816,0.5902,0.573,0.573,187200.0
1973-10-10,0.5701,0.5701,0.5615,0.5615,97600.0
1973-10-11,0.5615,0.573,0.5615,0.573,86400.0
1973-10-12,0.573,0.5759,0.5673,0.573,134400.0
1973-10-15,0.5644,0.5644,0.5444,0.5444,224000.0
1973-10-16,0.5444,0.5472,0.5386,0.5444,28800.0
1973-10-17,0.5444,0.5558,0.5415,0.5444,60800.0
1973-10-18,0.5444,0.553,0.5415,0.5415,56000.0
1973-10-19,0.5415,0.5444,0.5386,0.5386,406400.0
1973-10-22,0.5329,0.5329,0.5214,0.5214,137600.0
1973-10-23,0.5214,0.5272,0.5042,0.5042,192000.0
1973-10-24,0.4928,0.4928,0.4699,0.4699,844800.0
1973-10-25,0.4641,0.4641,0.4527,0.4641,619200.0
1973-10-26,0.4641,0.4756,0.4584,0.4613,264000.0
