date,open,high,low,close,volume
1962-01-02,0.2978,0.3025,0.2978,0.3025,105840.0
1962-01-03,0.3025,0.3032,0.3005,0.3019,127680.0
1962-01-04,0.3019,0.3019,0.2991,0.2991,75600.0
1962-01-05,0.2991,0.2998,0.2916,0.2916,201600.0
1962-01-08,0.2916,0.293,0.2882,0.2902,126000.0
1962-01-09,0.2902,0.2943,0.2868,0.2943,183120.0
1962-01-10,0.2943,0.2943,0.2902,0.2943,72240.0
1962-01-11,0.2943,0.3025,0.293,0.3019,112560.0
1962-01-12,0.3019,0.3025,0.2984,0.3012,124320.0
1962-01-15,0.3012,0.3019,0.2964,0.2964,92400.0
1962-01-16,0.2964,0.2984,0.2937,0.2971,99120.0
1962-01-17,0.2971,0.2998,0.295,0.295,151200.0
1962-01-18,0.295,0.2991,0.293,0.2991,147840.0
1962-01-19,0.2991,0.2998,0.2957,0.2978,124320.0
1962-01-22,0.2978,0.2991,0.2964,0.2991,102480.0
1962-01-23,0.2991,0.2991,0.2964,0.2971,122640.0
1962-01-24,0.2971,0.2978,0.2957,0.2957,102480.0
1962-01-25,0.2964,0.2998,0.2964,0.2964,136080.0
1962-01-26,0.2964,0.3005,0.2964,0.2984,114240.0
1962-01-29,0.2984,0.3005,0.295,0.2964,194880.0
1962-01-30,0.2964,0.2998,0.2964,0.2978,156240.0
1962-01-31,0.3005,0.3026,0.2957,0.2984,226800.0
1962-02-01,0.2998,0.3053,0.2998,0.3053,327600.0
1962-02-02,0.3053,0.3198,0.304,0.3198,509040.0
1962-02-05,0.3184,0.3184,0.3129,0.3143,208320.0
1962-02-06,0.3136,0.3136,0.3088,0.3115,146160.0
1962-02-07,0.3115,0.3212,0.3108,0.3177,294000.0
1962-02-08,0.3191,0.3205,0.3191,0.3191,87360.0
1962-02-09,0.3191,0.3226,0.3184,0.3219,159600.0
1962-02-12,0.3226,0.3267,0.3226,0.3253,127680.0
1962-02-13,0.3246,0.3246,0.3212,0.3246,240240.0
1962-02-14,0.3239,0.3239,0.3205,0.3239,117600.0
1962-02-15,0.3239,0.3274,0.3233,0.3253,142800.0
1962-02-16,0.3253,0.3288,0.3246,0.3281,156240.0
1962-02-19,0.3281,0.3315,0.3281,0.3288,273840.0
1962-02-20,0.3288,0.3295,0.3267,0.3288,188160.0
1962-02-21,0.3274,0.3274,0.3253,0.326,215040.0
1962-02-23,0.326,0.326,0.3239,0.3246,173040.0
1962-02-26,0.3246,0.326,0.3226,0.3226,159600.0
1962-02-27,0.3226,0.3253,0.3205,0.3253,295680.0
1962-02-28,0.3253,0.326,0.3226,0.3226,176400.0
1962-03-01,0.3226,0.3246,0.3171,0.3239,162960.0
1962-03-02,0.3239,0.3246,0.3233,0.3239,110880.0
1962-03-05,0.3239,0.3239,0.3198,0.3239,107520.0
1962-03-06,0.3233,0.3233,0.3205,0.3212,97440.0
1962-03-07,0.3212,0.3253,0.3205,0.3205,204960.0
1962-03-08,0.3205,0.3226,0.3198,0.3198,105840.0
1962-03-09,0.3198,0.3233,0.3184,0.3198,132720.0
1962-03-12,0.3198,0.3226,0.3198,0.3226,89040.0
1962-03-13,0.3226,0.3239,0.3212,0.3212,105840.0
1962-03-14,0.3219,0.3246,0.3219,0.3219,146160.0
1962-03-15,0.3219,0.3253,0.3212,0.3239,144480.0
1962-03-16,0.3239,0.326,0.3233,0.326,95760.0
1962-03-19,0.326,0.3274,0.3246,0.3274,99120.0
1962-03-20,0.3274,0.3288,0.326,0.3281,141120.0
1962-03-21,0.3274,0.3274,0.3253,0.3267,92400.0
1962-03-22,0.3267,0.3267,0.3205,0.3246,179760.0
1962-03-23,0.3246,0.3295,0.3246,0.3267,137760.0
1962-03-26,0.326,0.326,0.3205,0.3205,102480.0
1962-03-27,0.3205,0.3219,0.3171,0.3219,82320.0
1962-03-28,0.3219,0.3246,0.3219,0.3246,60480.0
1962-03-29,0.3246,0.3253,0.3233,0.3233,55440.0
1962-03-30,0.3233,0.326,0.3233,0.3246,77280.0
1962-04-02,0.3246,0.326,0.3212,0.3219,84000.0
1962-04-03,0.3219,0.3246,0.3191,0.3198,68880.0
1962-04-04,0.3198,0.3219,0.3171,0.3198,90720.0
1962-04-05,0.3198,0.3198,0.3157,0.3198,55440.0
1962-04-06,0.3212,0.3246,0.3212,0.3246,84000.0
1962-04-09,0.3246,0.3246,0.3191,0.3233,94080.0
1962-04-10,0.3233,0.3253,0.3205,0.3239,60480.0
1962-04-11,0.3239,0.3267,0.3226,0.3226,119280.0
1962-04-12,0.3226,0.3233,0.3205,0.3212,70560.0
1962-04-13,0.3212,0.3219,0.3184,0.3212,112560.0
1962-04-16,0.3212,0.3219,0.3191,0.3198,89040.0
1962-04-17,0.3198,0.3281,0.3191,0.3281,169680.0
1962-04-18,0.3281,0.3308,0.3267,0.3281,218400.0
1962-04-19,0.3281,0.3301,0.3274,0.3295,112560.0
1962-04-23,0.3295,0.3315,0.3288,0.3295,119280.0
1962-04-24,0.3295,0.3315,0.3288,0.3315,132720.0
1962-04-25,0.3315,0.3315,0.3288,0.3315,162960.0
1962-04-26,0.3315,0.3315,0.326,0.326,141120.0
1962-04-27,0.326,0.3267,0.3226,0.3253,154560.0
1962-04-30,0.3253,0.3274,0.3212,0.3212,226800.0
1962-05-01,0.3219,0.326,0.3219,0.3246,196560.0
1962-05-02,0.3253,0.3295,0.3253,0.3267,161280.0
1962-05-03,0.3267,0.3329,0.3267,0.3315,225120.0
1962-05-04,0.3315,0.3329,0.3295,0.3329,147840.0
1962-05-07,0.3357,0.3357,0.3329,0.3336,129360.0
1962-05-08,0.3336,0.3343,0.3308,0.3315,129360.0
1962-05-09,0.3315,0.3322,0.3301,0.3315,178080.0
1962-05-10,0.3301,0.3301,0.3169,0.3239,391440.0
1962-05-11,0.3239,0.3273,0.3204,0.3211,243600.0
1962-05-14,0.3211,0.3246,0.3134,0.3232,241920.0
1962-05-15,0.3239,0.3294,0.3239,0.3239,233520.0
1962-05-16,0.3246,0.3287,0.3246,0.3253,157920.0
1962-05-17,0.3253,0.3287,0.3225,0.326,132720.0
1962-05-18,0.326,0.328,0.3246,0.326,99120.0
1962-05-21,0.326,0.328,0.326,0.328,70560.0
1962-05-22,0.328,0.328,0.3211,0.3225,92400.0
1962-05-23,0.3225,0.3225,0.3169,0.319,193200.0
1962-05-24,0.319,0.319,0.3162,0.3162,280560.0
1962-05-25,0.3162,0.3197,0.3051,0.3058,362880.0
1962-05-28,0.3058,0.3058,0.2808,0.287,540960.0
1962-05-29,0.287,0.3058,0.278,0.3058,750960.0
1962-05-31,0.3058,0.3155,0.3002,0.303,362880.0
1962-06-01,0.303,0.3072,0.3009,0.3072,173040.0
1962-06-04,0.3072,0.3086,0.2989,0.2989,134400.0
1962-06-05,0.2989,0.3051,0.2975,0.3002,164640.0
1962-06-06,0.3002,0.31,0.2989,0.303,159600.0
1962-06-07,0.303,0.3037,0.3009,0.3023,85680.0
1962-06-08,0.3023,0.303,0.2961,0.2989,126000.0
1962-06-11,0.2989,0.2995,0.2961,0.2975,136080.0
1962-06-12,0.2975,0.2995,0.2933,0.2933,238560.0
1962-06-13,0.2919,0.2919,0.2877,0.2877,294000.0
1962-06-14,0.2877,0.2884,0.2836,0.2856,329280.0
1962-06-15,0.2856,0.294,0.2822,0.2919,290640.0
1962-06-18,0.2919,0.3009,0.2863,0.3009,204960.0
1962-06-19,0.2989,0.2989,0.2954,0.2968,68880.0
1962-06-20,0.2968,0.2982,0.2933,0.2975,147840.0
1962-06-21,0.2975,0.2982,0.2919,0.2919,152880.0
1962-06-22,0.2919,0.2933,0.287,0.287,231840.0
1962-06-25,0.287,0.2891,0.2836,0.2891,312480.0
1962-06-26,0.2891,0.2919,0.2877,0.2905,208320.0
1962-06-27,0.2905,0.2912,0.2877,0.2905,141120.0
1962-06-28,0.2912,0.2961,0.2912,0.2961,136080.0
1962-06-29,0.2961,0.2995,0.2947,0.2975,117600.0
1962-07-02,0.2975,0.3058,0.2975,0.3051,178080.0
1962-07-03,0.3051,0.3058,0.3037,0.3058,174720.0
1962-07-05,0.3058,0.3072,0.3037,0.3072,136080.0
1962-07-06,0.3065,0.3065,0.3044,0.3058,104160.0
1962-07-09,0.3058,0.3072,0.3037,0.3058,80640.0
1962-07-10,0.3065,0.3141,0.3065,0.3086,203280.0
1962-07-11,0.3086,0.3114,0.3065,0.3086,129360.0
1962-07-12,0.3086,0.3107,0.3065,0.3107,107520.0
1962-07-13,0.3107,0.3128,0.3079,0.3114,97440.0
1962-07-16,0.3114,0.3128,0.3107,0.3128,120960.0
1962-07-17,0.3128,0.3148,0.3044,0.3051,131040.0
1962-07-18,0.3016,0.3016,0.2961,0.3016,183120.0
