date,open,high,low,close,volume
1972-06-01,0.6397,0.6485,0.6397,0.6472,552000.0
1972-06-02,0.6472,0.6611,0.6472,0.6598,396000.0
1972-06-05,0.6585,0.6585,0.6497,0.6573,242400.0
1972-06-06,0.6573,0.6598,0.6497,0.651,448800.0
1972-06-07,0.6472,0.6472,0.6422,0.6434,578400.0
1972-06-08,0.646,0.6523,0.646,0.6497,208800.0
1972-06-09,0.6485,0.6485,0.6447,0.646,21600.0
1972-06-12,0.646,0.6485,0.6346,0.6346,124800.0
1972-06-13,0.6271,0.6271,0.6094,0.6271,276000.0
1972-06-14,0.6308,0.6447,0.6308,0.6371,211200.0
1972-06-15,0.6371,0.6523,0.6359,0.6397,249600.0
1972-06-16,0.6397,0.6422,0.6397,0.6422,309600.0
1972-06-19,0.6422,0.6434,0.6397,0.6422,55200.0
1972-06-20,0.6422,0.6447,0.6409,0.6422,192000.0
1972-06-21,0.6422,0.6434,0.6371,0.6371,223200.0
1972-06-22,0.6371,0.6371,0.6271,0.6296,175200.0
1972-06-23,0.6296,0.6296,0.6157,0.6157,141600.0
1972-06-26,0.6069,0.6069,0.5918,0.5994,518400.0
1972-06-27,0.6031,0.6082,0.6031,0.6044,199200.0
1972-06-28,0.6044,0.6044,0.5994,0.6031,93600.0
1972-06-29,0.5994,0.5994,0.5931,0.5968,182400.0
1972-06-30,0.5968,0.6044,0.5968,0.5968,410400.0
1972-07-03,0.5968,0.5968,0.5918,0.5968,132000.0
1972-07-05,0.5994,0.6031,0.5994,0.6019,146400.0
1972-07-06,0.6044,0.6094,0.6044,0.6069,962400.0
1972-07-07,0.612,0.6245,0.612,0.6245,645600.0
1972-07-10,0.6245,0.6245,0.622,0.622,580800.0
1972-07-11,0.622,0.6245,0.6208,0.6245,132000.0
1972-07-12,0.6245,0.6258,0.622,0.6245,403200.0
1972-07-13,0.6245,0.6258,0.6195,0.6233,2688000.0
1972-07-14,0.6233,0.6233,0.617,0.6233,127200.0
1972-07-17,0.6233,0.6245,0.6195,0.6245,132000.0
1972-07-18,0.6245,0.6258,0.622,0.6258,427200.0
1972-07-19,0.6258,0.6308,0.6245,0.6296,100800.0
1972-07-20,0.6296,0.6308,0.6258,0.6258,360000.0
1972-07-21,0.6258,0.6258,0.622,0.6245,612000.0
1972-07-24,0.6245,0.6245,0.6195,0.6195,170400.0
1972-07-25,0.6195,0.6245,0.617,0.617,136800.0
1972-07-26,0.622,0.6271,0.622,0.6271,388800.0
1972-07-27,0.6271,0.6271,0.6145,0.617,249600.0
1972-07-28,0.617,0.617,0.612,0.612,244800.0
1972-07-31,0.612,0.6132,0.6094,0.6107,249600.0
1972-08-01,0.6107,0.6107,0.6044,0.6069,432000.0
1972-08-02,0.6069,0.6094,0.6031,0.6069,196800.0
1972-08-03,0.6069,0.612,0.6044,0.612,592800.0
1972-08-04,0.612,0.6183,0.6082,0.6157,472800.0
1972-08-07,0.6157,0.6346,0.612,0.6346,924000.0
1972-08-08,0.6346,0.6447,0.6346,0.6447,859200.0
1972-08-09,0.6447,0.6485,0.6422,0.6485,916800.0
1972-08-10,0.6497,0.6585,0.6497,0.6585,328800.0
1972-08-11,0.6598,0.6875,0.6598,0.68,1156800.0
1972-08-14,0.68,0.6925,0.6724,0.69,4173600.0
1972-08-15,0.6925,0.7077,0.6925,0.7039,1694400.0
1972-08-16,0.7026,0.7026,0.685,0.7001,1792800.0
1972-08-17,0.7127,0.7354,0.7127,0.7291,2174400.0
1972-08-18,0.7291,0.7454,0.7291,0.7454,1274400.0
1972-08-21,0.7454,0.7593,0.7379,0.7479,1682400.0
1972-08-22,0.753,0.7756,0.753,0.7756,1960800.0
1972-08-23,0.7756,0.7807,0.7681,0.7807,1411200.0
1972-08-24,0.7807,0.7832,0.7706,0.7769,1303200.0
1972-08-25,0.7828,0.7866,0.7688,0.7828,1353600.0
1972-08-28,0.7828,0.7904,0.7638,0.7701,1058400.0
1972-08-29,0.7701,0.7701,0.7587,0.7638,669600.0
1972-08-30,0.7638,0.7866,0.7625,0.7841,1022400.0
1972-08-31,0.7841,0.7968,0.7828,0.7942,856800.0
1972-09-01,0.7942,0.7993,0.7942,0.7942,292800.0
1972-09-05,0.7929,0.7929,0.7841,0.7904,384000.0
1972-09-06,0.7904,0.7904,0.7841,0.7904,511200.0
1972-09-07,0.7904,0.7942,0.7879,0.7879,432000.0
1972-09-08,0.7891,0.7917,0.7891,0.7917,285600.0
1972-09-11,0.7917,0.7917,0.7853,0.7853,256800.0
1972-09-12,0.7841,0.7841,0.746,0.7536,765600.0
1972-09-13,0.7536,0.76,0.7511,0.76,770400.0
1972-09-14,0.7612,0.7663,0.7612,0.765,314400.0
1972-09-15,0.765,0.765,0.7587,0.76,283200.0
1972-09-18,0.7587,0.7587,0.7511,0.7511,388800.0
1972-09-19,0.7523,0.7587,0.7523,0.7562,386400.0
1972-09-20,0.7562,0.7587,0.7549,0.7562,256800.0
1972-09-21,0.7549,0.7549,0.7498,0.7498,376800.0
1972-09-22,0.7562,0.7562,0.7105,0.7308,322800.0
1972-09-25,0.7308,0.746,0.7308,0.7359,408000.0
1972-09-26,0.7485,0.7638,0.7485,0.7612,621600.0
1972-09-27,0.7612,0.7917,0.7562,0.7917,1100400.0
1972-09-28,0.7917,0.812,0.7917,0.812,620400.0
1972-09-29,0.8196,0.8526,0.8196,0.8247,1410000.0
1972-10-02,0.8247,0.8247,0.7942,0.8018,770400.0
1972-10-03,0.8018,0.812,0.8018,0.812,460800.0
1972-10-04,0.812,0.8348,0.8094,0.8196,796800.0
1972-10-05,0.8196,0.8221,0.7841,0.7968,999600.0
1972-10-06,0.7968,0.8094,0.7815,0.8044,745200.0
1972-10-09,0.812,0.8272,0.812,0.8221,460800.0
1972-10-10,0.8221,0.8323,0.8221,0.8272,284400.0
1972-10-11,0.8272,0.8297,0.8196,0.8196,340800.0
1972-10-12,0.8196,0.8221,0.812,0.8171,555600.0
1972-10-13,0.812,0.812,0.7968,0.8069,187200.0
1972-10-16,0.8069,0.8069,0.7942,0.7968,268800.0
1972-10-17,0.7968,0.812,0.7866,0.8069,208800.0
1972-10-18,0.8069,0.812,0.7968,0.7968,285600.0
1972-10-19,0.7968,0.8018,0.7866,0.7866,538800.0
1972-10-20,0.7866,0.812,0.7739,0.8069,682800.0
1972-10-23,0.812,0.8247,0.812,0.8196,744000.0
1972-10-24,0.8196,0.8196,0.8094,0.812,428400.0
1972-10-25,0.8145,0.8221,0.8145,0.8221,574800.0
1972-10-26,0.8221,0.8297,0.8094,0.812,846000.0
1972-10-27,0.8094,0.8094,0.7282,0.7688,3340800.0
1972-10-30,0.7739,0.7968,0.7739,0.7917,694800.0
1972-10-31,0.8018,0.8374,0.8018,0.8374,889200.0
1972-11-01,0.8424,0.8576,0.8424,0.8526,1627200.0
1972-11-02,0.8526,0.8932,0.8526,0.8881,998400.0
1972-11-03,0.8881,0.9008,0.8678,0.8779,1627200.0
1972-11-06,0.8779,0.8982,0.8627,0.8906,908400.0
1972-11-08,0.8906,0.9033,0.8678,0.8881,1198800.0
1972-11-09,0.8881,0.9135,0.883,0.9109,1372800.0
1972-11-10,0.9109,0.9236,0.8957,0.8982,2089200.0
1972-11-13,0.8982,0.8982,0.883,0.8906,650400.0
1972-11-14,0.8906,0.8957,0.8881,0.8957,1306800.0
1972-11-15,0.8957,0.8982,0.8856,0.8906,988800.0
1972-11-16,0.8906,0.8932,0.8729,0.8906,1017600.0
1972-11-17,0.8906,0.9135,0.8856,0.9135,682800.0
1972-11-20,0.9135,0.9236,0.9084,0.9236,667200.0
1972-11-21,0.9287,0.9541,0.9287,0.9541,1358400.0
1972-11-22,0.9541,0.9642,0.9439,0.949,1375200.0
1972-11-24,0.9414,0.9414,0.916,0.9312,687600.0
1972-11-27,0.9367,0.947,0.924,0.9316,537600.0
1972-11-28,0.9316,0.9521,0.9316,0.9521,981600.0
1972-11-29,0.9546,0.9648,0.9546,0.9597,1144800.0
1972-11-30,0.9623,0.9725,0.9623,0.9699,399600.0
1972-12-01,0.9699,0.9801,0.9597,0.9725,626400.0
1972-12-04,0.9725,0.975,0.947,0.9623,637200.0
1972-12-05,0.9623,0.9623,0.9444,0.947,504000.0
1972-12-06,0.947,0.9521,0.9316,0.9521,440400.0
1972-12-07,0.9521,0.9572,0.9393,0.9495,445200.0
1972-12-08,0.947,0.947,0.9163,0.9265,462000.0
1972-12-11,0.9291,0.9393,0.9291,0.9316,738000.0
1972-12-12,0.9367,0.9546,0.9367,0.9419,514800.0
1972-12-13,0.9419,0.9419,0.9316,0.9367,207600.0
1972-12-14,0.9367,0.9393,0.9214,0.9342,309600.0
1972-12-15,0.9342,0.9393,0.9214,0.9342,322800.0
1972-12-18,0.9291,0.9291,0.8934,0.9189,412800.0
1972-12-19,0.9189,0.9495,0.9087,0.9444,1330800.0
1972-12-20,0.9444,0.9572,0.9419,0.9546,1166400.0
1972-12-21,0.9521,0.9521,0.924,0.9367,1082400.0
1972-12-22,0.9367,0.9393,0.9087,0.9189,1160400.0
1972-12-26,0.9189,0.9189,0.9061,0.9138,186000.0
1972-12-27,0.9138,0.9189,0.9061,0.9087,259200.0
1972-12-29,0.9112,0.9342,0.9112,0.9342,662400.0
1973-01-02,0.9342,0.9367,0.9138,0.9138,704400.0
1973-01-03,0.9138,0.9189,0.9087,0.9138,892800.0
1973-01-04,0.9138,0.9163,0.9036,0.9138,967200.0
1973-01-05,0.9138,0.9138,0.8678,0.901,560400.0
1973-01-08,0.8985,0.8985,0.8729,0.8857,492000.0
1973-01-09,0.8883,0.9265,0.8883,0.9265,549600.0
1973-01-10,0.9265,0.9521,0.9214,0.9265,1374000.0
1973-01-11,0.9265,0.9291,0.9138,0.9138,985200.0
1973-01-12,0.9138,0.9265,0.9061,0.9061,657600.0
1973-01-15,0.9061,0.9189,0.8678,0.8831,1261200.0
1973-01-16,0.8831,0.8883,0.85,0.8678,1004400.0
1973-01-17,0.8678,0.878,0.8525,0.8678,393600.0
1973-01-18,0.8678,0.8729,0.8576,0.8653,949200.0
1973-01-19,0.8653,0.8678,0.8244,0.8551,481200.0
1973-01-22,0.8551,0.8653,0.8423,0.85,2203200.0
1973-01-23,0.8551,0.8934,0.8551,0.8934,1371600.0
1973-01-24,0.8934,0.9189,0.878,0.8857,1147200.0
1973-01-26,0.8857,0.8934,0.8653,0.8934,930000.0
1973-01-29,0.8934,0.9112,0.8908,0.8959,337200.0
1973-01-30,0.8959,0.9061,0.8934,0.9036,549600.0
1973-01-31,0.9061,0.9214,0.9061,0.9214,511200.0
1973-02-01,0.9214,0.9393,0.9163,0.9214,1082400.0
1973-02-02,0.9214,0.9265,0.8985,0.9087,798000.0
1973-02-05,0.9087,0.9316,0.8883,0.901,1771200.0
1973-02-06,0.901,0.9163,0.8985,0.9036,216000.0
1973-02-07,0.9036,0.9163,0.901,0.901,260400.0
1973-02-08,0.901,0.9112,0.8883,0.9112,536400.0
1973-02-09,0.9112,0.9189,0.9061,0.9189,279600.0
1973-02-12,0.9189,0.947,0.9189,0.947,750000.0
1973-02-13,0.9546,0.9903,0.9546,0.9699,1376400.0
1973-02-14,0.9699,0.9776,0.9495,0.9521,656400.0
1973-02-15,0.9521,0.975,0.9495,0.9725,745200.0
1973-02-16,0.9725,0.9801,0.9648,0.9776,601200.0
1973-02-20,0.9827,0.9929,0.9827,0.9929,651600.0
1973-02-21,0.9929,1.0108,0.9801,0.9801,1166400.0
1973-02-22,0.975,0.975,0.9572,0.9623,580800.0
1973-02-23,0.9678,0.9678,0.9319,0.9396,486000.0
1973-02-26,0.9344,0.9344,0.9036,0.9293,610800.0
1973-02-27,0.9216,0.9216,0.9036,0.9062,481200.0
1973-02-28,0.9062,0.9601,0.8959,0.9575,1054800.0
1973-03-01,0.9575,0.9832,0.9421,0.9524,650400.0
1973-03-02,0.9524,0.9832,0.9319,0.9832,895200.0
1973-03-05,0.9832,0.9986,0.9807,0.9935,1130400.0
1973-03-06,0.9986,1.0115,0.9986,1.0115,1114800.0
1973-03-07,1.0115,1.014,0.9884,1.0038,753600.0
1973-03-08,1.0038,1.0038,0.9653,0.9755,944400.0
1973-03-09,0.973,0.973,0.9653,0.9678,454800.0
1973-03-12,0.9704,0.9832,0.9704,0.973,616800.0
1973-03-13,0.973,0.9755,0.9344,0.955,531600.0
