date,open,high,low,close,volume
1978-12-29,0.0411,0.0442,0.0411,0.0442,737965.0
1979-01-02,0.0442,0.0442,0.0442,0.0442,0.0
1979-01-03,0.0457,0.0472,0.0457,0.0457,190442.0
1979-01-04,0.0457,0.0472,0.0457,0.0472,199965.0
1979-01-05,0.0472,0.0502,0.0472,0.0502,376124.0
1979-01-08,0.0502,0.0502,0.0487,0.0502,338035.0
1979-01-09,0.0502,0.0502,0.0472,0.0487,923646.0
1979-01-10,0.0487,0.0502,0.0487,0.0487,566566.0
1979-01-11,0.0487,0.0487,0.0472,0.0472,161876.0
1979-01-12,0.0472,0.0487,0.0472,0.0487,657027.0
1979-01-15,0.0487,0.0487,0.0472,0.0472,219009.0
1979-01-16,0.0472,0.0487,0.0472,0.0472,504673.0
1979-01-17,0.0472,0.0472,0.0472,0.0472,199965.0
1979-01-18,0.0472,0.0487,0.0472,0.0487,99982.0
1979-01-19,0.0487,0.0487,0.0472,0.0487,704637.0
1979-01-22,0.0487,0.0502,0.0487,0.0502,666549.0
1979-01-23,0.0502,0.0502,0.0487,0.0487,61894.0
1979-01-24,0.0487,0.0487,0.0472,0.0472,438018.0
1979-01-25,0.0472,0.0472,0.0472,0.0472,195204.0
1979-01-26,0.0472,0.0487,0.0472,0.0472,180920.0
1979-01-29,0.0472,0.0487,0.0472,0.0472,214248.0
1979-01-30,0.0472,0.0487,0.0472,0.0472,176159.0
1979-01-31,0.0472,0.0487,0.0472,0.0472,271381.0
1979-02-01,0.0472,0.0472,0.0457,0.0457,409451.0
1979-02-02,0.0457,0.0457,0.0442,0.0442,138071.0
1979-02-05,0.0442,0.0457,0.0442,0.0442,195204.0
1979-02-06,0.0442,0.0457,0.0442,0.0442,99982.0
1979-02-07,0.0426,0.0426,0.0426,0.0426,161876.0
1979-02-08,0.0426,0.0442,0.0426,0.0426,204726.0
1979-02-09,0.0426,0.0426,0.0411,0.0426,242814.0
1979-02-12,0.0426,0.0472,0.0411,0.0472,733204.0
1979-02-13,0.0472,0.0472,0.0442,0.0472,485628.0
1979-02-14,0.0472,0.0472,0.0442,0.0442,176159.0
1979-02-15,0.0442,0.0457,0.0442,0.0457,114265.0
1979-02-16,0.0457,0.0472,0.0457,0.0457,352319.0
1979-02-20,0.0457,0.0472,0.0442,0.0472,204726.0
1979-02-21,0.0457,0.0457,0.0442,0.0457,433257.0
1979-02-22,0.0457,0.0502,0.0457,0.0487,1047434.0
1979-02-23,0.0502,0.0533,0.0502,0.0518,1128372.0
1979-02-26,0.0502,0.0502,0.0487,0.0487,285664.0
1979-02-27,0.0487,0.0502,0.0472,0.0487,561805.0
1979-02-28,0.0487,0.0533,0.0472,0.0518,1118850.0
1979-03-01,0.0533,0.0533,0.0533,0.0533,280903.0
1979-03-02,0.0518,0.0518,0.0502,0.0518,309469.0
1979-03-05,0.0518,0.0518,0.0502,0.0502,252336.0
1979-03-06,0.0502,0.0518,0.0502,0.0518,176159.0
1979-03-07,0.0518,0.0533,0.0518,0.0533,318991.0
1979-03-08,0.0533,0.0579,0.0518,0.0563,2071062.0
1979-03-09,0.0563,0.0579,0.0563,0.0579,999823.0
1979-03-12,0.0579,0.0609,0.0579,0.0594,1804443.0
1979-03-13,0.0594,0.0594,0.0579,0.0579,623699.0
1979-03-14,0.0579,0.0579,0.0548,0.0563,547522.0
1979-03-15,0.0563,0.0579,0.0548,0.0563,199965.0
1979-03-16,0.0563,0.0609,0.0563,0.0609,1195027.0
1979-03-19,0.0609,0.0609,0.0579,0.0609,1166460.0
1979-03-20,0.0609,0.0609,0.0594,0.0609,585611.0
1979-03-21,0.0609,0.0624,0.0594,0.0624,1414036.0
1979-03-22,0.0624,0.0655,0.0624,0.0624,1199788.0
1979-03-23,0.0624,0.0639,0.0609,0.0609,518956.0
1979-03-26,0.0609,0.0609,0.0594,0.0609,490389.0
1979-03-27,0.0609,0.0609,0.0594,0.0609,642743.0
1979-03-28,0.0609,0.0609,0.0594,0.0609,342796.0
1979-03-29,0.0609,0.0609,0.0594,0.0609,195204.0
1979-03-30,0.0609,0.0609,0.0594,0.0609,390407.0
1979-04-02,0.0609,0.0609,0.0594,0.0594,418973.0
1979-04-03,0.0609,0.0685,0.0609,0.0685,2590018.0
1979-04-04,0.0685,0.07,0.067,0.07,2566213.0
1979-04-05,0.07,0.0746,0.0685,0.0731,5237169.0
1979-04-06,0.0716,0.0716,0.067,0.067,1747310.0
1979-04-09,0.067,0.07,0.067,0.067,1623522.0
1979-04-10,0.067,0.07,0.067,0.0685,1180743.0
1979-04-11,0.0685,0.07,0.067,0.067,609416.0
1979-04-12,0.067,0.067,0.0624,0.0655,1066478.0
1979-04-16,0.0639,0.0639,0.0609,0.0624,833186.0
1979-04-17,0.0624,0.067,0.0624,0.067,1323575.0
1979-04-18,0.067,0.067,0.0624,0.0624,338035.0
1979-04-19,0.0624,0.0624,0.0609,0.0609,490389.0
1979-04-20,0.0609,0.0609,0.0594,0.0609,238053.0
1979-04-23,0.0609,0.0624,0.0609,0.0609,209487.0
1979-04-24,0.0594,0.0594,0.0594,0.0594,219009.0
1979-04-25,0.0594,0.0594,0.0594,0.0594,14283.0
1979-04-26,0.0594,0.0609,0.0579,0.0609,138071.0
1979-04-27,0.0609,0.0609,0.0579,0.0594,504673.0
1979-04-30,0.0594,0.0594,0.0579,0.0594,466584.0
1979-05-01,0.0579,0.0579,0.0563,0.0563,223770.0
1979-05-02,0.0563,0.0579,0.0548,0.0548,647504.0
1979-05-03,0.0548,0.0563,0.0548,0.0548,219009.0
1979-05-04,0.0548,0.0563,0.0533,0.0548,314230.0
1979-05-07,0.0548,0.0548,0.0533,0.0533,395168.0
1979-05-08,0.0518,0.0518,0.0502,0.0518,737965.0
1979-05-09,0.0518,0.0533,0.0502,0.0533,956974.0
1979-05-10,0.0533,0.0548,0.0518,0.0518,418973.0
1979-05-11,0.0518,0.0548,0.0502,0.0548,1023628.0
1979-05-14,0.0548,0.0563,0.0533,0.0548,514195.0
1979-05-15,0.0548,0.0548,0.0533,0.0533,119027.0
1979-05-16,0.0533,0.0548,0.0533,0.0533,138071.0
1979-05-17,0.0533,0.0548,0.0533,0.0533,557044.0
1979-05-18,0.0533,0.0548,0.0533,0.0533,252336.0
1979-05-21,0.0533,0.0563,0.0533,0.0548,261858.0
1979-05-22,0.0548,0.0563,0.0548,0.0563,90460.0
1979-05-23,0.0563,0.0579,0.0563,0.0563,418973.0
1979-05-24,0.0563,0.0579,0.0548,0.0563,295186.0
1979-05-25,0.0563,0.07,0.0563,0.067,1880620.0
1979-05-29,0.0655,0.0655,0.0624,0.0639,1280726.0
1979-05-30,0.0624,0.0624,0.0594,0.0609,685593.0
1979-05-31,0.0609,0.0609,0.0594,0.0609,576089.0
1979-06-01,0.0609,0.0609,0.0594,0.0594,233292.0
1979-06-04,0.0594,0.0624,0.0594,0.0609,837947.0
1979-06-05,0.0609,0.0655,0.0609,0.0639,1209310.0
1979-06-06,0.0639,0.067,0.0624,0.0624,814142.0
1979-06-07,0.0624,0.0639,0.0609,0.0624,623699.0
1979-06-08,0.0624,0.0624,0.0609,0.0624,547522.0
1979-06-11,0.0624,0.0655,0.0624,0.0639,628460.0
1979-06-12,0.0639,0.0655,0.0639,0.0639,461823.0
1979-06-13,0.0639,0.0655,0.0639,0.0639,799858.0
1979-06-14,0.0639,0.0716,0.0639,0.0716,2809027.0
1979-06-15,0.0716,0.0716,0.0685,0.07,771292.0
1979-06-18,0.0685,0.0685,0.0655,0.067,1052195.0
1979-06-19,0.067,0.067,0.0655,0.067,476106.0
1979-06-20,0.067,0.0685,0.0655,0.067,785575.0
1979-06-21,0.067,0.07,0.067,0.067,1128372.0
1979-06-22,0.067,0.0685,0.067,0.067,576089.0
1979-06-25,0.067,0.0685,0.0639,0.0639,528478.0
1979-06-26,0.0639,0.0655,0.0624,0.0624,1456885.0
1979-06-27,0.0624,0.0716,0.0624,0.0639,252336.0
1979-06-28,0.0639,0.0639,0.0624,0.0624,223770.0
1979-06-29,0.0624,0.0639,0.0624,0.0624,585611.0
1979-07-02,0.0624,0.0624,0.0609,0.0609,747487.0
1979-07-03,0.0609,0.0624,0.0609,0.0624,1604478.0
1979-07-05,0.0624,0.0639,0.0624,0.0624,161876.0
1979-07-06,0.0624,0.0624,0.0609,0.0609,214248.0
1979-07-09,0.0609,0.0624,0.0609,0.0609,304708.0
1979-07-10,0.0609,0.0624,0.0609,0.0609,290425.0
1979-07-11,0.0609,0.0624,0.0609,0.0609,818903.0
1979-07-12,0.0609,0.0624,0.0609,0.0609,161876.0
1979-07-13,0.0609,0.0609,0.0594,0.0594,399929.0
1979-07-16,0.0594,0.0609,0.0594,0.0609,614177.0
1979-07-17,0.0609,0.0609,0.0594,0.0594,476106.0
1979-07-18,0.0594,0.0594,0.0579,0.0579,895080.0
1979-07-19,0.0594,0.0594,0.0594,0.0594,804620.0
1979-07-20,0.0594,0.0624,0.0594,0.0624,823664.0
1979-07-23,0.0609,0.0609,0.0594,0.0609,318991.0
1979-07-24,0.0609,0.0609,0.0594,0.0594,185681.0
1979-07-25,0.0594,0.0609,0.0594,0.0594,99982.0
1979-07-26,0.0594,0.0639,0.0594,0.0639,733204.0
1979-07-27,0.0639,0.0639,0.0609,0.0624,404690.0
1979-07-30,0.0624,0.0624,0.0594,0.0594,233292.0
1979-07-31,0.0594,0.0609,0.0594,0.0609,333274.0
1979-08-01,0.0609,0.0609,0.0594,0.0609,438018.0
1979-08-02,0.0609,0.0609,0.0594,0.0594,133310.0
1979-08-03,0.0609,0.0624,0.0609,0.0609,599894.0
1979-08-06,0.0609,0.0624,0.0594,0.0624,885558.0
1979-08-07,0.0624,0.0624,0.0594,0.0609,961735.0
1979-08-08,0.0609,0.0624,0.0594,0.0624,576089.0
1979-08-09,0.0609,0.0609,0.0609,0.0609,204726.0
1979-08-10,0.0609,0.0609,0.0609,0.0609,418973.0
1979-08-13,0.0609,0.0609,0.0594,0.0609,490389.0
1979-08-14,0.0609,0.0624,0.0609,0.0624,956974.0
1979-08-15,0.0624,0.0639,0.0609,0.0624,733204.0
1979-08-16,0.0624,0.0639,0.0609,0.0624,4627753.0
1979-08-17,0.0624,0.0624,0.0609,0.0609,757009.0
1979-08-20,0.0609,0.0624,0.0609,0.0609,266619.0
1979-08-21,0.0609,0.0624,0.0609,0.0609,338035.0
1979-08-22,0.0609,0.0655,0.0609,0.0639,1475929.0
1979-08-23,0.0639,0.0655,0.0624,0.0655,661788.0
1979-08-24,0.0655,0.0685,0.0639,0.0685,1442602.0
1979-08-27,0.0685,0.07,0.0685,0.07,1128372.0
1979-08-28,0.07,0.0777,0.07,0.0746,8941275.0
1979-08-29,0.0746,0.0837,0.0731,0.0731,2042496.0
1979-08-30,0.0731,0.0746,0.0716,0.0731,1385469.0
1979-08-31,0.0731,0.0746,0.0716,0.0731,795097.0
1979-09-04,0.0731,0.0731,0.07,0.07,1037912.0
1979-09-05,0.07,0.07,0.0655,0.0655,990301.0
1979-09-06,0.0655,0.067,0.0655,0.0655,380885.0
1979-09-07,0.0655,0.07,0.0655,0.07,480867.0
1979-09-10,0.0685,0.0685,0.067,0.0685,395168.0
1979-09-11,0.0685,0.07,0.0639,0.0655,861752.0
1979-09-12,0.0655,0.067,0.0655,0.067,542761.0
1979-09-13,0.067,0.067,0.0655,0.067,452301.0
1979-09-14,0.067,0.0716,0.067,0.07,876035.0
1979-09-17,0.07,0.0716,0.0685,0.0685,633221.0
1979-09-18,0.0685,0.0685,0.0655,0.067,271381.0
1979-09-19,0.067,0.067,0.0655,0.067,476106.0
1979-09-20,0.067,0.0685,0.0655,0.067,438018.0
1979-09-21,0.067,0.07,0.067,0.067,795097.0
1979-09-24,0.067,0.0685,0.067,0.0685,252336.0
1979-09-25,0.0685,0.0685,0.067,0.0685,157115.0
1979-09-26,0.0685,0.0685,0.067,0.067,228531.0
1979-09-27,0.067,0.067,0.0655,0.067,542761.0
1979-09-28,0.067,0.067,0.0655,0.067,714159.0
1979-10-01,0.067,0.067,0.0639,0.0655,361841.0
1979-10-02,0.0655,0.067,0.0639,0.0655,618938.0
1979-10-03,0.0655,0.067,0.0655,0.0655,423735.0
1979-10-04,0.0655,0.067,0.0655,0.0655,990301.0
1979-10-05,0.0655,0.067,0.0655,0.0655,290425.0
1979-10-08,0.0655,0.0655,0.0639,0.0639,190442.0
1979-10-09,0.0624,0.0624,0.0609,0.0624,2009168.0
1979-10-10,0.0563,0.0563,0.0518,0.0563,2209133.0
1979-10-11,0.0579,0.0624,0.0579,0.0579,1328336.0
1979-10-12,0.0579,0.0579,0.0563,0.0563,285664.0
1979-10-15,0.0548,0.0548,0.0533,0.0533,352319.0
1979-10-16,0.0533,0.0548,0.0533,0.0548,228531.0
1979-10-17,0.0548,0.0563,0.0533,0.0563,585611.0
1979-10-18,0.0563,0.0563,0.0548,0.0548,199965.0
1979-10-19,0.0548,0.0563,0.0533,0.0548,714159.0
1979-10-22,0.0533,0.0533,0.0518,0.0518,1076000.0
1979-10-23,0.0518,0.0518,0.0487,0.0487,1095044.0
1979-10-24,0.0487,0.0487,0.0487,0.0487,485628.0
1979-10-25,0.0487,0.0502,0.0487,0.0487,485628.0
1979-10-26,0.0487,0.0487,0.0472,0.0472,514195.0
1979-10-29,0.0472,0.0472,0.0457,0.0457,495150.0
1979-10-30,0.0457,0.0472,0.0457,0.0472,552283.0
1979-10-31,0.0472,0.0487,0.0457,0.0472,538000.0
1979-11-01,0.0472,0.0487,0.0472,0.0472,157115.0
1979-11-02,0.0472,0.0518,0.0472,0.0518,1690177.0
1979-11-05,0.0518,0.0518,0.0502,0.0502,209487.0
1979-11-06,0.0502,0.0502,0.0502,0.0502,85699.0
1979-11-07,0.0487,0.0487,0.0472,0.0472,209487.0
1979-11-08,0.0472,0.0487,0.0472,0.0487,418973.0
1979-11-09,0.0487,0.0487,0.0472,0.0487,247575.0
1979-11-12,0.0487,0.0487,0.0472,0.0487,380885.0
1979-11-13,0.0487,0.0563,0.0487,0.0548,1366425.0
1979-11-14,0.0563,0.0609,0.0563,0.0563,1337859.0
1979-11-15,0.0563,0.0579,0.0563,0.0579,333274.0
1979-11-16,0.0579,0.0579,0.0563,0.0563,366602.0
1979-11-19,0.0563,0.0579,0.0563,0.0563,633221.0
1979-11-20,0.0563,0.0579,0.0563,0.0579,599894.0
1979-11-21,0.0579,0.0579,0.0563,0.0563,395168.0
1979-11-23,0.0579,0.0594,0.0579,0.0579,71416.0
1979-11-26,0.0579,0.0594,0.0579,0.0594,533239.0
1979-11-27,0.0594,0.0594,0.0579,0.0594,785575.0
1979-11-28,0.0594,0.0609,0.0594,0.0609,666549.0
1979-11-29,0.0624,0.0639,0.0624,0.0639,809381.0
1979-11-30,0.0609,0.0609,0.0594,0.0609,366602.0
1979-12-03,0.0609,0.0609,0.0594,0.0609,252336.0
1979-12-04,0.0594,0.0594,0.0594,0.0594,214248.0
1979-12-05,0.0594,0.0609,0.0594,0.0609,290425.0
1979-12-06,0.0609,0.0609,0.0594,0.0609,195204.0
1979-12-07,0.0609,0.0609,0.0594,0.0594,271381.0
1979-12-10,0.0594,0.0609,0.0594,0.0609,1242637.0
1979-12-11,0.0594,0.0594,0.0594,0.0594,385646.0
1979-12-12,0.0594,0.0594,0.0579,0.0579,518956.0
1979-12-13,0.0579,0.0594,0.0579,0.0579,495150.0
1979-12-14,0.0579,0.0594,0.0579,0.0594,414212.0
1979-12-17,0.0594,0.0594,0.0579,0.0579,219009.0
1979-12-18,0.0579,0.0579,0.0579,0.0579,333274.0
1979-12-19,0.0579,0.0594,0.0579,0.0579,571327.0
1979-12-20,0.0579,0.0579,0.0579,0.0579,566566.0
1979-12-21,0.0579,0.0579,0.0563,0.0563,761770.0
1979-12-24,0.0563,0.0579,0.0563,0.0579,466584.0
1979-12-26,0.0563,0.0563,0.0548,0.0548,280903.0
1979-12-27,0.0548,0.0563,0.0548,0.0548,547522.0
1979-12-28,0.0548,0.0579,0.0548,0.0548,847469.0
1979-12-31,0.0548,0.0579,0.0548,0.0563,1780637.0
1980-01-02,0.0563,0.0563,0.0533,0.0548,233292.0
1980-01-03,0.0548,0.0548,0.0502,0.0533,909363.0
1980-01-04,0.0533,0.0563,0.0533,0.0548,233292.0
1980-01-07,0.0548,0.0579,0.0548,0.0548,395168.0
1980-01-08,0.0548,0.0548,0.0548,0.0548,323752.0
1980-01-09,0.0563,0.0579,0.0563,0.0563,623699.0
1980-01-10,0.0563,0.0579,0.0563,0.0579,209487.0
1980-01-11,0.0579,0.0579,0.0563,0.0563,204726.0
1980-01-14,0.0563,0.0579,0.0563,0.0563,357080.0
1980-01-15,0.0563,0.0563,0.0548,0.0548,599894.0
1980-01-16,0.0548,0.0563,0.0533,0.0563,1223593.0
1980-01-17,0.0563,0.0563,0.0548,0.0563,914124.0
1980-01-18,0.0548,0.0548,0.0533,0.0548,371363.0
1980-01-21,0.0548,0.0548,0.0533,0.0533,242814.0
1980-01-22,0.0533,0.0563,0.0533,0.0563,1009345.0
1980-01-23,0.0563,0.07,0.0563,0.0655,2342443.0
1980-01-24,0.0655,0.0655,0.0624,0.0624,1123611.0
1980-01-25,0.0624,0.0624,0.0594,0.0609,776053.0
1980-01-28,0.0609,0.0609,0.0594,0.0594,733204.0
1980-01-29,0.0594,0.0609,0.0594,0.0609,333274.0
1980-01-30,0.0609,0.0624,0.0594,0.0594,818903.0
1980-01-31,0.0594,0.0624,0.0594,0.0594,433257.0
1980-02-01,0.0594,0.0594,0.0563,0.0579,485628.0
1980-02-04,0.0579,0.0609,0.0579,0.0579,623699.0
1980-02-05,0.0579,0.0594,0.0579,0.0579,423735.0
1980-02-06,0.0579,0.0594,0.0579,0.0594,652266.0
1980-02-07,0.0594,0.0594,0.0579,0.0579,347558.0
1980-02-08,0.0579,0.0594,0.0563,0.0579,338035.0
1980-02-11,0.0579,0.0594,0.0563,0.0563,885558.0
1980-02-12,0.0563,0.0579,0.0548,0.0548,518956.0
1980-02-13,0.0548,0.0563,0.0533,0.0563,652266.0
1980-02-14,0.0563,0.0563,0.0533,0.0533,214248.0
1980-02-15,0.0533,0.0548,0.0533,0.0533,1856814.0
1980-02-19,0.0533,0.0548,0.0533,0.0548,680832.0
1980-02-20,0.0548,0.0548,0.0533,0.0533,209487.0
1980-02-21,0.0533,0.0563,0.0518,0.0518,380885.0
1980-02-22,0.0518,0.0518,0.0502,0.0518,685593.0
1980-02-25,0.0518,0.0518,0.0502,0.0502,461823.0
1980-02-26,0.0502,0.0518,0.0502,0.0502,223770.0
1980-02-27,0.0518,0.0533,0.0518,0.0518,152354.0
1980-02-28,0.0533,0.0548,0.0533,0.0533,295186.0
1980-02-29,0.0533,0.0548,0.0533,0.0533,380885.0
1980-03-03,0.0533,0.0548,0.0533,0.0548,333274.0
1980-03-04,0.0518,0.0518,0.0518,0.0518,357080.0
1980-03-05,0.0518,0.0518,0.0487,0.0487,457062.0
1980-03-06,0.0487,0.0487,0.0457,0.0457,238053.0
1980-03-07,0.0457,0.0457,0.0426,0.0426,628460.0
1980-03-10,0.0426,0.0442,0.0426,0.0426,1014106.0
1980-03-11,0.0426,0.0442,0.0426,0.0442,323752.0
1980-03-12,0.0442,0.0457,0.0426,0.0442,180920.0
1980-03-13,0.0442,0.0442,0.0426,0.0426,828425.0
1980-03-14,0.0426,0.0426,0.0411,0.0426,352319.0
1980-03-17,0.0426,0.0426,0.0396,0.0396,890319.0
1980-03-18,0.0396,0.0396,0.0381,0.0396,471345.0
1980-03-19,0.0396,0.0396,0.0381,0.0381,299947.0
1980-03-20,0.0381,0.0411,0.0381,0.0396,352319.0
1980-03-21,0.0396,0.0396,0.0381,0.0396,233292.0
1980-03-24,0.0396,0.0396,0.0365,0.0365,880797.0
1980-03-25,0.0365,0.0381,0.0365,0.0365,642743.0
1980-03-26,0.0365,0.0381,0.0365,0.0365,571327.0
1980-03-27,0.0365,0.0365,0.032,0.0335,1004584.0
1980-03-28,0.0335,0.0365,0.0335,0.0365,1971080.0
1980-03-31,0.0365,0.0365,0.0335,0.035,928407.0
1980-04-01,0.0365,0.0396,0.0365,0.0396,461823.0
1980-04-02,0.0396,0.0396,0.0381,0.0396,161876.0
1980-04-03,0.0381,0.0381,0.0381,0.0381,33327.0
1980-04-07,0.0381,0.0381,0.035,0.0365,280903.0
1980-04-08,0.0365,0.0365,0.035,0.0365,152354.0
1980-04-09,0.0365,0.0365,0.0365,0.0365,457062.0
1980-04-10,0.0365,0.0396,0.035,0.0396,366602.0
1980-04-11,0.0396,0.0396,0.0381,0.0396,157115.0
1980-04-14,0.0396,0.0396,0.0381,0.0381,490389.0
1980-04-15,0.0381,0.0396,0.0365,0.0396,233292.0
1980-04-16,0.0396,0.0396,0.0381,0.0381,157115.0
1980-04-17,0.0381,0.0396,0.0381,0.0381,199965.0
1980-04-18,0.0381,0.0396,0.0365,0.0381,238053.0
1980-04-21,0.0365,0.0365,0.0365,0.0365,52372.0
1980-04-22,0.0365,0.0381,0.0365,0.0365,304708.0
1980-04-23,0.0365,0.0381,0.035,0.0365,837947.0
1980-04-24,0.0381,0.0381,0.0381,0.0381,247575.0
1980-04-25,0.0381,0.0381,0.0365,0.0381,328513.0
1980-04-28,0.0381,0.0396,0.0381,0.0381,361841.0
1980-04-29,0.0381,0.0396,0.0381,0.0396,357080.0
1980-04-30,0.0396,0.0442,0.0396,0.0442,818903.0
1980-05-01,0.0442,0.0457,0.0442,0.0457,195204.0
1980-05-02,0.0457,0.0457,0.0426,0.0457,637982.0
1980-05-05,0.0442,0.0442,0.0411,0.0411,376124.0
1980-05-06,0.0411,0.0426,0.0411,0.0426,647504.0
1980-05-07,0.0426,0.0457,0.0426,0.0457,1018867.0
1980-05-08,0.0457,0.0457,0.0442,0.0457,128549.0
1980-05-09,0.0457,0.0457,0.0426,0.0426,290425.0
1980-05-12,0.0426,0.0426,0.0411,0.0411,119027.0
1980-05-13,0.0411,0.0442,0.0411,0.0426,99982.0
1980-05-14,0.0426,0.0442,0.0426,0.0426,209487.0
1980-05-15,0.0426,0.0442,0.0426,0.0442,85699.0
1980-05-16,0.0442,0.0457,0.0381,0.0457,271381.0
1980-05-19,0.0442,0.0442,0.0426,0.0442,219009.0
1980-05-20,0.0442,0.0442,0.0426,0.0442,157115.0
1980-05-21,0.0442,0.0472,0.0426,0.0472,371363.0
1980-05-22,0.0472,0.0502,0.0472,0.0487,966496.0
1980-05-23,0.0487,0.0502,0.0487,0.0502,157115.0
1980-05-27,0.0502,0.0502,0.0487,0.0487,185681.0
1980-05-28,0.0487,0.0502,0.0487,0.0487,166637.0
1980-05-29,0.0487,0.0502,0.0487,0.0487,219009.0
1980-05-30,0.0487,0.0487,0.0472,0.0472,114265.0
1980-06-02,0.0472,0.0487,0.0472,0.0472,176159.0
1980-06-03,0.0472,0.0472,0.0457,0.0472,1499735.0
1980-06-04,0.0472,0.0472,0.0457,0.0472,495150.0
1980-06-05,0.0472,0.0472,0.0472,0.0472,438018.0
1980-06-06,0.0472,0.0472,0.0457,0.0457,233292.0
1980-06-09,0.0457,0.0457,0.0457,0.0457,942690.0
1980-06-10,0.0457,0.0472,0.0457,0.0472,242814.0
1980-06-11,0.0487,0.0502,0.0487,0.0502,1037912.0
1980-06-12,0.0502,0.0502,0.0487,0.0502,309469.0
1980-06-13,0.0487,0.0487,0.0487,0.0487,61894.0
1980-06-16,0.0487,0.0518,0.0487,0.0502,304708.0
1980-06-17,0.0487,0.0487,0.0487,0.0487,180920.0
1980-06-18,0.0487,0.0502,0.0472,0.0487,366602.0
1980-06-19,0.0487,0.0487,0.0487,0.0487,180920.0
1980-06-20,0.0487,0.0487,0.0487,0.0487,80938.0
1980-06-23,0.0487,0.0487,0.0487,0.0487,133310.0
1980-06-24,0.0487,0.0502,0.0472,0.0502,809381.0
1980-06-25,0.0502,0.0533,0.0502,0.0518,647504.0
1980-06-26,0.0518,0.0533,0.0518,0.0518,180920.0
1980-06-27,0.0518,0.0533,0.0518,0.0533,138071.0
1980-06-30,0.0518,0.0518,0.0502,0.0518,623699.0
1980-07-01,0.0502,0.0502,0.0487,0.0487,238053.0
