date,open,high,low,close,volume
1962-01-02,0.0566,0.0585,0.0566,0.0566,841958.0
1962-01-03,0.0566,0.0576,0.0566,0.0574,801865.0
1962-01-04,0.0574,0.0576,0.057,0.0574,962238.0
1962-01-05,0.0574,0.0578,0.0572,0.0576,962238.0
1962-01-08,0.0576,0.0583,0.0562,0.0574,1282984.0
1962-01-09,0.0574,0.0585,0.057,0.0585,641492.0
1962-01-10,0.0585,0.0595,0.0585,0.0591,681585.0
1962-01-11,0.0591,0.0612,0.0589,0.0608,2004663.0
1962-01-12,0.0608,0.061,0.0581,0.0589,2004663.0
1962-01-15,0.0589,0.0593,0.0585,0.0589,641492.0
1962-01-16,0.0585,0.0585,0.057,0.0574,360839.0
1962-01-17,0.0574,0.0574,0.0555,0.0555,400933.0
1962-01-18,0.0559,0.057,0.0559,0.0566,320746.0
1962-01-19,0.057,0.0578,0.057,0.0578,441026.0
1962-01-22,0.0581,0.0587,0.0581,0.0587,360839.0
1962-01-23,0.0587,0.06,0.0581,0.0585,1202798.0
1962-01-24,0.0585,0.0585,0.057,0.0578,360839.0
1962-01-25,0.0578,0.058,0.057,0.057,160373.0
1962-01-26,0.057,0.0578,0.0566,0.0566,360839.0
1962-01-29,0.0566,0.0574,0.0566,0.0566,240560.0
1962-01-30,0.0566,0.0572,0.0562,0.057,681585.0
1962-01-31,0.057,0.0572,0.0566,0.057,320746.0
1962-02-01,0.057,0.0587,0.057,0.0578,1282984.0
1962-02-02,0.0578,0.0585,0.0578,0.0578,641492.0
1962-02-05,0.0578,0.0583,0.0578,0.0578,400933.0
1962-02-06,0.0578,0.0581,0.0574,0.0574,240560.0
1962-02-07,0.0578,0.0585,0.0578,0.0581,1403264.0
1962-02-08,0.0589,0.0602,0.0589,0.0597,2084849.0
1962-02-09,0.0599,0.0604,0.0599,0.06,1042425.0
1962-02-12,0.06,0.0602,0.0597,0.06,641492.0
1962-02-13,0.06,0.06,0.0593,0.06,641492.0
1962-02-14,0.0599,0.0599,0.0593,0.0593,200466.0
1962-02-15,0.0595,0.0599,0.0595,0.0597,481119.0
1962-02-16,0.06,0.0618,0.06,0.0608,3728673.0
1962-02-19,0.0608,0.0608,0.0599,0.0599,841958.0
1962-02-20,0.0602,0.0604,0.0602,0.0604,240560.0
1962-02-21,0.06,0.06,0.0597,0.0597,120280.0
1962-02-23,0.0597,0.0599,0.0593,0.0593,441026.0
1962-02-26,0.0585,0.0585,0.057,0.0578,761772.0
1962-02-27,0.0578,0.0585,0.0574,0.0574,481119.0
