date,open,high,low,close,volume
2024-09-13,4.2955,4.4999,4.2763,4.4259,220396.22997954
2024-09-14,4.4245,4.4412,4.3537,4.4373,75976.7049009
2024-09-15,4.4376,4.5525,4.3621,4.3942,155808.71297466
2024-09-16,4.3924,4.3924,4.15,4.1948,170088.6495582
2024-09-17,4.1936,4.2893,4.1333,4.1571,120056.45647533
2024-09-18,4.1582,4.1745,3.977,4.1735,372699.48582449
2024-09-19,4.1746,4.3466,4.1746,4.255,292782.89674556
2024-09-20,4.255,4.3969,4.193,4.3342,186282.78417985
2024-09-21,4.3398,4.4745,4.2887,4.4638,138243.22502207
2024-09-22,4.4616,4.4808,4.2385,4.315,164021.0004445
2024-09-23,4.315,4.4581,4.2393,4.4576,150668.99139964
2024-09-24,4.4561,4.6818,4.4042,4.6418,304440.63127718
2024-09-25,4.6393,4.7681,4.5899,4.635,317050.49705042
2024-09-26,4.637,4.8756,4.5664,4.8137,288734.67625159
2024-09-27,4.8138,4.96,4.8132,4.8885,343113.28369333
2024-09-28,4.8849,4.9292,4.75,4.7955,182678.74739646
2024-09-29,4.7937,4.855,4.6847,4.7673,206179.80289441
2024-09-30,4.7664,4.7669,4.4029,4.4363,342228.31987148
2024-10-01,4.4307,4.5578,4.0557,4.1535,509146.66715409
2024-10-02,4.153,4.2665,4.01,4.1004,348063.17483184
2024-10-03,4.1002,4.1699,3.9935,4.128,376184.03588538
2024-10-04,4.1298,4.2122,4.1094,4.1931,363766.8704741
2024-10-05,4.194,4.23,4.0801,4.1367,84563.86685776
2024-10-06,4.1367,4.194,4.1002,4.1888,219976.99421144
2024-10-07,4.1894,4.2691,4.1258,4.1313,209620.88027199
2024-10-08,4.1289,4.18,4.0473,4.0996,136589.87788932
2024-10-09,4.1007,4.1447,3.9504,4.0189,316655.69452241
2024-10-10,4.0189,4.0694,3.9604,4.065,152054.31410043
2024-10-11,4.0683,4.1931,4.0502,4.1663,95962.69935498
2024-10-12,4.1683,4.2582,4.1508,4.2055,161759.67256679
2024-10-13,4.2029,4.2119,4.0849,4.1579,93948.12500999
2024-10-14,4.1583,4.3957,4.1326,4.3727,203835.18520338
2024-10-15,4.3758,4.5295,4.2923,4.4029,250807.33122261
2024-10-16,4.4044,4.4062,4.2892,4.3134,180654.17027124
2024-10-17,4.3114,4.3475,4.1476,4.1885,205724.32715939
2024-10-18,4.1873,4.3069,4.1736,4.3069,128107.53477376
2024-10-19,4.3085,4.4784,4.3085,4.4289,118098.95355283
2024-10-20,4.4302,4.5914,4.3564,4.5738,151185.63882042
2024-10-21,4.5759,4.6078,4.3333,4.374,165639.73547023
2024-10-22,4.3747,4.4286,4.2717,4.3205,161896.40152982
2024-10-23,4.3213,4.3251,4.1055,4.2074,348935.00276631
2024-10-24,4.2047,4.2741,4.1419,4.203,319841.39621561
2024-10-25,4.2032,4.2132,3.847,3.9903,415033.04583033
2024-10-26,3.9875,4.0557,3.9405,4.0293,250312.07063059
2024-10-27,4.0284,4.1311,4.0037,4.124,192130.92064014
2024-10-28,4.1232,4.2175,4.0025,4.1313,275557.61000956
2024-10-29,4.1313,4.249,4.1141,4.1899,285641.35077485
2024-10-30,4.1901,4.2132,4.1191,4.189,247459.83777253
2024-10-31,4.189,4.2119,3.9,3.9562,212577.33408111
2024-11-01,3.9562,3.9892,3.8487,3.9056,213795.98867993
2024-11-02,3.9044,3.9409,3.828,3.9036,72959.73605663
2024-11-03,3.9036,3.9265,3.6683,3.7827,343821.20971854
2024-11-04,3.7839,3.833,3.6787,3.7489,142213.91918297
2024-11-05,3.7487,3.9159,3.7441,3.856,287226.64774899
2024-11-06,3.8561,4.1284,3.856,4.117,937292.89619468
2024-11-07,4.117,4.199,4.0518,4.1641,364815.47923977
2024-11-08,4.1641,4.3937,4.1209,4.3292,435945.82409462
2024-11-09,4.3232,4.6417,4.2681,4.6314,321628.53220028
2024-11-10,4.6342,5.4769,4.5896,5.2473,1366372.04255127
2024-11-11,5.2444,5.7879,4.9825,5.716,850749.26693315
2024-11-12,5.7114,5.8437,5.1204,5.313,973841.85886139
2024-11-13,5.3135,5.4387,4.9128,5.0812,949550.12053437
2024-11-14,5.079,5.2155,4.6896,4.7745,818946.69914773
2024-11-15,4.7728,5.1707,4.7118,5.1535,433990.10677027
2024-11-16,5.1601,5.811,5.1421,5.7814,1036735.60317157
2024-11-17,5.782,6.142,5.314,5.4193,834719.18257647
2024-11-18,5.4201,6.0984,5.4001,6.0137,1062815.0251049
2024-11-19,6.0136,6.0435,5.6719,5.807,914000.54408474
2024-11-20,5.811,6.0769,5.5394,5.7272,622771.40576943
2024-11-21,5.7105,5.9648,5.4804,5.9391,604747.04346211
2024-11-22,5.9402,6.6902,5.8896,6.6282,1556486.36952439
2024-11-23,6.6228,9.4364,6.5916,8.5239,3822318.60350217
2024-11-24,8.523,10.492,8.0519,8.832,2511714.53281411
2024-11-25,8.8348,9.3669,8.0988,8.23,1694280.98070141
2024-11-26,8.2305,8.4575,7.5445,8.0751,1364876.4769968
2024-11-27,8.062,8.5802,7.8468,8.4686,979675.59222288
2024-11-28,8.4667,8.743,8.0088,8.6118,667087.56325615
2024-11-29,8.6108,9.0779,8.456,9.0259,895244.44227042
2024-11-30,9.0262,9.222,8.6118,8.952,543473.52850869
2024-12-01,8.9499,9.399,8.71,9.3037,674447.59885131
2024-12-02,9.2991,10.1948,8.4616,10.0188,1756249.56474601
2024-12-03,10.0187,10.3827,9.0691,9.7913,1506360.20997344
2024-12-04,9.7901,11.6361,9.6775,10.5272,2347197.39189005
2024-12-05,10.5287,11.2319,9.9196,10.39,2449736.53962526
2024-12-06,10.382,10.8999,10.011,10.6945,1029882.13387109
2024-12-07,10.6904,10.9257,10.3189,10.618,642648.65994286
2024-12-08,10.5913,10.8039,10.2107,10.4071,535827.81838658
2024-12-09,10.3974,10.4022,7.55,8.4854,2076001.91310737
2024-12-10,8.4782,8.7214,7.5979,8.3983,1214115.29246635
2024-12-11,8.3961,9.2726,8.0394,9.0017,1032544.97268108
2024-12-12,9.0,9.6787,8.9087,9.0684,1055975.40741665
2024-12-13,9.0615,9.226,8.7808,9.0886,559428.22131709
2024-12-14,9.0901,9.2076,8.3499,8.5545,671492.46371628
2024-12-15,8.5545,9.2503,8.3715,9.0191,370987.26072159
2024-12-16,9.0205,9.1882,8.5917,8.7495,927370.50130558
2024-12-17,8.7495,8.9619,8.3816,8.4818,778480.52330758
2024-12-18,8.4829,8.5382,7.572,7.6789,792168.00416483
2024-12-19,7.6727,7.7879,6.75,6.939,942709.99976373
2024-12-20,6.9373,7.35,6.04,7.2958,1133346.8116682
2024-12-21,7.2793,7.7961,6.8371,6.9636,533843.10049385
2024-12-22,6.9707,7.2505,6.6794,6.8324,285522.43074607
2024-12-23,6.8324,7.55,6.651,7.37,630907.43496622
2024-12-24,7.37,7.6248,7.1488,7.5499,398018.65181807
2024-12-25,7.5456,7.6658,7.3506,7.496,215423.34888583
2024-12-26,7.4973,7.5783,6.8703,6.9224,548438.10851855
2024-12-27,6.9208,7.2934,6.8053,6.8942,292534.47096567
2024-12-28,6.8942,7.1639,6.7872,7.0991,147396.93312476
2024-12-29,7.1008,7.1378,6.8017,6.8538,332214.69965817
2024-12-30,6.8489,7.0882,6.5242,6.6879,624983.63803338
2024-12-31,6.6897,6.9131,6.56,6.6337,297350.55875683
2025-01-01,6.6324,7.1328,6.5135,7.0281,543557.47190207
2025-01-02,7.0398,7.3511,7.0398,7.1651,382760.04511806
2025-01-03,7.1697,7.9892,7.1303,7.754,501410.2606385
2025-01-04,7.7552,7.8717,7.6057,7.6733,329456.08784092
2025-01-05,7.6758,7.7245,7.4627,7.6706,188653.97120502
2025-01-06,7.6716,7.9887,7.5383,7.7691,280706.3338756
2025-01-07,7.763,7.8815,7.01,7.0103,448001.29841589
2025-01-08,7.0116,7.1316,6.4272,6.7553,783577.23692149
2025-01-09,6.7504,6.8403,6.4564,6.5575,360567.57294669
2025-01-10,6.5584,6.8107,6.4887,6.7343,308396.79672224
2025-01-11,6.7306,6.8768,6.5829,6.7348,155494.57754779
2025-01-12,6.7393,6.8107,6.5395,6.6262,123731.74828019
2025-01-13,6.6231,6.7965,5.9991,6.3921,919593.41428028
2025-01-14,6.3934,6.6827,6.3702,6.6589,286050.52904088
2025-01-15,6.6638,7.1958,6.5596,7.1659,332794.77773314
2025-01-16,7.1663,7.3887,6.8488,7.1434,426599.865954
2025-01-17,7.1529,7.5933,7.1529,7.5055,635665.7827048
2025-01-18,7.5081,7.5808,6.8375,7.0336,794142.6174797
2025-01-19,7.0342,7.225,6.1025,6.2426,1236665.60745887
2025-01-20,6.2341,7.0912,6.0537,6.3568,987572.788197
2025-01-21,6.3749,6.8432,6.1551,6.6246,447732.57728616
2025-01-22,6.6241,6.69,6.4132,6.4389,244007.70730935
2025-01-23,6.4338,6.538,6.2,6.3548,350319.5571014
2025-01-24,6.352,6.5392,6.2058,6.3131,330277.07288509
2025-01-25,6.3172,6.3905,6.2436,6.3169,155488.05152671
2025-01-26,6.3169,6.4647,6.1637,6.1756,147574.66526427
2025-01-27,6.1627,6.2071,5.4803,5.9527,833575.59740233
2025-01-28,5.9476,6.0288,5.601,5.6474,321185.80970996
2025-01-29,5.6464,5.8747,5.5474,5.7609,248027.65456582
2025-01-30,5.775,6.2515,5.7263,6.1237,427968.36369683
