date,open,high,low,close,volume
2024-09-11,0.2258,0.2258,0.2072,0.2119,1061539.27334
2024-09-12,0.2119,0.2242,0.203,0.2119,977698.81704
2024-09-13,0.2129,0.2232,0.206,0.2194,526329.32812
2024-09-14,0.221,0.2253,0.2187,0.2209,49832.50856
2024-09-15,0.2221,0.2286,0.2101,0.2117,38511.55974
2024-09-16,0.2123,0.2142,0.2072,0.2093,45476.56484
2024-09-17,0.2092,0.2294,0.2091,0.228,66944.40585
2024-09-18,0.2275,0.2425,0.2191,0.2425,1075411.04751
2024-09-19,0.2431,0.2547,0.2423,0.2488,301742.23911
2024-09-20,0.2511,0.294,0.2511,0.2604,913863.32251
2024-09-21,0.2599,0.2894,0.2542,0.2882,246230.14144
2024-09-22,0.287,0.3021,0.2623,0.2746,114549.98922
2024-09-23,0.2749,0.2937,0.2694,0.2796,300766.05862
2024-09-24,0.2845,0.3347,0.2762,0.3213,387577.03407
2024-09-25,0.3239,0.3697,0.3081,0.3125,426404.48424
2024-09-26,0.3136,0.3799,0.308,0.365,737795.2647
2024-09-27,0.366,0.3798,0.3474,0.3607,208608.4442
2024-09-28,0.3604,0.38,0.349,0.3693,128729.80255
2024-09-29,0.3683,0.3977,0.3494,0.3887,286376.45243
2024-09-30,0.3889,0.4324,0.3669,0.3678,424171.96132
2024-10-01,0.3674,0.3938,0.32,0.3547,615813.76235
2024-10-02,0.356,0.3827,0.3207,0.3209,427589.09454
2024-10-03,0.3224,0.3308,0.2761,0.2793,1199458.53629
2024-10-04,0.2832,0.3207,0.2793,0.31,559063.38254
2024-10-05,0.3186,0.3198,0.276,0.2865,375507.67976
2024-10-06,0.2877,0.298,0.2837,0.2945,326380.57783
2024-10-07,0.2947,0.3136,0.2842,0.2849,874403.57816
2024-10-08,0.2862,0.2902,0.27,0.2828,234044.82454
2024-10-09,0.2836,0.2874,0.265,0.2694,455718.64574
2024-10-10,0.2687,0.2893,0.2559,0.2708,644398.04185
2024-10-11,0.2718,0.3487,0.2682,0.3406,1279185.33322
2024-10-12,0.3433,0.3528,0.3244,0.3314,496224.48442
2024-10-13,0.3305,0.39,0.3256,0.3575,481287.39217
2024-10-14,0.3574,0.5092,0.3476,0.41,2153687.73925
2024-10-15,0.4093,0.476,0.4022,0.4297,1782726.03073
2024-10-16,0.4284,0.47,0.3827,0.3967,1521795.49929
2024-10-17,0.3984,0.4084,0.3739,0.3739,828479.3992
2024-10-18,0.3743,0.4488,0.3675,0.4153,1368301.91106
2024-10-19,0.4133,0.435,0.3811,0.4026,524301.40954
2024-10-20,0.4016,0.4194,0.38,0.4133,468196.64757
2024-10-21,0.4122,0.4797,0.3838,0.3911,826742.57904
2024-10-22,0.3923,0.4295,0.3753,0.3861,823426.39748
2024-10-23,0.387,0.3932,0.3546,0.3696,820737.40584
2024-10-24,0.3688,0.3988,0.3656,0.3907,1180187.92495
2024-10-25,0.3908,0.3951,0.326,0.3507,888424.41975
2024-10-26,0.3506,0.3838,0.3434,0.3575,288819.69126
2024-10-27,0.3558,0.3729,0.3452,0.3622,463148.40039
2024-10-28,0.3621,0.3778,0.3291,0.3723,1233415.39751
2024-10-29,0.3708,0.4296,0.3684,0.3808,642172.80071
2024-10-30,0.3801,0.4101,0.3476,0.3623,1331829.45362
2024-10-31,0.3632,0.394,0.3467,0.3629,599477.75504
2024-11-01,0.3623,0.3952,0.3483,0.3683,1966065.35576
2024-11-02,0.3693,0.3835,0.354,0.361,221687.98527
2024-11-03,0.361,0.3692,0.3169,0.3373,1180981.52271
2024-11-04,0.337,0.3559,0.3209,0.3293,725824.20974
2024-11-05,0.3292,0.3615,0.3233,0.3514,537730.4228
2024-11-06,0.3528,0.4885,0.3528,0.4851,1532887.6644
2024-11-07,0.4865,0.5776,0.4829,0.5106,2128366.91363
2024-11-08,0.5116,0.55,0.4762,0.4958,898536.01578
2024-11-09,0.4941,0.5827,0.4803,0.5506,635591.67105
2024-11-10,0.5499,0.672,0.5234,0.5539,1476512.17768
2024-11-11,0.565,0.699,0.5468,0.6395,1475423.21856
2024-11-12,0.6329,0.6399,0.5525,0.5918,1742693.41373
2024-11-13,0.5937,0.65,0.5159,0.5919,877037.02201
2024-11-14,0.592,0.6048,0.528,0.5387,514472.04399
2024-11-15,0.5384,0.6245,0.5238,0.5362,639026.79801
2024-11-16,0.5336,0.5771,0.5203,0.5536,843221.70274
2024-11-17,0.5559,0.6075,0.5359,0.5546,731708.15787
2024-11-18,0.554,0.6312,0.5474,0.5798,608939.68479
2024-11-19,0.5806,0.5953,0.525,0.5365,820660.28247
2024-11-20,0.5348,0.5456,0.5015,0.5166,183215.35378
2024-11-21,0.5193,0.6051,0.4992,0.593,635817.84343
2024-11-22,0.5917,0.628,0.576,0.5971,686847.44024
2024-11-23,0.5953,0.69,0.5898,0.666,759129.81795
2024-11-24,0.6692,0.7123,0.586,0.6816,713404.65692
2024-11-25,0.6811,0.76,0.6124,0.6316,1220363.03666
2024-11-26,0.631,0.6491,0.5407,0.6018,2000564.2101
2024-11-27,0.601,0.7667,0.5924,0.7094,1634937.91047
2024-11-28,0.7061,0.7622,0.6841,0.7111,1843341.21831
2024-11-29,0.7101,0.8089,0.6879,0.7887,1676192.74603
2024-11-30,0.7886,0.8602,0.7501,0.8428,1525087.33213
2024-12-01,0.8479,0.8873,0.8075,0.8198,2091135.27616
2024-12-02,0.8267,0.8875,0.785,0.839,1519608.63649
2024-12-03,0.8376,0.899,0.7559,0.8104,1155163.91576
2024-12-04,0.8106,0.9777,0.8027,0.9094,1658446.24168
2024-12-05,0.9088,1.002,0.8562,0.9638,2900726.92244
2024-12-06,0.9648,1.079,0.9551,1.0497,1305470.42147
2024-12-07,1.0595,1.2086,1.0198,1.0518,1477186.70128
2024-12-08,1.0539,1.146,0.9909,1.0298,1604884.72094
2024-12-09,1.0295,1.0497,0.891,1.0097,2618211.35314
2024-12-10,1.0057,1.0704,0.8559,0.9034,2465534.76483
2024-12-11,0.9031,1.0465,0.8583,1.0446,1307233.63092
2024-12-12,1.0453,1.1434,1.0327,1.0366,3730135.50745
2024-12-13,1.0427,1.06,0.9738,0.997,1103592.98364
2024-12-14,0.9959,1.1839,0.9447,1.135,3583671.52501
2024-12-15,1.1319,1.2746,1.1151,1.2512,4001390.57396
2024-12-16,1.2537,1.3599,1.1582,1.1849,2543967.75769
2024-12-17,1.183,1.1986,1.1003,1.1129,1940348.22144
2024-12-18,1.1126,1.1589,1.01,1.0768,3350360.79007
2024-12-19,1.0761,1.1994,0.9276,0.9518,6280942.75196
2024-12-20,0.9546,1.2114,0.8451,1.1842,5469802.2687
2024-12-21,1.1765,1.2289,0.9914,1.0113,3701004.80248
2024-12-22,1.0098,1.1059,0.9874,1.0281,1691815.90824
2024-12-23,1.0235,1.12,0.9889,1.075,1837046.55592
2024-12-24,1.0755,1.141,1.0146,1.0543,2846008.17351
2024-12-25,1.0538,1.0672,0.9943,1.0287,876408.61368
2024-12-26,1.0307,1.0445,0.9139,0.9255,1608197.03836
2024-12-27,0.9294,0.9926,0.898,0.9025,692141.83485
2024-12-28,0.9085,0.9502,0.8836,0.9448,620853.28142
2024-12-29,0.9386,0.9777,0.9079,0.9415,1035070.10335
2024-12-30,0.9343,1.0255,0.9269,0.9507,3143005.86609
2024-12-31,0.9509,0.9559,0.9036,0.9082,832221.08101
2025-01-01,0.9161,0.9761,0.8927,0.9574,585898.7968
2025-01-02,0.9588,1.075,0.9587,1.0344,2025933.69786
2025-01-03,1.0321,1.2478,1.02,1.2145,2574641.21172
2025-01-04,1.2132,1.3265,1.176,1.2318,1839694.13311
2025-01-05,1.2277,1.2986,1.1956,1.261,1020002.14325
2025-01-06,1.2615,1.348,1.16,1.1737,2222201.41623
2025-01-07,1.1713,1.1822,1.0352,1.0352,2388675.50114
2025-01-08,1.0386,1.0663,0.901,0.9787,4341797.69802
2025-01-09,0.9736,0.9891,0.8611,0.9014,2000844.71106
2025-01-10,0.912,0.985,0.8717,0.91,1632110.25756
2025-01-11,0.916,0.9362,0.8745,0.907,578661.20499
2025-01-12,0.9066,0.9172,0.8585,0.8773,1182604.24456
2025-01-13,0.8757,0.9156,0.7223,0.7992,3376796.47761
2025-01-14,0.8009,0.8576,0.7877,0.8302,2442207.24106
2025-01-15,0.8356,0.9736,0.777,0.9449,4254781.9954
2025-01-16,0.9418,0.9575,0.8686,0.9144,2719724.24516
2025-01-17,0.9139,1.0071,0.912,0.9665,1514001.70655
2025-01-18,0.965,0.9966,0.8491,0.882,3550873.13475
