date,open,high,low,close,volume
1989-10-04,1.5261,1.5744,1.5068,1.5455,20636000.0
1989-10-05,1.5551,1.6227,1.5455,1.5938,6453600.0
1989-10-06,1.6034,1.6227,1.5744,1.5744,2755200.0
1989-10-09,1.5744,1.5744,1.5455,1.5744,1084000.0
1989-10-10,1.5841,1.5841,1.5455,1.5648,1493600.0
1989-10-11,1.5455,1.5551,1.5261,1.5551,1260000.0
1989-10-12,1.5551,1.5744,1.5551,1.5648,602400.0
1989-10-13,1.5648,1.5648,1.5261,1.5358,3970400.0
1989-10-16,1.4682,1.5261,1.4682,1.5261,3924800.0
1989-10-17,1.5068,1.5455,1.5068,1.5455,1843200.0
1989-10-18,1.5455,1.5841,1.5358,1.5744,1128000.0
1989-10-19,1.5648,1.5744,1.5648,1.5744,1040000.0
1989-10-20,1.5648,1.5648,1.5551,1.5648,237600.0
1989-10-23,1.5744,1.5841,1.5744,1.5744,87200.0
1989-10-24,1.5744,1.5841,1.5648,1.5841,689600.0
1989-10-25,1.5744,1.5938,1.5551,1.5744,608000.0
1989-10-26,1.5744,1.5841,1.5744,1.5744,228800.0
1989-10-27,1.5744,1.5744,1.5455,1.5551,456000.0
1989-10-30,1.5551,1.5551,1.5455,1.5455,250400.0
1989-10-31,1.5455,1.5551,1.5455,1.5455,424800.0
1989-11-01,1.5551,1.5841,1.5551,1.5841,715200.0
1989-11-02,1.6034,1.6324,1.6034,1.6324,130400.0
1989-11-03,1.6227,1.7,1.6227,1.6904,1118400.0
1989-11-06,1.6807,1.6807,1.5938,1.5938,264800.0
1989-11-07,1.5744,1.6614,1.5455,1.6614,727200.0
1989-11-08,1.6614,1.6807,1.6517,1.6807,236800.0
1989-11-09,1.6807,1.6807,1.6614,1.6614,60800.0
1989-11-10,1.6614,1.6614,1.5744,1.5841,210400.0
1989-11-13,1.5841,1.5841,1.5551,1.5744,92800.0
1989-11-14,1.5938,1.5938,1.5358,1.5648,428000.0
1989-11-15,1.5744,1.5938,1.5648,1.5841,176000.0
1989-11-16,1.5744,1.6034,1.5744,1.6034,301600.0
1989-11-17,1.6034,1.6324,1.6034,1.6324,249600.0
1989-11-20,1.6421,1.6421,1.6131,1.6131,43200.0
1989-11-21,1.6034,1.6517,1.6034,1.6517,108800.0
1989-11-22,1.6614,1.7,1.6614,1.7,255200.0
1989-11-24,1.7193,1.8256,1.7193,1.8063,572000.0
1989-11-27,1.7966,1.8159,1.7676,1.7773,253600.0
1989-11-28,1.7773,1.7773,1.7483,1.7483,560000.0
1989-11-29,1.7387,1.7387,1.7193,1.729,60800.0
1989-11-30,1.7386,1.7966,1.7386,1.7869,712800.0
1989-12-01,1.7869,1.8256,1.7869,1.7966,356800.0
1989-12-04,1.8159,1.8449,1.7773,1.8449,172000.0
1989-12-05,1.8256,1.8449,1.7966,1.7966,93600.0
1989-12-06,1.7966,1.8546,1.7966,1.8449,668800.0
1989-12-07,1.8449,1.8449,1.8063,1.8256,215200.0
1989-12-08,1.8063,1.8256,1.8063,1.8256,122400.0
1989-12-11,1.8352,1.8739,1.8159,1.8546,306400.0
1989-12-12,1.8642,1.8739,1.8449,1.8642,1119200.0
1989-12-13,1.8546,1.9512,1.8449,1.9512,400000.0
