date,open,high,low,close,volume
2024-09-13,1.336,1.388,1.327,1.388,350.0833
2024-09-14,1.41,1.41,1.35,1.365,176.23354
2024-09-15,1.376,1.376,1.295,1.295,7408.12457
2024-09-16,1.268,1.295,1.235,1.235,1730.10451
2024-09-17,1.254,1.377,1.253,1.342,7730.72338
2024-09-18,1.343,1.392,1.314,1.392,16925.17044
2024-09-19,1.41,1.528,1.406,1.468,27693.50145
2024-09-20,1.47,1.571,1.47,1.491,6617.33594
2024-09-21,1.488,1.556,1.466,1.556,2918.99678
2024-09-22,1.588,1.639,1.41,1.467,3870.2498
2024-09-23,1.503,1.56,1.482,1.542,46633.57453
2024-09-24,1.542,1.598,1.499,1.577,43685.1804
2024-09-25,1.6,1.705,1.482,1.482,72653.54731
2024-09-26,1.493,1.697,1.465,1.676,42432.49959
2024-09-27,1.677,1.783,1.624,1.75,14915.87835
2024-09-28,1.767,1.825,1.616,1.687,25122.19432
2024-09-29,1.689,1.832,1.656,1.774,22551.76118
2024-09-30,1.76,1.871,1.699,1.768,48079.13415
2024-10-01,1.768,1.862,1.444,1.468,33477.82908
2024-10-02,1.475,1.633,1.374,1.406,46382.83679
2024-10-03,1.41,1.442,1.305,1.35,16236.01891
2024-10-04,1.375,1.464,1.37,1.445,9576.50999
2024-10-05,1.46,1.48,1.364,1.397,1739.52039
2024-10-06,1.4,1.478,1.4,1.46,8661.92844
2024-10-07,1.484,1.551,1.454,1.494,21341.20995
2024-10-08,1.498,1.508,1.418,1.449,5552.72553
2024-10-09,1.46,1.469,1.358,1.378,5738.99301
2024-10-10,1.368,1.401,1.323,1.374,9054.898
2024-10-11,1.379,1.491,1.365,1.463,5793.94675
2024-10-12,1.475,1.521,1.456,1.479,7570.29739
2024-10-13,1.491,1.496,1.415,1.487,5175.13728
2024-10-14,1.491,1.703,1.468,1.675,40244.34356
2024-10-15,1.691,1.863,1.668,1.751,43708.82718
2024-10-16,1.754,1.784,1.652,1.658,16564.20467
2024-10-17,1.673,1.719,1.547,1.564,26951.41427
2024-10-18,1.579,1.671,1.561,1.637,10036.31996
2024-10-19,1.642,1.675,1.599,1.635,2625.24603
2024-10-20,1.645,1.778,1.6,1.747,31853.88531
2024-10-21,1.749,1.799,1.631,1.645,24783.35175
2024-10-22,1.638,1.675,1.608,1.621,18864.8349
2024-10-23,1.625,1.625,1.498,1.55,58322.3413
2024-10-24,1.535,1.579,1.505,1.55,23710.83513
2024-10-25,1.564,1.564,1.291,1.33,18694.387
2024-10-26,1.33,1.409,1.308,1.399,9039.13503
2024-10-27,1.403,1.441,1.38,1.415,2207.64769
2024-10-28,1.413,1.453,1.35,1.418,15621.02936
2024-10-29,1.441,1.516,1.441,1.486,7019.2174
2024-10-30,1.482,1.602,1.463,1.535,21315.1617
2024-10-31,1.537,1.537,1.421,1.442,4375.0647
2024-11-01,1.432,1.478,1.374,1.386,2029.20449
2024-11-02,1.412,1.412,1.316,1.326,8699.48358
2024-11-03,1.33,1.33,1.19,1.269,7510.3603
2024-11-04,1.25,1.301,1.202,1.23,11558.51935
2024-11-05,1.238,1.316,1.229,1.308,12746.40613
2024-11-06,1.305,1.555,1.305,1.52,16812.38983
2024-11-07,1.535,1.639,1.519,1.589,15688.2241
2024-11-08,1.595,1.639,1.495,1.578,10614.10204
2024-11-09,1.589,1.7,1.557,1.675,5787.86646
2024-11-10,1.665,1.927,1.63,1.818,39327.59334
2024-11-11,1.829,1.909,1.702,1.882,27499.18748
2024-11-12,1.866,1.949,1.608,1.693,18056.39422
2024-11-13,1.688,1.695,1.5,1.57,35066.43974
2024-11-14,1.576,1.659,1.436,1.455,29524.00144
2024-11-15,1.47,1.55,1.428,1.538,66338.50986
2024-11-16,1.525,1.679,1.524,1.669,16374.06562
2024-11-17,1.682,1.682,1.51,1.538,15512.76964
2024-11-18,1.543,1.708,1.543,1.69,13491.08248
2024-11-19,1.708,1.708,1.546,1.589,52615.97528
2024-11-20,1.573,1.598,1.463,1.499,9296.16021
2024-11-21,1.478,2.032,1.43,1.924,79258.92201
2024-11-22,1.91,1.938,1.764,1.871,43777.09809
2024-11-23,1.88,2.18,1.862,2.085,56180.85367
2024-11-24,2.121,2.249,1.889,2.202,73612.35315
2024-11-25,2.192,2.465,2.06,2.228,116909.95946
2024-11-26,2.249,2.268,1.991,2.157,47175.70489
2024-11-27,2.18,2.588,2.111,2.543,105439.60171
2024-11-28,2.541,2.934,2.312,2.375,58418.4
2024-11-29,2.384,2.631,2.304,2.361,83984.53195
2024-11-30,2.354,2.759,2.341,2.556,84384.03424
2024-12-01,2.564,2.624,2.469,2.53,24207.44079
2024-12-02,2.556,2.85,2.313,2.65,59705.9572
2024-12-03,2.654,2.68,2.397,2.635,54413.69441
2024-12-04,2.63,2.89,2.63,2.714,35222.80456
2024-12-05,2.719,2.807,2.558,2.698,27554.4069
2024-12-06,2.656,3.15,2.65,2.979,52102.30408
2024-12-07,2.964,3.071,2.912,2.98,17169.86629
2024-12-08,2.985,2.986,2.851,2.961,9160.31764
2024-12-09,2.923,2.929,1.992,2.404,61187.11265
2024-12-10,2.385,2.579,2.199,2.378,45326.34469
2024-12-11,2.366,2.795,2.3,2.638,61376.20669
2024-12-12,2.612,2.897,2.606,2.7,22880.57021
2024-12-13,2.747,2.807,2.624,2.685,12544.03969
