date,open,high,low,close,volume
1996-03-18,8.7792,8.7792,8.7792,8.7792,500.0
1996-03-19,8.867,8.867,8.867,8.867,18500.0
1996-03-20,8.7792,8.7792,8.7792,8.7792,3400.0
1996-03-21,8.7792,8.7792,8.7792,8.7792,0.0
1996-03-22,8.9548,8.9548,8.9548,8.9548,350.0
1996-03-25,9.0426,9.0426,9.0426,9.0426,1100.0
1996-03-26,9.0865,9.0865,8.9987,9.0865,1550.0
1996-03-27,9.0426,9.0426,8.9987,8.9987,900.0
1996-03-28,8.867,8.867,8.867,8.867,2500.0
1996-03-29,9.0426,9.0426,8.9548,8.9987,3100.0
1996-04-01,9.0426,9.0426,8.867,8.867,4900.0
1996-04-02,8.8231,8.8231,8.7353,8.8231,31450.0
1996-04-03,8.867,8.867,8.867,8.867,900.0
1996-04-04,8.9109,8.9109,8.867,8.867,1500.0
1996-04-08,8.7792,8.7792,8.6914,8.6914,900.0
1996-04-09,8.8231,8.8231,8.6914,8.6914,500.0
1996-04-10,8.867,8.867,8.7792,8.7792,4300.0
1996-04-11,8.8231,8.8231,8.8231,8.8231,150.0
1996-04-12,8.8231,8.867,8.8231,8.867,1000.0
1996-04-15,8.867,8.867,8.867,8.867,200.0
1996-04-16,8.9987,8.9987,8.9987,8.9987,12650.0
1996-04-17,9.0426,9.0426,8.9548,8.9548,6400.0
1996-04-18,8.9109,8.9548,8.9109,8.9548,5550.0
1996-04-19,8.9548,8.9548,8.9548,8.9548,2300.0
1996-04-22,8.9548,8.9548,8.867,8.867,6300.0
1996-04-23,8.867,8.867,8.7792,8.7792,14500.0
1996-04-24,8.7792,8.7792,8.6914,8.7353,2550.0
1996-04-25,8.6475,8.7353,8.6475,8.6914,5400.0
1996-04-26,8.7353,8.867,8.7353,8.8231,16450.0
1996-04-29,8.9109,8.9109,8.8231,8.867,2550.0
1996-04-30,8.867,8.9548,8.867,8.9109,16850.0
1996-05-01,8.9109,8.9109,8.867,8.867,6000.0
1996-05-02,8.867,8.9109,8.8231,8.8231,16150.0
1996-05-03,8.867,8.867,8.8231,8.867,9000.0
1996-05-06,8.8231,8.867,8.7792,8.8231,7050.0
1996-05-07,8.8231,8.867,8.7353,8.7792,15800.0
1996-05-08,8.7353,8.7792,8.6475,8.7353,8800.0
1996-05-09,8.867,8.867,8.7353,8.8231,14250.0
1996-05-10,8.8231,8.867,8.7792,8.7792,7700.0
1996-05-13,8.7792,8.867,8.7792,8.8231,8100.0
1996-05-14,8.7792,8.8231,8.6475,8.7792,33000.0
1996-05-15,8.6475,8.6475,8.5159,8.5597,3200.0
1996-05-16,8.472,8.6475,8.472,8.6036,4050.0
1996-05-17,8.6036,8.6036,8.472,8.5159,2700.0
1996-05-20,8.5159,8.5159,8.3842,8.472,9500.0
1996-05-21,8.4281,8.472,8.2964,8.472,14300.0
1996-05-22,8.4281,8.4281,8.2964,8.3842,3000.0
1996-05-23,8.472,8.472,8.472,8.472,50.0
1996-05-24,8.3842,8.6036,8.3842,8.6036,27350.0
1996-05-28,8.6036,8.6036,8.4281,8.5159,16600.0
1996-05-29,8.4281,8.472,8.4281,8.4281,16750.0
1996-05-30,8.4281,8.4281,8.4281,8.4281,2100.0
1996-05-31,8.472,8.5159,8.472,8.472,5900.0
1996-06-03,8.4281,8.4281,8.1647,8.2525,10900.0
1996-06-04,8.2086,8.3842,8.2086,8.3842,8700.0
1996-06-05,8.3403,8.3403,8.3403,8.3403,2100.0
1996-06-06,8.5159,8.5597,8.5159,8.5159,1600.0
1996-06-07,8.4281,8.472,8.3842,8.4281,3900.0
1996-06-10,8.5597,8.5597,8.5597,8.5597,2500.0
1996-06-11,8.5597,8.5597,8.5159,8.5159,3300.0
1996-06-12,8.5159,8.5159,8.4281,8.472,700.0
1996-06-13,8.3842,8.4281,8.2964,8.3842,6550.0
1996-06-14,8.472,8.472,8.472,8.472,700.0
1996-06-17,8.5597,8.5597,8.3842,8.3842,3650.0
1996-06-18,8.5159,8.5597,8.5159,8.5597,1850.0
1996-06-19,8.5597,8.5597,8.5159,8.5159,2100.0
1996-06-20,8.5597,8.5597,8.5597,8.5597,150.0
1996-06-21,8.5159,8.5597,8.5159,8.5597,1150.0
1996-06-24,8.5597,8.5597,8.5597,8.5597,3150.0
1996-06-25,8.5597,8.5597,8.5597,8.5597,1550.0
1996-06-26,8.5597,8.5597,8.5597,8.5597,350.0
1996-06-27,8.5159,8.5159,8.4281,8.472,1900.0
1996-06-28,8.5159,8.5159,8.5159,8.5159,3400.0
1996-07-01,8.4281,8.5159,8.4281,8.5159,550.0
1996-07-02,8.5158,8.5158,8.4281,8.4281,3450.0
1996-07-03,8.4281,8.4281,8.4281,8.4281,0.0
1996-07-05,8.2525,8.2525,8.2525,8.2525,50.0
1996-07-08,8.3403,8.3403,8.1647,8.1647,1950.0
1996-07-09,8.2086,8.2525,8.2086,8.2525,150.0
1996-07-10,8.2525,8.2525,8.2525,8.2525,1050.0
1996-07-11,8.2964,8.2964,8.033,8.1647,1050.0
1996-07-12,8.0769,8.0769,7.9013,8.0769,1000.0
1996-07-15,7.8574,7.8574,7.8574,7.8574,100.0
1996-07-16,7.9013,7.9013,7.7257,7.7257,3050.0
1996-07-17,7.8574,8.0769,7.8574,8.0769,2100.0
1996-07-18,8.0769,8.1208,8.0769,8.1208,2750.0
1996-07-19,8.1647,8.1647,7.9452,7.9452,15850.0
1996-07-22,7.8574,7.9452,7.8574,7.9452,350.0
1996-07-23,7.9891,7.9891,7.9013,7.9452,8000.0
1996-07-24,7.8574,7.9452,7.7696,7.9013,40350.0
1996-07-25,7.9013,7.9013,7.9013,7.9013,400.0
1996-07-26,7.8574,7.8574,7.8574,7.8574,100.0
1996-07-29,7.7257,7.7257,7.6379,7.6379,400.0
1996-07-30,7.6379,7.6379,7.6379,7.6379,2150.0
1996-07-31,7.7257,7.8574,7.7257,7.8574,1900.0
1996-08-01,7.9452,7.9452,7.9013,7.9013,2850.0
1996-08-02,7.9452,7.9891,7.9013,7.9013,2800.0
1996-08-05,7.9452,7.9452,7.9013,7.9013,800.0
1996-08-06,8.033,8.033,7.9452,7.9452,1050.0
1996-08-07,8.033,8.1208,8.033,8.1208,600.0
1996-08-08,8.033,8.033,7.9013,7.9891,1850.0
1996-08-09,7.9891,7.9891,7.8574,7.8574,12650.0
1996-08-12,8.033,8.033,7.8135,7.9013,6900.0
1996-08-13,7.7257,7.7257,7.7257,7.7257,550.0
1996-08-14,7.9891,7.9891,7.9013,7.9013,450.0
1996-08-15,7.8135,7.8135,7.6818,7.8135,950.0
1996-08-16,7.8135,7.8135,7.7257,7.7257,650.0
1996-08-19,7.7257,7.7257,7.6818,7.6818,6000.0
1996-08-20,7.8135,7.9013,7.8135,7.9013,600.0
1996-08-21,7.9013,8.0769,7.9013,8.033,14500.0
1996-08-22,8.0769,8.0769,8.033,8.033,1400.0
1996-08-23,8.1208,8.1208,8.0769,8.0769,400.0
1996-08-26,8.0582,8.0582,8.0142,8.0142,450.0
1996-08-27,8.0582,8.1023,7.9261,8.1023,550.0
1996-08-28,8.1023,8.1023,8.1023,8.1023,2100.0
1996-08-29,8.0582,8.0582,7.9702,8.0142,15050.0
1996-08-30,8.0142,8.1023,8.0142,8.1023,2550.0
1996-09-03,7.8821,7.8821,7.75,7.8821,11300.0
1996-09-04,7.8821,7.8821,7.8821,7.8821,100.0
1996-09-05,7.9261,7.9261,7.9261,7.9261,950.0
1996-09-06,7.9701,7.9701,7.838,7.838,6400.0
1996-09-09,7.8381,7.9261,7.8381,7.8821,6900.0
1996-09-10,7.9702,7.9702,7.838,7.9261,250.0
1996-09-11,7.838,7.838,7.838,7.838,550.0
1996-09-12,7.838,7.9261,7.838,7.9261,700.0
1996-09-13,8.0142,8.0142,8.0142,8.0142,400.0
1996-09-16,8.0142,8.0582,8.0142,8.0582,200.0
1996-09-17,8.0582,8.1023,8.0582,8.1023,10050.0
1996-09-18,8.1023,8.1023,8.0142,8.0142,33600.0
1996-09-19,8.1023,8.1023,8.1023,8.1023,12550.0
1996-09-20,8.0142,8.1463,8.0142,8.1463,750.0
1996-09-23,7.9261,8.0582,7.9261,8.0582,650.0
1996-09-24,7.8821,8.0142,7.8821,8.0142,1900.0
1996-09-25,7.9261,7.9261,7.9261,7.9261,150.0
1996-09-26,7.9701,8.0142,7.9261,7.9701,25050.0
1996-09-27,7.9701,8.0582,7.9701,7.9701,13300.0
1996-09-30,8.0142,8.0142,7.9261,8.0142,7450.0
1996-10-01,8.0142,8.0142,7.9261,7.9701,3500.0
1996-10-02,8.0142,8.0582,7.9702,8.0142,13200.0
1996-10-03,8.0142,8.0142,7.9261,7.9261,7500.0
1996-10-04,7.8821,8.0142,7.8821,8.0142,2150.0
1996-10-07,7.8381,7.8381,7.75,7.75,4600.0
1996-10-08,7.6179,7.75,7.6179,7.6619,3500.0
1996-10-09,7.6619,7.8381,7.6619,7.75,1400.0
1996-10-10,7.6619,7.838,7.6619,7.838,6250.0
1996-10-11,7.75,7.794,7.75,7.75,3250.0
1996-10-14,7.75,7.75,7.6179,7.6179,33050.0
1996-10-15,7.794,7.794,7.5738,7.7059,8650.0
1996-10-16,7.75,7.794,7.75,7.794,9950.0
1996-10-17,7.75,7.794,7.6619,7.794,1850.0
1996-10-18,7.794,7.8381,7.7059,7.75,2350.0
1996-10-21,7.6619,7.6619,7.5298,7.5738,16700.0
1996-10-22,7.6179,7.6619,7.5738,7.6619,1050.0
1996-10-23,7.6619,7.7059,7.6179,7.6179,10850.0
1996-10-24,7.794,7.838,7.794,7.838,1450.0
1996-10-25,7.838,7.9261,7.838,7.838,2950.0
1996-10-28,7.8821,7.9261,7.794,7.838,53750.0
1996-10-29,7.75,7.794,7.75,7.794,1600.0
1996-10-30,7.8381,7.8381,7.75,7.75,5850.0
1996-10-31,7.75,7.794,7.7059,7.7059,6850.0
1996-11-01,7.6619,7.75,7.6619,7.75,600.0
1996-11-04,7.75,7.75,7.75,7.75,650.0
1996-11-05,7.75,7.75,7.75,7.75,300.0
1996-11-06,7.7059,7.838,7.7059,7.838,2800.0
1996-11-07,7.8821,7.9261,7.838,7.9261,4750.0
1996-11-08,8.0142,8.0142,8.0142,8.0142,1350.0
1996-11-11,7.9261,8.0142,7.9261,8.0142,1450.0
1996-11-12,8.0582,8.0582,8.0582,8.0582,200.0
1996-11-13,8.1023,8.1023,8.1023,8.1023,10800.0
1996-11-14,8.2784,8.3224,8.2784,8.3224,5850.0
1996-11-15,8.3665,8.3665,8.3224,8.3665,5850.0
1996-11-18,8.3224,8.3224,8.2344,8.2344,1150.0
1996-11-19,8.1463,8.2784,8.1463,8.2784,3900.0
1996-11-20,8.3665,8.4105,8.3665,8.4105,1900.0
1996-11-21,8.4545,8.4545,8.4545,8.4545,10950.0
1996-11-22,8.4545,8.4986,8.3665,8.3665,26100.0
1996-11-25,8.4545,8.4986,8.3665,8.3665,1400.0
1996-11-26,8.5426,8.5426,8.3665,8.3665,2300.0
1996-11-27,8.5426,8.5426,8.3665,8.4545,1800.0
