date,open,high,low,close,volume
1972-06-01,0.203,0.2053,0.203,0.2034,1091238.0
1972-06-02,0.2034,0.2053,0.2023,0.203,1174468.0
1972-06-05,0.203,0.205,0.2023,0.203,5209582.0
1972-06-06,0.203,0.2038,0.2,0.2008,1424158.0
1972-06-07,0.2008,0.2019,0.1996,0.1996,675088.0
1972-06-08,0.1996,0.2011,0.1981,0.1981,1038834.0
1972-06-09,0.1981,0.1985,0.1931,0.1969,6590583.0
1972-06-12,0.1969,0.1992,0.1954,0.1969,1430323.0
1972-06-13,0.1969,0.1988,0.1969,0.1985,934026.0
1972-06-14,0.1992,0.2034,0.1992,0.2015,2940794.0
1972-06-15,0.2015,0.2034,0.2004,0.2008,1464232.0
1972-06-16,0.2008,0.2015,0.1985,0.2015,752153.0
1972-06-19,0.2015,0.2027,0.1996,0.2004,530206.0
1972-06-20,0.2004,0.2023,0.2004,0.2011,897034.0
1972-06-21,0.2011,0.2015,0.1992,0.1992,1612196.0
1972-06-22,0.1988,0.1988,0.1962,0.1981,1282359.0
1972-06-23,0.1977,0.1977,0.1958,0.1977,1276193.0
1972-06-26,0.1977,0.1977,0.1962,0.1969,622684.0
1972-06-27,0.1969,0.1985,0.1969,0.1985,878539.0
1972-06-28,0.1985,0.1996,0.1977,0.1981,906282.0
1972-06-29,0.1981,0.1988,0.1973,0.1973,450059.0
1972-06-30,0.1962,0.1962,0.1939,0.1958,826135.0
1972-07-03,0.1958,0.1958,0.1939,0.195,440811.0
1972-07-05,0.195,0.1954,0.1919,0.1939,1396415.0
1972-07-06,0.1946,0.1981,0.1946,0.1962,1174468.0
1972-07-07,0.1962,0.1973,0.1939,0.1954,1353258.0
1972-07-10,0.1954,0.1958,0.1931,0.1931,527123.0
1972-07-11,0.1931,0.1946,0.1919,0.1919,548702.0
1972-07-12,0.1919,0.1946,0.1904,0.1904,1803317.0
1972-07-13,0.1904,0.1908,0.1881,0.1904,681253.0
1972-07-14,0.1904,0.1916,0.1896,0.19,943273.0
1972-07-17,0.19,0.1916,0.1893,0.19,585693.0
1972-07-18,0.19,0.1923,0.187,0.1919,1340928.0
1972-07-19,0.1919,0.1962,0.1916,0.1931,1710839.0
1972-07-20,0.1931,0.1939,0.1904,0.1904,493215.0
1972-07-21,0.1904,0.1939,0.1904,0.1931,604188.0
1972-07-24,0.1946,0.1996,0.1946,0.1985,1458066.0
1972-07-25,0.2005,0.2009,0.199,0.1998,1553627.0
1972-07-26,0.1998,0.1998,0.1986,0.199,431563.0
