date,open,high,low,close,volume
1995-07-10,6.2872,6.5201,6.2872,6.5201,5438000.0
1995-07-11,6.6864,6.6864,6.5866,6.6531,4907000.0
1995-07-12,6.6531,6.9525,6.6199,6.9525,1055800.0
1995-07-13,6.9193,6.9858,6.886,6.9525,1373600.0
1995-07-14,6.9193,6.9525,6.886,6.9193,985600.0
1995-07-17,6.9192,6.9192,6.8527,6.886,947600.0
1995-07-18,6.886,6.886,6.6864,6.7197,727400.0
1995-07-19,6.6864,6.6864,6.2207,6.3205,558200.0
1995-07-20,6.2539,6.2872,6.2539,6.2872,464600.0
1995-07-21,6.3205,6.4868,6.3205,6.4203,721200.0
1995-07-24,6.4203,6.5201,6.4203,6.4203,509000.0
1995-07-25,6.4535,6.5866,6.4203,6.4535,847000.0
1995-07-26,6.5201,6.6864,6.5201,6.6864,1584800.0
1995-07-27,6.6531,6.8527,6.6531,6.8527,2082600.0
1995-07-28,6.8527,7.2852,6.7529,7.2852,14640800.0
1995-07-31,7.2519,7.2519,7.0523,7.1854,2544600.0
1995-08-01,7.1521,7.1521,7.0523,7.0856,1956000.0
1995-08-02,7.0856,7.0856,6.7197,6.7529,2307600.0
1995-08-03,6.6864,6.9193,6.6864,6.9193,1762800.0
1995-08-04,6.8527,6.886,6.6531,6.7529,903800.0
1995-08-07,6.7197,6.7197,6.6199,6.6864,837000.0
1995-08-08,6.6531,6.6864,6.6199,6.6199,729000.0
1995-08-09,6.6199,6.6199,6.4868,6.5201,586600.0
1995-08-10,6.5201,6.6864,6.5201,6.5866,1319400.0
1995-08-11,6.5866,6.7197,6.5866,6.6531,1152000.0
1995-08-14,6.6531,6.6531,6.4535,6.5201,379800.0
1995-08-15,6.5201,6.5866,6.5201,6.5533,349600.0
1995-08-16,6.6199,6.6531,6.5533,6.5866,440200.0
1995-08-17,6.5866,6.6864,6.5533,6.6864,410600.0
1995-08-18,6.6864,6.6864,6.4868,6.5201,598800.0
1995-08-21,6.5533,6.6199,6.4535,6.4535,440400.0
1995-08-22,6.4868,6.5201,6.3205,6.387,444200.0
1995-08-23,6.4203,6.4203,6.1541,6.2872,193200.0
1995-08-24,6.2872,6.2872,6.1541,6.1874,1284000.0
1995-08-25,6.1874,6.3537,6.0876,6.2872,733400.0
1995-08-28,6.2872,6.2872,6.1209,6.1874,447600.0
1995-08-29,6.1874,6.1874,6.0211,6.0876,368600.0
1995-08-30,6.0211,6.2539,6.0211,6.1541,398000.0
1995-08-31,6.1874,6.2207,6.1541,6.2207,417400.0
1995-09-01,6.1874,6.2872,6.1874,6.2539,594600.0
1995-09-05,6.3205,6.3537,6.2207,6.2872,487600.0
1995-09-06,6.3205,6.387,6.2872,6.3537,476400.0
1995-09-07,6.3205,6.3205,6.1541,6.1874,618000.0
1995-09-08,6.1874,6.2207,6.1541,6.1874,1015600.0
1995-09-11,6.1874,6.387,6.1541,6.3205,279000.0
1995-09-12,6.3205,6.387,6.2207,6.387,290000.0
1995-09-13,6.4868,6.6199,6.4868,6.4868,325000.0
1995-09-14,6.4868,6.5201,6.4203,6.5201,491800.0
1995-09-15,6.5866,6.6199,6.5201,6.5866,1108600.0
1995-09-18,6.5866,6.6199,6.5533,6.6199,609400.0
1995-09-19,6.5866,6.6199,6.5533,6.6199,581600.0
1995-09-20,6.5866,6.6199,6.5533,6.5866,597600.0
1995-09-21,6.5866,6.6199,6.5533,6.5866,437400.0
1995-09-22,6.5201,6.5866,6.4868,6.5533,832200.0
1995-09-25,6.5866,6.6199,6.5201,6.5866,436400.0
1995-09-26,6.5533,6.6199,6.5201,6.5533,571000.0
1995-09-27,6.5866,6.6864,6.5533,6.5533,893200.0
1995-09-28,6.5866,6.7529,6.5866,6.7529,728200.0
1995-09-29,6.7529,6.9193,6.7197,6.8195,300800.0
1995-10-02,6.8527,6.8527,6.7862,6.8527,292800.0
1995-10-03,6.8195,6.8527,6.7197,6.8195,197600.0
1995-10-04,6.8195,6.8195,6.6199,6.6531,232000.0
1995-10-05,6.7197,6.7197,6.5866,6.6199,397000.0
1995-10-06,6.6199,6.7197,6.5866,6.6531,124400.0
1995-10-09,6.6199,6.6531,6.5533,6.6531,148600.0
1995-10-10,6.6864,6.7197,6.6531,6.6864,407600.0
1995-10-11,6.7197,6.7197,6.6199,6.6864,251400.0
1995-10-12,6.7132,6.7804,6.6797,6.7804,462800.0
1995-10-13,6.7804,6.9818,6.7804,6.8811,666400.0
1995-10-16,6.9146,6.9146,6.7468,6.7804,304400.0
1995-10-17,6.7804,6.7804,6.6461,6.7132,358600.0
1995-10-18,6.7132,6.8475,6.7132,6.8139,860000.0
1995-10-19,6.8139,6.8475,6.7468,6.8139,437600.0
1995-10-20,6.7804,6.7804,6.6461,6.6461,459600.0
1995-10-23,6.6461,6.6797,6.5454,6.579,109800.0
1995-10-24,6.6125,6.6125,6.4783,6.6125,294200.0
1995-10-25,6.579,6.6125,6.4111,6.4111,149800.0
1995-10-26,6.4112,6.4447,6.2769,6.3105,187600.0
1995-10-27,6.2769,6.3776,6.1762,6.3776,491200.0
1995-10-30,6.3776,6.3776,6.3104,6.344,131600.0
1995-10-31,6.3104,6.3104,6.1091,6.1091,267000.0
1995-11-01,6.0755,6.344,6.0755,6.3105,1125400.0
1995-11-02,6.2769,6.2769,6.1426,6.2098,1404800.0
1995-11-03,6.2097,6.2769,6.1762,6.2433,184600.0
1995-11-06,6.2097,6.2769,6.1762,6.2433,426200.0
1995-11-07,6.3104,6.3776,6.2769,6.344,336000.0
1995-11-08,6.3104,6.3776,6.3104,6.3776,288800.0
1995-11-09,6.3776,6.4111,6.3105,6.4111,408400.0
1995-11-10,6.579,6.6461,6.5118,6.6461,798200.0
1995-11-13,6.6461,6.7468,6.6125,6.7132,720000.0
1995-11-14,6.7468,6.7804,6.7132,6.7804,400800.0
1995-11-15,6.7804,6.7804,6.6797,6.7804,497400.0
1995-11-16,6.7468,6.8139,6.7468,6.8139,381600.0
1995-11-17,6.8139,6.8139,6.6797,6.7132,260600.0
1995-11-20,6.7132,6.8475,6.6797,6.8139,758600.0
1995-11-21,6.8811,6.8811,6.8139,6.8811,340200.0
1995-11-22,6.8475,7.116,6.8475,7.0489,755200.0
1995-11-24,7.116,7.2167,7.116,7.116,181000.0
1995-11-27,7.1496,7.2839,7.0825,7.2839,1088000.0
1995-11-28,7.2839,7.3846,7.1832,7.2839,790800.0
1995-11-29,7.2503,7.2839,7.1832,7.2167,594000.0
1995-11-30,7.2167,7.2839,7.2167,7.2839,437800.0
1995-12-01,7.2503,7.3846,7.1832,7.3846,166000.0
1995-12-04,7.3846,7.7874,7.3846,7.586,577000.0
1995-12-05,7.7874,7.9552,7.7874,7.9216,712200.0
1995-12-06,7.9888,8.2573,7.9888,8.0223,1098600.0
1995-12-07,7.9888,8.0223,7.8209,7.8545,708400.0
1995-12-08,7.8545,7.8881,7.7538,7.8209,863600.0
1995-12-11,7.8209,7.8545,7.7874,7.7874,466200.0
1995-12-12,7.7874,7.9552,7.7874,7.9552,435200.0
1995-12-13,7.9216,8.123,7.8881,8.0559,614600.0
1995-12-14,8.0559,8.123,7.9552,8.0223,573600.0
1995-12-15,8.0223,8.0223,7.8881,7.9216,1558000.0
1995-12-18,7.8545,7.8881,7.6867,7.7538,241600.0
1995-12-19,7.586,7.6531,7.4181,7.5188,718200.0
1995-12-20,7.5188,7.5524,7.3174,7.3174,673800.0
1995-12-21,7.2503,7.351,7.2503,7.351,742400.0
1995-12-22,7.3174,7.5524,7.3174,7.4853,797400.0
1995-12-26,7.5188,7.5524,7.4517,7.4853,244400.0
1995-12-27,7.4517,7.4517,7.351,7.3846,205600.0
1995-12-28,7.3174,7.4517,7.3174,7.351,315000.0
1995-12-29,7.3846,7.6195,7.3846,7.5524,473800.0
1996-01-02,7.5188,7.5188,7.4181,7.4853,491400.0
1996-01-03,7.5188,7.5524,7.4517,7.4517,842000.0
1996-01-04,7.4517,7.4853,7.351,7.4181,1186600.0
1996-01-05,7.3846,7.4853,7.3846,7.4853,684600.0
1996-01-08,7.4853,7.5188,7.4517,7.4853,510800.0
1996-01-09,7.4853,7.5188,7.4517,7.4853,605200.0
1996-01-10,7.4517,7.7874,7.4517,7.6867,1014200.0
1996-01-11,7.7171,7.7508,7.5486,7.5823,1512800.0
1996-01-12,7.616,7.6497,7.5486,7.616,354000.0
1996-01-15,7.616,7.6497,7.4138,7.4475,941200.0
1996-01-16,7.4812,7.6497,7.4812,7.6497,246400.0
1996-01-17,7.6497,7.6497,7.5823,7.6497,723600.0
1996-01-18,7.616,7.6497,7.5486,7.5486,362000.0
1996-01-19,7.5486,7.6497,7.5486,7.6497,450800.0
1996-01-22,7.6497,7.8182,7.6497,7.7508,775600.0
1996-01-23,7.7508,7.7845,7.616,7.7171,498000.0
1996-01-24,7.7508,7.7845,7.6497,7.7508,883800.0
1996-01-25,7.7508,7.9193,7.7508,7.9193,1007000.0
1996-01-26,7.8519,7.9867,7.8182,7.9193,604200.0
1996-01-29,7.9193,7.9193,7.8182,7.8856,449200.0
1996-01-30,7.8519,7.9867,7.8519,7.9867,782000.0
1996-01-31,7.9867,7.9867,7.9193,7.9867,645400.0
1996-02-01,7.9867,8.3911,7.953,8.3237,958800.0
1996-02-02,8.3574,8.5259,8.3574,8.4585,1114600.0
1996-02-05,8.5259,8.6607,8.4922,8.5596,1047800.0
1996-02-06,8.5596,8.5596,8.4585,8.4922,550400.0
1996-02-07,8.4922,8.5933,8.3237,8.3574,932200.0
1996-02-08,8.29,8.3574,8.2226,8.3237,812600.0
1996-02-09,8.3574,8.3574,8.29,8.3574,449800.0
1996-02-12,8.3237,8.4248,8.3237,8.4248,298200.0
1996-02-13,8.4248,8.4585,8.3574,8.3574,451600.0
1996-02-14,8.3911,8.5259,8.3237,8.5259,385800.0
1996-02-15,8.5596,8.5596,8.4922,8.4922,404000.0
1996-02-16,8.4922,8.4922,8.3911,8.4585,670400.0
1996-02-20,8.3911,8.5259,8.29,8.3237,304400.0
1996-02-21,8.3237,8.3911,8.1552,8.3911,484200.0
1996-02-22,8.3574,8.5259,8.3574,8.5259,373200.0
1996-02-23,8.5596,8.6944,8.3574,8.6944,619800.0
1996-02-26,8.6607,8.7955,8.627,8.6607,425600.0
1996-02-27,8.6607,8.9303,8.5596,8.7955,1339000.0
1996-02-28,8.8629,8.9303,8.7281,8.7955,490800.0
1996-02-29,8.7281,8.8966,8.7281,8.7955,422600.0
1996-03-01,8.8629,9.0651,8.8629,9.0651,567400.0
1996-03-04,9.0651,9.0988,8.6944,8.7281,761400.0
1996-03-05,8.6944,8.7281,8.6607,8.7281,274200.0
1996-03-06,8.7281,8.8292,8.6944,8.7618,306000.0
1996-03-07,8.7281,8.7281,8.4922,8.6607,445800.0
1996-03-08,8.627,8.6944,8.3574,8.4248,318600.0
1996-03-11,8.29,8.3911,8.1552,8.3911,631200.0
1996-03-12,8.2563,8.3237,7.953,8.0204,768000.0
1996-03-13,8.0204,8.0541,7.7171,8.0541,620600.0
1996-03-14,8.1552,8.4248,8.1215,8.4248,487400.0
1996-03-15,8.4248,8.4585,8.2226,8.3237,910400.0
1996-03-18,8.29,8.4585,8.2563,8.4585,1238200.0
1996-03-19,8.4248,8.4585,8.3911,8.4585,980800.0
1996-03-20,8.4248,8.4248,8.1552,8.3237,435000.0
1996-03-21,8.3237,8.3911,8.29,8.3574,240400.0
1996-03-22,8.3911,8.4585,8.1889,8.3237,222400.0
1996-03-25,8.3911,8.5259,8.1889,8.2563,270200.0
1996-03-26,8.3237,8.8966,8.3237,8.8966,701600.0
1996-03-27,8.8966,8.8966,8.7281,8.8292,591400.0
1996-03-28,8.7955,8.7955,8.5596,8.627,306800.0
1996-03-29,8.627,8.627,8.4922,8.5259,202000.0
1996-04-01,8.5259,8.5596,8.29,8.3574,417800.0
1996-04-02,8.3911,8.5596,8.3237,8.5596,236000.0
1996-04-03,8.627,8.964,8.627,8.9303,379000.0
1996-04-04,8.9977,9.0988,8.8629,9.0314,546400.0
1996-04-08,8.8966,9.1999,8.7955,9.1325,595400.0
1996-04-09,9.1662,9.1999,9.0988,9.1999,597000.0
1996-04-10,9.1999,9.2336,9.0988,9.1662,724800.0
1996-04-11,9.1933,9.329,9.1255,9.329,452800.0
1996-04-12,9.329,9.329,8.9219,9.0576,387800.0
1996-04-15,9.0237,9.2273,8.9219,9.0916,311200.0
1996-04-16,9.0576,9.1933,9.0237,9.0916,269200.0
1996-04-17,8.9898,8.9898,8.7184,8.8202,294600.0
1996-04-18,8.8202,8.8541,8.6166,8.8541,266400.0
1996-04-19,8.8202,8.8541,8.6845,8.6845,490400.0
1996-04-22,8.7523,8.8541,8.5827,8.6845,315800.0
1996-04-23,8.7184,9.0576,8.7184,9.0237,496400.0
