date,open,high,low,close,volume
1978-04-12,0.6077,0.6277,0.6077,0.6077,14467082.0
1978-04-13,0.6327,0.6527,0.6327,0.6327,9141702.0
1978-04-14,0.6727,0.6977,0.6727,0.6727,8403059.0
1978-04-17,0.6727,0.6727,0.6527,0.6527,5059309.0
1978-04-18,0.6527,0.6652,0.6477,0.6477,3681302.0
1978-04-19,0.6602,0.6777,0.6602,0.6602,2819552.0
1978-04-20,0.6777,0.6977,0.6777,0.6777,2108707.0
1978-04-21,0.6777,0.6902,0.6727,0.6727,1298582.0
1978-04-24,0.6727,0.6777,0.6602,0.6602,1155619.0
1978-04-25,0.6902,0.7102,0.6902,0.6902,2799696.0
1978-04-26,0.7227,0.7427,0.7227,0.7227,1568624.0
1978-04-27,0.7227,0.7427,0.7227,0.7227,1334323.0
1978-04-28,0.7677,0.7877,0.7677,0.7677,2446259.0
1978-05-01,0.7552,0.7552,0.7352,0.7352,1862493.0
1978-05-02,0.7427,0.7627,0.7427,0.7427,1012656.0
1978-05-03,0.7427,0.7427,0.7227,0.7227,778355.0
1978-05-04,0.7352,0.7552,0.7352,0.7352,1298582.0
1978-05-05,0.7427,0.7627,0.7427,0.7427,845866.0
1978-05-08,0.7502,0.7677,0.7502,0.7502,1139734.0
1978-05-09,0.7552,0.7752,0.7552,0.7552,861750.0
1978-05-10,0.7627,0.7802,0.7627,0.7627,961030.0
1978-05-11,0.7877,0.8127,0.7877,0.7877,1798954.0
1978-05-12,0.8002,0.8202,0.8002,0.8002,778355.0
1978-05-15,0.8002,0.8127,0.7927,0.7927,381235.0
1978-05-16,0.8453,0.8653,0.8453,0.8453,1520970.0
1978-05-17,0.8453,0.8578,0.8378,0.8378,663190.0
1978-05-18,0.8377,0.8503,0.8327,0.8327,786298.0
1978-05-19,0.8077,0.8077,0.7877,0.7877,1290640.0
1978-05-22,0.7877,0.8002,0.7802,0.7802,559939.0
1978-05-23,0.7677,0.7677,0.7502,0.7502,814096.0
1978-05-24,0.7427,0.7427,0.7227,0.7227,1131792.0
1978-05-25,0.7427,0.7677,0.7427,0.7427,1453459.0
1978-05-26,0.7552,0.7752,0.7552,0.7552,619507.0
1978-05-30,0.7877,0.8077,0.7877,0.7877,440803.0
1978-05-31,0.7877,0.8077,0.7877,0.7877,1080166.0
1978-06-01,0.7877,0.8002,0.7802,0.7802,285926.0
1978-06-02,0.7802,0.7927,0.7752,0.7752,337552.0
