date,open,high,low,close,volume
2024-09-13,3.654,3.766,3.626,3.73,56643.43088396
2024-09-14,3.73,3.74,3.641,3.66,27330.52597592
2024-09-15,3.662,3.686,3.415,3.451,20255.06078429
2024-09-16,3.457,3.463,3.363,3.414,105635.0541991
2024-09-17,3.411,3.528,3.389,3.452,27133.93747062
2024-09-18,3.433,3.616,3.368,3.616,39530.92820887
2024-09-19,3.615,3.751,3.615,3.696,128454.04824618
2024-09-20,3.694,3.833,3.655,3.776,120029.41211803
2024-09-21,3.78,3.88,3.704,3.873,45301.89885105
2024-09-22,3.87,3.87,3.611,3.729,69545.18665195
2024-09-23,3.722,3.803,3.68,3.752,35190.48587383
2024-09-24,3.772,3.876,3.699,3.862,103352.23453545
2024-09-25,3.854,4.04,3.854,3.937,123953.34891734
2024-09-26,3.956,4.143,3.888,4.099,116819.95311862
2024-09-27,4.107,4.282,4.101,4.195,183909.64114102
2024-09-28,4.2,4.221,4.023,4.133,58211.18478156
2024-09-29,4.127,4.153,4.02,4.069,57455.93178153
2024-09-30,4.068,4.085,3.783,3.79,79143.50902728
2024-10-01,3.809,3.938,3.448,3.557,111580.94876931
2024-10-02,3.557,3.677,3.449,3.546,53258.93386898
2024-10-03,3.521,3.645,3.423,3.565,96705.44126741
2024-10-04,3.577,3.651,3.56,3.641,102489.64373773
2024-10-05,3.653,3.676,3.562,3.615,27935.19063694
2024-10-06,3.617,3.713,3.606,3.695,163682.05865641
2024-10-07,3.697,3.808,3.685,3.706,89911.63301276
2024-10-08,3.724,3.771,3.591,3.627,67624.81999183
2024-10-09,3.631,3.671,3.46,3.483,64905.33562415
2024-10-10,3.494,3.533,3.437,3.533,47247.29162738
2024-10-11,3.534,3.608,3.51,3.576,70854.87772835
2024-10-12,3.591,3.652,3.578,3.613,49159.25395083
2024-10-13,3.612,3.618,3.478,3.543,29369.29125729
2024-10-14,3.563,3.896,3.536,3.859,97243.7016323
2024-10-15,3.86,3.928,3.691,3.797,176676.95660995
2024-10-16,3.787,3.822,3.702,3.771,66549.74592469
2024-10-17,3.755,3.768,3.603,3.633,42771.66415771
2024-10-18,3.638,3.771,3.626,3.767,60060.68724655
2024-10-19,3.776,3.821,3.706,3.773,71801.17854399
2024-10-20,3.779,4.013,3.714,3.982,159762.51746212
2024-10-21,3.982,4.015,3.781,3.859,132798.73316055
2024-10-22,3.846,3.903,3.727,3.828,82458.45830453
2024-10-23,3.806,3.806,3.62,3.691,19861.24694574
2024-10-24,3.69,3.764,3.65,3.726,51444.15765875
2024-10-25,3.748,3.748,3.28,3.445,176923.18639378
2024-10-26,3.429,3.483,3.375,3.465,44403.565248
2024-10-27,3.462,3.606,3.45,3.567,65205.66602001
2024-10-28,3.56,3.662,3.492,3.621,150848.10695583
2024-10-29,3.625,3.736,3.604,3.702,114010.57680637
2024-10-30,3.71,3.784,3.666,3.743,46844.25369123
2024-10-31,3.734,3.735,3.492,3.534,93034.70851788
2024-11-01,3.535,3.579,3.428,3.47,37008.05076701
2024-11-02,3.47,3.504,3.394,3.412,25966.94349655
2024-11-03,3.431,3.436,3.243,3.335,77479.31433077
2024-11-04,3.341,3.401,3.203,3.269,225722.03105924
2024-11-05,3.27,3.429,3.269,3.39,57930.61426807
2024-11-06,3.391,3.75,3.391,3.714,238253.49838619
2024-11-07,3.714,3.827,3.681,3.752,133061.30853049
2024-11-08,3.77,3.97,3.686,3.913,100380.81737505
2024-11-09,3.918,4.079,3.787,4.079,111307.35141111
2024-11-10,4.055,4.425,4.008,4.262,258911.60948179
2024-11-11,4.271,4.414,4.122,4.412,400752.69709381
2024-11-12,4.416,4.65,4.105,4.229,385182.08484982
2024-11-13,4.227,4.294,3.861,4.072,380296.7765301
2024-11-14,4.082,4.208,3.806,3.866,349294.96961424
2024-11-15,3.858,4.258,3.789,4.198,386090.02559955
2024-11-16,4.199,4.825,4.158,4.742,774570.16645658
2024-11-17,4.747,4.875,4.254,4.34,780431.8250651
2024-11-18,4.346,4.646,4.33,4.537,320469.17729461
2024-11-19,4.538,4.585,4.296,4.441,193251.11809484
2024-11-20,4.438,4.536,4.123,4.242,265458.22077684
2024-11-21,4.247,4.661,4.088,4.532,724257.25009151
2024-11-22,4.535,4.968,4.46,4.935,323891.87364743
2024-11-23,4.939,5.672,4.845,5.368,722679.97527784
2024-11-24,5.373,6.159,5.194,5.731,879027.43219461
2024-11-25,5.73,5.872,5.287,5.446,711259.91993764
2024-11-26,5.454,5.762,5.164,5.433,468944.27828849
2024-11-27,5.433,5.836,5.304,5.812,536176.08324873
2024-11-28,5.817,5.893,5.499,5.824,629091.78729208
2024-11-29,5.813,6.171,5.634,6.141,332886.39449589
2024-11-30,6.143,7.325,6.078,7.082,948969.01594995
2024-12-01,7.078,7.087,6.657,6.872,556754.30663424
2024-12-02,6.864,7.531,6.633,7.288,1523094.97927945
2024-12-03,7.287,7.64,6.697,7.333,1131467.43055648
2024-12-04,7.315,8.431,7.308,8.097,1150662.79398566
2024-12-05,8.101,8.284,7.51,7.704,1004798.97265501
2024-12-06,7.702,8.324,6.72,8.089,878795.78001242
2024-12-07,8.088,8.096,7.709,7.826,566342.27098106
2024-12-08,7.831,7.975,7.55,7.877,492345.14778264
2024-12-09,7.878,7.878,5.592,6.301,1237523.69781874
2024-12-10,6.277,6.479,5.686,6.203,533917.91270935
2024-12-11,6.207,6.795,5.954,6.693,432599.48610977
2024-12-12,6.689,7.152,6.564,6.736,701838.32504196
2024-12-13,6.734,6.847,6.528,6.748,490288.79551406
2024-12-14,6.754,6.845,6.273,6.431,386211.98234631
2024-12-15,6.433,6.781,6.324,6.724,176890.2504467
