date,open,high,low,close,volume
2025-01-27,1.8665,1.906,1.7512,1.8711,22909.12554
2025-01-28,1.8905,1.9289,1.6308,1.6308,6116.2947
2025-01-29,1.6511,1.7988,1.6511,1.744,2427.52074
2025-01-30,1.6916,1.7766,1.6892,1.7107,3544.02686
2025-01-31,1.7008,1.7767,1.6377,1.6487,6287.25092
2025-02-01,1.6226,1.741,1.4587,1.4872,8932.04714
2025-02-02,1.4592,1.4948,1.2878,1.2995,26289.591
2025-02-03,1.286,1.4899,0.9168,1.4697,64372.67413
2025-02-04,1.4625,1.4873,1.34,1.369,11335.85245
2025-02-05,1.3969,1.4777,1.3753,1.3761,5810.34848
2025-02-06,1.3535,1.3816,1.221,1.2334,10277.32809
2025-02-07,1.2629,1.2801,1.1444,1.1454,4427.56734
2025-02-08,1.1849,1.4977,1.1849,1.4735,17631.9636
2025-02-09,1.465,1.4968,1.3596,1.396,15140.21897
2025-02-10,1.443,1.6867,1.4084,1.4916,2355.73447
2025-02-11,1.504,1.5613,1.3442,1.5081,41565.78597
2025-02-12,1.5477,1.5677,1.3791,1.5465,70447.15118
2025-02-13,1.4745,1.5951,1.4745,1.5951,10608.20541
2025-02-14,1.4567,1.8553,1.4326,1.8543,14188.4171
2025-02-15,1.8592,1.9788,1.4555,1.5998,15044.12847
2025-02-16,1.6503,1.6636,1.4731,1.6167,1282.53287
2025-02-17,1.6305,1.6477,1.501,1.6037,6398.22604
2025-02-18,1.6585,1.6973,1.5377,1.6973,38267.21539
2025-02-19,1.69,1.8193,1.6345,1.6405,5267.07913
2025-02-20,1.7659,2.1069,1.6368,1.9715,4251.94127
2025-02-21,2.0212,2.586,1.8082,2.0217,7657.07273
2025-02-22,1.994,2.2724,1.9934,2.1921,7209.47244
2025-02-23,2.1446,2.2361,1.9407,1.9407,5702.37525
2025-02-24,1.9405,1.9603,1.7448,1.7448,5224.67137
2025-02-25,1.7333,1.8338,1.6289,1.7775,16738.18186
2025-02-26,1.7906,1.8449,1.652,1.827,1932.07068
2025-02-27,1.7994,2.08,1.7993,1.9384,7981.80717
2025-02-28,1.892,2.2751,1.8376,2.1837,31052.62735
2025-03-01,2.1546,2.5292,2.1545,2.4063,18365.16279
2025-03-02,2.4135,2.7864,2.3741,2.7864,35884.17144
2025-03-03,2.779,2.7791,2.3605,2.3605,26606.41296
2025-03-04,2.3528,2.4877,2.2495,2.3377,14376.3247
2025-03-05,2.334,2.581,2.2462,2.4413,33727.0687
2025-03-06,2.3961,2.5211,2.1644,2.1743,40462.89268
2025-03-07,2.1781,2.3206,2.0802,2.2064,40757.97758
2025-03-08,2.1648,2.2029,1.9838,1.9838,3833.02893
2025-03-09,2.0101,2.0604,1.6818,1.7373,5622.23758
2025-03-10,1.706,1.8356,1.4748,1.532,26732.20216
2025-03-11,1.4403,1.5176,1.321,1.3214,17969.00695
2025-03-12,1.3394,1.3838,1.2484,1.3635,13004.92491
2025-03-13,1.3462,1.366,1.2989,1.354,18375.70761
2025-03-14,1.3563,1.645,1.3563,1.4941,31070.66529
2025-03-15,1.4848,1.5341,1.4655,1.4655,25244.45649
2025-03-16,1.4746,1.4746,1.3479,1.3569,4591.5786
2025-03-17,1.3911,1.3977,1.3462,1.3786,6691.80821
2025-03-18,1.3556,1.3556,1.2834,1.2916,20227.25128
2025-03-19,1.3137,1.3489,1.2707,1.3406,8480.29654
2025-03-20,1.3001,1.311,1.2508,1.3007,991.2629
2025-03-21,1.3231,1.3232,1.231,1.2807,19056.82193
2025-03-22,1.3005,1.3698,1.3005,1.3458,7679.91629
2025-03-23,1.3388,1.4618,1.3388,1.3837,128222.46775
2025-03-24,1.3885,1.5709,1.3812,1.504,25130.64841
2025-03-25,1.5102,1.5851,1.4338,1.5851,9997.65317
2025-03-26,1.6024,1.6143,1.4713,1.5415,31131.46016
2025-03-27,1.5165,1.5535,1.4773,1.4773,3889.16121
2025-03-28,1.5457,1.6688,1.5194,1.5899,39583.52354
2025-03-29,1.616,1.8004,1.6123,1.6123,28085.32891
2025-03-30,1.6025,1.7933,1.602,1.6965,8259.12781
2025-03-31,1.7136,1.774,1.6225,1.758,11241.43666
2025-04-01,1.7353,1.9279,1.6748,1.8206,30214.0011
2025-04-02,1.8547,1.99,1.7008,1.7008,12154.94794
2025-04-03,1.6772,1.8034,1.4952,1.7728,19567.4589
2025-04-04,1.8124,1.9749,1.7926,1.8883,36068.53589
2025-04-05,1.9258,1.9415,1.8033,1.8422,4435.519
2025-04-06,1.8331,1.8331,1.528,1.6187,7847.8189
2025-04-07,1.6062,1.8997,1.5507,1.7977,28075.65893
2025-04-08,1.8288,1.8992,1.6305,1.6305,11979.57186
2025-04-09,1.6861,1.7602,1.5016,1.5877,45013.37145
2025-04-10,1.63,1.7653,1.5105,1.602,26297.87524
2025-04-11,1.623,1.7402,1.5563,1.7237,13988.87464
2025-04-12,1.727,1.7673,1.5958,1.7328,8711.29478
2025-04-13,1.7417,1.7418,1.4836,1.4937,9354.63651
2025-04-14,1.5143,1.67,1.5143,1.6236,2651.19816
2025-04-15,1.6153,1.657,1.5915,1.6368,18127.22016
2025-04-16,1.6384,1.7136,1.6153,1.6683,4997.68854
2025-04-17,1.6718,1.7254,1.6575,1.706,2270.06939
2025-04-18,1.6856,1.721,1.6563,1.6608,3006.86769
2025-04-19,1.6603,1.7136,1.6451,1.7136,5077.39215
2025-04-20,1.7375,1.752,1.6881,1.6993,2562.54665
2025-04-21,1.7174,1.7297,1.5833,1.5833,9141.04577
2025-04-22,1.6021,1.7235,1.5697,1.6931,13172.24521
2025-04-23,1.7025,1.7362,1.6478,1.7015,20838.79922
2025-04-24,1.7479,1.7479,1.6299,1.656,3762.46592
2025-04-25,1.6687,1.8997,1.6461,1.753,11425.93171
2025-04-26,1.7917,1.8515,1.7469,1.7549,1932.74772
2025-04-27,1.7008,1.701,1.6416,1.6624,7817.59592
2025-04-28,1.6254,1.6736,1.6,1.6472,2194.20006
2025-04-29,1.6505,1.6506,1.5742,1.5822,5295.31272
2025-04-30,1.6044,1.6195,1.4889,1.5749,8252.89247
2025-05-01,1.57,1.6112,1.567,1.6112,10984.71705
2025-05-02,1.5517,1.5862,1.525,1.5285,7974.87544
2025-05-03,1.5401,1.5401,1.4902,1.5153,4554.48098
2025-05-04,1.4861,1.4861,1.4205,1.426,8397.41147
2025-05-05,1.4514,1.4514,1.3755,1.4116,11184.19399
2025-05-06,1.3976,1.5065,1.3976,1.5065,636.09715
