date,open,high,low,close,volume
1962-01-02,1.0046,1.0115,1.0046,1.0092,41215.0
1962-01-03,1.0115,1.0205,1.0115,1.0205,84457.0
1962-01-04,1.0228,1.0365,1.0228,1.0274,75674.0
1962-01-05,1.0274,1.0365,1.0228,1.0251,43242.0
1962-01-08,1.0251,1.0365,1.0137,1.0296,91889.0
1962-01-09,1.0296,1.0342,1.0228,1.0274,63512.0
1962-01-10,1.0274,1.0274,1.0046,1.0069,39188.0
1962-01-11,1.0069,1.0092,0.9955,1.0069,47296.0
1962-01-12,1.0069,1.0137,0.9955,0.9978,30405.0
1962-01-15,0.9978,0.9978,0.9728,0.9796,37161.0
1962-01-16,0.9796,0.9796,0.966,0.966,26351.0
1962-01-17,0.966,0.9683,0.966,0.9683,39864.0
1962-01-18,0.9683,0.9683,0.966,0.9683,31756.0
1962-01-19,0.9683,0.9728,0.9683,0.9683,38512.0
1962-01-22,0.9683,0.9683,0.9569,0.9569,51350.0
1962-01-23,0.9569,0.9592,0.9546,0.9569,43918.0
1962-01-24,0.9501,0.9501,0.9387,0.9478,49323.0
1962-01-25,0.9478,0.9501,0.9455,0.9455,41891.0
1962-01-26,0.9455,0.9455,0.9364,0.9364,55404.0
1962-01-29,0.9364,0.9433,0.9319,0.9387,32432.0
1962-01-30,0.941,0.9524,0.941,0.9524,35134.0
1962-01-31,0.9524,0.9683,0.9478,0.966,61485.0
1962-02-01,0.966,0.9751,0.9569,0.966,66890.0
1962-02-02,0.966,0.9728,0.9614,0.9683,37161.0
1962-02-05,0.9683,0.9774,0.966,0.9774,50674.0
1962-02-06,0.9833,0.9833,0.9787,0.9833,39188.0
1962-02-07,0.9833,0.9948,0.9787,0.9948,58107.0
1962-02-08,0.9948,0.9994,0.9902,0.9948,72295.0
1962-02-09,0.9948,0.9971,0.9925,0.9925,35810.0
1962-02-12,0.9925,0.9948,0.9902,0.9925,20945.0
1962-02-13,0.9925,0.9925,0.9856,0.9856,48647.0
1962-02-14,0.9856,0.9856,0.965,0.965,40539.0
1962-02-15,0.965,0.9741,0.9558,0.9673,55404.0
1962-02-16,0.9673,0.9719,0.9581,0.9604,95268.0
1962-02-19,0.9627,0.981,0.9627,0.965,67566.0
1962-02-20,0.9627,0.9627,0.9558,0.9604,58107.0
1962-02-21,0.9535,0.9535,0.9398,0.9421,84457.0
1962-02-23,0.9421,0.9443,0.9214,0.926,108105.0
1962-02-26,0.926,0.9306,0.9054,0.91,114186.0
1962-02-27,0.91,0.9352,0.91,0.926,97295.0
1962-02-28,0.9306,0.9466,0.9306,0.9466,104727.0
1962-03-01,0.9466,0.9512,0.9375,0.9443,97970.0
1962-03-02,0.9443,0.9466,0.9398,0.9398,68917.0
1962-03-05,0.9398,0.9443,0.926,0.9306,81755.0
1962-03-06,0.9306,0.9306,0.9123,0.9168,85133.0
1962-03-07,0.9168,0.9168,0.8985,0.9031,102024.0
1962-03-08,0.9031,0.926,0.8985,0.9191,49999.0
1962-03-09,0.9191,0.9306,0.9191,0.9237,61485.0
1962-03-12,0.9237,0.9237,0.9077,0.9077,69593.0
1962-03-13,0.9077,0.926,0.9077,0.9191,72971.0
1962-03-14,0.9191,0.926,0.8939,0.9214,117564.0
1962-03-15,0.9191,0.9191,0.91,0.9146,95268.0
1962-03-16,0.9146,0.9214,0.9123,0.9146,74998.0
1962-03-19,0.9146,0.9146,0.9031,0.9146,61485.0
1962-03-20,0.9146,0.9146,0.91,0.9146,33783.0
1962-03-21,0.9123,0.9123,0.9008,0.9031,80403.0
1962-03-22,0.9031,0.9054,0.8939,0.8939,70944.0
1962-03-23,0.8939,0.9008,0.887,0.887,128375.0
1962-03-26,0.887,0.8939,0.8802,0.8802,56080.0
1962-03-27,0.8802,0.8848,0.8687,0.8687,81755.0
1962-03-28,0.8687,0.8687,0.8481,0.8687,107430.0
1962-03-29,0.8687,0.8756,0.8504,0.8595,172293.0
1962-03-30,0.8595,0.8595,0.8481,0.8573,56755.0
1962-04-02,0.8504,0.8504,0.8343,0.8435,123645.0
1962-04-03,0.8435,0.8481,0.8389,0.8389,95268.0
1962-04-04,0.8389,0.8481,0.8343,0.8343,59458.0
1962-04-05,0.8343,0.8527,0.832,0.8504,90538.0
1962-04-06,0.8504,0.8618,0.8481,0.8573,72971.0
1962-04-09,0.8527,0.8527,0.8435,0.8435,63512.0
1962-04-10,0.8435,0.8527,0.8435,0.8527,52701.0
1962-04-11,0.8527,0.8595,0.8458,0.8527,77025.0
1962-04-12,0.8504,0.8504,0.8366,0.8435,52701.0
1962-04-13,0.8435,0.8527,0.8343,0.8504,37837.0
1962-04-16,0.8504,0.8504,0.8389,0.8389,64863.0
1962-04-17,0.8389,0.8527,0.8389,0.8527,51350.0
1962-04-18,0.8527,0.8595,0.8435,0.8435,80403.0
1962-04-19,0.8435,0.8435,0.8343,0.8435,112159.0
1962-04-23,0.8435,0.8458,0.8343,0.8366,72295.0
1962-04-24,0.8366,0.8389,0.8252,0.832,93916.0
1962-04-25,0.8275,0.8275,0.7931,0.8091,145942.0
1962-04-26,0.8091,0.8114,0.7931,0.8022,88511.0
1962-04-27,0.8022,0.816,0.7908,0.7977,129726.0
1962-04-30,0.7977,0.8114,0.7977,0.8045,68917.0
1962-05-01,0.8045,0.8183,0.7885,0.816,100673.0
1962-05-02,0.816,0.8229,0.8091,0.8137,74998.0
1962-05-03,0.8183,0.8297,0.8183,0.8252,108781.0
1962-05-04,0.8229,0.8229,0.8091,0.8183,39188.0
1962-05-07,0.8183,0.8252,0.8068,0.8183,76349.0
1962-05-08,0.8197,0.8197,0.7919,0.8127,122970.0
1962-05-09,0.8081,0.8081,0.7942,0.7965,89862.0
1962-05-10,0.7965,0.7965,0.778,0.7873,107430.0
