date,open,high,low,close,volume
1962-01-02,0.0403,0.0403,0.0381,0.0381,2480333.0
1962-01-03,0.0381,0.0381,0.0373,0.0377,507341.0
1962-01-04,0.0377,0.0389,0.0362,0.0369,845568.0
1962-01-05,0.0367,0.0367,0.0361,0.0361,338227.0
1962-01-08,0.0361,0.0366,0.0354,0.0366,873754.0
1962-01-09,0.0366,0.0381,0.0362,0.0371,930125.0
1962-01-10,0.0371,0.0374,0.0366,0.0374,450970.0
1962-01-11,0.0374,0.0376,0.037,0.0373,422784.0
1962-01-12,0.0373,0.0378,0.037,0.037,535526.0
1962-01-15,0.037,0.0371,0.0365,0.0365,310042.0
1962-01-16,0.0365,0.0365,0.0359,0.0361,197299.0
1962-01-17,0.0361,0.0366,0.0359,0.0359,422784.0
1962-01-18,0.0359,0.0359,0.0355,0.0358,479155.0
1962-01-19,0.0362,0.0381,0.0362,0.0378,1409280.0
1962-01-22,0.0378,0.0388,0.0377,0.0381,563712.0
1962-01-23,0.0381,0.0392,0.0376,0.0376,817382.0
1962-01-24,0.0373,0.0373,0.0365,0.037,338227.0
1962-01-25,0.037,0.0376,0.0367,0.037,817382.0
1962-01-26,0.037,0.0373,0.0369,0.037,1381094.0
1962-01-29,0.0367,0.0367,0.0362,0.0362,197299.0
1962-01-30,0.0362,0.0366,0.0361,0.0366,197299.0
1962-01-31,0.0371,0.0371,0.0365,0.0371,563712.0
1962-02-01,0.0371,0.0377,0.0366,0.0366,535526.0
1962-02-02,0.0366,0.0366,0.0365,0.0366,140928.0
1962-02-05,0.0366,0.0371,0.0362,0.0362,676454.0
1962-02-06,0.0362,0.0363,0.0359,0.0363,563712.0
1962-02-07,0.0363,0.0363,0.0355,0.0355,535526.0
1962-02-08,0.0355,0.0359,0.0354,0.0354,732826.0
1962-02-09,0.0355,0.0358,0.0355,0.0356,366413.0
1962-02-12,0.0356,0.0363,0.0355,0.0359,310042.0
1962-02-13,0.0359,0.0359,0.0351,0.0351,197299.0
1962-02-14,0.0351,0.0355,0.0348,0.0348,394598.0
1962-02-15,0.0346,0.0346,0.0337,0.0341,817382.0
1962-02-16,0.0341,0.0347,0.0339,0.0346,620083.0
1962-02-19,0.0346,0.035,0.0346,0.0347,591898.0
1962-02-20,0.0347,0.0351,0.0347,0.035,873754.0
1962-02-21,0.035,0.0356,0.0348,0.0355,56371.0
1962-02-23,0.0355,0.0358,0.0352,0.0356,704640.0
1962-02-26,0.0356,0.0365,0.0354,0.0362,845568.0
1962-02-27,0.0362,0.0366,0.0362,0.0365,676454.0
1962-02-28,0.0365,0.0366,0.0362,0.0362,450970.0
1962-03-01,0.0362,0.0365,0.0362,0.0365,225485.0
1962-03-02,0.0365,0.0365,0.0362,0.0363,845568.0
1962-03-05,0.0363,0.0365,0.0358,0.0359,1155610.0
1962-03-06,0.0359,0.0359,0.0358,0.0359,648269.0
1962-03-07,0.0359,0.0359,0.0354,0.0358,1014682.0
1962-03-08,0.0361,0.0366,0.0361,0.0366,479155.0
1962-03-09,0.0367,0.0373,0.0367,0.0373,648269.0
1962-03-12,0.0373,0.0378,0.0371,0.0371,366413.0
1962-03-13,0.0371,0.0376,0.0371,0.0371,450970.0
1962-03-14,0.0371,0.0373,0.0365,0.0365,535526.0
1962-03-15,0.0365,0.037,0.0362,0.0363,930125.0
1962-03-16,0.0365,0.037,0.0365,0.037,648269.0
1962-03-19,0.037,0.0373,0.037,0.0373,479155.0
1962-03-20,0.0371,0.0371,0.037,0.037,338227.0
1962-03-21,0.037,0.037,0.0369,0.037,1296538.0
1962-03-22,0.0371,0.0371,0.0371,0.0371,732826.0
1962-03-23,0.0371,0.0385,0.0371,0.0378,2593075.0
1962-03-26,0.0378,0.0378,0.0371,0.0371,450970.0
1962-03-27,0.037,0.037,0.0361,0.0367,761011.0
1962-03-28,0.0367,0.0373,0.0367,0.0371,648269.0
1962-03-29,0.0371,0.0376,0.0371,0.0371,563712.0
1962-03-30,0.0371,0.0373,0.0361,0.0367,1042867.0
1962-04-02,0.0367,0.0367,0.0365,0.0367,817382.0
1962-04-03,0.0367,0.0367,0.0352,0.0354,1127424.0
1962-04-04,0.0351,0.0351,0.0337,0.0337,789197.0
1962-04-05,0.0337,0.0343,0.0333,0.0341,901939.0
1962-04-06,0.0341,0.0348,0.0335,0.0337,2987674.0
1962-04-09,0.0336,0.0336,0.0331,0.0333,1155610.0
1962-04-10,0.0337,0.0346,0.0337,0.0343,1719322.0
1962-04-11,0.0343,0.0347,0.034,0.0341,986496.0
1962-04-12,0.0341,0.0343,0.034,0.034,422784.0
1962-04-13,0.0335,0.0335,0.0327,0.0335,2254848.0
1962-04-16,0.0335,0.0335,0.0322,0.0324,1634765.0
1962-04-17,0.0324,0.0325,0.0321,0.0324,620083.0
1962-04-18,0.0324,0.0325,0.0321,0.0321,1522022.0
1962-04-19,0.0316,0.0316,0.0309,0.0312,1437466.0
1962-04-23,0.0313,0.0325,0.0313,0.0324,845568.0
1962-04-24,0.0324,0.0329,0.0322,0.0325,620083.0
1962-04-25,0.0325,0.0328,0.0317,0.0321,789197.0
1962-04-26,0.0317,0.0317,0.0313,0.0313,873754.0
1962-04-27,0.0305,0.0305,0.0297,0.0297,1662950.0
1962-04-30,0.0297,0.0307,0.029,0.029,1099238.0
1962-05-01,0.029,0.0299,0.0287,0.0298,986496.0
1962-05-02,0.0298,0.0301,0.0295,0.0297,873754.0
1962-05-03,0.0297,0.0303,0.0291,0.0303,873754.0
1962-05-04,0.0303,0.0303,0.0297,0.0298,1071053.0
1962-05-07,0.0298,0.0298,0.0287,0.029,450970.0
1962-05-08,0.029,0.0291,0.0288,0.029,535526.0
1962-05-09,0.029,0.029,0.0284,0.0284,873754.0
1962-05-10,0.0284,0.0284,0.0264,0.0268,1099238.0
1962-05-11,0.0268,0.0275,0.0265,0.0265,1522022.0
1962-05-14,0.0265,0.0283,0.0256,0.0283,1747507.0
1962-05-15,0.0283,0.0291,0.0276,0.0283,1014682.0
1962-05-16,0.0286,0.0291,0.0286,0.029,873754.0
1962-05-17,0.029,0.0294,0.0288,0.0294,394598.0
1962-05-18,0.0293,0.0293,0.0288,0.029,394598.0
1962-05-21,0.0293,0.0293,0.0293,0.0293,563712.0
1962-05-22,0.0291,0.0291,0.0283,0.0283,2029363.0
1962-05-23,0.0283,0.0283,0.0273,0.0276,1944806.0
1962-05-24,0.0276,0.0279,0.0267,0.0271,2536704.0
1962-05-25,0.0271,0.0271,0.0252,0.026,1944806.0
1962-05-28,0.026,0.0264,0.0231,0.0235,2395776.0
1962-05-29,0.0235,0.0261,0.0219,0.0258,6510874.0
1962-05-31,0.0258,0.0267,0.0254,0.0264,2508518.0
1962-06-01,0.026,0.026,0.025,0.0257,1888435.0
1962-06-04,0.0256,0.0256,0.0241,0.0242,1916621.0
1962-06-05,0.0235,0.0235,0.0205,0.0218,4876109.0
1962-06-06,0.0219,0.0234,0.0219,0.0219,3100416.0
1962-06-07,0.0219,0.0224,0.0214,0.0214,1381094.0
1962-06-08,0.0214,0.0215,0.0211,0.0212,817382.0
1962-06-11,0.0211,0.0211,0.0208,0.0208,620083.0
1962-06-12,0.0207,0.0207,0.0195,0.0195,1719322.0
1962-06-13,0.0193,0.0193,0.0182,0.0184,3635942.0
1962-06-14,0.0184,0.0195,0.0174,0.0174,4312397.0
1962-06-15,0.0174,0.0195,0.0174,0.0193,3945984.0
1962-06-18,0.0193,0.0193,0.0181,0.0185,1747507.0
1962-06-19,0.0185,0.0186,0.018,0.018,1493837.0
1962-06-20,0.018,0.0185,0.0178,0.0178,479155.0
1962-06-21,0.0178,0.0182,0.0166,0.0166,873754.0
1962-06-22,0.0166,0.0177,0.0166,0.0166,2931302.0
1962-06-25,0.0166,0.0176,0.0166,0.0176,1578394.0
1962-06-26,0.018,0.0184,0.018,0.018,1972992.0
1962-06-27,0.0182,0.0189,0.0182,0.0186,1719322.0
1962-06-28,0.019,0.0201,0.019,0.0196,3072230.0
1962-06-29,0.0196,0.0201,0.0189,0.0193,2790374.0
