date,open,high,low,close,volume
1962-01-02,1.4508,1.4508,1.4344,1.4344,407940.0
1962-01-03,1.4344,1.447,1.4344,1.447,305955.0
1962-01-04,1.447,1.447,1.4319,1.4326,274575.0
1962-01-05,1.4307,1.4307,1.4018,1.4044,384405.0
1962-01-08,1.4031,1.4031,1.3667,1.378,572685.0
1962-01-09,1.3843,1.4119,1.3843,1.3943,517770.0
1962-01-10,1.3968,1.4031,1.3968,1.3968,313800.0
1962-01-11,1.4006,1.4119,1.4006,1.4119,337335.0
1962-01-12,1.4144,1.4244,1.4144,1.4144,462855.0
1962-01-15,1.4194,1.4238,1.4194,1.4207,266730.0
1962-01-16,1.4194,1.4194,1.4056,1.4056,266730.0
1962-01-17,1.3993,1.3993,1.3793,1.383,439320.0
1962-01-18,1.3868,1.4006,1.3868,1.3868,392250.0
1962-01-19,1.3868,1.3906,1.3718,1.3881,423630.0
1962-01-22,1.3881,1.4018,1.3843,1.3855,290265.0
1962-01-23,1.3849,1.3868,1.3692,1.3718,392250.0
1962-01-24,1.3718,1.3793,1.3649,1.3793,431475.0
1962-01-25,1.3793,1.3906,1.3617,1.3642,337335.0
1962-01-26,1.3642,1.3692,1.3567,1.3573,258885.0
1962-01-29,1.3573,1.3667,1.3341,1.3341,611910.0
1962-01-30,1.3341,1.3417,1.3172,1.3172,776655.0
1962-01-31,1.3304,1.3592,1.3304,1.3592,800190.0
1962-02-01,1.373,1.3943,1.373,1.3906,674670.0
1962-02-02,1.3906,1.3993,1.3843,1.3993,533460.0
1962-02-05,1.3993,1.3993,1.3743,1.3818,329490.0
1962-02-06,1.382,1.3845,1.377,1.3832,274575.0
1962-02-07,1.3845,1.392,1.3845,1.3845,266730.0
1962-02-08,1.3845,1.392,1.3845,1.3857,23535.0
1962-02-09,1.3857,1.3958,1.3795,1.3958,455010.0
1962-02-12,1.3958,1.4071,1.3945,1.397,298110.0
1962-02-13,1.397,1.3983,1.3744,1.3744,274575.0
1962-02-14,1.3744,1.3795,1.3694,1.3719,219660.0
1962-02-15,1.3719,1.3719,1.3657,1.3669,243195.0
1962-02-16,1.3669,1.3719,1.3657,1.3657,235350.0
1962-02-19,1.3657,1.3719,1.3494,1.3519,298110.0
1962-02-20,1.3525,1.3594,1.3525,1.3525,305955.0
1962-02-21,1.3525,1.3619,1.3425,1.3425,384405.0
1962-02-23,1.3444,1.3494,1.3444,1.3469,305955.0
1962-02-26,1.3469,1.3481,1.3393,1.3418,313800.0
1962-02-27,1.3418,1.3531,1.3343,1.3444,368715.0
1962-02-28,1.3444,1.3469,1.3368,1.3469,282420.0
1962-03-01,1.3519,1.3632,1.3519,1.3632,298110.0
1962-03-02,1.3744,1.382,1.3744,1.3744,258885.0
1962-03-05,1.3744,1.3744,1.3644,1.3694,376560.0
1962-03-06,1.3694,1.3757,1.3669,1.3707,196125.0
1962-03-07,1.3707,1.3751,1.3669,1.3751,133365.0
1962-03-08,1.3751,1.3782,1.3669,1.3782,196125.0
1962-03-09,1.3795,1.387,1.3795,1.387,305955.0
1962-03-12,1.387,1.3908,1.382,1.3857,298110.0
1962-03-13,1.3857,1.3857,1.3795,1.3845,133365.0
1962-03-14,1.3845,1.3882,1.3795,1.382,211815.0
1962-03-15,1.382,1.3895,1.3795,1.3795,258885.0
1962-03-16,1.3795,1.3857,1.3795,1.3857,172590.0
1962-03-19,1.3882,1.3945,1.3882,1.3895,392250.0
1962-03-20,1.387,1.387,1.3807,1.3807,172590.0
1962-03-21,1.3807,1.3845,1.377,1.382,274575.0
1962-03-22,1.377,1.377,1.3669,1.3669,251040.0
1962-03-23,1.3682,1.3744,1.3682,1.3719,196125.0
1962-03-26,1.3719,1.377,1.3694,1.3713,141210.0
1962-03-27,1.3682,1.3682,1.3444,1.3456,368715.0
1962-03-28,1.3469,1.3569,1.3469,1.3531,345180.0
1962-03-29,1.3531,1.3594,1.3494,1.3494,243195.0
1962-03-30,1.3469,1.3469,1.3299,1.3362,462855.0
1962-04-02,1.3356,1.3356,1.318,1.318,392250.0
1962-04-03,1.3168,1.3168,1.2716,1.2854,957090.0
1962-04-04,1.2854,1.2967,1.2798,1.2798,682515.0
1962-04-05,1.2867,1.3067,1.2867,1.3067,957090.0
1962-04-06,1.3067,1.3168,1.2967,1.3055,455010.0
1962-04-09,1.3055,1.313,1.2967,1.3067,23535.0
1962-04-10,1.3067,1.3117,1.2992,1.3117,274575.0
1962-04-11,1.3117,1.3218,1.2942,1.2942,556995.0
1962-04-12,1.2942,1.2967,1.2804,1.2804,423630.0
1962-04-13,1.2804,1.2992,1.2791,1.2992,658980.0
1962-04-16,1.2992,1.308,1.2842,1.298,533460.0
1962-04-17,1.298,1.3042,1.2917,1.3042,313800.0
1962-04-18,1.3042,1.3155,1.3005,1.3017,447165.0
1962-04-19,1.3017,1.3067,1.2967,1.3017,407940.0
1962-04-23,1.3017,1.303,1.2954,1.3005,329490.0
1962-04-24,1.3005,1.3086,1.298,1.2992,478545.0
1962-04-25,1.2992,1.3042,1.2854,1.2854,486390.0
1962-04-26,1.2842,1.2842,1.2528,1.2528,972780.0
1962-04-27,1.2528,1.2666,1.2039,1.2177,1710210.0
1962-04-30,1.2177,1.229,1.1287,1.1387,2455485.0
1962-05-01,1.1387,1.165,1.0785,1.1588,5562105.0
1962-05-02,1.1788,1.2139,1.1788,1.1851,2675145.0
1962-05-03,1.1851,1.2139,1.1763,1.2095,1427790.0
1962-05-04,1.2095,1.2189,1.1976,1.2189,815880.0
1962-05-07,1.2189,1.2284,1.192,1.192,870795.0
1962-05-08,1.1906,1.1906,1.1527,1.1527,1082610.0
1962-05-09,1.1527,1.1633,1.1288,1.1313,1678830.0
1962-05-10,1.1313,1.1533,1.1263,1.1364,2000475.0
1962-05-11,1.1364,1.1539,1.1138,1.1188,1984785.0
1962-05-14,1.1188,1.1401,1.0994,1.1401,2855580.0
1962-05-15,1.1401,1.1614,1.1338,1.1338,1765125.0
1962-05-16,1.1338,1.1527,1.1338,1.1464,925710.0
1962-05-17,1.1464,1.1464,1.1213,1.1263,1019850.0
1962-05-18,1.1263,1.1326,1.1175,1.1326,768810.0
1962-05-21,1.1326,1.1326,1.1188,1.1288,415785.0
1962-05-22,1.1276,1.1276,1.0912,1.0912,1051230.0
1962-05-23,1.0912,1.0987,1.0417,1.0417,3028170.0
1962-05-24,1.0417,1.0686,0.9984,0.9984,4346130.0
1962-05-25,0.9984,1.021,0.9733,0.9996,4503030.0
1962-05-28,0.9959,0.9959,0.8905,0.9056,4518720.0
1962-05-29,0.9169,0.9708,0.9169,0.9608,4040175.0
1962-05-31,0.9783,1.0034,0.9783,0.9846,4322595.0
1962-06-01,0.9808,0.9808,0.9601,0.9658,2526090.0
1962-06-04,0.9532,0.9532,0.9031,0.9031,1898490.0
1962-06-05,0.9031,0.9382,0.8855,0.9134,3310590.0
1962-06-06,0.9134,0.9432,0.9081,0.9169,3012480.0
1962-06-07,0.9231,0.9382,0.9231,0.9282,1286580.0
1962-06-08,0.9288,0.9432,0.9288,0.9313,1223820.0
1962-06-11,0.9313,0.9332,0.8993,0.9006,1247355.0
1962-06-12,0.8905,0.8905,0.8407,0.8407,3483180.0
1962-06-13,0.8407,0.8604,0.8084,0.8093,4589325.0
1962-06-14,0.8093,0.8322,0.7526,0.7676,6989895.0
