date,open,high,low,close,volume
1962-01-02,0.0594,0.0597,0.0594,0.0597,0.0
1962-01-03,0.0591,0.0591,0.0588,0.0588,345600.0
1962-01-04,0.0588,0.0591,0.0582,0.0582,216000.0
1962-01-05,0.0577,0.0577,0.0572,0.0572,129600.0
1962-01-08,0.0568,0.0568,0.0563,0.0563,172800.0
1962-01-09,0.0569,0.0569,0.0569,0.0569,43200.0
1962-01-10,0.0574,0.0582,0.0574,0.0582,172800.0
1962-01-11,0.0582,0.0582,0.0578,0.0578,172800.0
1962-01-12,0.0578,0.0582,0.0572,0.0572,259200.0
1962-01-15,0.0572,0.0577,0.0572,0.0572,129600.0
1962-01-16,0.0572,0.0577,0.0569,0.0569,345600.0
1962-01-17,0.0569,0.0575,0.0569,0.0572,259200.0
1962-01-18,0.0569,0.0569,0.0568,0.0568,172800.0
1962-01-19,0.0571,0.0574,0.0571,0.0574,129600.0
1962-01-22,0.0569,0.0569,0.0568,0.0568,172800.0
1962-01-23,0.0568,0.0569,0.0563,0.0563,259200.0
1962-01-24,0.0563,0.0563,0.056,0.0561,302400.0
1962-01-25,0.0561,0.0563,0.0558,0.056,129600.0
1962-01-26,0.056,0.0563,0.0558,0.0558,561600.0
1962-01-29,0.056,0.0566,0.056,0.0566,216000.0
1962-01-30,0.0566,0.0574,0.0563,0.0563,734400.0
1962-01-31,0.0568,0.0575,0.0568,0.0575,345600.0
1962-02-01,0.0575,0.058,0.0574,0.058,388800.0
1962-02-02,0.0582,0.0609,0.0582,0.0608,2160000.0
1962-02-05,0.0625,0.0643,0.0625,0.0634,1944000.0
1962-02-06,0.064,0.0664,0.064,0.0662,2289600.0
1962-02-07,0.0668,0.0693,0.0668,0.0668,3369600.0
1962-02-08,0.0668,0.0677,0.0657,0.066,1382400.0
1962-02-09,0.066,0.066,0.0647,0.0659,777600.0
1962-02-12,0.0653,0.0653,0.065,0.0653,216000.0
1962-02-13,0.0654,0.0654,0.0646,0.0648,734400.0
1962-02-14,0.0645,0.0645,0.0626,0.0629,1080000.0
1962-02-15,0.0629,0.0629,0.0623,0.0629,302400.0
1962-02-16,0.0629,0.0629,0.0625,0.0626,172800.0
1962-02-19,0.0622,0.0622,0.0622,0.0622,43200.0
1962-02-20,0.0615,0.0615,0.0611,0.0611,86400.0
1962-02-21,0.0611,0.0614,0.0595,0.0595,604800.0
1962-02-23,0.0592,0.0592,0.0589,0.0589,432000.0
1962-02-26,0.0592,0.0602,0.0592,0.0602,259200.0
1962-02-27,0.0602,0.0609,0.0598,0.0609,302400.0
1962-02-28,0.0609,0.0617,0.0602,0.0602,475200.0
1962-03-01,0.0602,0.0608,0.0602,0.0603,259200.0
1962-03-02,0.06,0.06,0.0598,0.06,345600.0
1962-03-05,0.0602,0.0605,0.0602,0.0602,216000.0
1962-03-06,0.0606,0.0609,0.0606,0.0609,86400.0
1962-03-07,0.0609,0.0614,0.0608,0.0611,475200.0
1962-03-08,0.0614,0.0617,0.0614,0.0614,172800.0
1962-03-09,0.0611,0.0611,0.0611,0.0611,43200.0
1962-03-12,0.0615,0.0619,0.0615,0.0617,129600.0
1962-03-13,0.062,0.0637,0.062,0.0637,345600.0
1962-03-14,0.0645,0.0654,0.0645,0.0648,864000.0
1962-03-15,0.0648,0.0656,0.0645,0.0653,518400.0
1962-03-16,0.0651,0.0651,0.0637,0.0637,345600.0
1962-03-19,0.0637,0.0639,0.0636,0.0636,86400.0
1962-03-20,0.0636,0.0639,0.0633,0.0636,388800.0
1962-03-21,0.0636,0.0636,0.0633,0.0633,86400.0
1962-03-22,0.0631,0.0631,0.0631,0.0631,129600.0
1962-03-23,0.0631,0.0633,0.0625,0.0625,259200.0
1962-03-26,0.0625,0.0626,0.0619,0.0626,259200.0
1962-03-27,0.0622,0.0622,0.0617,0.0617,86400.0
1962-03-28,0.0614,0.0614,0.0614,0.0614,43200.0
1962-03-29,0.0614,0.0614,0.0614,0.0614,43200.0
1962-03-30,0.0614,0.0617,0.06,0.06,432000.0
1962-04-02,0.0597,0.0597,0.0597,0.0597,43200.0
1962-04-03,0.0597,0.06,0.0595,0.06,86400.0
1962-04-04,0.0598,0.0598,0.0598,0.0598,172800.0
1962-04-05,0.0602,0.0602,0.0602,0.0602,86400.0
1962-04-06,0.0602,0.0606,0.0597,0.0597,216000.0
1962-04-09,0.0595,0.0595,0.0595,0.0595,86400.0
1962-04-10,0.0595,0.0596,0.0589,0.0589,345600.0
1962-04-11,0.0592,0.0598,0.0592,0.0592,216000.0
1962-04-12,0.0586,0.0586,0.0577,0.0577,302400.0
1962-04-13,0.0577,0.0591,0.0577,0.0588,259200.0
1962-04-16,0.0586,0.0586,0.0586,0.0586,43200.0
1962-04-17,0.0586,0.0586,0.0583,0.0586,0.0
1962-04-18,0.0583,0.0583,0.0583,0.0583,43200.0
1962-04-19,0.0583,0.0586,0.0583,0.0586,172800.0
1962-04-23,0.0584,0.0584,0.0583,0.0584,86400.0
1962-04-24,0.058,0.058,0.0577,0.0577,129600.0
1962-04-25,0.0577,0.058,0.0575,0.0575,388800.0
1962-04-26,0.0574,0.0574,0.0564,0.0564,302400.0
1962-04-27,0.0564,0.0567,0.0555,0.0555,172800.0
1962-04-30,0.0555,0.0558,0.0533,0.0533,432000.0
1962-05-01,0.0535,0.0555,0.0535,0.0555,475200.0
1962-05-02,0.0557,0.0563,0.0557,0.056,475200.0
1962-05-03,0.0563,0.0563,0.0563,0.0563,129600.0
1962-05-04,0.0566,0.0569,0.0566,0.0569,345600.0
1962-05-07,0.0569,0.0572,0.0567,0.0571,129600.0
1962-05-08,0.0571,0.0574,0.0566,0.0566,259200.0
1962-05-09,0.0563,0.0563,0.0563,0.0563,43200.0
1962-05-10,0.0553,0.0553,0.0546,0.055,259200.0
1962-05-11,0.055,0.0553,0.0546,0.0546,259200.0
1962-05-14,0.0546,0.0549,0.0541,0.0549,518400.0
1962-05-15,0.0557,0.0564,0.0557,0.0557,302400.0
1962-05-16,0.0555,0.0555,0.0555,0.0555,43200.0
1962-05-17,0.0558,0.0564,0.0558,0.0558,216000.0
1962-05-18,0.0557,0.0557,0.0549,0.0549,259200.0
1962-05-21,0.0546,0.0546,0.0543,0.0543,259200.0
1962-05-22,0.0544,0.055,0.0538,0.0538,432000.0
1962-05-23,0.0536,0.0536,0.0522,0.0522,950400.0
1962-05-24,0.0522,0.0523,0.0512,0.0517,1252800.0
1962-05-25,0.0516,0.0516,0.0479,0.0485,907200.0
1962-05-28,0.048,0.048,0.0443,0.0443,734400.0
1962-05-29,0.0443,0.0468,0.0429,0.0466,1728000.0
1962-05-31,0.0491,0.0498,0.0491,0.0491,1209600.0
1962-06-01,0.0491,0.0498,0.0485,0.0498,648000.0
1962-06-04,0.0491,0.0491,0.0473,0.0479,388800.0
1962-06-05,0.0476,0.0476,0.0466,0.0467,777600.0
1962-06-06,0.0467,0.0474,0.0466,0.0474,388800.0
1962-06-07,0.0474,0.0479,0.047,0.0476,259200.0
1962-06-08,0.0476,0.0482,0.0476,0.0477,259200.0
1962-06-11,0.0477,0.0479,0.0474,0.0474,172800.0
1962-06-12,0.0466,0.0466,0.0445,0.0445,432000.0
1962-06-13,0.0445,0.0451,0.0429,0.0429,864000.0
1962-06-14,0.0428,0.0428,0.0406,0.0409,1036800.0
1962-06-15,0.0409,0.0454,0.0409,0.0454,1468800.0
1962-06-18,0.0454,0.046,0.0443,0.0445,734400.0
1962-06-19,0.0438,0.0438,0.0435,0.0435,172800.0
1962-06-20,0.0435,0.0454,0.0432,0.0448,388800.0
1962-06-21,0.0438,0.0438,0.0426,0.0429,604800.0
1962-06-22,0.0431,0.0438,0.0431,0.0431,950400.0
1962-06-25,0.0431,0.0445,0.0428,0.0445,1382400.0
1962-06-26,0.0445,0.0457,0.0443,0.0443,734400.0
1962-06-27,0.0443,0.0445,0.0435,0.0435,648000.0
1962-06-28,0.0435,0.0457,0.0435,0.0457,864000.0
1962-06-29,0.0468,0.049,0.0468,0.0483,734400.0
1962-07-02,0.0483,0.049,0.0474,0.049,7387200.0
1962-07-03,0.0488,0.0488,0.0479,0.0488,604800.0
1962-07-05,0.0488,0.049,0.0482,0.049,259200.0
1962-07-06,0.0485,0.0485,0.047,0.047,302400.0
1962-07-09,0.0476,0.0476,0.0476,0.0476,43200.0
1962-07-10,0.0479,0.0494,0.0479,0.0479,993600.0
1962-07-11,0.0473,0.0473,0.0463,0.0468,820800.0
1962-07-12,0.0473,0.0487,0.0473,0.048,561600.0
1962-07-13,0.048,0.0487,0.0473,0.0487,432000.0
1962-07-16,0.048,0.048,0.0477,0.0477,259200.0
1962-07-17,0.0477,0.0477,0.0477,0.0477,129600.0
1962-07-18,0.0471,0.0471,0.0468,0.0468,172800.0
1962-07-19,0.0466,0.0466,0.0463,0.0463,86400.0
1962-07-20,0.0463,0.0465,0.0463,0.0463,216000.0
1962-07-23,0.0463,0.0465,0.0459,0.0459,172800.0
1962-07-24,0.0457,0.0457,0.0438,0.0438,561600.0
1962-07-25,0.0442,0.0463,0.0442,0.0442,172800.0
1962-07-26,0.0446,0.0456,0.0446,0.0456,345600.0
1962-07-27,0.0456,0.0457,0.0454,0.0456,518400.0
1962-07-30,0.0454,0.0454,0.0451,0.0454,129600.0
1962-07-31,0.046,0.0464,0.046,0.0464,388800.0
1962-08-01,0.0464,0.0468,0.0463,0.0463,518400.0
1962-08-02,0.0463,0.0466,0.0463,0.0463,86400.0
1962-08-03,0.0462,0.0462,0.0445,0.0445,475200.0
1962-08-06,0.0442,0.0442,0.0435,0.0442,388800.0
1962-08-07,0.0437,0.0437,0.0435,0.0437,129600.0
1962-08-08,0.0443,0.0457,0.0443,0.0454,604800.0
1962-08-09,0.0454,0.0459,0.0454,0.0454,259200.0
1962-08-10,0.0454,0.0466,0.0454,0.0457,1036800.0
1962-08-13,0.0457,0.0459,0.0454,0.0454,172800.0
1962-08-14,0.0454,0.0454,0.0449,0.0449,172800.0
1962-08-15,0.0454,0.0457,0.0454,0.0457,86400.0
1962-08-16,0.0454,0.0454,0.0453,0.0454,129600.0
1962-08-17,0.0454,0.0456,0.0454,0.0456,86400.0
1962-08-20,0.0456,0.0457,0.0452,0.0452,259200.0
1962-08-21,0.0454,0.0456,0.0449,0.0449,129600.0
1962-08-22,0.0449,0.0457,0.0448,0.0457,302400.0
1962-08-23,0.0456,0.0456,0.0451,0.0456,216000.0
1962-08-24,0.0454,0.0454,0.0451,0.0451,129600.0
1962-08-27,0.0449,0.0449,0.044,0.044,518400.0
1962-08-28,0.0438,0.0438,0.0437,0.0438,172800.0
1962-08-29,0.0438,0.0438,0.0438,0.0438,43200.0
1962-08-30,0.0438,0.0442,0.0438,0.0438,259200.0
1962-08-31,0.044,0.0442,0.044,0.0442,86400.0
1962-09-04,0.0442,0.0449,0.0442,0.0443,432000.0
1962-09-05,0.0442,0.0442,0.0437,0.0437,388800.0
1962-09-06,0.0438,0.0442,0.0438,0.0442,129600.0
1962-09-07,0.0442,0.0442,0.044,0.0442,172800.0
1962-09-10,0.0442,0.0443,0.0432,0.0443,518400.0
1962-09-11,0.0438,0.0438,0.0437,0.0437,216000.0
1962-09-12,0.0437,0.0445,0.0437,0.0445,604800.0
1962-09-13,0.044,0.044,0.044,0.044,43200.0
1962-09-14,0.044,0.0443,0.044,0.044,216000.0
1962-09-17,0.0438,0.0438,0.0437,0.0438,475200.0
1962-09-18,0.0438,0.044,0.0437,0.044,129600.0
1962-09-19,0.044,0.0448,0.0437,0.0448,388800.0
1962-09-20,0.0448,0.0448,0.0443,0.0448,172800.0
1962-09-21,0.0446,0.0446,0.0443,0.0443,432000.0
1962-09-24,0.0442,0.0442,0.0437,0.0438,388800.0
1962-09-25,0.0438,0.0438,0.0434,0.0438,216000.0
1962-09-26,0.0434,0.0434,0.0431,0.0431,129600.0
1962-09-27,0.0431,0.0431,0.0424,0.0424,302400.0
1962-09-28,0.0424,0.0429,0.0424,0.0429,0.0
1962-10-01,0.0424,0.0424,0.0424,0.0424,259200.0
1962-10-02,0.0426,0.0426,0.0426,0.0426,129600.0
1962-10-03,0.0427,0.0427,0.0427,0.0427,43200.0
1962-10-04,0.0427,0.0431,0.0427,0.0429,129600.0
1962-10-05,0.0429,0.0433,0.0426,0.0426,172800.0
1962-10-08,0.0427,0.0427,0.0427,0.0427,43200.0
1962-10-09,0.0427,0.0433,0.0426,0.0433,216000.0
1962-10-10,0.0433,0.0434,0.0431,0.0431,129600.0
1962-10-11,0.0429,0.0429,0.0424,0.0424,345600.0
1962-10-12,0.0425,0.0427,0.0425,0.0427,129600.0
1962-10-15,0.0427,0.0427,0.0427,0.0427,0.0
1962-10-16,0.0427,0.0431,0.0427,0.0429,475200.0
1962-10-17,0.0429,0.0429,0.0427,0.0427,216000.0
1962-10-18,0.0426,0.0426,0.0426,0.0426,129600.0
1962-10-19,0.0424,0.0424,0.041,0.0412,777600.0
1962-10-22,0.0406,0.0406,0.0399,0.0404,388800.0
1962-10-23,0.0401,0.0401,0.0384,0.0384,604800.0
1962-10-24,0.0384,0.0399,0.0384,0.0399,259200.0
1962-10-25,0.0396,0.0396,0.0395,0.0396,86400.0
1962-10-26,0.0399,0.0399,0.0399,0.0399,172800.0
1962-10-29,0.0409,0.0412,0.0409,0.0412,302400.0
1962-10-30,0.0417,0.0425,0.0417,0.0425,216000.0
1962-10-31,0.0425,0.0432,0.0424,0.0424,518400.0
1962-11-01,0.0424,0.0424,0.0418,0.0424,172800.0
1962-11-02,0.0427,0.0431,0.0427,0.0431,518400.0
1962-11-05,0.0431,0.0434,0.0427,0.0427,216000.0
1962-11-07,0.0427,0.0431,0.0421,0.0421,388800.0
1962-11-08,0.0421,0.0432,0.0421,0.0432,691200.0
1962-11-09,0.0435,0.0435,0.0435,0.0435,43200.0
1962-11-12,0.0437,0.044,0.0437,0.044,475200.0
1962-11-13,0.0443,0.0451,0.0443,0.0443,1209600.0
1962-11-14,0.0443,0.0443,0.0443,0.0443,691200.0
1962-11-15,0.044,0.044,0.0434,0.0434,388800.0
1962-11-16,0.0431,0.0431,0.0427,0.0431,302400.0
1962-11-19,0.0432,0.0433,0.0432,0.0433,216000.0
1962-11-20,0.0434,0.0434,0.0434,0.0434,129600.0
1962-11-21,0.0435,0.0438,0.0431,0.0438,475200.0
1962-11-23,0.0438,0.0443,0.0433,0.044,345600.0
1962-11-26,0.0442,0.0453,0.0442,0.0451,1252800.0
1962-11-27,0.0454,0.0457,0.0454,0.0457,691200.0
1962-11-28,0.0457,0.0474,0.0456,0.0471,907200.0
1962-11-29,0.0471,0.0473,0.0465,0.047,561600.0
1962-11-30,0.047,0.047,0.0465,0.047,864000.0
1962-12-03,0.0468,0.0468,0.0462,0.0462,432000.0
1962-12-04,0.0462,0.0467,0.0462,0.0465,216000.0
1962-12-05,0.0465,0.0472,0.0465,0.0465,475200.0
1962-12-06,0.0465,0.0468,0.0463,0.0467,388800.0
1962-12-07,0.0467,0.0473,0.0465,0.0473,388800.0
1962-12-10,0.0473,0.0474,0.0467,0.0467,302400.0
1962-12-11,0.0463,0.0463,0.0463,0.0463,302400.0
1962-12-12,0.0467,0.047,0.0467,0.0468,518400.0
1962-12-13,0.0465,0.0465,0.0463,0.0463,432000.0
1962-12-14,0.0463,0.047,0.0463,0.047,561600.0
1962-12-17,0.047,0.047,0.0463,0.0463,561600.0
1962-12-18,0.0463,0.0463,0.0459,0.0462,691200.0
1962-12-19,0.0462,0.047,0.0459,0.047,518400.0
1962-12-20,0.0469,0.0469,0.0465,0.0469,216000.0
1962-12-21,0.0469,0.047,0.0463,0.0463,259200.0
1962-12-24,0.0463,0.0465,0.0463,0.0465,259200.0
1962-12-26,0.0465,0.047,0.0465,0.0465,388800.0
1962-12-27,0.0465,0.0469,0.0465,0.0467,259200.0
1962-12-28,0.0467,0.0468,0.0463,0.0468,604800.0
1962-12-31,0.0465,0.0465,0.0459,0.0459,216000.0
1963-01-02,0.046,0.0468,0.046,0.0468,518400.0
1963-01-03,0.0467,0.0467,0.0462,0.0465,777600.0
1963-01-04,0.0469,0.0481,0.0469,0.0481,648000.0
1963-01-07,0.0481,0.0485,0.0481,0.0485,345600.0
1963-01-08,0.0485,0.0489,0.0482,0.0482,518400.0
1963-01-09,0.0482,0.0485,0.0482,0.0482,302400.0
1963-01-10,0.0482,0.0482,0.0479,0.0479,216000.0
1963-01-11,0.0479,0.0482,0.0476,0.0482,518400.0
1963-01-14,0.0482,0.0485,0.0482,0.0482,259200.0
1963-01-15,0.0482,0.0482,0.0481,0.0481,302400.0
1963-01-16,0.0482,0.0485,0.0482,0.0482,345600.0
1963-01-17,0.0482,0.0485,0.0482,0.0482,604800.0
1963-01-18,0.0484,0.049,0.0484,0.0485,345600.0
1963-01-21,0.0485,0.049,0.0485,0.049,388800.0
1963-01-22,0.049,0.049,0.0487,0.0488,561600.0
1963-01-23,0.0489,0.0492,0.0489,0.0492,432000.0
1963-01-24,0.0492,0.0506,0.0492,0.0506,1339200.0
1963-01-25,0.0506,0.0513,0.0496,0.0496,1339200.0
1963-01-28,0.0499,0.0509,0.0499,0.0507,691200.0
1963-01-29,0.0507,0.051,0.0506,0.0507,432000.0
1963-01-30,0.0507,0.0509,0.0507,0.0507,86400.0
1963-01-31,0.0507,0.0509,0.0504,0.0506,388800.0
1963-02-01,0.0507,0.0512,0.0507,0.0509,604800.0
1963-02-04,0.0512,0.0512,0.0512,0.0512,86400.0
1963-02-05,0.051,0.051,0.0507,0.0507,216000.0
1963-02-06,0.051,0.0514,0.051,0.0514,518400.0
1963-02-07,0.0514,0.0515,0.0512,0.0514,259200.0
1963-02-08,0.0513,0.0513,0.051,0.0513,259200.0
1963-02-11,0.0512,0.0512,0.0512,0.0512,43200.0
1963-02-12,0.0509,0.0509,0.0504,0.0507,216000.0
1963-02-13,0.0507,0.051,0.0507,0.0507,302400.0
1963-02-14,0.0509,0.0512,0.0509,0.0509,302400.0
1963-02-15,0.0509,0.0509,0.0509,0.0509,129600.0
1963-02-18,0.0509,0.051,0.0508,0.051,172800.0
1963-02-19,0.051,0.051,0.0508,0.051,172800.0
1963-02-20,0.051,0.051,0.051,0.051,345600.0
1963-02-21,0.051,0.0512,0.051,0.0512,129600.0
1963-02-25,0.0512,0.0513,0.0511,0.0511,172800.0
1963-02-26,0.0513,0.0516,0.0513,0.0516,475200.0
1963-02-27,0.0516,0.0525,0.0514,0.0519,388800.0
1963-02-28,0.0517,0.0517,0.0516,0.0516,86400.0
1963-03-01,0.0511,0.0511,0.0503,0.0503,216000.0
1963-03-04,0.0503,0.0505,0.05,0.0505,216000.0
1963-03-05,0.0505,0.0505,0.0505,0.0505,86400.0
1963-03-06,0.0501,0.0501,0.05,0.0501,86400.0
1963-03-07,0.0501,0.0502,0.05,0.05,129600.0
1963-03-08,0.05,0.0502,0.0498,0.0498,216000.0
1963-03-11,0.0498,0.0502,0.0497,0.0497,172800.0
1963-03-12,0.05,0.0503,0.05,0.05,172800.0
1963-03-13,0.0505,0.0508,0.0505,0.0508,259200.0
1963-03-14,0.0508,0.0508,0.0503,0.0505,518400.0
1963-03-15,0.0506,0.0516,0.0506,0.0516,777600.0
1963-03-18,0.0516,0.0517,0.0513,0.0517,302400.0
1963-03-19,0.0516,0.0516,0.051,0.051,216000.0
1963-03-20,0.0513,0.0516,0.0513,0.0514,302400.0
1963-03-21,0.0514,0.0517,0.0511,0.0511,172800.0
1963-03-22,0.0511,0.0514,0.0508,0.0508,604800.0
1963-03-25,0.0506,0.0506,0.0503,0.0503,388800.0
1963-03-26,0.0505,0.051,0.0505,0.051,259200.0
1963-03-27,0.0513,0.0522,0.0513,0.0519,691200.0
1963-03-28,0.0519,0.0522,0.0519,0.0519,129600.0
1963-03-29,0.0519,0.0521,0.0517,0.0517,129600.0
1963-04-01,0.0519,0.0521,0.0519,0.0519,129600.0
1963-04-02,0.052,0.0522,0.052,0.0522,604800.0
1963-04-03,0.0522,0.0522,0.0521,0.0522,777600.0
1963-04-04,0.0522,0.0522,0.0522,0.0522,345600.0
1963-04-05,0.0522,0.0522,0.0521,0.0521,345600.0
1963-04-08,0.0521,0.0522,0.0519,0.0519,216000.0
1963-04-09,0.0519,0.0521,0.0517,0.0521,345600.0
1963-04-10,0.0517,0.0517,0.0513,0.0514,302400.0
1963-04-11,0.0514,0.0514,0.0512,0.0513,216000.0
1963-04-15,0.0511,0.0511,0.0506,0.0506,259200.0
1963-04-16,0.051,0.051,0.051,0.051,129600.0
1963-04-17,0.0508,0.0508,0.0502,0.0502,691200.0
1963-04-18,0.0502,0.0502,0.0498,0.05,604800.0
1963-04-19,0.05,0.0503,0.0495,0.0503,777600.0
1963-04-22,0.0503,0.0503,0.0491,0.0494,648000.0
1963-04-23,0.0497,0.0506,0.0497,0.0506,2419200.0
1963-04-24,0.0506,0.0506,0.0503,0.0503,518400.0
1963-04-25,0.0503,0.0509,0.0502,0.0509,820800.0
1963-04-26,0.051,0.0516,0.051,0.0516,432000.0
1963-04-29,0.0516,0.0525,0.0516,0.0525,388800.0
1963-04-30,0.0525,0.053,0.0524,0.0524,475200.0
1963-05-01,0.0524,0.0526,0.0519,0.0519,259200.0
1963-05-02,0.0521,0.0522,0.0521,0.0521,388800.0
1963-05-03,0.0519,0.0519,0.051,0.0516,518400.0
1963-05-06,0.0516,0.0517,0.0516,0.0516,216000.0
1963-05-07,0.0516,0.0517,0.0516,0.0517,216000.0
1963-05-08,0.0514,0.0514,0.051,0.0511,302400.0
1963-05-09,0.0513,0.0519,0.0513,0.0519,1252800.0
1963-05-10,0.0517,0.0517,0.0514,0.0516,561600.0
1963-05-13,0.0516,0.0516,0.0514,0.0516,259200.0
1963-05-14,0.0522,0.0532,0.0522,0.0532,734400.0
1963-05-15,0.0532,0.0546,0.0532,0.0546,993600.0
1963-05-16,0.0554,0.056,0.0554,0.0554,1209600.0
1963-05-17,0.0554,0.0563,0.0547,0.0563,777600.0
1963-05-20,0.0563,0.0566,0.056,0.0565,820800.0
1963-05-21,0.0567,0.0571,0.0561,0.0563,864000.0
1963-05-22,0.0565,0.0568,0.0565,0.0565,432000.0
1963-05-23,0.0565,0.0565,0.0562,0.0562,86400.0
1963-05-24,0.0557,0.0557,0.0542,0.0542,691200.0
1963-05-27,0.0538,0.0538,0.0531,0.0531,604800.0
1963-05-28,0.0536,0.0541,0.0536,0.0541,129600.0
