date,open,high,low,close,volume
1980-03-17,1.0245,1.0472,1.0245,1.0283,62775.0
1980-03-18,1.0283,1.0434,1.0283,1.0359,64125.0
1980-03-19,1.0434,1.0548,1.0434,1.051,40500.0
1980-03-20,1.051,1.051,1.0396,1.0434,18900.0
1980-03-21,1.0434,1.0661,1.0434,1.0661,97200.0
1980-03-24,1.0585,1.0585,1.0396,1.0396,90450.0
1980-03-25,1.0396,1.0434,1.0321,1.0359,72225.0
1980-03-26,1.0359,1.051,1.0283,1.0434,31725.0
1980-03-27,1.0396,1.0396,1.0056,1.0359,62100.0
1980-03-28,1.0359,1.0359,1.0056,1.0245,84375.0
1980-03-31,1.0359,1.0585,1.0359,1.0548,55350.0
1980-04-01,1.0548,1.0737,1.0359,1.0434,126225.0
1980-04-02,1.051,1.0812,1.051,1.0812,58725.0
1980-04-03,1.1039,1.1341,1.1039,1.1228,311175.0
1980-04-07,1.1228,1.1493,1.119,1.1304,115425.0
1980-04-08,1.1228,1.1228,1.1115,1.1115,218025.0
1980-04-09,1.1039,1.1039,1.0737,1.0963,181575.0
1980-04-10,1.0963,1.1266,1.0963,1.119,191700.0
1980-04-11,1.119,1.1417,1.1152,1.119,112050.0
1980-04-14,1.119,1.119,1.1077,1.1152,18900.0
1980-04-15,1.1077,1.1077,1.0888,1.0888,63450.0
1980-04-16,1.0963,1.1077,1.0963,1.1077,30375.0
1980-04-17,1.1001,1.1001,1.085,1.0888,43875.0
1980-04-18,1.0888,1.1001,1.0812,1.0812,27675.0
1980-04-21,1.0774,1.0774,1.0434,1.0548,83700.0
1980-04-22,1.0548,1.0888,1.0434,1.0888,122850.0
1980-04-23,1.0888,1.0888,1.0623,1.0888,132300.0
1980-04-24,1.0888,1.0888,1.0661,1.0812,209250.0
1980-04-25,1.0774,1.0774,1.0623,1.0661,21600.0
1980-04-28,1.0774,1.0963,1.0774,1.0888,141750.0
1980-04-29,1.0888,1.0963,1.085,1.0926,45225.0
1980-04-30,1.0926,1.1077,1.0812,1.1039,85050.0
1980-05-01,1.1077,1.1304,1.1077,1.1228,48600.0
1980-05-02,1.1228,1.1417,1.1152,1.1341,49950.0
1980-05-05,1.1493,1.1946,1.1493,1.1946,621675.0
1980-05-06,1.1946,1.2173,1.1757,1.1757,143775.0
1980-05-07,1.1757,1.2098,1.1757,1.1946,483975.0
1980-05-08,1.1946,1.206,1.1833,1.1909,36450.0
1980-05-09,1.1833,1.1833,1.1682,1.1833,24975.0
1980-05-12,1.1833,1.1833,1.153,1.1795,27000.0
1980-05-13,1.1795,1.1909,1.1682,1.1757,40500.0
1980-05-14,1.1795,1.1946,1.1795,1.1795,61425.0
1980-05-15,1.1795,1.1871,1.1682,1.1757,37125.0
1980-05-16,1.1757,1.1757,1.1644,1.172,11475.0
1980-05-19,1.1719,1.2098,1.1719,1.1984,51300.0
1980-05-20,1.1984,1.1984,1.1757,1.1757,85725.0
1980-05-21,1.1757,1.1795,1.1606,1.1682,40500.0
1980-05-22,1.1682,1.1871,1.1568,1.1795,143775.0
1980-05-23,1.1833,1.2022,1.1833,1.1946,113400.0
1980-05-27,1.1946,1.1946,1.1833,1.1833,57375.0
1980-05-28,1.1871,1.2022,1.1871,1.2022,135000.0
1980-05-29,1.2022,1.206,1.1682,1.1871,108675.0
1980-05-30,1.1833,1.1833,1.1606,1.1833,80325.0
1980-06-02,1.1833,1.1984,1.1682,1.1757,107325.0
1980-06-03,1.1757,1.1871,1.172,1.1833,101250.0
1980-06-04,1.1833,1.2135,1.1795,1.2135,143100.0
1980-06-05,1.2135,1.2249,1.2098,1.2098,95850.0
1980-06-06,1.2098,1.2702,1.206,1.2702,205875.0
1980-06-09,1.2362,1.2362,1.2022,1.2098,150525.0
1980-06-10,1.2098,1.2324,1.1984,1.2287,110700.0
1980-06-11,1.2287,1.2778,1.2173,1.2513,140400.0
1980-06-12,1.2476,1.2476,1.2173,1.2476,178200.0
1980-06-13,1.2476,1.3005,1.2476,1.3005,196425.0
1980-06-16,1.2854,1.2854,1.2476,1.2551,298350.0
1980-06-17,1.2551,1.2551,1.24,1.2551,344250.0
1980-06-18,1.2551,1.2551,1.2211,1.2287,129600.0
1980-06-19,1.2211,1.2211,1.1757,1.1871,83025.0
1980-06-20,1.1871,1.1946,1.172,1.1795,207225.0
1980-06-23,1.1795,1.1984,1.1606,1.1757,557550.0
1980-06-24,1.1795,1.2098,1.1795,1.2098,174150.0
1980-06-25,1.2098,1.2173,1.1984,1.2135,294300.0
1980-06-26,1.2135,1.2173,1.206,1.2098,791775.0
1980-06-27,1.2098,1.2173,1.206,1.2135,104625.0
1980-06-30,1.2135,1.2173,1.1871,1.2098,85050.0
1980-07-01,1.2098,1.2135,1.1984,1.2098,89100.0
1980-07-02,1.2098,1.2135,1.2022,1.2135,89100.0
1980-07-03,1.2135,1.2173,1.2098,1.2173,550125.0
1980-07-07,1.2173,1.2249,1.2098,1.2173,144450.0
1980-07-08,1.2173,1.2249,1.206,1.2173,148500.0
1980-07-09,1.2173,1.2362,1.2135,1.2135,89100.0
1980-07-10,1.2135,1.2362,1.2098,1.2249,39150.0
1980-07-11,1.2249,1.2362,1.2249,1.2287,33750.0
1980-07-14,1.2287,1.2702,1.2249,1.2702,90450.0
1980-07-15,1.2702,1.274,1.2513,1.2551,289575.0
1980-07-16,1.2551,1.274,1.24,1.274,103950.0
1980-07-17,1.274,1.2816,1.2702,1.2816,58725.0
1980-07-18,1.2816,1.2929,1.2778,1.2929,127575.0
1980-07-21,1.2929,1.3572,1.2891,1.3572,816750.0
1980-07-22,1.3572,1.3572,1.308,1.308,253800.0
1980-07-23,1.3005,1.3005,1.2702,1.274,112050.0
1980-07-24,1.2778,1.2854,1.2778,1.2816,43875.0
1980-07-25,1.2816,1.2816,1.2589,1.2665,182925.0
1980-07-28,1.2665,1.2702,1.2551,1.2551,29025.0
1980-07-29,1.2551,1.2665,1.2551,1.2627,81675.0
1980-07-30,1.2627,1.2665,1.2551,1.2665,52650.0
1980-07-31,1.2665,1.2665,1.2551,1.2665,125550.0
1980-08-01,1.2665,1.2702,1.2551,1.2551,72900.0
1980-08-04,1.2513,1.2513,1.2287,1.2438,100575.0
1980-08-05,1.2438,1.2476,1.2287,1.2287,17550.0
1980-08-06,1.2287,1.24,1.2287,1.2362,41850.0
1980-08-07,1.2362,1.2589,1.2324,1.2551,137025.0
1980-08-08,1.2551,1.2702,1.2476,1.2476,126225.0
1980-08-11,1.24,1.24,1.2287,1.24,63450.0
1980-08-12,1.24,1.2589,1.24,1.2438,85050.0
1980-08-13,1.2438,1.2438,1.2324,1.2362,73575.0
1980-08-14,1.2362,1.24,1.2211,1.24,127575.0
1980-08-15,1.2476,1.2702,1.2476,1.2702,167400.0
1980-08-18,1.2702,1.2702,1.2476,1.2551,149175.0
