date,open,high,low,close,volume
2024-09-12,1.91309,2.01531,1.9087,2.01308,7312.14616
2024-09-13,1.99381,2.08802,1.95788,2.08802,16036.03481
2024-09-14,2.06137,2.0956,1.97849,2.00799,32407.02143
2024-09-15,2.02885,2.06112,1.91935,1.94565,7859.25927
2024-09-16,1.94218,1.9533,1.86779,1.89219,8257.69797
2024-09-17,1.90246,2.06688,1.88967,2.01598,13474.18805
2024-09-18,1.99917,2.0926,1.94686,2.08079,55035.78291
2024-09-19,2.107,2.26974,2.09091,2.20978,42367.83664
2024-09-20,2.21,2.38,2.17742,2.31982,30064.46534
2024-09-21,2.2709,2.28913,2.22053,2.28913,77012.5501
2024-09-22,2.25549,2.25549,2.06963,2.15487,30228.80003
2024-09-23,2.1543,2.29602,2.12392,2.23534,42663.03349
2024-09-24,2.21745,2.44503,2.18316,2.40413,43176.95628
2024-09-25,2.40299,2.41238,2.28179,2.29584,27731.15454
2024-09-26,2.29584,2.5267,2.26219,2.42685,40492.97438
2024-09-27,2.46,2.54908,2.39429,2.49037,78002.24814
2024-09-28,2.52147,2.56447,2.41961,2.46798,15790.99882
2024-09-29,2.49128,2.56249,2.37252,2.49537,14787.99343
2024-09-30,2.49602,2.51479,2.26136,2.28853,20951.28266
2024-10-01,2.28254,2.39099,2.03818,2.08377,67868.10016
2024-10-02,2.09394,2.20529,2.0,2.06269,27724.06815
2024-10-03,2.06008,2.11462,1.932,1.98241,17415.32286
2024-10-04,2.00506,2.1,1.99826,2.04544,19947.23211
2024-10-05,2.0646,2.08827,1.98652,2.03083,5476.56845
2024-10-06,2.02889,2.107,1.96159,2.06454,133339.59028
2024-10-07,2.11564,2.17721,1.99872,1.99872,37502.91469
2024-10-08,2.00782,2.01165,1.89596,1.93674,36971.76035
2024-10-09,1.93356,1.97575,1.86853,1.9064,10280.93714
2024-10-10,1.89354,1.92646,1.80932,1.86138,10976.84131
2024-10-11,1.87636,1.95594,1.86742,1.91084,46777.15016
2024-10-12,1.91649,2.00121,1.91107,1.95633,22186.06848
2024-10-13,1.96466,2.00506,1.88886,1.9735,11204.95663
2024-10-14,1.96908,2.36213,1.93229,2.31905,61291.36245
2024-10-15,2.32234,2.4544,2.12897,2.34576,152834.93714
2024-10-16,2.3212,2.32763,2.17759,2.20878,33389.61658
2024-10-17,2.22096,2.23157,2.08,2.11422,23809.98553
2024-10-18,2.14119,2.2398,2.14119,2.2086,43245.49278
2024-10-19,2.21482,2.28602,2.15342,2.28387,5708.77116
2024-10-20,2.28312,2.37694,2.22374,2.33147,10852.48372
2024-10-21,2.34092,2.40425,2.17402,2.17402,18878.51263
2024-10-22,2.16093,2.2352,2.15342,2.1888,15204.52624
2024-10-23,2.1771,2.28922,2.07795,2.27808,25093.30023
2024-10-24,2.28924,2.56921,2.28152,2.40528,215637.61836
2024-10-25,2.42037,2.43535,2.0701,2.15464,94687.01106
2024-10-26,2.15687,2.31952,2.09737,2.27495,51935.15861
2024-10-27,2.26367,2.50641,2.23929,2.50638,42888.05286
2024-10-28,2.48939,2.55603,2.3846,2.4768,45051.72435
2024-10-29,2.46801,2.54336,2.3993,2.44803,174150.40405
2024-10-30,2.44417,2.52861,2.30651,2.37291,83654.95179
2024-10-31,2.37729,2.39899,2.25658,2.2863,33341.94512
2024-11-01,2.28788,2.36412,2.21248,2.26039,40943.29904
2024-11-02,2.24127,2.2863,2.14775,2.22201,93903.52201
2024-11-03,2.22573,2.23483,1.92,2.0068,49389.32938
2024-11-04,1.99259,2.0494,1.84913,1.85609,69404.91935
2024-11-05,1.85783,2.0581,1.84067,1.99781,95545.49796
2024-11-06,1.98915,2.40112,1.98915,2.35552,193067.56507
2024-11-07,2.35395,2.86941,2.26022,2.81431,130547.73619
2024-11-08,2.84144,3.02326,2.72148,2.94868,269752.65871
2024-11-09,2.95599,3.26575,2.86448,3.13447,108585.99501
2024-11-10,3.13126,3.23831,2.8998,3.06591,132032.05892
2024-11-11,3.05956,3.19,2.91714,3.07475,86957.92453
2024-11-12,3.06553,3.2075,2.8372,3.01015,107950.67979
2024-11-13,3.04077,3.35075,2.75364,3.13857,76957.79575
2024-11-14,3.139,3.18247,2.71489,2.7517,102863.8182
2024-11-15,2.75649,2.87,2.64091,2.81732,110621.12649
2024-11-16,2.81222,2.86416,2.68061,2.75173,116329.47854
2024-11-17,2.76182,3.10114,2.63,2.85703,146253.33154
2024-11-18,2.85968,3.06418,2.83137,2.95459,83382.6737
2024-11-19,2.94054,2.98157,2.81178,2.90267,80988.11463
2024-11-20,2.90129,2.90129,2.61477,2.73207,72157.28737
2024-11-21,2.72795,3.39375,2.71509,3.36474,170707.16235
2024-11-22,3.37135,3.75585,3.31988,3.63598,250477.00937
2024-11-23,3.6369,3.82831,3.5,3.59,106077.48282
2024-11-24,3.55608,3.87014,3.43005,3.77835,126502.48966
2024-11-25,3.77057,3.97,3.37167,3.50509,86847.01693
2024-11-26,3.49519,3.56195,3.20219,3.46238,48457.085
2024-11-27,3.44585,3.8,3.44585,3.6784,60977.76615
2024-11-28,3.66708,3.75052,3.44951,3.56804,33403.3501
2024-11-29,3.56607,3.77816,3.52405,3.71874,270465.81458
2024-11-30,3.70373,3.83495,3.63953,3.69673,26809.22871
2024-12-01,3.69761,3.92098,3.60147,3.83705,23599.61647
2024-12-02,3.79699,3.8262,3.35307,3.59405,99859.17498
2024-12-03,3.58478,3.80241,3.17562,3.60558,88940.87026
2024-12-04,3.62934,3.88673,3.49298,3.62125,196378.56195
2024-12-05,3.63679,3.8751,3.40651,3.61496,252872.31838
2024-12-06,3.59711,3.79342,3.48568,3.50196,116033.56388
2024-12-07,3.48115,4.1068,3.48111,3.92127,94338.82275
2024-12-08,3.91076,4.14999,3.71314,3.86491,59125.84001
2024-12-09,3.85478,3.85478,3.2,3.63831,145924.31112
2024-12-10,3.5996,3.87726,3.25944,3.63608,62568.71151
2024-12-11,3.63904,4.20883,3.50136,3.91986,444359.8433
2024-12-12,3.88945,4.33667,3.84279,3.909,168305.94565
2024-12-13,3.9253,4.01498,3.84548,3.9688,32338.21922
2024-12-14,3.94597,3.98877,3.59744,3.68146,39706.68009
2024-12-15,3.66851,3.75052,3.55281,3.72713,26589.16617
2024-12-16,3.72076,3.82757,3.4733,3.48818,69233.4059
2024-12-17,3.50445,3.638,3.32492,3.34016,49565.7896
2024-12-18,3.365,3.38043,2.9,2.99118,197179.20553
2024-12-19,2.99289,3.10152,2.64642,2.87016,141241.08911
