date,open,high,low,close,volume
2024-09-14,0.7828,0.85777,0.76398,0.77,385291.21864
2024-09-15,0.76998,0.77584,0.72565,0.73282,812013.7677
2024-09-16,0.73207,0.73884,0.71258,0.72915,555296.80516
2024-09-17,0.72859,0.75363,0.72215,0.72994,145654.03728
2024-09-18,0.731,0.75727,0.70385,0.75727,360655.57116
2024-09-19,0.759,0.82301,0.759,0.80308,533062.17282
2024-09-20,0.80632,0.89326,0.79008,0.83716,469560.28788
2024-09-21,0.83912,0.86197,0.8208,0.86116,286397.18809
2024-09-22,0.86195,0.86467,0.80249,0.82597,277544.56468
2024-09-23,0.82395,0.85313,0.8022,0.81702,485612.43719
2024-09-24,0.81749,0.91506,0.80538,0.90133,895428.28044
2024-09-25,0.89952,0.91451,0.86164,0.86481,653555.14476
2024-09-26,0.86886,0.96605,0.85901,0.93726,716934.07867
2024-09-27,0.93594,0.96598,0.92365,0.93854,730432.69864
2024-09-28,0.93924,0.95555,0.90241,0.91629,244897.77497
2024-09-29,0.92105,0.94271,0.88837,0.91836,257485.88694
2024-09-30,0.91964,0.94999,0.8645,0.87052,633041.3664
2024-10-01,0.86911,0.90375,0.779,0.81307,998138.1518
2024-10-02,0.81048,0.8313,0.715,0.77174,605138.67729
2024-10-03,0.77002,0.7862,0.72398,0.74358,361651.00609
2024-10-04,0.74264,0.79163,0.73788,0.77781,308517.09886
2024-10-05,0.78097,0.7902,0.75432,0.7684,191624.27689
2024-10-06,0.76364,0.79363,0.76019,0.79095,197226.03057
2024-10-07,0.78977,0.81557,0.76746,0.76838,486074.6193
2024-10-08,0.76737,0.77907,0.72553,0.7422,377998.13508
2024-10-09,0.74513,0.7571,0.715,0.72683,370011.24515
2024-10-10,0.7265,0.73577,0.70273,0.73494,583432.99309
2024-10-11,0.73556,0.79384,0.73177,0.78328,503426.48508
2024-10-12,0.78568,0.81122,0.7821,0.79134,506745.5103
2024-10-13,0.79071,0.80775,0.77051,0.79385,489635.85116
2024-10-14,0.79521,0.8945,0.79007,0.88463,703922.36881
2024-10-15,0.88827,0.93564,0.8411,0.879,3633722.01673
2024-10-16,0.87887,0.89403,0.84746,0.85379,339412.84374
2024-10-17,0.85587,0.87,0.80575,0.81866,334080.40848
2024-10-18,0.82169,0.87606,0.81821,0.86713,777669.59362
2024-10-19,0.86415,0.92258,0.84694,0.91402,496971.3596
2024-10-20,0.91412,0.99301,0.88816,0.97696,826776.22809
2024-10-21,0.97935,1.02866,0.94441,0.9663,896200.31204
2024-10-22,0.96979,1.01345,0.94309,0.99197,1116808.10106
2024-10-23,0.99292,1.0775,0.96327,1.06299,1194370.04369
2024-10-24,1.06131,1.11154,1.00899,1.06681,1032865.01349
2024-10-25,1.06671,1.06921,0.89903,0.95563,1122241.4978
2024-10-26,0.95454,0.99989,0.92753,0.97561,557833.23561
2024-10-27,0.97814,1.06284,0.97166,1.01928,555373.24325
2024-10-28,1.01813,1.06284,0.98627,1.04222,652089.86311
2024-10-29,1.04278,1.08113,1.02524,1.0434,745743.74958
2024-10-30,1.04721,1.07683,0.9955,1.008,552122.0719
2024-10-31,1.00887,1.02456,0.95911,0.96672,356226.26464
2024-11-01,0.96541,1.01963,0.94331,0.9605,409897.8301
2024-11-02,0.96002,0.97653,0.91818,0.92994,239831.42444
2024-11-03,0.93167,0.93467,0.8442,0.88334,332024.95867
2024-11-04,0.88234,0.91147,0.83,0.8555,494744.24542
2024-11-05,0.85607,0.94832,0.85607,0.91831,665786.66188
2024-11-06,0.91944,1.04788,0.91109,1.03628,1266737.00242
2024-11-07,1.03729,1.0724,0.98426,1.05413,740658.90314
2024-11-08,1.05627,1.14108,1.05627,1.11349,2389192.41586
2024-11-09,1.11109,1.25998,1.09533,1.21522,1387990.18326
2024-11-10,1.21499,1.3009,1.17,1.25072,1734531.70927
2024-11-11,1.24613,1.25867,1.14001,1.24355,2389993.63148
2024-11-12,1.24415,1.27157,1.0958,1.16914,1667750.94843
2024-11-13,1.1681,1.22771,1.06302,1.16416,1776890.09075
2024-11-14,1.16553,1.20631,1.05258,1.06795,729995.51679
2024-11-15,1.07145,1.14752,1.03198,1.13545,700526.74879
2024-11-16,1.13285,1.16,1.085,1.12153,446717.35841
2024-11-17,1.11833,1.32193,1.0937,1.19187,1629545.70793
2024-11-18,1.18821,1.2297,1.12634,1.175,755277.51149
2024-11-19,1.17418,1.19249,1.11534,1.14004,485640.44368
2024-11-20,1.1365,1.13669,1.05168,1.06946,512868.26901
2024-11-21,1.06566,1.17498,1.0181,1.13353,1484474.62979
2024-11-22,1.12947,1.17034,1.07932,1.12173,856145.02594
2024-11-23,1.1245,1.19994,1.09596,1.13207,1299247.75192
2024-11-24,1.12673,1.17826,1.04186,1.12863,1862304.22238
2024-11-25,1.12557,1.16619,1.04338,1.06714,1083831.2863
2024-11-26,1.06364,1.09985,0.98365,1.03463,821292.54955
2024-11-27,1.03148,1.1306,1.0173,1.12024,829214.50579
2024-11-28,1.11569,1.14843,1.079,1.13201,568153.23801
2024-11-29,1.13131,1.19697,1.11982,1.14696,1583489.75165
2024-11-30,1.15126,1.18888,1.137,1.15898,658179.43847
2024-12-01,1.16318,1.26977,1.12223,1.24685,1060980.71634
2024-12-02,1.25047,1.26538,1.11992,1.20333,1167436.74179
2024-12-03,1.1973,1.29965,1.09291,1.24862,1721343.67815
2024-12-04,1.24858,1.34332,1.23956,1.28835,1786607.95251
2024-12-05,1.28096,1.43989,1.24137,1.35421,2464520.02189
2024-12-06,1.35043,1.41231,1.3005,1.34037,1368897.98784
2024-12-07,1.34108,1.40999,1.32818,1.37349,592462.99571
2024-12-08,1.37062,1.38679,1.3021,1.343,589757.88034
2024-12-09,1.33945,1.33945,0.91154,1.08893,3039040.8567
2024-12-10,1.08309,1.10091,0.97029,1.05098,1557712.50529
2024-12-11,1.04647,1.15226,1.01365,1.1283,922460.96627
2024-12-12,1.12795,1.22144,1.12396,1.14207,738367.40874
2024-12-13,1.14092,1.15675,1.09378,1.12626,1192312.69073
2024-12-14,1.12466,1.14646,1.05488,1.08413,491213.58301
2024-12-15,1.07755,1.11616,1.04417,1.11242,286458.48392
2024-12-16,1.11506,1.13069,1.0409,1.06301,495189.26856
2024-12-17,1.06147,1.09765,1.01888,1.0297,536890.21207
2024-12-18,1.03052,1.04162,0.92154,0.92154,806506.36217
2024-12-19,0.92571,0.94422,0.81138,0.8522,1012846.22675
2024-12-20,0.8522,0.88696,0.74453,0.87825,1232541.50524
2024-12-21,0.87764,0.93534,0.80739,0.81992,427733.16755
2024-12-22,0.80892,0.84738,0.79,0.81277,328381.2983
2024-12-23,0.81092,0.88421,0.79508,0.87145,387690.91481
2024-12-24,0.86705,0.90952,0.84425,0.89656,536184.46501
2024-12-25,0.89342,0.91623,0.88589,0.89838,249278.77699
2024-12-26,0.89808,0.90955,0.81991,0.83344,409188.45715
2024-12-27,0.83831,0.86481,0.80296,0.81148,207637.66908
2024-12-28,0.81184,0.84718,0.79767,0.83966,270354.19954
2024-12-29,0.84244,0.84245,0.79552,0.80377,180132.97298
2024-12-30,0.80866,0.8336,0.7844,0.81158,464852.28677
2024-12-31,0.80747,0.85286,0.79396,0.81705,330673.01721
2025-01-01,0.81476,0.85354,0.80628,0.84968,408335.90181
2025-01-02,0.85149,0.92629,0.84676,0.92258,793667.78765
2025-01-03,0.92148,0.97163,0.90415,0.96061,518866.72286
2025-01-04,0.96019,0.96642,0.93684,0.95366,284268.5359
2025-01-05,0.95455,0.966,0.93556,0.94592,174356.99396
2025-01-06,0.94735,0.98111,0.92954,0.95574,319121.2802
2025-01-07,0.95506,0.96124,0.85846,0.8617,460887.80817
2025-01-08,0.86077,0.86558,0.78324,0.8288,297647.88676
2025-01-09,0.8284,0.8416,0.77803,0.79246,258096.7015
2025-01-10,0.79502,0.82067,0.77973,0.80145,302392.51186
2025-01-11,0.80225,0.83095,0.78507,0.81622,283013.89595
2025-01-12,0.81398,0.82107,0.78857,0.7998,157586.47722
2025-01-13,0.79937,0.82353,0.7075,0.77256,750064.96635
2025-01-14,0.77126,0.81098,0.7693,0.79937,888263.54438
2025-01-15,0.80042,0.838,0.77851,0.83679,526886.70984
2025-01-16,0.83884,0.83884,0.77733,0.78804,620871.74849
2025-01-17,0.78891,0.84488,0.78815,0.83941,1101481.57953
2025-01-18,0.83831,1.16662,0.825,1.14271,5061833.31167
2025-01-19,1.14158,1.21759,0.94011,0.96257,4794661.14041
2025-01-20,0.96149,1.04917,0.89,0.93646,3921521.19518
2025-01-21,0.93951,0.94083,0.84587,0.88266,1826805.32325
2025-01-22,0.87777,0.90366,0.78,0.79908,2373632.06444
2025-01-23,0.7937,0.80819,0.76115,0.79598,1442163.7556
2025-01-24,0.80062,0.89013,0.79531,0.8424,2733455.64263
2025-01-25,0.84789,1.01407,0.82,0.96893,4535777.04055
2025-01-26,0.97129,1.26837,0.89826,1.05441,6894324.43425
2025-01-27,1.05458,1.15308,0.93965,1.12455,8840372.30629
2025-01-28,1.13276,1.25374,1.0965,1.12027,4121824.3691
2025-01-29,1.11553,1.16242,1.04573,1.08797,3386881.32591
2025-01-30,1.09011,1.15532,1.0666,1.09638,1633018.30973
2025-01-31,1.0938,1.09411,1.01887,1.03729,1499682.76012
2025-02-01,1.03223,1.04789,0.9214,0.92748,2028419.85697
2025-02-02,0.9225,0.98558,0.8543,0.91437,3632967.80634
2025-02-03,0.91503,1.02964,0.731,1.00759,4860843.90165
2025-02-04,1.00952,1.07211,0.91784,0.96697,2094068.78565
2025-02-05,0.96078,0.97495,0.88161,0.88276,2593178.64795
2025-02-06,0.8888,0.90723,0.8193,0.82774,1293431.99789
2025-02-07,0.8253,0.87888,0.77745,0.79973,813871.97968
2025-02-08,0.79878,0.84755,0.7831,0.83984,377048.33133
2025-02-09,0.83867,0.8826,0.79178,0.83167,505283.21705
2025-02-10,0.83309,0.86364,0.80031,0.83067,645251.29507
2025-02-11,0.83466,0.8751,0.81001,0.82387,1378434.98137
2025-02-12,0.82674,0.87144,0.78544,0.8589,1282931.812
2025-02-13,0.86101,0.88361,0.805,0.85181,1102332.44552
2025-02-14,0.85297,1.00659,0.85297,0.9552,2693631.92545
2025-02-15,0.95688,0.96484,0.91414,0.93164,718166.08702
2025-02-16,0.93256,0.97236,0.8611,0.87568,2648642.78844
2025-02-17,0.87886,0.89666,0.79606,0.81505,1721756.06012
2025-02-18,0.814,0.81698,0.672,0.72039,4641683.1936
2025-02-19,0.7249,0.77139,0.695,0.71823,1741075.6728
2025-02-20,0.71827,0.79453,0.71275,0.78603,1668611.3795
2025-02-21,0.78868,0.84016,0.75785,0.76226,1648426.74295
2025-02-22,0.75965,0.80802,0.75614,0.79064,603388.88726
2025-02-23,0.7906,0.79438,0.75656,0.7752,666192.80293
2025-02-24,0.77559,0.78474,0.66409,0.6877,2353553.00208
2025-02-25,0.68571,0.71148,0.63575,0.69853,1966047.07574
2025-02-26,0.70106,0.72932,0.66487,0.72932,1429836.75775
2025-02-27,0.72675,0.75375,0.71028,0.71856,639819.05344
2025-02-28,0.72097,0.75822,0.67097,0.75822,2082083.79526
2025-03-01,0.75377,0.76424,0.72408,0.75081,220443.73003
2025-03-02,0.75599,0.8655,0.73842,0.83463,2168463.96131
2025-03-03,0.83654,0.83654,0.66141,0.67101,1199095.14827
2025-03-04,0.66838,0.68083,0.598,0.64431,1419003.57633
2025-03-05,0.64168,0.6635,0.62353,0.63259,594365.65374
2025-03-06,0.63,0.64521,0.60493,0.6099,764857.14725
2025-03-07,0.61018,0.61893,0.5692,0.5751,1165062.30145
2025-03-08,0.57617,0.57884,0.54458,0.55253,463515.8865
2025-03-09,0.55405,0.56029,0.48389,0.49096,991731.38005
2025-03-10,0.49121,0.53,0.4739,0.4793,878028.16065
2025-03-11,0.48141,0.52546,0.44756,0.51445,1000381.55008
2025-03-12,0.51573,0.54035,0.4987,0.51334,443483.30582
2025-03-13,0.51408,0.51621,0.48618,0.50089,587558.83752
2025-03-14,0.50185,0.53507,0.50079,0.52983,555554.0215
2025-03-15,0.52983,0.53804,0.52385,0.53209,202965.24971
2025-03-16,0.53247,0.53349,0.48629,0.4894,340701.48284
2025-03-17,0.491,0.52936,0.491,0.5209,328308.59759
2025-03-18,0.52031,0.52031,0.49363,0.51022,342836.56329
2025-03-19,0.51178,0.5473,0.50866,0.54608,565748.99375
2025-03-20,0.54618,0.54618,0.51742,0.52733,223318.44758
2025-03-21,0.52785,0.53224,0.50434,0.51826,436344.45473
