date,open,high,low,close,volume
1980-10-08,0.0606,0.0617,0.0606,0.0606,28896000.0
1980-10-09,0.0612,0.0617,0.0612,0.0612,11760000.0
1980-10-10,0.0666,0.0682,0.0666,0.0666,18240000.0
1980-10-13,0.0715,0.0726,0.0715,0.0715,6792000.0
1980-10-14,0.0682,0.0682,0.0672,0.0672,6408000.0
1980-10-15,0.0693,0.071,0.0693,0.0693,4080000.0
1980-10-16,0.0688,0.0688,0.0677,0.0677,5544000.0
1980-10-17,0.0682,0.0693,0.0682,0.0682,4560000.0
1980-10-20,0.0704,0.0715,0.0704,0.0704,2136000.0
1980-10-21,0.0682,0.0682,0.0672,0.0672,4056000.0
1980-10-22,0.0682,0.0693,0.0682,0.0682,1416000.0
1980-10-23,0.0682,0.0688,0.0672,0.0672,1800000.0
1980-10-24,0.0688,0.0704,0.0688,0.0688,1152000.0
1980-10-27,0.0688,0.0693,0.0677,0.0677,1368000.0
1980-10-28,0.0677,0.0677,0.0666,0.0666,1680000.0
1980-10-29,0.0672,0.0682,0.0672,0.0672,1440000.0
1980-10-30,0.0655,0.0655,0.0644,0.0644,1632000.0
1980-10-31,0.065,0.0666,0.065,0.065,1248000.0
1980-11-03,0.0655,0.0672,0.0655,0.0655,744000.0
1980-11-05,0.0661,0.0677,0.0661,0.0661,1056000.0
1980-11-06,0.065,0.065,0.0633,0.0633,720000.0
1980-11-07,0.0633,0.0633,0.0617,0.0617,1392000.0
1980-11-10,0.0644,0.0661,0.0644,0.0644,1056000.0
1980-11-11,0.0699,0.0704,0.0699,0.0699,1344000.0
1980-11-12,0.0726,0.0748,0.0726,0.0726,840000.0
1980-11-13,0.0732,0.0748,0.0732,0.0732,888000.0
1980-11-14,0.0753,0.077,0.0753,0.0753,1728000.0
1980-11-17,0.0797,0.0814,0.0797,0.0797,1128000.0
1980-11-18,0.0819,0.0835,0.0819,0.0819,2064000.0
1980-11-19,0.0824,0.0835,0.0824,0.0824,552000.0
1980-11-20,0.0803,0.0803,0.0786,0.0786,1320000.0
1980-11-21,0.0786,0.0803,0.0786,0.0786,648000.0
1980-11-24,0.0786,0.0803,0.0781,0.0781,576000.0
1980-11-25,0.0841,0.0857,0.0841,0.0841,504000.0
1980-11-26,0.0841,0.0852,0.0835,0.0835,504000.0
1980-11-28,0.0835,0.0852,0.0835,0.0835,648000.0
1980-12-01,0.083,0.083,0.0819,0.0819,888000.0
1980-12-02,0.0819,0.083,0.0814,0.0814,672000.0
1980-12-03,0.0814,0.083,0.0814,0.0814,936000.0
1980-12-04,0.0814,0.083,0.0814,0.0814,720000.0
1980-12-05,0.0814,0.0824,0.0803,0.0803,816000.0
