date,open,high,low,close,volume
1962-01-02,0.0442,0.0454,0.0442,0.0442,806400.0
1962-01-03,0.0435,0.0435,0.0426,0.0432,1574400.0
1962-01-04,0.0433,0.0439,0.0433,0.0435,844800.0
1962-01-05,0.0435,0.0441,0.0424,0.0426,1420800.0
1962-01-08,0.0422,0.0422,0.0413,0.0421,2035200.0
1962-01-09,0.0421,0.0431,0.0418,0.0429,960000.0
1962-01-10,0.0429,0.0437,0.0424,0.0431,1612800.0
1962-01-11,0.0431,0.0435,0.0429,0.0435,614400.0
1962-01-12,0.0435,0.0435,0.0428,0.0432,883200.0
1962-01-15,0.0431,0.0431,0.0427,0.0428,614400.0
1962-01-16,0.0427,0.0427,0.042,0.042,1113600.0
1962-01-17,0.042,0.042,0.0407,0.0407,1574400.0
1962-01-18,0.0407,0.0409,0.0397,0.0399,2649600.0
1962-01-19,0.0403,0.0411,0.0403,0.0411,1459200.0
1962-01-22,0.0411,0.0416,0.0407,0.0415,1075200.0
1962-01-23,0.0413,0.0413,0.0406,0.0406,768000.0
1962-01-24,0.0406,0.0407,0.0394,0.0401,2611200.0
1962-01-25,0.0401,0.0408,0.0398,0.0398,1574400.0
1962-01-26,0.0398,0.0398,0.0392,0.0394,1574400.0
1962-01-29,0.0394,0.0395,0.0393,0.0394,307200.0
1962-01-30,0.0394,0.0397,0.0392,0.0392,1574400.0
1962-01-31,0.0394,0.0408,0.0394,0.0408,1766400.0
1962-02-01,0.0411,0.0418,0.0411,0.0411,1420800.0
1962-02-02,0.0411,0.0416,0.0405,0.0416,1152000.0
1962-02-05,0.0416,0.0416,0.0412,0.0416,384000.0
1962-02-06,0.0416,0.0416,0.041,0.041,691200.0
1962-02-07,0.041,0.0412,0.041,0.0412,192000.0
1962-02-08,0.0412,0.0416,0.0408,0.0413,768000.0
1962-02-09,0.0413,0.0416,0.0411,0.0416,729600.0
1962-02-12,0.0416,0.0417,0.0412,0.0412,307200.0
1962-02-13,0.0412,0.0415,0.0412,0.0412,652800.0
1962-02-14,0.0412,0.0412,0.0405,0.0405,652800.0
1962-02-15,0.0405,0.0408,0.0403,0.0403,652800.0
1962-02-16,0.0403,0.041,0.0403,0.0403,1190400.0
1962-02-19,0.0406,0.0409,0.0406,0.0409,345600.0
1962-02-20,0.0409,0.041,0.0406,0.0407,460800.0
1962-02-21,0.0407,0.041,0.0405,0.0405,691200.0
1962-02-23,0.0405,0.041,0.04,0.04,1036800.0
1962-02-26,0.04,0.041,0.0398,0.0407,768000.0
1962-02-27,0.0407,0.041,0.0407,0.0409,460800.0
1962-02-28,0.0408,0.0408,0.04,0.0401,652800.0
1962-03-01,0.0401,0.0401,0.0394,0.0399,19545600.0
1962-03-02,0.04,0.0404,0.04,0.0404,806400.0
1962-03-05,0.0404,0.0404,0.0398,0.0398,652800.0
1962-03-06,0.0403,0.0407,0.0403,0.0407,883200.0
1962-03-07,0.0407,0.0407,0.0401,0.0401,691200.0
1962-03-08,0.0401,0.0406,0.04,0.0403,883200.0
1962-03-09,0.0403,0.0404,0.0395,0.0398,1113600.0
1962-03-12,0.0403,0.0407,0.0403,0.0407,998400.0
1962-03-13,0.041,0.0413,0.041,0.0413,1344000.0
1962-03-14,0.0413,0.0415,0.0412,0.0414,1689600.0
1962-03-15,0.0414,0.0415,0.0412,0.0412,883200.0
1962-03-16,0.0412,0.0413,0.0412,0.0412,768000.0
1962-03-19,0.0412,0.0416,0.0412,0.0414,921600.0
1962-03-20,0.0414,0.0418,0.0414,0.0418,1305600.0
1962-03-21,0.0421,0.0426,0.0421,0.0424,2188800.0
1962-03-22,0.0425,0.043,0.0425,0.0428,1344000.0
1962-03-23,0.0432,0.0439,0.0432,0.0436,1497600.0
1962-03-26,0.0436,0.0439,0.0429,0.043,1420800.0
1962-03-27,0.0428,0.0428,0.0425,0.0427,844800.0
1962-03-28,0.0427,0.0427,0.0424,0.0424,460800.0
1962-03-29,0.0424,0.0429,0.0423,0.0425,1036800.0
1962-03-30,0.0425,0.0425,0.0418,0.0418,1382400.0
1962-04-02,0.0418,0.0426,0.0416,0.0424,1152000.0
1962-04-03,0.0424,0.0426,0.0407,0.0411,1228800.0
1962-04-04,0.0414,0.0422,0.0414,0.0416,1459200.0
1962-04-05,0.0416,0.042,0.0414,0.0416,1036800.0
1962-04-06,0.0418,0.0425,0.0418,0.0423,729600.0
1962-04-09,0.0424,0.0427,0.0424,0.0424,537600.0
1962-04-10,0.0424,0.0427,0.0424,0.0424,614400.0
1962-04-11,0.0424,0.0426,0.0412,0.0414,883200.0
1962-04-12,0.0412,0.0412,0.0405,0.0406,1075200.0
1962-04-13,0.0406,0.0418,0.04,0.0418,1804800.0
1962-04-16,0.0418,0.0425,0.0417,0.0419,2227200.0
1962-04-17,0.0419,0.0424,0.0416,0.0422,1152000.0
1962-04-18,0.0422,0.0424,0.0421,0.0424,691200.0
1962-04-19,0.0424,0.0424,0.0422,0.0424,806400.0
1962-04-23,0.0424,0.0429,0.0423,0.0425,691200.0
1962-04-24,0.0425,0.0427,0.0422,0.0427,883200.0
1962-04-25,0.0426,0.0426,0.0422,0.0422,422400.0
1962-04-26,0.0422,0.0424,0.0416,0.0419,806400.0
1962-04-27,0.0419,0.0424,0.0417,0.0424,883200.0
1962-04-30,0.0419,0.0419,0.0405,0.0407,1382400.0
1962-05-01,0.0407,0.0414,0.0405,0.0413,1574400.0
1962-05-02,0.0415,0.0418,0.0415,0.0418,1305600.0
1962-05-03,0.0418,0.0423,0.0416,0.0423,844800.0
1962-05-04,0.0423,0.0424,0.0419,0.0419,537600.0
1962-05-07,0.0419,0.0423,0.0415,0.0415,691200.0
1962-05-08,0.0415,0.0421,0.041,0.041,1190400.0
1962-05-09,0.041,0.041,0.0402,0.0402,1267200.0
1962-05-10,0.0402,0.0403,0.0396,0.0399,1920000.0
1962-05-11,0.0399,0.0402,0.0382,0.0385,2380800.0
1962-05-14,0.0385,0.0388,0.0369,0.0379,3187200.0
1962-05-15,0.0381,0.0402,0.0381,0.0397,2534400.0
1962-05-16,0.0397,0.0401,0.0396,0.0399,1612800.0
1962-05-17,0.0399,0.0401,0.0394,0.0394,2496000.0
1962-05-18,0.0394,0.0395,0.0389,0.0395,806400.0
1962-05-21,0.0395,0.0396,0.0393,0.0395,960000.0
1962-05-22,0.0395,0.0395,0.0382,0.0383,1420800.0
1962-05-23,0.0383,0.0383,0.0377,0.0379,2342400.0
1962-05-24,0.0377,0.0377,0.0371,0.0371,2688000.0
1962-05-25,0.0371,0.0374,0.0363,0.0367,2841600.0
1962-05-28,0.0366,0.0366,0.0334,0.0347,4377600.0
1962-05-29,0.0347,0.0356,0.0308,0.0356,7411200.0
1962-05-31,0.0362,0.0372,0.0362,0.037,4761600.0
1962-06-01,0.037,0.0373,0.0361,0.0366,2688000.0
1962-06-04,0.0363,0.0363,0.0337,0.0337,3456000.0
1962-06-05,0.0338,0.0363,0.0338,0.035,2688000.0
1962-06-06,0.0351,0.0358,0.0351,0.0355,1344000.0
1962-06-07,0.0355,0.0357,0.0353,0.0356,691200.0
1962-06-08,0.0356,0.0363,0.0356,0.0363,1420800.0
1962-06-11,0.0366,0.0368,0.0363,0.0364,2304000.0
1962-06-12,0.0364,0.0364,0.0347,0.0349,2227200.0
1962-06-13,0.0349,0.0353,0.0343,0.0344,2726400.0
1962-06-14,0.0344,0.0346,0.0339,0.0339,2419200.0
1962-06-15,0.0339,0.0354,0.0338,0.0354,3878400.0
1962-06-18,0.0354,0.0354,0.0348,0.0352,2188800.0
1962-06-19,0.035,0.035,0.0347,0.0347,691200.0
1962-06-20,0.0347,0.035,0.0342,0.0342,2457600.0
1962-06-21,0.0342,0.0343,0.0337,0.0338,1651200.0
1962-06-22,0.0338,0.0338,0.0333,0.0333,1536000.0
1962-06-25,0.0333,0.0333,0.032,0.0329,5721600.0
1962-06-26,0.0329,0.0334,0.0326,0.0328,2227200.0
1962-06-27,0.0328,0.0329,0.0326,0.0327,2496000.0
1962-06-28,0.0332,0.0343,0.0332,0.0343,2918400.0
1962-06-29,0.0343,0.0345,0.0338,0.0339,2150400.0
1962-07-02,0.0339,0.035,0.0338,0.0348,1459200.0
1962-07-03,0.0348,0.035,0.0345,0.035,1612800.0
1962-07-05,0.035,0.0353,0.0346,0.0352,1228800.0
1962-07-06,0.0352,0.0352,0.0346,0.0347,844800.0
1962-07-09,0.0349,0.0354,0.0349,0.0354,1689600.0
1962-07-10,0.0355,0.0359,0.0355,0.0355,2304000.0
1962-07-11,0.0355,0.0357,0.0349,0.0357,1843200.0
1962-07-12,0.0357,0.0364,0.0353,0.036,1728000.0
1962-07-13,0.0359,0.0359,0.0355,0.0359,921600.0
1962-07-16,0.0359,0.0362,0.0358,0.0359,806400.0
1962-07-17,0.0359,0.0362,0.0357,0.0357,345600.0
1962-07-18,0.0355,0.0355,0.0352,0.0354,1612800.0
1962-07-19,0.0354,0.0358,0.0353,0.0358,921600.0
1962-07-20,0.0358,0.0362,0.0358,0.036,1036800.0
1962-07-23,0.036,0.0363,0.036,0.0362,729600.0
1962-07-24,0.0362,0.0363,0.0357,0.0357,691200.0
1962-07-25,0.0357,0.0364,0.0357,0.0364,652800.0
1962-07-26,0.0366,0.0368,0.0366,0.0366,499200.0
1962-07-27,0.0366,0.0369,0.0365,0.0369,460800.0
1962-07-30,0.0369,0.0373,0.0366,0.0373,998400.0
1962-07-31,0.0375,0.038,0.0375,0.038,1881600.0
1962-08-01,0.038,0.038,0.037,0.0374,1305600.0
1962-08-02,0.0374,0.0382,0.037,0.0382,1612800.0
1962-08-03,0.0382,0.0384,0.0365,0.0384,537600.0
1962-08-06,0.0384,0.0384,0.0375,0.0377,921600.0
1962-08-07,0.0377,0.0377,0.0373,0.0373,576000.0
1962-08-08,0.0372,0.0372,0.0369,0.0372,652800.0
1962-08-09,0.0372,0.0372,0.0367,0.0367,652800.0
1962-08-10,0.0367,0.037,0.0367,0.0369,960000.0
1962-08-13,0.0369,0.0369,0.0367,0.0367,422400.0
1962-08-14,0.0368,0.0376,0.0368,0.0376,998400.0
1962-08-15,0.0379,0.0384,0.0379,0.0382,1305600.0
1962-08-16,0.0382,0.0383,0.0375,0.0379,1689600.0
1962-08-17,0.0379,0.038,0.0376,0.0379,998400.0
1962-08-20,0.0379,0.0384,0.0379,0.0384,1075200.0
1962-08-21,0.0384,0.0384,0.0383,0.0384,1574400.0
1962-08-22,0.0384,0.0384,0.0379,0.0383,1459200.0
1962-08-23,0.0384,0.0384,0.0384,0.0384,307200.0
1962-08-24,0.0384,0.0387,0.0384,0.0384,537600.0
1962-08-27,0.0384,0.0386,0.0379,0.0382,499200.0
1962-08-28,0.038,0.038,0.0376,0.0376,691200.0
1962-08-29,0.0376,0.0377,0.0369,0.0373,883200.0
1962-08-30,0.0376,0.0379,0.0376,0.0377,422400.0
1962-08-31,0.0377,0.0378,0.0377,0.0378,115200.0
1962-09-04,0.0378,0.0382,0.0375,0.0375,652800.0
1962-09-05,0.0375,0.0375,0.037,0.0375,806400.0
1962-09-06,0.0373,0.0373,0.0369,0.0372,960000.0
1962-09-07,0.0372,0.0376,0.037,0.0374,883200.0
1962-09-10,0.0375,0.0377,0.0375,0.0377,307200.0
1962-09-11,0.0379,0.0379,0.0375,0.0378,537600.0
1962-09-12,0.0378,0.0382,0.0376,0.0379,1075200.0
1962-09-13,0.0376,0.0376,0.0372,0.0375,499200.0
1962-09-14,0.0375,0.0375,0.0371,0.0375,460800.0
1962-09-17,0.0375,0.0378,0.0373,0.0375,460800.0
1962-09-18,0.0375,0.0379,0.037,0.037,921600.0
1962-09-19,0.037,0.0372,0.0365,0.0369,768000.0
1962-09-20,0.0369,0.0372,0.0364,0.0364,883200.0
1962-09-21,0.0364,0.0364,0.0356,0.0356,921600.0
1962-09-24,0.0356,0.0356,0.0353,0.0356,1267200.0
1962-09-25,0.0356,0.0357,0.0353,0.0353,1113600.0
1962-09-26,0.0353,0.0355,0.0348,0.0348,1113600.0
1962-09-27,0.0348,0.0351,0.0348,0.0348,499200.0
1962-09-28,0.0348,0.0352,0.0347,0.0351,691200.0
1962-10-01,0.0351,0.0362,0.0346,0.0347,1612800.0
1962-10-02,0.0347,0.0354,0.0346,0.035,614400.0
1962-10-03,0.0352,0.0362,0.0352,0.0358,844800.0
1962-10-04,0.0358,0.0359,0.0357,0.0359,537600.0
1962-10-05,0.0359,0.0363,0.0354,0.0363,921600.0
1962-10-08,0.0363,0.0363,0.0357,0.0362,384000.0
1962-10-09,0.0362,0.0366,0.0361,0.0366,844800.0
1962-10-10,0.0366,0.0372,0.0364,0.0364,806400.0
1962-10-11,0.0364,0.0365,0.0361,0.0364,652800.0
1962-10-12,0.0362,0.0362,0.0362,0.0362,460800.0
1962-10-15,0.0362,0.0365,0.0362,0.0362,1420800.0
