date,open,high,low,close,volume
1992-06-17,4.82,4.9618,4.3947,4.501,902000.0
1992-06-18,4.501,4.501,4.253,4.4302,421400.0
1992-06-19,4.4302,4.501,4.3947,4.4656,453400.0
1992-06-22,4.4656,4.4656,4.2884,4.3238,597200.0
1992-06-23,4.3238,4.3947,4.3238,4.3593,853800.0
1992-06-24,4.3593,4.3947,4.253,4.2884,357600.0
1992-06-25,4.3593,4.4302,4.3593,4.3593,785000.0
1992-06-26,4.3593,4.3947,4.3238,4.3947,435000.0
1992-06-29,4.3593,4.4302,4.3238,4.4302,386600.0
1992-06-30,4.4302,4.5719,4.4302,4.5719,884400.0
1992-07-01,4.4656,4.501,4.4302,4.4656,552600.0
1992-07-02,4.501,4.5719,4.3593,4.5719,1788200.0
1992-07-06,4.501,4.501,4.3593,4.3947,580400.0
1992-07-07,4.4302,4.4302,4.0758,4.1466,1147000.0
1992-07-08,4.1821,4.1821,3.8631,3.934,1192800.0
1992-07-09,3.934,4.1466,3.934,4.1466,2136600.0
1992-07-10,4.0758,4.1112,4.0049,4.0403,866200.0
1992-07-13,4.0403,4.1112,4.0403,4.0758,846600.0
1992-07-14,4.0403,4.1112,4.0403,4.1112,990000.0
1992-07-15,4.1112,4.1821,4.1112,4.1466,1080400.0
1992-07-16,4.1112,4.1466,4.0403,4.0758,2689000.0
1992-07-17,4.0049,4.1466,4.0049,4.1466,840400.0
1992-07-20,3.934,4.0758,3.8985,4.0403,1228200.0
1992-07-21,3.9694,4.1112,3.9694,4.0403,1279600.0
1992-07-22,3.934,4.2884,3.934,4.1821,2743000.0
1992-07-23,4.1466,4.253,4.1466,4.1466,2203800.0
1992-07-24,4.1112,4.253,4.1112,4.2175,1404000.0
1992-07-27,4.2175,4.2884,4.1466,4.253,1308000.0
1992-07-28,4.2175,4.2884,4.1821,4.253,1134400.0
1992-07-29,4.253,4.2884,4.1112,4.1821,1697600.0
1992-07-30,4.2175,4.253,4.1112,4.253,912800.0
1992-07-31,4.2175,4.2884,4.2175,4.2884,1303000.0
1992-08-03,4.253,4.3593,4.2175,4.3593,1616800.0
1992-08-04,4.3593,4.4302,4.3593,4.3947,1457000.0
1992-08-05,4.3947,4.4302,4.3947,4.3947,492000.0
1992-08-06,4.3593,4.3947,4.253,4.3238,1277800.0
1992-08-07,4.2175,4.2884,4.2175,4.253,306200.0
1992-08-10,4.1466,4.253,4.1112,4.2175,593000.0
1992-08-11,4.2175,4.2175,4.1112,4.1112,1804800.0
1992-08-12,4.2175,4.253,4.0403,4.1112,1591600.0
1992-08-13,4.1466,4.2884,4.1466,4.253,1100600.0
1992-08-14,4.253,4.501,4.253,4.4656,1476600.0
1992-08-17,4.3947,4.5365,4.3947,4.501,1461000.0
1992-08-18,4.5365,4.6428,4.501,4.5365,1660200.0
1992-08-19,4.5365,4.6074,4.4656,4.501,928000.0
1992-08-20,4.5365,4.5719,4.5365,4.5719,370400.0
1992-08-21,4.5365,4.7137,4.5365,4.6783,3771600.0
1992-08-24,4.501,4.6428,4.501,4.5719,2085000.0
1992-08-25,4.6074,4.6428,4.501,4.6074,1168800.0
1992-08-26,4.5719,4.6428,4.5365,4.6428,1347000.0
1992-08-27,4.6428,4.6783,4.6074,4.6074,764400.0
1992-08-28,4.5719,4.6074,4.5365,4.5719,516800.0
1992-08-31,4.6074,4.6074,4.5719,4.5719,304000.0
1992-09-01,4.554,4.6252,4.5184,4.554,1067400.0
