date,open,high,low,close,volume
1972-06-01,0.8859,0.8962,0.8859,0.891,456000.0
1972-06-02,0.8927,0.9013,0.8927,0.9013,640000.0
1972-06-05,0.8996,0.8996,0.8859,0.8893,464000.0
1972-06-06,0.8893,0.8893,0.8807,0.8807,796800.0
1972-06-07,0.8807,0.8927,0.879,0.891,584000.0
1972-06-08,0.891,0.8945,0.879,0.8807,726400.0
1972-06-09,0.8824,0.8927,0.8824,0.891,296000.0
1972-06-12,0.891,0.8979,0.8841,0.8893,473600.0
1972-06-13,0.891,0.9013,0.891,0.8979,478400.0
1972-06-14,0.9013,0.9203,0.9013,0.9168,795200.0
1972-06-15,0.922,0.9323,0.922,0.922,836800.0
1972-06-16,0.922,0.9237,0.9082,0.9117,267200.0
1972-06-19,0.9117,0.9168,0.8945,0.9048,1001600.0
1972-06-20,0.9082,0.9168,0.9082,0.9168,345600.0
1972-06-21,0.9168,0.9203,0.9065,0.9082,556800.0
1972-06-22,0.9082,0.9168,0.9048,0.9151,321600.0
1972-06-23,0.9151,0.9203,0.9151,0.9185,212800.0
1972-06-26,0.9185,0.9289,0.9099,0.9289,278400.0
1972-06-27,0.9289,0.934,0.9185,0.9237,268800.0
1972-06-28,0.9203,0.9203,0.9048,0.9082,433600.0
1972-06-29,0.9082,0.9134,0.9031,0.9031,313600.0
1972-06-30,0.9048,0.9185,0.9048,0.9151,404800.0
1972-07-03,0.9151,0.9271,0.9134,0.9254,240000.0
1972-07-05,0.9323,0.9426,0.9323,0.9357,734400.0
1972-07-06,0.9478,0.9581,0.9478,0.953,809600.0
1972-07-07,0.9547,0.9753,0.9547,0.9753,595200.0
1972-07-10,0.9753,0.977,0.9633,0.965,316800.0
1972-07-11,0.965,0.9753,0.965,0.9684,232000.0
1972-07-12,0.9702,0.9856,0.9702,0.977,1132800.0
1972-07-13,0.977,0.9874,0.9667,0.977,790400.0
1972-07-14,0.9788,0.9977,0.9788,0.9942,950400.0
1972-07-17,0.9942,0.9942,0.977,0.977,187200.0
1972-07-18,0.9719,0.9719,0.9667,0.9702,385600.0
1972-07-19,0.9702,0.9942,0.9702,0.9805,636800.0
1972-07-20,0.9805,0.9908,0.9805,0.9908,326400.0
1972-07-21,0.9942,1.0063,0.9942,1.0063,340800.0
1972-07-24,1.0063,1.0355,1.0046,1.0235,811200.0
1972-07-25,1.0235,1.0338,1.0149,1.0149,312000.0
1972-07-26,1.0321,1.0441,1.0321,1.0407,816000.0
1972-07-27,1.0407,1.0476,1.0321,1.0407,422400.0
1972-07-28,1.0407,1.0424,1.039,1.039,208000.0
1972-07-31,1.0355,1.0355,1.0252,1.0269,174400.0
1972-08-01,1.0269,1.039,1.0252,1.039,368000.0
1972-08-02,1.039,1.0424,1.0321,1.0355,384000.0
1972-08-03,1.0355,1.039,1.0252,1.039,355200.0
1972-08-04,1.039,1.039,1.0321,1.0321,193600.0
1972-08-07,1.0346,1.0415,1.0346,1.0346,204800.0
1972-08-08,1.0346,1.0415,1.0311,1.038,243200.0
1972-08-09,1.038,1.038,1.0329,1.0346,126400.0
1972-08-10,1.0363,1.0415,1.0363,1.0398,184000.0
1972-08-11,1.0398,1.0415,1.0363,1.0415,180800.0
1972-08-14,1.0449,1.0656,1.0449,1.0605,308800.0
1972-08-15,1.0605,1.0605,1.0329,1.0449,420800.0
1972-08-16,1.0415,1.0415,1.0242,1.0294,268800.0
1972-08-17,1.0294,1.0329,1.0208,1.026,348800.0
1972-08-18,1.0294,1.0484,1.0294,1.0432,185600.0
1972-08-21,1.0518,1.0742,1.0518,1.0656,316800.0
1972-08-22,1.0656,1.076,1.0622,1.0708,580800.0
1972-08-23,1.0691,1.0691,1.0605,1.0622,353600.0
1972-08-24,1.0622,1.0691,1.0501,1.0501,179200.0
1972-08-25,1.0449,1.0449,1.0294,1.0294,371200.0
1972-08-28,1.0294,1.0415,1.026,1.026,177600.0
1972-08-29,1.026,1.0346,1.0225,1.0346,238400.0
1972-08-30,1.0346,1.0346,1.0294,1.0311,177600.0
1972-08-31,1.0311,1.0311,1.0277,1.0311,137600.0
1972-09-01,1.0329,1.0346,1.0329,1.0346,163200.0
1972-09-05,1.0346,1.0346,1.0277,1.0277,124800.0
1972-09-06,1.0277,1.0294,1.0225,1.0225,228800.0
1972-09-07,1.0225,1.0277,1.0225,1.0242,356800.0
1972-09-08,1.0242,1.0277,1.0104,1.0139,160000.0
1972-09-11,1.0139,1.0191,0.9984,0.9984,104000.0
1972-09-12,0.9984,0.9984,0.9691,0.9829,291200.0
1972-09-13,0.9829,0.9915,0.976,0.976,499200.0
1972-09-14,0.9794,1.0035,0.9794,1.0001,331200.0
1972-09-15,1.0001,1.0035,0.9898,0.9949,102400.0
1972-09-18,0.9949,0.9984,0.9915,0.9915,273600.0
1972-09-19,0.9967,1.0139,0.9967,1.0053,288000.0
1972-09-20,1.0053,1.0139,1.0035,1.0053,260800.0
1972-09-21,1.0053,1.0122,0.9949,0.9949,132800.0
1972-09-22,0.9949,1.0001,0.9932,0.9932,51200.0
1972-09-25,0.9932,0.9967,0.988,0.9898,198400.0
1972-09-26,0.9898,1.0001,0.9863,0.9863,369600.0
1972-09-27,0.988,0.9932,0.988,0.988,129600.0
1972-09-28,0.988,0.9984,0.9863,0.9915,299200.0
1972-09-29,0.9967,1.0053,0.9967,0.9967,516800.0
1972-10-02,0.9967,1.0001,0.9829,0.9829,120000.0
1972-10-03,0.9829,0.9863,0.9794,0.9863,172800.0
1972-10-04,0.9863,0.9898,0.9794,0.9794,428800.0
1972-10-05,0.9794,0.9811,0.9622,0.9622,356800.0
1972-10-06,0.9622,0.9794,0.9553,0.9639,560000.0
1972-10-09,0.9691,0.9742,0.9691,0.9742,35200.0
1972-10-10,0.9742,0.9777,0.9691,0.976,140800.0
1972-10-11,0.976,0.976,0.9673,0.9691,172800.0
1972-10-12,0.9691,0.976,0.9587,0.9708,408000.0
1972-10-13,0.9708,0.9708,0.9587,0.9656,337600.0
1972-10-16,0.9656,0.9656,0.9587,0.9587,185600.0
1972-10-17,0.9587,0.9691,0.957,0.9691,174400.0
1972-10-18,0.9794,0.9932,0.9794,0.9932,492800.0
1972-10-19,0.9932,1.0139,0.9932,1.0139,193600.0
1972-10-20,1.0139,1.026,1.007,1.026,195200.0
1972-10-23,1.026,1.0415,1.026,1.026,252800.0
1972-10-24,1.0277,1.0673,1.0277,1.0587,414400.0
1972-10-25,1.0587,1.0673,1.0536,1.0622,540800.0
1972-10-26,1.0673,1.0932,1.0673,1.0863,608000.0
1972-10-27,1.0811,1.0811,1.0656,1.0673,204800.0
1972-10-30,1.0673,1.0708,1.0639,1.0708,123200.0
1972-10-31,1.0725,1.0967,1.0725,1.0898,449600.0
1972-11-01,1.0898,1.1036,1.0863,1.0932,897600.0
1972-11-02,1.0932,1.0967,1.0829,1.0932,232000.0
