date,open,high,low,close,volume
1962-01-02,0.8286,0.8423,0.8286,0.8309,40424.0
1962-01-03,0.8309,0.8423,0.8309,0.8354,87368.0
1962-01-04,0.8354,0.8423,0.8196,0.8196,92584.0
1962-01-05,0.8196,0.8309,0.8059,0.8127,149960.0
1962-01-08,0.8127,0.8127,0.7968,0.8014,241240.0
1962-01-09,0.8059,0.8196,0.8059,0.8082,122576.0
1962-01-10,0.8082,0.815,0.8059,0.8059,74328.0
1962-01-11,0.8059,0.8445,0.8037,0.8354,221680.0
1962-01-12,0.84,0.865,0.84,0.8604,215160.0
1962-01-15,0.8536,0.8536,0.8423,0.8536,95192.0
1962-01-16,0.8536,0.8581,0.8445,0.8491,143440.0
1962-01-17,0.8491,0.8604,0.8377,0.8423,119968.0
1962-01-18,0.8468,0.8604,0.8468,0.8581,149960.0
1962-01-19,0.8581,0.874,0.8513,0.874,271232.0
1962-01-22,0.8831,0.8945,0.8831,0.8899,598536.0
1962-01-23,0.8899,0.9035,0.8877,0.8967,392504.0
1962-01-24,0.8967,0.899,0.8808,0.899,350776.0
1962-01-25,0.9013,0.9149,0.9013,0.9149,564632.0
1962-01-26,0.9149,0.9467,0.9081,0.9353,899760.0
1962-01-29,0.9331,0.9331,0.9035,0.9172,268624.0
1962-01-30,0.9172,0.949,0.9172,0.9444,552896.0
1962-01-31,0.9444,0.9558,0.9013,0.9353,576368.0
1962-02-01,0.9263,0.9263,0.899,0.9217,332520.0
1962-02-02,0.9217,0.924,0.8899,0.9217,245152.0
1962-02-05,0.9217,0.9308,0.9104,0.9263,161696.0
1962-02-06,0.9263,0.9263,0.9058,0.9263,173432.0
1962-02-07,0.9263,0.9376,0.924,0.9353,134312.0
1962-02-08,0.9376,0.949,0.9376,0.949,271232.0
1962-02-09,0.949,0.9512,0.9353,0.9444,195600.0
1962-02-12,0.9444,0.9512,0.9263,0.9376,134312.0
1962-02-13,0.9431,0.9454,0.9317,0.9339,118664.0
1962-02-14,0.9339,0.9408,0.9339,0.9385,80848.0
1962-02-15,0.9408,0.9522,0.9408,0.9454,160392.0
1962-02-16,0.9476,0.9659,0.9476,0.9568,237328.0
1962-02-19,0.9568,0.9636,0.9545,0.9545,99104.0
1962-02-20,0.9545,0.9659,0.9522,0.9591,125184.0
1962-02-21,0.9591,0.9614,0.9408,0.9408,136920.0
1962-02-23,0.9408,0.9431,0.9088,0.9248,133008.0
1962-02-26,0.9225,0.9225,0.9043,0.9088,96496.0
1962-02-27,0.9088,0.918,0.9043,0.9043,130400.0
1962-02-28,0.9043,0.918,0.8997,0.9134,87368.0
1962-03-01,0.918,0.9294,0.918,0.9294,104320.0
1962-03-02,0.9271,0.9271,0.9134,0.918,78240.0
1962-03-05,0.918,0.9248,0.9134,0.9225,76936.0
1962-03-06,0.9225,0.9248,0.9065,0.9065,63896.0
1962-03-07,0.9065,0.9134,0.902,0.9043,67808.0
1962-03-08,0.9043,0.9111,0.8974,0.9043,87368.0
1962-03-09,0.9043,0.9065,0.8997,0.8997,46944.0
1962-03-12,0.8997,0.9065,0.8951,0.8951,86064.0
1962-03-13,0.8951,0.9065,0.8951,0.8997,101712.0
1962-03-14,0.8997,0.9065,0.8974,0.902,147352.0
1962-03-15,0.902,0.9065,0.8974,0.8974,143440.0
1962-03-16,0.8974,0.902,0.8883,0.8883,88672.0
1962-03-19,0.8883,0.8928,0.8769,0.8791,192992.0
1962-03-20,0.8769,0.8769,0.8609,0.8654,123880.0
1962-03-21,0.8609,0.8609,0.8517,0.854,121272.0
1962-03-22,0.854,0.8769,0.8517,0.8723,114752.0
1962-03-23,0.8723,0.8814,0.8723,0.8814,108232.0
1962-03-26,0.886,0.8951,0.886,0.886,106928.0
1962-03-27,0.886,0.8906,0.8814,0.8837,65200.0
1962-03-28,0.8837,0.8997,0.8791,0.886,110840.0
1962-03-29,0.8928,0.9088,0.8928,0.9065,156480.0
1962-03-30,0.9065,0.9088,0.8974,0.8974,99104.0
1962-04-02,0.8974,0.9065,0.8906,0.8928,88672.0
1962-04-03,0.8928,0.8997,0.8609,0.8769,108232.0
1962-04-04,0.8723,0.8723,0.854,0.854,78240.0
1962-04-05,0.854,0.854,0.8335,0.854,135616.0
1962-04-06,0.854,0.87,0.854,0.8632,48248.0
1962-04-09,0.8632,0.8723,0.8403,0.8403,69112.0
1962-04-10,0.8426,0.8586,0.8426,0.8517,66504.0
1962-04-11,0.8517,0.8563,0.8221,0.8243,11736.0
1962-04-12,0.8243,0.8266,0.7947,0.8129,203424.0
1962-04-13,0.8129,0.8175,0.7947,0.8152,143440.0
1962-04-16,0.8152,0.8266,0.8106,0.8129,89976.0
1962-04-17,0.8152,0.8289,0.8152,0.8266,67808.0
1962-04-18,0.8266,0.838,0.8266,0.838,83456.0
1962-04-19,0.838,0.8426,0.8335,0.8358,44336.0
1962-04-23,0.8358,0.8403,0.8243,0.8335,45640.0
1962-04-24,0.8335,0.8449,0.8266,0.8358,59984.0
1962-04-25,0.8358,0.838,0.8243,0.8243,41728.0
1962-04-26,0.8243,0.8289,0.7855,0.7878,190384.0
1962-04-27,0.7878,0.8038,0.781,0.781,118664.0
1962-04-30,0.781,0.7901,0.7421,0.7581,242544.0
1962-05-01,0.7627,0.8129,0.7627,0.8129,249064.0
1962-05-02,0.8129,0.8289,0.8129,0.8175,187776.0
1962-05-03,0.8221,0.8449,0.8221,0.8403,119968.0
1962-05-04,0.8403,0.8449,0.8152,0.8221,151264.0
1962-05-07,0.8221,0.8221,0.8129,0.8129,80848.0
1962-05-08,0.8129,0.8175,0.8038,0.8129,164304.0
1962-05-09,0.8129,0.8198,0.7992,0.7992,113448.0
1962-05-10,0.7992,0.8129,0.7764,0.781,203424.0
1962-05-11,0.781,0.7901,0.7673,0.7673,156480.0
1962-05-14,0.7673,0.8038,0.7536,0.8015,474656.0
1962-05-15,0.807,0.83,0.807,0.8139,404240.0
1962-05-16,0.8139,0.8254,0.8116,0.8208,101712.0
1962-05-17,0.8208,0.8507,0.807,0.8415,545072.0
1962-05-18,0.8415,0.8438,0.8208,0.8438,174736.0
1962-05-21,0.8415,0.8415,0.8277,0.83,106928.0
1962-05-22,0.83,0.8323,0.8093,0.8139,264712.0
1962-05-23,0.8139,0.8185,0.7863,0.7909,263408.0
1962-05-24,0.7909,0.807,0.7909,0.8001,160392.0
1962-05-25,0.8001,0.8139,0.7679,0.7978,299920.0
1962-05-28,0.7978,0.8001,0.738,0.738,435536.0
1962-05-29,0.738,0.7541,0.6369,0.7472,1142304.0
1962-05-31,0.7656,0.7909,0.7656,0.7817,652000.0
1962-06-01,0.7817,0.7817,0.7541,0.7702,482480.0
1962-06-04,0.7702,0.7702,0.7266,0.7289,242544.0
1962-06-05,0.7289,0.7656,0.722,0.7495,312960.0
1962-06-06,0.7564,0.7702,0.7564,0.7633,110840.0
1962-06-07,0.7656,0.7817,0.7656,0.7771,129096.0
1962-06-08,0.7771,0.7817,0.7702,0.7748,106928.0
1962-06-11,0.7748,0.7909,0.7725,0.7748,182560.0
1962-06-12,0.7702,0.7702,0.7449,0.7449,166912.0
1962-06-13,0.7449,0.761,0.738,0.7472,279056.0
1962-06-14,0.7472,0.761,0.7289,0.7357,284272.0
1962-06-15,0.7357,0.7794,0.7311,0.7748,370336.0
1962-06-18,0.7748,0.7932,0.7702,0.7932,221680.0
1962-06-19,0.7932,0.7978,0.7909,0.7978,203424.0
1962-06-20,0.8024,0.8208,0.8024,0.8024,260800.0
1962-06-21,0.8001,0.8001,0.7679,0.7748,246456.0
1962-06-22,0.7679,0.7679,0.738,0.738,222984.0
1962-06-25,0.738,0.7909,0.722,0.7909,414672.0
1962-06-26,0.7909,0.8024,0.7633,0.7679,323392.0
1962-06-27,0.7679,0.7771,0.761,0.7771,99104.0
1962-06-28,0.7794,0.8116,0.7794,0.8024,315568.0
1962-06-29,0.8024,0.8162,0.8024,0.807,185168.0
1962-07-02,0.807,0.8185,0.8047,0.8139,156480.0
1962-07-03,0.8139,0.8231,0.8139,0.8231,166912.0
1962-07-05,0.8231,0.83,0.8185,0.8254,170824.0
1962-07-06,0.8185,0.8185,0.8047,0.8116,97800.0
1962-07-09,0.8116,0.8277,0.8093,0.8277,119968.0
1962-07-10,0.83,0.8507,0.83,0.8369,275144.0
1962-07-11,0.8369,0.8461,0.8231,0.8415,142136.0
1962-07-12,0.8415,0.8507,0.8369,0.8369,215160.0
1962-07-13,0.8369,0.8415,0.8277,0.8415,113448.0
1962-07-16,0.8415,0.8438,0.8323,0.8392,50856.0
1962-07-17,0.8392,0.8415,0.8323,0.8323,127792.0
1962-07-18,0.8254,0.8254,0.8162,0.8208,148656.0
1962-07-19,0.8208,0.8277,0.8185,0.8277,125184.0
1962-07-20,0.8277,0.8346,0.8231,0.83,135616.0
1962-07-23,0.8392,0.8553,0.8392,0.8484,131704.0
1962-07-24,0.8484,0.8507,0.8415,0.8415,69112.0
1962-07-25,0.8415,0.853,0.8415,0.853,80848.0
1962-07-26,0.8576,0.8668,0.8576,0.8668,217768.0
1962-07-27,0.8668,0.8875,0.8668,0.8875,332520.0
1962-07-30,0.8875,0.8967,0.8875,0.8898,173432.0
1962-07-31,0.8898,0.899,0.8829,0.8967,245152.0
1962-08-01,0.8944,0.8944,0.8737,0.8737,101712.0
1962-08-02,0.876,0.899,0.876,0.8967,159088.0
1962-08-03,0.8967,0.9082,0.8921,0.9013,258192.0
1962-08-06,0.9013,0.9036,0.8852,0.8967,125184.0
1962-08-07,0.8898,0.8898,0.8806,0.8806,104320.0
1962-08-08,0.8806,0.8967,0.8783,0.8944,99104.0
1962-08-09,0.8944,0.8967,0.8898,0.8944,52160.0
1962-08-10,0.8944,0.9105,0.8944,0.9036,117360.0
1962-08-13,0.9059,0.9197,0.9059,0.9174,254280.0
1962-08-14,0.9229,0.9276,0.9067,0.9276,245152.0
1962-08-15,0.9276,0.9345,0.9206,0.9206,251672.0
1962-08-16,0.9206,0.9345,0.916,0.9183,170824.0
1962-08-17,0.9183,0.9322,0.916,0.9253,146048.0
1962-08-20,0.9322,0.9553,0.9322,0.9507,306440.0
1962-08-21,0.9507,0.9553,0.9391,0.9391,173432.0
1962-08-22,0.9391,0.9576,0.9368,0.9576,148656.0
