date,open,high,low,close,volume
1980-03-17,0.2644,0.271,0.2644,0.2644,217600.0
1980-03-18,0.2644,0.2666,0.2577,0.2577,272000.0
1980-03-19,0.2577,0.2599,0.2555,0.2577,777600.0
1980-03-20,0.2577,0.2622,0.2577,0.2577,2105600.0
1980-03-21,0.2577,0.2599,0.2533,0.2533,348800.0
1980-03-24,0.2488,0.2488,0.2399,0.2399,252800.0
1980-03-25,0.2422,0.2444,0.2422,0.2444,252800.0
1980-03-26,0.2444,0.2466,0.2422,0.2444,396800.0
1980-03-27,0.2444,0.2444,0.2422,0.2422,112000.0
1980-03-28,0.2422,0.2444,0.2377,0.2377,1651200.0
1980-03-31,0.2377,0.2466,0.2377,0.2444,134400.0
1980-04-01,0.2488,0.2533,0.2488,0.2533,134400.0
1980-04-02,0.2577,0.2644,0.2577,0.2622,102400.0
1980-04-03,0.2644,0.2666,0.2644,0.2666,608000.0
1980-04-07,0.2666,0.271,0.2666,0.271,89600.0
1980-04-08,0.2666,0.2666,0.2644,0.2666,156800.0
1980-04-09,0.2666,0.2755,0.2666,0.2688,755200.0
1980-04-10,0.271,0.2799,0.271,0.2799,195200.0
1980-04-11,0.2799,0.2844,0.2799,0.2821,464000.0
1980-04-14,0.2821,0.2821,0.2799,0.2799,124800.0
1980-04-15,0.2799,0.2799,0.2777,0.2777,73600.0
1980-04-16,0.2777,0.2777,0.2733,0.2755,233600.0
1980-04-17,0.2666,0.2666,0.2666,0.2666,131200.0
1980-04-18,0.2666,0.2666,0.2622,0.2622,134400.0
1980-04-21,0.2577,0.2577,0.2488,0.2488,204800.0
1980-04-22,0.251,0.2555,0.251,0.251,67200.0
1980-04-23,0.251,0.2533,0.251,0.2533,80000.0
1980-04-24,0.2533,0.2533,0.251,0.2533,153600.0
1980-04-25,0.2555,0.2577,0.2555,0.2555,310400.0
1980-04-28,0.2622,0.2666,0.2622,0.2644,137600.0
1980-04-29,0.2644,0.2666,0.2644,0.2644,640000.0
1980-04-30,0.2644,0.2688,0.2644,0.2666,422400.0
1980-05-01,0.2688,0.2733,0.2688,0.271,163200.0
1980-05-02,0.2755,0.2933,0.2755,0.2933,531200.0
1980-05-05,0.2888,0.2888,0.2866,0.2888,169600.0
1980-05-06,0.2866,0.2866,0.2844,0.2844,182400.0
1980-05-07,0.2844,0.2933,0.2821,0.291,499200.0
1980-05-08,0.291,0.291,0.2866,0.2866,80000.0
1980-05-09,0.291,0.2955,0.291,0.2933,710400.0
1980-05-12,0.2933,0.2933,0.2866,0.2866,473600.0
1980-05-13,0.2866,0.291,0.2866,0.291,67200.0
1980-05-14,0.291,0.2955,0.291,0.2933,92800.0
1980-05-15,0.2933,0.2977,0.2933,0.2955,160000.0
1980-05-16,0.2955,0.2955,0.2933,0.2933,329600.0
1980-05-19,0.2933,0.2933,0.2888,0.291,67200.0
1980-05-20,0.291,0.291,0.291,0.291,35200.0
1980-05-21,0.291,0.2999,0.291,0.2999,115200.0
1980-05-22,0.2977,0.2977,0.2933,0.2933,131200.0
1980-05-23,0.2933,0.2999,0.291,0.2977,480000.0
1980-05-27,0.2999,0.311,0.2999,0.311,1168000.0
1980-05-28,0.311,0.311,0.3044,0.3044,1209600.0
1980-05-29,0.3044,0.3044,0.2999,0.3021,592000.0
1980-05-30,0.2999,0.2999,0.2977,0.2999,89600.0
1980-06-02,0.2999,0.2999,0.2955,0.2977,400000.0
1980-06-03,0.2977,0.2999,0.2955,0.2955,569600.0
1980-06-04,0.2955,0.2977,0.2955,0.2955,313600.0
1980-06-05,0.2955,0.2999,0.2955,0.2999,2284800.0
1980-06-06,0.2999,0.3021,0.2999,0.3021,297600.0
1980-06-09,0.3021,0.3021,0.2977,0.2977,179200.0
1980-06-10,0.2999,0.3021,0.2999,0.3021,163200.0
1980-06-11,0.3021,0.3044,0.2999,0.3044,54400.0
1980-06-12,0.3021,0.3021,0.2955,0.2955,137600.0
1980-06-13,0.2955,0.2999,0.2955,0.2977,57600.0
1980-06-16,0.2977,0.2999,0.2977,0.2977,76800.0
1980-06-17,0.2977,0.2999,0.2955,0.2999,44800.0
1980-06-18,0.2999,0.311,0.2955,0.311,1094400.0
1980-06-19,0.311,0.311,0.3021,0.3021,192000.0
1980-06-20,0.3021,0.3021,0.2999,0.2999,60800.0
1980-06-23,0.2999,0.2999,0.2977,0.2999,512000.0
1980-06-24,0.3021,0.3066,0.3021,0.3066,409600.0
1980-06-25,0.311,0.3221,0.311,0.3221,297600.0
