date,open,high,low,close,volume
2006-05-25,3.6443,4.1643,3.6353,4.1598,395343000.0
2006-05-26,4.1869,4.2267,3.9888,4.063,103044000.0
2006-05-30,4.0666,4.0675,3.8749,3.9789,49898000.0
2006-05-31,4.0105,4.1019,4.0105,4.0639,30002000.0
2006-06-01,4.063,4.3497,4.0603,4.2963,62344000.0
2006-06-02,4.3858,4.4039,4.2312,4.2493,37253000.0
2006-06-05,4.2547,4.4536,4.2502,4.4446,37188000.0
2006-06-06,4.5197,4.5784,4.3225,4.3677,49045000.0
2006-06-07,4.3705,4.3768,4.2276,4.3044,25013000.0
2006-06-08,4.3044,4.3153,4.1145,4.3153,34439000.0
2006-06-09,4.413,4.413,4.3117,4.3207,13372000.0
2006-06-12,4.3406,4.3632,4.1869,4.2457,14546000.0
2006-06-13,4.1778,4.2818,4.0965,4.1145,16716000.0
2006-06-14,4.0603,4.11,4.0187,4.0802,15971000.0
2006-06-15,4.1055,4.1706,4.0811,4.1552,16500000.0
2006-06-16,4.1145,4.1598,4.0693,4.0711,12280000.0
2006-06-19,4.11,4.11,3.9879,4.0096,11509000.0
2006-06-20,4.0458,4.0693,3.931,3.9807,23792000.0
2006-06-21,3.9807,4.1489,3.9789,4.0965,18063000.0
2006-06-22,4.1959,4.2457,4.1489,4.214,13038000.0
2006-06-23,4.2493,4.3343,4.2384,4.2457,11612000.0
2006-06-26,4.2457,4.2954,4.1986,4.2954,8565000.0
2006-06-27,4.2954,4.3433,4.2728,4.2782,9826000.0
2006-06-28,4.2366,4.2864,4.205,4.2466,8756000.0
2006-06-29,4.2457,4.3488,4.2457,4.3406,14470000.0
2006-06-30,4.309,4.3406,4.214,4.3406,25964000.0
2006-07-03,4.3316,4.3406,4.233,4.2773,7029000.0
2006-07-05,4.2864,4.3261,4.224,4.3044,13266000.0
2006-07-06,4.2728,4.2818,4.2312,4.2321,8097000.0
2006-07-07,4.2276,4.2366,4.1371,4.1706,8380000.0
2006-07-10,4.1778,4.2113,4.1706,4.2041,4978000.0
2006-07-11,4.2041,4.2041,4.0964,4.1914,8079000.0
2006-07-12,4.1959,4.1959,4.1182,4.1191,7672000.0
2006-07-13,4.0856,4.0856,4.006,4.044,16625000.0
2006-07-14,4.035,4.0404,3.9699,3.9744,9663000.0
2006-07-17,3.9708,3.9943,3.9563,3.978,6458000.0
2006-07-18,3.978,3.9879,3.9491,3.9699,12483000.0
2006-07-19,3.9708,4.11,3.9608,4.0946,15840000.0
2006-07-20,4.1055,4.1399,4.0784,4.1191,8829000.0
2006-07-21,4.1191,4.1191,4.0485,4.0946,8510000.0
2006-07-24,4.11,4.1173,4.0684,4.0693,5017000.0
2006-07-25,4.0874,4.1959,4.0838,4.167,6900000.0
2006-07-26,4.1724,4.327,4.1417,4.2212,10338000.0
2006-07-27,4.2411,4.2656,4.2068,4.2068,6009000.0
2006-07-28,4.2059,4.2321,4.1833,4.1869,4339000.0
2006-07-31,4.1869,4.1968,4.1471,4.148,4616000.0
2006-08-01,4.1525,4.1525,4.0422,4.0693,7390000.0
2006-08-02,4.3397,4.526,4.2782,4.5233,53372000.0
2006-08-03,4.4428,4.5432,4.3994,4.5206,21689000.0
2006-08-04,4.5486,4.6571,4.5206,4.526,14216000.0
2006-08-07,4.5667,4.639,4.5441,4.6209,6918000.0
2006-08-08,4.6209,4.7629,4.6164,4.7539,14073000.0
2006-08-09,4.7928,4.9284,4.7023,4.7792,15043000.0
2006-08-10,4.7204,4.875,4.7114,4.8434,8725000.0
2006-08-11,4.838,4.9239,4.8154,4.8542,9078000.0
2006-08-14,4.8606,4.932,4.8398,4.904,6314000.0
2006-08-15,4.9465,4.9673,4.9067,4.9275,8553000.0
2006-08-16,4.942,5.0125,4.8977,4.9076,15344000.0
2006-08-17,4.9013,4.9049,4.8099,4.8344,10216000.0
2006-08-18,4.8018,4.8515,4.7439,4.8335,9343000.0
2006-08-21,4.8199,5.0234,4.7747,4.9067,12487000.0
2006-08-22,4.9013,5.0188,4.9013,4.9944,9761000.0
2006-08-23,5.017,5.0414,4.932,4.9374,10439000.0
2006-08-24,4.9646,5.0505,4.9573,5.0324,5420000.0
2006-08-25,5.0414,5.0505,4.9673,4.9736,8016000.0
2006-08-28,4.9601,5.0143,4.9528,4.9754,3748000.0
2006-08-29,4.9962,5.0324,4.9881,5.0053,3211000.0
2006-08-30,5.017,5.0442,4.989,4.9962,5801000.0
2006-08-31,4.9962,5.0794,4.9962,5.055,7023000.0
2006-09-01,5.0613,5.1997,5.0613,5.1138,20559000.0
2006-09-05,5.1454,5.1762,5.0867,5.1409,4618000.0
2006-09-06,5.1454,5.3245,5.1156,5.3245,15694000.0
2006-09-07,5.291,5.5044,5.2901,5.4366,26549000.0
2006-09-08,5.5162,5.5388,5.3616,5.4032,15176000.0
2006-09-11,5.4032,5.6057,5.3896,5.5949,17064000.0
2006-09-12,5.5153,5.6202,5.5153,5.6157,16992000.0
2006-09-13,5.6066,5.6337,5.5071,5.5478,12355000.0
2006-09-14,5.5026,5.7197,5.4891,5.6781,13010000.0
2006-09-15,5.6781,5.896,5.6781,5.8752,19314000.0
2006-09-18,5.9448,6.1085,5.8146,5.8888,23656000.0
2006-09-19,5.8779,5.9819,5.8146,5.8634,17263000.0
2006-09-20,5.887,6.0316,5.8327,6.0181,13476000.0
2006-09-21,6.1067,6.2939,6.0597,6.2441,29063000.0
2006-09-22,6.2396,6.2848,5.8851,5.962,29874000.0
2006-09-25,5.9005,5.9412,5.6247,5.8237,35677000.0
2006-09-26,5.7332,6.0886,5.6753,5.9683,39969000.0
2006-09-27,6.0588,6.1402,5.9186,6.1347,19633000.0
2006-09-28,6.1175,6.2315,6.1175,6.208,13395000.0
2006-09-29,6.1917,6.3707,6.1094,6.3617,20056000.0
2006-10-02,6.3617,6.3617,6.2993,6.3264,17393000.0
2006-10-03,6.1854,6.4114,6.1854,6.3011,16733000.0
2006-10-04,6.3301,6.3671,6.217,6.2957,13679000.0
2006-10-05,6.3183,6.6008,6.2486,6.5728,25756000.0
2006-10-06,6.5556,6.8679,6.5202,6.8046,35410000.0
2006-10-09,6.5103,6.6307,6.4243,6.5918,37084000.0
2006-10-10,6.4424,6.6325,6.3835,6.5112,26764000.0
2006-10-11,6.4243,6.4288,6.1825,6.293,35483000.0
2006-10-12,6.2568,6.4125,6.2224,6.3754,15117000.0
2006-10-13,6.4288,6.4922,6.322,6.3464,11321000.0
2006-10-16,6.3383,6.4931,6.3247,6.456,8802000.0
2006-10-17,6.4379,6.4469,6.2722,6.293,9865000.0
2006-10-18,6.3029,6.4451,6.2966,6.379,8562000.0
2006-10-19,6.379,6.6008,6.3156,6.5492,13414000.0
2006-10-20,6.5918,6.5963,6.4288,6.4487,5264000.0
2006-10-23,6.4605,6.4849,6.3201,6.3609,7389000.0
2006-10-24,6.3518,6.4741,6.331,6.4469,8512000.0
2006-10-25,6.4514,6.4514,6.3835,6.4062,11349000.0
2006-10-26,6.4152,6.7004,6.3283,6.5375,21152000.0
2006-10-27,6.4288,6.6099,6.2477,6.5773,26741000.0
2006-10-30,6.5755,6.6642,6.4967,6.5682,17471000.0
2006-10-31,6.5827,6.9042,6.5139,6.7095,35930000.0
2006-11-01,7.4022,7.9228,7.4022,7.7028,141283000.0
2006-11-02,7.5896,7.9753,7.4701,7.9319,62536000.0
2006-11-03,7.9373,8.1265,7.8567,8.1048,42476000.0
2006-11-06,8.1492,8.7957,8.1483,8.7196,97749000.0
2006-11-07,8.6689,8.7079,8.3665,8.3755,71623000.0
2006-11-08,8.3303,8.3303,7.9726,8.0079,64172000.0
2006-11-09,8.2669,8.362,7.9862,7.9862,62982000.0
2006-11-10,8.026,8.1945,7.9464,8.0767,27782000.0
2006-11-13,8.4851,8.8726,8.4471,8.7423,114166000.0
2006-11-14,8.7649,8.8047,8.5467,8.62,38524000.0
2006-11-15,8.6209,9.023,8.6019,8.6291,56606000.0
2006-11-16,8.7151,8.8011,8.5023,8.5585,35647000.0
2006-11-17,8.4525,8.6363,8.3357,8.5829,28516000.0
2006-11-20,8.5096,8.7115,8.486,8.7097,22904000.0
2006-11-21,8.7821,9.1298,8.7377,9.109,59494000.0
2006-11-22,9.2131,9.4105,9.1289,9.3498,42648000.0
2006-11-24,9.2267,9.5843,9.0999,9.5508,21600000.0
2006-11-27,9.5979,9.8333,8.9632,8.9632,73643000.0
2006-11-28,8.8283,9.1452,8.6472,9.1226,61511000.0
2006-11-29,9.2701,9.2973,8.7694,8.9822,48996000.0
2006-11-30,8.9885,9.2375,8.7395,9.2131,41254000.0
2006-12-01,9.2557,9.2765,8.9723,9.1606,35210000.0
2006-12-04,9.1452,9.1896,8.9867,9.0619,20276000.0
2006-12-05,9.0546,9.2584,8.9641,8.9867,21264000.0
2006-12-06,9.1624,9.2357,8.9188,8.9759,30071000.0
2006-12-07,8.9913,9.1389,8.9297,9.0257,21763000.0
2006-12-08,9.0257,9.1271,8.9578,9.0637,15976000.0
2006-12-11,9.0637,9.2575,8.9587,8.9731,30088000.0
2006-12-12,8.9378,8.9732,8.5358,8.6698,46602000.0
2006-12-13,8.7812,8.8419,8.6046,8.6716,18912000.0
2006-12-14,8.6716,8.7359,8.5838,8.6562,24111000.0
2006-12-15,8.7214,8.7223,8.6336,8.7097,14585000.0
2006-12-18,8.6925,8.6925,8.3801,8.4118,26059000.0
2006-12-19,8.371,8.8301,8.1945,8.8192,31954000.0
2006-12-20,8.8192,9.0048,8.7151,8.8292,28211000.0
2006-12-21,8.6753,8.7241,8.5014,8.6662,31084000.0
2006-12-22,8.6653,8.783,8.6182,8.7242,13194000.0
2006-12-26,8.7377,8.7604,8.5458,8.6146,10227000.0
2006-12-27,8.5929,9.0085,8.5566,8.9976,19987000.0
2006-12-28,9.0356,9.0356,8.8337,8.9605,22386000.0
2006-12-29,8.946,9.0202,8.8971,8.9179,10887000.0
2007-01-03,9.0139,9.0257,8.659,8.7296,26289000.0
2007-01-04,8.7739,9.2222,8.6291,9.1579,27024000.0
2007-01-05,9.1443,9.2538,8.9641,9.1506,29632000.0
2007-01-08,8.965,9.2584,8.9641,9.1524,16006000.0
2007-01-09,9.1542,9.5753,9.109,9.5744,36952000.0
2007-01-10,9.5717,9.6514,9.3342,9.4919,35099000.0
2007-01-11,9.5336,9.7901,9.3832,9.5608,37671000.0
2007-01-12,9.5834,9.7194,9.5019,9.5381,18233000.0
2007-01-16,9.5427,9.7393,9.4819,9.6061,18028000.0
2007-01-17,9.6967,9.9885,9.5853,9.8816,45903000.0
2007-01-18,9.9641,9.9677,9.2255,9.288,42787000.0
2007-01-19,9.2889,9.5472,9.2436,9.5182,30029000.0
2007-01-22,9.6052,9.7873,9.4702,9.752,21033000.0
2007-01-23,9.8517,9.8907,9.6985,9.8245,21414000.0
2007-01-24,9.8689,10.2477,9.8508,10.0973,31643000.0
2007-01-25,10.1725,10.1752,9.694,9.7756,21785000.0
2007-01-26,9.8952,9.9577,9.6514,9.8345,17501000.0
2007-01-29,9.878,10.0592,9.8508,9.945,12105000.0
2007-01-30,9.936,10.1145,9.8997,10.0366,11493000.0
2007-01-31,10.0637,10.1652,10.0366,10.1091,13665000.0
2007-02-01,10.1625,10.2387,10.1145,10.1426,16003000.0
2007-02-02,10.1942,10.2133,10.023,10.0556,11290000.0
2007-02-05,10.0139,10.0547,9.9586,9.9913,9910000.0
2007-02-06,10.0357,10.1082,9.9595,10.0184,10621000.0
2007-02-07,10.0139,10.2069,9.9985,10.1408,21132000.0
2007-02-08,10.1498,10.4607,10.0637,10.3981,37535000.0
2007-02-09,10.6963,10.6999,9.0288,9.3886,282063000.0
2007-02-12,9.2409,9.3116,8.9364,9.2509,82177000.0
2007-02-13,9.4248,9.5191,9.3215,9.4874,73214000.0
2007-02-14,9.4439,9.8617,9.4339,9.7892,49005000.0
2007-02-15,9.7873,9.8598,9.7049,9.791,34999000.0
2007-02-16,9.7883,9.8888,9.6106,9.8163,20471000.0
2007-02-20,9.8163,9.8327,9.655,9.771,19803000.0
2007-02-21,9.7556,9.9006,9.5753,9.723,20648000.0
2007-02-22,9.7783,9.878,9.5254,9.597,21767000.0
2007-02-23,9.597,9.6578,9.3995,9.4765,30432000.0
2007-02-26,9.4992,9.6061,9.3795,9.4303,11669000.0
2007-02-27,9.2209,9.597,9.0615,9.3342,51236000.0
2007-02-28,9.3342,9.7239,9.2445,9.713,35401000.0
2007-03-01,9.5399,9.7783,9.2717,9.6324,38166000.0
2007-03-02,9.5517,9.742,9.317,9.3397,18023000.0
2007-03-05,9.1666,9.443,9.1439,9.1475,29906000.0
2007-03-06,9.3143,9.4892,9.2835,9.4239,31967000.0
2007-03-07,9.4239,9.4339,9.008,9.037,51432000.0
2007-03-08,9.1711,9.3705,8.9971,9.3125,63268000.0
2007-03-09,9.3977,9.4475,9.1303,9.2762,34646000.0
2007-03-12,9.2445,9.3795,9.1883,9.3569,20854000.0
2007-03-13,9.2898,9.5182,9.2164,9.4122,46278000.0
2007-03-14,9.3986,9.6242,9.2753,9.5608,35349000.0
2007-03-15,9.5608,9.6197,9.4729,9.539,19609000.0
2007-03-16,9.5463,9.5998,9.4919,9.5399,15751000.0
2007-03-19,9.5626,9.7484,9.5626,9.6868,23120000.0
2007-03-20,9.6967,9.7792,9.6423,9.7411,16206000.0
