date,open,high,low,close,volume
1966-07-05,0.1104,0.113,0.1104,0.1113,388800.0
1966-07-06,0.1113,0.1172,0.1104,0.1172,692550.0
1966-07-07,0.1172,0.1202,0.1121,0.113,1858950.0
1966-07-08,0.113,0.1143,0.1104,0.1143,1239300.0
1966-07-11,0.1143,0.1172,0.1126,0.1138,656100.0
1966-07-12,0.113,0.113,0.1117,0.1121,303750.0
1966-07-13,0.1121,0.1134,0.1113,0.1117,291600.0
1966-07-14,0.1117,0.1121,0.1104,0.1104,328050.0
1966-07-15,0.1104,0.1109,0.1087,0.1087,376650.0
1966-07-18,0.1087,0.1121,0.1079,0.1087,607500.0
1966-07-19,0.1087,0.1087,0.107,0.107,413100.0
1966-07-20,0.107,0.1083,0.1053,0.1062,230850.0
1966-07-21,0.1062,0.107,0.1032,0.1032,230850.0
1966-07-22,0.1032,0.1036,0.1019,0.1032,303750.0
1966-07-25,0.1032,0.1032,0.0981,0.0981,510300.0
1966-07-26,0.0981,0.0998,0.0968,0.0968,328050.0
1966-07-27,0.0973,0.099,0.0973,0.0981,157950.0
1966-07-28,0.0981,0.0994,0.0977,0.0994,97200.0
1966-07-29,0.0994,0.1002,0.0985,0.1002,157950.0
1966-08-01,0.0994,0.0994,0.0973,0.0973,182250.0
1966-08-02,0.0973,0.0985,0.0968,0.0977,85050.0
1966-08-03,0.0977,0.0985,0.096,0.096,267300.0
1966-08-04,0.0964,0.0977,0.0964,0.0973,60750.0
1966-08-05,0.0985,0.1019,0.0985,0.1011,157950.0
1966-08-08,0.0998,0.0998,0.099,0.0998,48600.0
1966-08-09,0.0998,0.1011,0.099,0.1002,133650.0
1966-08-10,0.1002,0.1011,0.0994,0.1002,170100.0
1966-08-11,0.1002,0.1002,0.099,0.0994,133650.0
1966-08-12,0.0994,0.0994,0.0981,0.0981,206550.0
1966-08-15,0.0985,0.1002,0.0985,0.0994,741150.0
1966-08-16,0.0994,0.1002,0.0968,0.0968,668250.0
1966-08-17,0.0968,0.0973,0.0896,0.0926,473850.0
1966-08-18,0.0922,0.0922,0.0905,0.0905,109350.0
1966-08-19,0.0905,0.0909,0.085,0.0858,315900.0
1966-08-22,0.0858,0.0871,0.0816,0.0828,680400.0
1966-08-23,0.0828,0.0845,0.082,0.0841,291600.0
1966-08-24,0.0841,0.0845,0.082,0.0837,243000.0
1966-08-25,0.0841,0.0862,0.0841,0.0841,279450.0
1966-08-26,0.0841,0.0845,0.0816,0.082,413100.0
1966-08-29,0.079,0.079,0.0731,0.0731,400950.0
1966-08-30,0.0731,0.0782,0.0709,0.076,789750.0
1966-08-31,0.0773,0.0824,0.0773,0.0799,595350.0
1966-09-01,0.0799,0.0807,0.0782,0.0807,303750.0
1966-09-02,0.0803,0.0803,0.079,0.0799,133650.0
1966-09-06,0.0799,0.0807,0.079,0.079,157950.0
1966-09-07,0.0782,0.0782,0.0752,0.0765,243000.0
1966-09-08,0.0752,0.0752,0.0709,0.0722,376650.0
1966-09-09,0.0743,0.0773,0.0743,0.0756,206550.0
