date,open,high,low,close,volume
1962-01-02,0.0629,0.0636,0.0629,0.0633,633830.0
1962-01-03,0.0633,0.0633,0.0601,0.0606,6564672.0
1962-01-04,0.0606,0.0612,0.0598,0.06,1199750.0
1962-01-05,0.0598,0.0598,0.0576,0.058,520646.0
1962-01-08,0.058,0.0585,0.0578,0.0582,1380845.0
1962-01-09,0.0583,0.0591,0.0583,0.0584,1177114.0
1962-01-10,0.0586,0.0598,0.0586,0.0594,882835.0
1962-01-11,0.0594,0.0598,0.0589,0.0596,588557.0
1962-01-12,0.0596,0.0601,0.0594,0.0594,407462.0
1962-01-15,0.0594,0.0598,0.0587,0.0589,792288.0
1962-01-16,0.0585,0.0585,0.058,0.0582,384826.0
1962-01-17,0.0582,0.0583,0.0567,0.0567,498010.0
1962-01-18,0.0567,0.0578,0.0564,0.0578,1177114.0
1962-01-19,0.058,0.0592,0.058,0.0589,633830.0
1962-01-22,0.0589,0.059,0.058,0.0583,837562.0
1962-01-23,0.0582,0.0582,0.0576,0.058,928109.0
1962-01-24,0.058,0.0585,0.0573,0.0584,996019.0
1962-01-25,0.0584,0.0584,0.058,0.0582,611194.0
1962-01-26,0.058,0.058,0.0567,0.0567,928109.0
1962-01-29,0.057,0.0582,0.057,0.058,747014.0
1962-01-30,0.058,0.0584,0.0579,0.0579,882835.0
1962-01-31,0.0579,0.0587,0.0578,0.0587,814925.0
1962-02-01,0.0587,0.059,0.0585,0.059,498010.0
1962-02-02,0.059,0.059,0.0587,0.059,430099.0
1962-02-05,0.059,0.0592,0.0585,0.0589,928109.0
1962-02-06,0.059,0.0596,0.059,0.0596,1448755.0
1962-02-07,0.0596,0.0597,0.0591,0.0597,588557.0
1962-02-08,0.0597,0.0598,0.0591,0.0597,475373.0
1962-02-09,0.0597,0.0602,0.0594,0.0602,679104.0
1962-02-12,0.0601,0.0601,0.0598,0.0599,135821.0
1962-02-13,0.0599,0.0606,0.0598,0.0606,1222387.0
1962-02-14,0.0606,0.0612,0.0605,0.0612,1041293.0
1962-02-15,0.0612,0.0619,0.0611,0.0619,928109.0
1962-02-16,0.0618,0.0618,0.0613,0.0614,769651.0
1962-02-19,0.0614,0.0618,0.0612,0.0612,1471392.0
1962-02-20,0.0612,0.0628,0.061,0.0628,1607213.0
1962-02-21,0.0629,0.0635,0.0629,0.0632,950746.0
1962-02-23,0.0632,0.0638,0.0629,0.0635,1154477.0
1962-02-26,0.0635,0.0638,0.0628,0.0629,2037312.0
1962-02-27,0.0626,0.0626,0.0621,0.0624,837562.0
1962-02-28,0.0624,0.0631,0.0623,0.0631,452736.0
1962-03-01,0.0631,0.0635,0.063,0.0634,611194.0
1962-03-02,0.0634,0.0635,0.0628,0.0631,905472.0
1962-03-05,0.0631,0.0632,0.062,0.0631,905472.0
1962-03-06,0.0634,0.0641,0.0634,0.0639,1109203.0
1962-03-07,0.0639,0.0644,0.0637,0.0644,1041293.0
1962-03-08,0.0644,0.065,0.0643,0.0648,294278.0
