date,open,high,low,close,volume
1993-02-23,3.5181,3.5731,3.3669,3.4082,40594800.0
1993-02-24,3.4631,3.5456,3.4219,3.5043,9426400.0
1993-02-25,3.5181,3.5868,3.5043,3.5868,5229200.0
1993-02-26,3.5868,3.6418,3.5318,3.6418,2761200.0
1993-03-01,3.6005,3.6143,3.5181,3.5181,3014400.0
1993-03-02,3.5456,3.628,3.5318,3.6143,3022800.0
1993-03-03,3.6005,3.6555,3.5731,3.6005,2808800.0
1993-03-04,3.5868,3.628,3.5868,3.5868,1783600.0
1993-03-05,3.5731,3.6693,3.5181,3.6555,3868800.0
1993-03-08,3.628,3.6555,3.6005,3.6418,2516000.0
1993-03-09,3.628,3.7929,3.628,3.7517,2449200.0
1993-03-10,3.7242,3.9166,3.7105,3.9029,3192800.0
1993-03-11,3.9441,3.9441,3.8617,3.9029,1276400.0
1993-03-12,3.8754,3.9853,3.738,3.9716,2958800.0
1993-03-15,3.9579,3.9579,3.8754,3.9029,1858400.0
1993-03-16,3.8754,3.9166,3.8067,3.8204,2182000.0
1993-03-17,3.8204,3.8617,3.7792,3.8617,2413600.0
1993-03-18,3.8479,3.9716,3.8479,3.9579,1765200.0
1993-03-19,3.9853,3.9853,3.9166,3.9166,2397600.0
1993-03-22,3.9304,3.9304,3.8617,3.9029,729200.0
1993-03-23,3.9029,3.9029,3.8204,3.8204,924000.0
1993-03-24,3.8204,3.8204,3.6693,3.7792,1787600.0
1993-03-25,3.7517,3.7792,3.6967,3.7792,1080400.0
1993-03-26,3.9029,4.0266,3.8891,4.0266,2376800.0
1993-03-29,3.9991,4.0678,3.9304,4.0678,1273600.0
1993-03-30,4.1228,4.219,4.0815,4.219,1463600.0
1993-03-31,4.2327,4.3152,4.2052,4.219,1856000.0
1993-04-01,4.164,4.1777,4.0403,4.0678,1410000.0
1993-04-02,4.0128,4.0815,3.9166,3.9166,1338800.0
1993-04-05,3.9029,3.9991,3.9029,3.9853,873200.0
1993-04-06,3.9991,4.0128,3.9304,3.9304,763200.0
1993-04-07,3.9166,3.9991,3.9166,3.9853,240400.0
1993-04-08,3.9853,3.9853,3.9579,3.9716,304000.0
1993-04-12,3.9716,4.0678,3.9716,4.0678,217600.0
1993-04-13,4.1228,4.219,4.1228,4.1915,937600.0
1993-04-14,4.1915,4.3152,4.1915,4.3014,689600.0
1993-04-15,4.2464,4.2464,4.0678,4.1228,1319600.0
1993-04-16,4.1503,4.1777,4.0953,4.109,1452400.0
1993-04-19,4.0815,4.109,3.9991,4.0128,861600.0
1993-04-20,4.0541,4.0815,3.8067,3.8891,2764000.0
1993-04-21,3.8891,3.9441,3.8342,3.8342,1372800.0
1993-04-22,3.8342,3.9029,3.8204,3.8342,1387600.0
1993-04-23,3.8204,3.8342,3.738,3.7792,660400.0
1993-04-26,3.7929,3.8204,3.6555,3.6967,1847200.0
1993-04-27,3.6555,3.738,3.5868,3.738,1674000.0
1993-04-28,3.7655,3.8204,3.7242,3.8067,726800.0
1993-04-29,3.8067,3.8342,3.7929,3.7929,228800.0
1993-04-30,3.8067,4.2877,3.8067,4.2602,3105600.0
1993-05-03,4.1777,4.1777,4.0128,4.0403,2001200.0
1993-05-04,4.0678,4.0953,4.0266,4.0678,826000.0
1993-05-05,4.0541,4.0541,4.0128,4.0266,512000.0
1993-05-06,4.0266,4.0266,3.9579,3.9991,183200.0
1993-05-07,4.0128,4.0403,3.9991,4.0128,245200.0
1993-05-10,4.0266,4.0953,4.0266,4.0678,708800.0
1993-05-11,4.0678,4.0678,4.0128,4.0541,568800.0
1993-05-12,4.0541,4.0815,4.0266,4.0541,258000.0
1993-05-13,4.0266,4.0266,3.9579,3.9579,163200.0
1993-05-14,3.9441,3.9441,3.7792,3.8479,848000.0
1993-05-17,3.8479,3.9441,3.8342,3.9166,382000.0
