date,open,high,low,close,volume
1984-06-01,1.3507,1.3627,1.3507,1.3507,7340000.0
1984-06-04,1.3507,1.3627,1.3507,1.3507,4067000.0
1984-06-05,1.3507,1.3507,1.3388,1.3388,2089000.0
1984-06-06,1.4105,1.4344,1.4105,1.4105,1894000.0
1984-06-07,1.5659,1.5779,1.5659,1.5659,2078000.0
1984-06-08,1.6615,1.6854,1.6615,1.6615,2227000.0
1984-06-11,1.5779,1.5779,1.554,1.554,1219000.0
1984-06-12,1.554,1.554,1.542,1.542,670000.0
1984-06-13,1.6137,1.6257,1.6137,1.6137,1339000.0
1984-06-14,1.5898,1.5898,1.5659,1.5659,680000.0
1984-06-15,1.6137,1.6257,1.6137,1.6137,704000.0
1984-06-18,1.6615,1.6735,1.6615,1.6615,480000.0
1984-06-19,1.7811,1.793,1.7811,1.7811,1581000.0
1984-06-20,1.9723,1.9843,1.9723,1.9723,2273000.0
1984-06-21,1.9723,1.9723,1.9484,1.9484,2039000.0
1984-06-22,2.1636,2.1755,2.1636,2.1636,1199000.0
1984-06-25,2.1516,2.1516,2.1397,2.1397,1579000.0
1984-06-26,2.1994,2.2114,2.1994,2.1994,1040000.0
1984-06-27,2.1516,2.1516,2.1397,2.1397,1046000.0
1984-06-28,2.2473,2.2592,2.2473,2.2473,563000.0
1984-06-29,2.4266,2.4505,2.4266,2.4266,1019000.0
1984-07-02,2.3907,2.3907,2.3668,2.3668,940000.0
1984-07-03,2.4146,2.4385,2.4146,2.4146,339000.0
1984-07-05,2.5341,2.5461,2.5341,2.5341,1428000.0
1984-07-06,2.5222,2.5222,2.5102,2.5102,728000.0
1984-07-09,2.4863,2.4863,2.4624,2.4624,963000.0
1984-07-10,2.4146,2.4146,2.4027,2.4027,1938000.0
1984-07-11,2.307,2.307,2.2951,2.2951,980000.0
1984-07-12,2.2353,2.2353,2.2353,2.2353,1021000.0
1984-07-13,2.2592,2.2712,2.2592,2.2592,223000.0
1984-07-16,2.1875,2.1875,2.1636,2.1636,473000.0
1984-07-17,2.2353,2.2473,2.2353,2.2353,350000.0
1984-07-18,2.2353,2.2473,2.2234,2.2234,150000.0
1984-07-19,2.0082,2.0082,1.9962,1.9962,761000.0
1984-07-20,1.8528,1.8528,1.8169,1.8169,723000.0
1984-07-23,1.8767,1.8887,1.8767,1.8767,580000.0
1984-07-24,1.8647,1.8647,1.8408,1.8408,321000.0
1984-07-25,1.9723,1.9962,1.9723,1.9723,649000.0
1984-07-26,2.056,2.068,2.056,2.056,674000.0
1984-07-27,2.0441,2.0441,2.0321,2.0321,330000.0
1984-07-30,2.0321,2.0441,2.0201,2.0201,156000.0
1984-07-31,2.0201,2.0201,1.9962,1.9962,242000.0
1984-08-01,2.2473,2.2592,2.2473,2.2473,843000.0
1984-08-02,2.3668,2.3787,2.3668,2.3668,756000.0
1984-08-03,2.2473,2.2473,2.2353,2.2353,1030000.0
1984-08-06,2.2114,2.2114,2.1875,2.1875,1028000.0
1984-08-07,2.1875,2.2712,2.1277,2.2712,628000.0
1984-08-08,2.2712,2.3309,2.2473,2.2473,662000.0
1984-08-09,2.2473,2.4624,2.2353,2.4505,798000.0
1984-08-10,2.4744,2.6178,2.4744,2.5581,1352000.0
1984-08-13,2.5581,2.5581,2.4744,2.5341,801000.0
1984-08-14,2.5341,2.5581,2.4385,2.4624,403000.0
1984-08-15,2.4624,2.4863,2.4505,2.4624,220000.0
1984-08-16,2.4624,2.7015,2.4624,2.6537,1096000.0
1984-08-17,2.6537,2.6656,2.5581,2.582,439000.0
1984-08-20,2.582,2.6776,2.5581,2.6537,350000.0
1984-08-21,2.6895,2.9167,2.6895,2.8927,1271000.0
1984-08-22,2.9406,3.0123,2.9406,2.9884,2068000.0
1984-08-23,2.9884,3.2035,2.9884,3.1557,2025000.0
1984-08-24,3.1557,3.3111,3.1557,3.2514,1916000.0
1984-08-27,3.2514,3.2633,3.1199,3.1199,956000.0
1984-08-28,3.1199,3.1677,3.0123,3.1438,1345000.0
1984-08-29,3.1438,3.1796,3.0123,3.0721,1546000.0
1984-08-30,3.0721,3.0721,2.8927,2.9525,1008000.0
1984-08-31,2.9525,2.9884,2.9167,2.9884,384000.0
