date,open,high,low,close,volume
2024-09-07,3.549,3.753,3.549,3.662,203754.98230466
2024-09-08,3.671,3.812,3.648,3.762,143502.51640219
2024-09-09,3.757,4.102,3.755,4.015,294248.22102912
2024-09-10,4.016,4.082,3.942,4.03,169973.33398777
2024-09-11,4.031,4.046,3.821,3.978,96759.1839379
2024-09-12,3.981,4.296,3.981,4.258,292765.75826349
2024-09-13,4.257,4.359,4.117,4.29,207026.84479538
2024-09-14,4.29,4.305,4.158,4.197,74129.07313161
2024-09-15,4.193,4.261,3.999,4.023,111256.26528126
2024-09-16,4.018,4.026,3.853,3.883,268667.97477298
2024-09-17,3.876,4.301,3.833,4.135,286687.47985372
2024-09-18,4.134,4.255,3.934,4.253,264703.52771774
2024-09-19,4.263,4.584,4.263,4.37,550449.19766973
2024-09-20,4.371,4.507,4.258,4.384,560269.03238524
2024-09-21,4.387,4.69,4.289,4.672,431277.28337414
2024-09-22,4.672,4.685,4.388,4.519,278526.66145927
2024-09-23,4.526,5.278,4.402,5.174,1496472.63336304
2024-09-24,5.185,5.394,5.063,5.341,1833385.07235165
2024-09-25,5.341,5.451,5.11,5.145,661428.143491
2024-09-26,5.15,5.9,5.129,5.554,1903821.67423101
2024-09-27,5.554,5.75,5.367,5.457,449673.55969254
2024-09-28,5.468,5.577,5.351,5.567,431468.97862147
2024-09-29,5.575,5.622,5.362,5.499,494900.62288767
2024-09-30,5.505,5.507,5.229,5.293,625350.64337145
2024-10-01,5.293,5.562,4.6,4.838,649307.88630196
2024-10-02,4.838,4.996,4.525,4.637,391382.37486621
2024-10-03,4.626,4.764,4.425,4.639,420413.27570622
2024-10-04,4.651,4.86,4.595,4.83,404976.25791982
2024-10-05,4.844,4.867,4.64,4.768,305010.56036613
2024-10-06,4.774,4.963,4.72,4.949,210879.35225602
2024-10-07,4.951,5.319,4.921,5.038,525185.30921848
2024-10-08,5.044,5.153,4.858,4.89,340509.21531987
2024-10-09,4.891,4.984,4.551,4.602,473880.09369463
2024-10-10,4.596,4.673,4.42,4.591,220184.20814155
2024-10-11,4.597,4.802,4.545,4.734,240880.03012829
2024-10-12,4.732,4.916,4.679,4.843,281969.53566074
2024-10-13,4.848,4.867,4.565,4.691,192424.02648704
2024-10-14,4.697,5.072,4.629,5.019,289555.20964643
2024-10-15,5.025,5.278,4.748,5.071,709144.52911564
2024-10-16,5.037,5.071,4.89,4.95,128732.48803363
2024-10-17,4.969,5.029,4.652,4.76,314399.53018183
2024-10-18,4.757,4.943,4.736,4.9,195172.25784776
2024-10-19,4.908,4.94,4.762,4.82,210885.89132284
2024-10-20,4.814,5.015,4.711,4.96,250268.51778948
2024-10-21,4.982,5.06,4.751,4.784,335273.62099432
2024-10-22,4.795,4.837,4.616,4.676,191156.75453046
2024-10-23,4.68,4.682,4.442,4.653,233290.39676022
2024-10-24,4.654,4.771,4.542,4.718,370906.34947264
2024-10-25,4.729,4.736,4.02,4.176,326541.44273063
2024-10-26,4.169,4.301,4.101,4.235,231796.80042554
2024-10-27,4.234,4.376,4.189,4.303,150522.98391903
2024-10-28,4.304,4.354,4.072,4.295,272970.93575731
2024-10-29,4.299,4.513,4.289,4.436,420574.21454585
2024-10-30,4.434,4.434,4.264,4.308,140737.17491667
2024-10-31,4.327,4.33,4.015,4.05,217855.43182382
2024-11-01,4.052,4.155,3.864,3.929,250090.91054787
2024-11-02,3.934,3.987,3.771,3.804,116824.41904266
2024-11-03,3.816,3.831,3.556,3.685,184015.90742897
2024-11-04,3.684,3.753,3.507,3.613,200662.47043056
2024-11-05,3.616,3.94,3.616,3.813,304589.43723137
2024-11-06,3.82,4.291,3.811,4.236,497259.65203701
2024-11-07,4.233,4.345,4.088,4.235,278415.03414845
2024-11-08,4.248,4.391,4.16,4.333,291007.48294424
2024-11-09,4.335,4.693,4.24,4.642,722164.09682195
2024-11-10,4.645,4.949,4.453,4.731,1199121.89844815
2024-11-11,4.716,5.585,4.712,5.569,1495023.45495567
2024-11-12,5.569,5.754,4.95,5.335,1599210.47080456
2024-11-13,5.343,5.55,4.972,5.168,1039518.16221709
2024-11-14,5.168,5.65,5.022,5.413,726284.62847223
2024-11-15,5.418,5.671,5.182,5.561,959037.55919108
2024-11-16,5.56,6.389,5.462,5.937,1206910.42181042
2024-11-17,5.949,6.157,5.608,5.701,665299.87793153
2024-11-18,5.701,6.291,5.657,6.027,1075607.02460178
2024-11-19,6.023,6.1,5.625,5.789,1221866.10261537
2024-11-20,5.788,5.868,5.346,5.47,1085815.11797799
2024-11-21,5.468,5.859,5.313,5.794,939552.29196679
2024-11-22,5.801,6.195,5.484,6.131,1110477.04375182
2024-11-23,6.152,6.583,5.87,6.195,1517777.03538668
2024-11-24,6.18,7.0,5.916,6.883,1647424.02456878
2024-11-25,6.874,7.25,6.343,6.455,1587287.54339414
2024-11-26,6.465,6.668,5.952,6.522,987151.51831432
2024-11-27,6.521,6.876,6.397,6.834,764207.62140233
2024-11-28,6.805,7.15,6.465,7.017,680725.82138234
2024-11-29,7.015,7.037,6.789,6.97,607142.77612935
2024-11-30,6.967,7.23,6.792,7.013,551546.39495282
2024-12-01,7.014,7.191,6.785,6.925,588962.79207903
2024-12-02,6.922,7.485,6.281,7.48,1199270.4413269
2024-12-03,7.485,7.62,6.74,7.395,1193265.07540536
2024-12-04,7.404,7.7,7.203,7.478,1954958.22808564
2024-12-05,7.485,8.026,7.05,7.627,1407068.82970157
2024-12-06,7.626,8.25,7.531,8.032,1186369.16423459
2024-12-07,8.039,8.061,7.666,7.738,541189.55449048
2024-12-08,7.734,7.87,7.468,7.836,427191.50201902
2024-12-09,7.836,7.838,5.973,6.532,1037667.49484909
2024-12-10,6.513,6.84,5.94,6.428,728282.55737779
2024-12-11,6.421,6.93,6.16,6.852,389079.43089195
2024-12-12,6.859,7.326,6.793,6.915,558127.78565155
2024-12-13,6.917,7.069,6.75,6.93,275976.88910855
2024-12-14,6.934,7.035,6.5,6.68,295605.46344354
2024-12-15,6.685,6.901,6.475,6.848,180290.50897968
2024-12-16,6.869,7.043,6.528,6.619,297977.71269365
2024-12-17,6.618,7.009,6.337,6.365,413264.67348591
2024-12-18,6.385,6.428,5.664,5.699,551546.77709682
2024-12-19,5.688,5.872,4.99,5.198,633047.10198515
2024-12-20,5.23,5.468,4.532,5.353,980681.1665235
