date,open,high,low,close,volume
1973-02-21,0.3437,0.3461,0.3437,0.3449,92800.0
1973-02-22,0.3449,0.3509,0.3449,0.3497,35200.0
1973-02-23,0.3497,0.3544,0.3473,0.3544,92800.0
1973-02-26,0.3544,0.3639,0.3532,0.3532,284800.0
1973-02-27,0.3532,0.358,0.352,0.3568,280000.0
1973-02-28,0.3568,0.3616,0.3544,0.3616,113600.0
1973-03-01,0.3616,0.3639,0.3616,0.3639,144000.0
1973-03-02,0.3639,0.3651,0.3604,0.3639,124800.0
1973-03-05,0.3639,0.3675,0.3639,0.3651,129600.0
1973-03-06,0.3651,0.3699,0.3651,0.3675,132800.0
1973-03-07,0.3687,0.3723,0.3687,0.3711,169600.0
1973-03-08,0.3699,0.3699,0.3687,0.3687,92800.0
1973-03-09,0.3687,0.3711,0.3675,0.3675,211200.0
1973-03-12,0.3675,0.3711,0.3675,0.3687,89600.0
1973-03-13,0.3711,0.3794,0.3711,0.3794,176000.0
1973-03-14,0.3794,0.3806,0.3711,0.3711,176000.0
1973-03-15,0.3711,0.3723,0.3639,0.3639,115200.0
1973-03-16,0.3639,0.3639,0.3473,0.3497,438400.0
1973-03-19,0.3473,0.3473,0.3425,0.3461,312000.0
1973-03-20,0.3461,0.3485,0.3437,0.3473,870400.0
1973-03-21,0.3473,0.3473,0.3437,0.3437,270400.0
1973-03-22,0.3425,0.3425,0.339,0.3402,158400.0
1973-03-23,0.3402,0.3402,0.3342,0.3366,761600.0
1973-03-26,0.333,0.333,0.3247,0.3271,257600.0
1973-03-27,0.3271,0.333,0.3235,0.333,273600.0
1973-03-28,0.333,0.3402,0.3283,0.3283,473600.0
1973-03-29,0.3283,0.3283,0.3199,0.3271,108800.0
1973-03-30,0.3271,0.3271,0.3247,0.3247,75200.0
1973-04-02,0.3247,0.3259,0.3164,0.3223,166400.0
1973-04-03,0.3223,0.3235,0.3164,0.3164,126400.0
1973-04-04,0.3164,0.3378,0.3164,0.333,750400.0
1973-04-05,0.333,0.3366,0.3294,0.333,150400.0
1973-04-06,0.333,0.3378,0.333,0.3354,145600.0
1973-04-09,0.3354,0.3378,0.333,0.3354,99200.0
1973-04-10,0.3354,0.3509,0.3354,0.3509,200000.0
1973-04-11,0.352,0.3592,0.352,0.358,409600.0
1973-04-12,0.3592,0.3651,0.3592,0.3592,305600.0
1973-04-13,0.3592,0.3616,0.3568,0.3568,140800.0
1973-04-16,0.3568,0.3687,0.3568,0.3687,78400.0
