date,open,high,low,close,volume
1980-03-17,5.5631,5.8049,5.5631,5.7305,519375.0
1980-03-18,5.7305,5.8794,5.3026,5.8794,659250.0
1980-03-19,5.8794,6.0468,5.7677,6.0096,408000.0
1980-03-20,6.0096,6.1398,5.898,6.0282,607125.0
1980-03-21,6.0282,6.0468,5.7677,5.9538,229125.0
1980-03-24,5.9166,5.9166,5.4886,5.5445,256875.0
1980-03-25,5.5445,5.6375,5.4142,5.6189,315750.0
1980-03-26,5.6189,5.6747,5.5072,5.5072,315000.0
1980-03-27,5.4514,5.4514,4.8561,5.2096,609000.0
1980-03-28,5.2096,5.5817,5.2096,5.5817,277125.0
1980-03-31,5.6561,5.8794,5.6561,5.7119,419250.0
1980-04-01,5.7119,5.7677,5.5631,5.5631,162750.0
1980-04-02,5.3584,5.3584,5.2468,5.3212,419250.0
1980-04-03,5.3212,5.3212,5.1165,5.1351,352500.0
1980-04-07,5.1165,5.1165,5.0235,5.0607,187500.0
1980-04-08,5.0607,5.3956,5.0235,5.3956,624375.0
1980-04-09,5.5445,5.6561,5.5445,5.5817,207375.0
1980-04-10,5.5817,5.6747,5.4514,5.5072,176250.0
1980-04-11,5.5072,5.5072,5.2468,5.284,222375.0
1980-04-14,5.284,5.3398,5.2282,5.2468,558750.0
1980-04-15,5.2282,5.2282,5.0793,5.0793,106500.0
1980-04-16,5.0793,5.1351,4.8747,4.8747,121125.0
1980-04-17,4.8561,4.8561,4.763,4.7816,173625.0
1980-04-18,4.7816,4.8374,4.7258,4.7816,228000.0
1980-04-21,4.7816,4.8933,4.763,4.763,127875.0
1980-04-22,4.9119,5.0979,4.9119,5.0979,196500.0
1980-04-23,5.0979,5.284,5.0421,5.2282,178875.0
1980-04-24,5.2282,5.4328,5.1723,5.3212,229125.0
1980-04-25,5.3212,5.5445,5.284,5.3584,325875.0
1980-04-28,5.3584,5.4142,5.2096,5.2096,151875.0
1980-04-29,5.2282,5.284,5.2282,5.2282,126750.0
1980-04-30,5.2282,5.2654,5.2096,5.2654,63000.0
1980-05-01,5.2654,5.2654,4.9119,4.9119,157500.0
1980-05-02,4.9119,5.0607,4.763,5.0421,258000.0
1980-05-05,5.0049,5.0049,4.8747,4.9305,84750.0
1980-05-06,4.9305,4.9863,4.8002,4.8747,178875.0
1980-05-07,4.8747,4.9863,4.8374,4.8374,150375.0
1980-05-08,4.8374,4.8933,4.6886,4.8002,230625.0
1980-05-09,4.763,4.763,4.577,4.6514,110250.0
1980-05-12,4.6514,4.7258,4.5398,4.6514,271500.0
1980-05-13,4.6514,4.8188,4.6328,4.7816,480000.0
1980-05-14,4.8188,4.9677,4.8188,4.9677,195000.0
1980-05-15,4.9677,5.1723,4.9491,5.1165,117000.0
1980-05-16,5.1351,5.3584,5.1351,5.284,255000.0
1980-05-19,5.284,5.6189,5.2468,5.3584,269250.0
1980-05-20,5.3584,5.3584,5.2654,5.3584,287625.0
1980-05-21,5.3584,5.5072,5.3212,5.4328,290250.0
1980-05-22,5.4328,5.47,5.377,5.4328,194625.0
1980-05-23,5.5072,5.7305,5.5072,5.6747,319875.0
1980-05-27,5.7491,5.898,5.7491,5.8049,327750.0
1980-05-28,5.7677,5.7677,5.6561,5.6933,85500.0
1980-05-29,5.6933,5.6933,5.5817,5.6189,89625.0
1980-05-30,5.6189,5.7119,5.4328,5.6933,202500.0
1980-06-02,5.7491,5.8421,5.7491,5.7491,208125.0
1980-06-03,5.7305,5.7305,5.5631,5.5817,149250.0
1980-06-04,5.6003,5.8421,5.6003,5.8421,323250.0
1980-06-05,5.8421,5.9166,5.7677,5.8049,423000.0
1980-06-06,5.8794,6.0468,5.8794,5.991,408375.0
1980-06-09,6.1212,6.2329,6.1212,6.2143,405750.0
1980-06-10,6.1956,6.1956,6.0654,6.1026,210000.0
1980-06-11,6.1026,6.1584,6.0468,6.0654,271125.0
1980-06-12,6.0654,6.1026,5.898,6.0654,370125.0
1980-06-13,6.0654,6.0654,5.9724,6.0468,359250.0
1980-06-16,6.0468,6.0654,5.8421,6.0096,396750.0
1980-06-17,5.991,5.991,5.8049,5.8607,336000.0
1980-06-18,5.8607,5.898,5.7491,5.7677,199125.0
1980-06-19,5.7677,5.7677,5.6189,5.7305,109500.0
1980-06-20,5.6933,5.6933,5.5258,5.6189,206625.0
1980-06-23,5.6189,5.7305,5.5631,5.6189,92625.0
1980-06-24,5.6189,5.6189,5.4886,5.6189,429000.0
1980-06-25,5.7305,5.991,5.7305,5.8794,397500.0
1980-06-26,5.9352,6.1398,5.9352,5.9538,277500.0
1980-06-27,6.0654,6.2143,6.0654,6.1212,453000.0
1980-06-30,6.177,6.3259,6.177,6.1956,229875.0
1980-07-01,6.2143,6.6422,6.2143,6.6422,212250.0
1980-07-02,6.6422,6.7724,6.5492,6.5492,476625.0
1980-07-03,6.5119,6.5119,6.2515,6.4189,314625.0
1980-07-07,6.4189,6.4375,6.177,6.2515,400875.0
1980-07-08,6.3259,6.4933,6.3259,6.4003,444000.0
1980-07-09,6.4003,6.4375,6.3445,6.3445,92250.0
1980-07-10,6.3445,6.4003,6.2701,6.2701,168750.0
1980-07-11,6.2701,6.3631,6.2701,6.3631,87000.0
1980-07-14,6.3631,6.3817,6.2515,6.3631,143250.0
1980-07-15,6.3631,6.4933,6.3631,6.4189,201375.0
1980-07-16,6.4189,6.4561,6.2515,6.4189,147750.0
1980-07-17,6.4375,6.698,6.4375,6.6236,222750.0
1980-07-18,6.6422,6.8282,6.6422,6.8096,323625.0
1980-07-21,6.8096,6.8841,6.7538,6.8841,117000.0
1980-07-22,6.9585,7.1073,6.9585,7.0701,211875.0
1980-07-23,7.0701,7.1259,7.0329,7.0701,335625.0
1980-07-24,7.0701,7.1445,7.0701,7.0701,204375.0
1980-07-25,7.0701,7.1445,6.9771,7.0143,298500.0
1980-07-28,7.0143,7.0701,6.9585,7.0329,195375.0
1980-07-29,7.0329,7.0515,6.8654,6.9585,245250.0
1980-07-30,6.9585,7.0143,6.7352,6.7352,213000.0
1980-07-31,6.7352,6.7352,6.5119,6.7352,152625.0
1980-08-01,6.7352,6.8468,6.6608,6.698,100125.0
1980-08-04,6.6608,6.6608,6.5119,6.6608,78000.0
1980-08-05,6.605,6.605,6.4933,6.5305,79875.0
1980-08-06,6.5305,6.6236,6.4933,6.605,118500.0
1980-08-07,6.698,6.9957,6.698,6.9957,173625.0
1980-08-08,6.9957,7.1631,6.9957,6.9957,211875.0
1980-08-11,6.9957,7.1817,6.9585,7.1259,278625.0
1980-08-12,7.1073,7.1073,6.8096,6.8282,183750.0
1980-08-13,6.8282,6.9399,6.8282,6.8468,99000.0
1980-08-14,6.8655,7.0515,6.8655,6.9399,152625.0
1980-08-15,6.9585,7.1259,6.9585,7.0143,96000.0
1980-08-18,6.9027,6.9027,6.7724,6.791,168750.0
1980-08-19,6.791,6.8282,6.7352,6.7538,121125.0
1980-08-20,6.7538,6.9027,6.6794,6.8841,159750.0
1980-08-21,6.9213,7.3678,6.9213,7.312,432000.0
1980-08-22,7.3678,7.4794,7.3678,7.3678,169875.0
1980-08-25,7.3678,7.6097,7.3678,7.4794,225375.0
1980-08-26,7.4794,7.5166,7.405,7.4422,121125.0
1980-08-27,7.4236,7.4236,7.3678,7.3678,78375.0
1980-08-28,7.3678,7.3864,7.219,7.219,98625.0
1980-08-29,7.219,7.312,7.1817,7.2934,78750.0
1980-09-02,7.2934,7.4794,7.1631,7.4422,208500.0
1980-09-03,7.4422,7.6655,7.405,7.5352,232875.0
1980-09-04,7.5352,7.6469,7.498,7.5166,470625.0
1980-09-05,7.5166,7.6097,7.4608,7.5166,170250.0
1980-09-08,7.5166,8.0748,7.5166,8.0376,561750.0
1980-09-09,8.0376,8.2609,8.0376,8.1678,460875.0
1980-09-10,8.2795,8.5772,8.2795,8.3725,373125.0
1980-09-11,8.3725,8.4097,8.2051,8.3167,225000.0
1980-09-12,8.3539,8.5213,8.3539,8.3725,223125.0
1980-09-15,8.3353,8.3353,8.1492,8.2051,171000.0
1980-09-16,8.205,8.4097,8.1864,8.3725,178875.0
1980-09-17,8.3725,8.4097,8.3167,8.3167,175500.0
1980-09-18,8.3167,8.4841,8.2981,8.2981,597375.0
1980-09-19,8.2981,8.4283,8.2609,8.3725,160125.0
1980-09-22,8.7446,9.0609,8.7446,9.0237,371625.0
1980-09-23,9.0237,9.0237,8.7818,8.819,376125.0
1980-09-24,8.819,8.8376,8.5586,8.7818,390375.0
1980-09-25,8.7818,8.819,8.6516,8.6888,376875.0
1980-09-26,8.5027,8.5027,8.0376,8.2423,299250.0
1980-09-29,8.0004,8.0004,7.6655,7.7213,266625.0
1980-09-30,7.9446,8.1492,7.9446,8.0376,311625.0
1980-10-01,8.0376,8.0934,7.9074,8.0748,239250.0
1980-10-02,8.0748,8.112,7.926,8.0376,216000.0
1980-10-03,8.019,8.019,7.926,8.019,264375.0
1980-10-06,8.019,8.2981,8.019,8.2795,123750.0
1980-10-07,8.2795,8.3167,8.0376,8.112,112500.0
1980-10-08,8.112,8.1864,8.0376,8.0934,101250.0
1980-10-09,8.0934,8.2423,8.0934,8.1678,145125.0
1980-10-10,8.1678,8.1864,8.0562,8.0562,100125.0
1980-10-13,8.0748,8.1492,8.0748,8.0934,244875.0
1980-10-14,8.0934,8.112,7.9818,7.9818,426750.0
1980-10-15,7.9818,8.2237,7.9818,8.0934,219375.0
1980-10-16,8.3911,8.7074,8.3911,8.4283,405000.0
1980-10-17,8.4283,8.7632,8.3725,8.633,374250.0
