date,open,high,low,close,volume
1980-12-02,0.1204,0.123,0.1204,0.1204,100710400.0
1980-12-03,0.1191,0.1191,0.1178,0.1178,25177600.0
1980-12-04,0.1217,0.123,0.1217,0.1217,22694400.0
1980-12-05,0.1178,0.1178,0.1152,0.1152,7590400.0
1980-12-08,0.1099,0.1099,0.1086,0.1086,5414400.0
1980-12-09,0.1086,0.1086,0.106,0.106,5824000.0
1980-12-10,0.1034,0.1034,0.0995,0.0995,5875200.0
1980-12-11,0.0968,0.0968,0.0942,0.0942,5440000.0
1980-12-12,0.0981,0.0995,0.0981,0.0981,8153600.0
1980-12-15,0.1021,0.1034,0.1021,0.1021,6643200.0
1980-12-16,0.1021,0.1021,0.0995,0.0995,6630400.0
1980-12-17,0.0981,0.0981,0.0955,0.0955,4672000.0
1980-12-18,0.0981,0.1008,0.0981,0.0981,11251200.0
1980-12-19,0.1021,0.1034,0.1021,0.1021,10035200.0
1980-12-22,0.1021,0.1047,0.1021,0.1021,1856000.0
1980-12-23,0.1047,0.1073,0.1047,0.1047,5696000.0
1980-12-24,0.1086,0.1112,0.1086,0.1086,2444800.0
1980-12-26,0.1099,0.1125,0.1099,0.1099,1459200.0
1980-12-29,0.1099,0.1112,0.1086,0.1086,1740800.0
1980-12-30,0.1112,0.1125,0.1112,0.1112,4364800.0
1980-12-31,0.1112,0.1125,0.1099,0.1099,2918400.0
1981-01-02,0.1125,0.1152,0.1125,0.1125,1574400.0
1981-01-05,0.1171,0.1191,0.1171,0.1171,5824000.0
1981-01-06,0.1178,0.1191,0.1178,0.1178,6950400.0
1981-01-07,0.1125,0.1125,0.1112,0.1112,8806400.0
1981-01-08,0.1099,0.1099,0.1086,0.1086,3302400.0
1981-01-09,0.1086,0.1099,0.1073,0.1073,2470400.0
1981-01-12,0.1086,0.1112,0.1086,0.1086,3353600.0
1981-01-13,0.1112,0.1138,0.1112,0.1112,4467200.0
1981-01-14,0.1152,0.1178,0.1152,0.1152,7923200.0
1981-01-15,0.1152,0.1165,0.1152,0.1152,2521600.0
1981-01-16,0.1152,0.1178,0.1152,0.1152,3328000.0
1981-01-19,0.1152,0.1165,0.1152,0.1152,4032000.0
1981-01-20,0.1138,0.1138,0.1112,0.1112,3507200.0
1981-01-21,0.1112,0.1125,0.1099,0.1099,985600.0
1981-01-22,0.1086,0.1086,0.1047,0.1047,1318400.0
1981-01-23,0.1073,0.1099,0.1073,0.1073,1382400.0
1981-01-26,0.1073,0.1073,0.1047,0.1047,1126400.0
1981-01-27,0.1047,0.106,0.1047,0.1047,857600.0
1981-01-28,0.1047,0.106,0.1047,0.1047,1164800.0
1981-01-29,0.1047,0.1073,0.1047,0.1047,2521600.0
1981-01-30,0.1034,0.1034,0.1008,0.1008,832000.0
1981-02-02,0.1008,0.1008,0.0981,0.0981,2060800.0
1981-02-03,0.0981,0.1008,0.0981,0.0981,1139200.0
1981-02-04,0.0981,0.1008,0.0981,0.0981,2060800.0
1981-02-05,0.1008,0.1021,0.1008,0.1008,3878400.0
1981-02-06,0.1008,0.1034,0.1008,0.1008,1216000.0
1981-02-09,0.1008,0.1021,0.0981,0.0981,1139200.0
1981-02-10,0.0981,0.1008,0.0981,0.0981,2176000.0
1981-02-11,0.0981,0.0995,0.0955,0.0955,1254400.0
1981-02-12,0.0955,0.0995,0.0955,0.0955,217600.0
1981-02-13,0.0955,0.0981,0.0942,0.0942,921600.0
1981-02-17,0.0942,0.0968,0.0942,0.0942,806400.0
1981-02-18,0.0968,0.0995,0.0968,0.0968,2201600.0
1981-02-19,0.0995,0.1021,0.0995,0.0995,1881600.0
1981-02-20,0.0995,0.1021,0.0981,0.0981,1536000.0
1981-02-23,0.0981,0.1008,0.0981,0.0981,537600.0
1981-02-24,0.0995,0.1034,0.0995,0.0995,2009600.0
