date,open,high,low,close,volume
2024-09-08,1.4105,1.4705,1.3942,1.4203,145971.41334
2024-09-09,1.43,1.5452,1.43,1.5299,196631.80054
2024-09-10,1.5306,1.6359,1.5242,1.6167,290949.48285
2024-09-11,1.6107,1.6149,1.5363,1.551,74680.39371
2024-09-12,1.5453,1.5717,1.5101,1.5368,91160.59189
2024-09-13,1.54,1.5618,1.5067,1.5481,77074.4058
2024-09-14,1.5508,1.5706,1.5325,1.568,62172.78904
2024-09-15,1.565,1.5879,1.4677,1.4759,105446.49848
2024-09-16,1.473,1.4978,1.4348,1.4515,75873.78071
2024-09-17,1.4574,1.5049,1.44,1.4508,80239.3561
2024-09-18,1.4471,1.5063,1.4106,1.5063,72659.47658
2024-09-19,1.5148,1.6509,1.5148,1.6101,153870.05686
2024-09-20,1.6116,1.6939,1.5785,1.6826,213776.05264
2024-09-21,1.6826,1.7721,1.6311,1.7698,190030.83481
2024-09-22,1.7746,1.809,1.654,1.6911,144523.94915
2024-09-23,1.675,1.77,1.6738,1.6975,103252.23366
2024-09-24,1.6916,1.7507,1.6467,1.7369,178740.77798
2024-09-25,1.7336,1.7652,1.6781,1.683,94370.16074
2024-09-26,1.687,1.7781,1.6596,1.7467,192215.37569
2024-09-27,1.7536,1.9386,1.7474,1.899,281572.42394
2024-09-28,1.8999,1.92,1.8324,1.8799,85375.11684
2024-09-29,1.8831,1.92,1.8361,1.9011,43610.17267
2024-09-30,1.8968,1.92,1.7375,1.7504,235898.42086
2024-10-01,1.748,1.881,1.6062,1.6659,344286.34915
2024-10-02,1.6652,1.7076,1.57,1.5841,115369.12987
2024-10-03,1.584,1.6174,1.4782,1.5216,150060.79461
2024-10-04,1.5216,1.6229,1.5107,1.6023,199188.91528
2024-10-05,1.6047,1.6437,1.5726,1.5956,177748.46171
2024-10-06,1.5957,1.6816,1.5786,1.6796,20960.43674
2024-10-07,1.6849,1.7309,1.639,1.6586,109091.77177
2024-10-08,1.6629,1.6982,1.5931,1.63,38963.53922
2024-10-09,1.637,1.6592,1.5154,1.5301,36309.90786
2024-10-10,1.5334,1.5548,1.4837,1.5512,89612.50957
2024-10-11,1.5572,1.7149,1.5478,1.693,68304.60708
2024-10-12,1.7021,1.7529,1.6932,1.7147,49284.4169
2024-10-13,1.714,1.7154,1.654,1.7064,53838.75206
2024-10-14,1.713,1.8003,1.6911,1.7774,152905.45776
2024-10-15,1.7798,1.812,1.69,1.7317,140934.8742
2024-10-16,1.7329,1.7961,1.7054,1.7488,103081.85599
2024-10-17,1.7467,1.7559,1.6554,1.6709,80950.62378
2024-10-18,1.6779,1.734,1.6585,1.7176,84974.09576
2024-10-19,1.7198,1.7335,1.6774,1.6915,59500.42677
2024-10-20,1.6932,1.8123,1.67,1.8039,171401.57658
2024-10-21,1.8148,1.832,1.7034,1.7162,47703.33924
2024-10-22,1.7213,1.7465,1.6762,1.6996,71373.87431
2024-10-23,1.702,1.733,1.6565,1.7232,62400.61655
2024-10-24,1.7218,1.75,1.67,1.7039,63980.31428
2024-10-25,1.7068,1.7373,1.4929,1.5608,249428.86524
2024-10-26,1.5462,1.5967,1.5354,1.5636,76084.77988
2024-10-27,1.5636,1.6056,1.555,1.5931,82369.81155
2024-10-28,1.5922,1.6363,1.5378,1.6173,88196.46795
2024-10-29,1.6201,1.7277,1.6164,1.7011,312581.40903
2024-10-30,1.6978,1.7961,1.6739,1.7182,53857.03475
2024-10-31,1.724,1.724,1.5995,1.6102,65236.98292
2024-11-01,1.6161,1.6441,1.5073,1.5195,137676.71577
2024-11-02,1.5261,1.532,1.4272,1.4563,102262.5412
2024-11-03,1.4591,1.469,1.3533,1.4318,223536.70148
2024-11-04,1.4262,1.4339,1.3,1.3472,239945.30049
2024-11-05,1.3423,1.4466,1.3423,1.4166,88448.84474
2024-11-06,1.4253,1.6343,1.4253,1.6029,187033.79242
2024-11-07,1.6037,1.6979,1.545,1.6073,143700.87856
2024-11-08,1.6155,1.6324,1.5198,1.5807,106197.41861
2024-11-09,1.5837,1.683,1.5629,1.6485,214689.76091
2024-11-10,1.6349,1.7309,1.5519,1.6438,381507.91757
2024-11-11,1.64,1.82,1.6114,1.82,468510.25286
2024-11-12,1.821,1.86,1.5825,1.6788,542464.50047
2024-11-13,1.6742,1.6957,1.503,1.6205,473604.5934
2024-11-14,1.6287,1.7073,1.4878,1.512,293718.00848
2024-11-15,1.5148,1.5993,1.4782,1.5818,117363.04496
2024-11-16,1.582,1.8154,1.5724,1.7767,449832.17105
2024-11-17,1.7748,1.8199,1.6491,1.6626,269386.56879
2024-11-18,1.6726,1.8462,1.6688,1.8303,311372.33157
2024-11-19,1.8329,1.85,1.6926,1.7635,191896.28551
2024-11-20,1.7645,1.8044,1.6252,1.6478,274674.10543
2024-11-21,1.6503,2.2198,1.6063,2.0844,1241301.1866
2024-11-22,2.0874,2.3478,2.0119,2.2032,1355535.11963
2024-11-23,2.21,2.3369,2.1583,2.2093,684960.46156
2024-11-24,2.2068,2.3449,2.035,2.2207,384328.58065
2024-11-25,2.2004,2.431,2.1102,2.3051,699387.94244
2024-11-26,2.2957,2.3567,2.1024,2.2033,348573.87904
2024-11-27,2.1897,2.5086,2.1622,2.5054,694022.94624
2024-11-28,2.5149,2.626,2.2906,2.3637,617363.11131
2024-11-29,2.3679,2.4102,2.3021,2.3812,691452.12632
