date,open,high,low,close,volume
1981-12-31,1.614,1.6353,1.5928,1.6353,431705.0
1982-01-04,1.6353,1.6439,1.6183,1.6353,329624.0
1982-01-05,1.6183,1.6268,1.6098,1.6098,383274.0
1982-01-06,1.6098,1.6183,1.6013,1.6183,281819.0
1982-01-07,1.6098,1.6183,1.6013,1.6183,168674.0
1982-01-08,1.6439,1.6864,1.6013,1.6013,158027.0
1982-01-11,1.5928,1.6098,1.5672,1.5672,284742.0
1982-01-12,1.5672,1.5757,1.5587,1.5757,242156.0
1982-01-13,1.5587,1.5757,1.5417,1.5587,197482.0
1982-01-14,1.5417,1.5587,1.5246,1.5246,295806.0
1982-01-15,1.5502,1.5672,1.5246,1.5502,204580.0
1982-01-18,1.5502,1.5587,1.5417,1.5587,239233.0
1982-01-19,1.5672,1.5842,1.5502,1.5757,198317.0
1982-01-20,1.5757,1.5757,1.5672,1.5757,171805.0
1982-01-21,1.5587,1.5672,1.5417,1.5587,182034.0
1982-01-22,1.5417,1.5587,1.5161,1.5246,458634.0
1982-01-25,1.4991,1.5161,1.4735,1.4991,398931.0
1982-01-26,1.4991,1.5161,1.482,1.4905,442560.0
1982-01-27,1.482,1.4905,1.4735,1.4905,228795.0
1982-01-28,1.5246,1.5757,1.4735,1.5757,289126.0
1982-01-29,1.5502,1.5757,1.5246,1.5331,224411.0
1982-02-01,1.5161,1.5331,1.4905,1.4905,198526.0
1982-02-02,1.4991,1.5076,1.482,1.4905,133812.0
1982-02-03,1.4905,1.4991,1.482,1.4991,108970.0
1982-02-04,1.5076,1.5161,1.4905,1.4991,141536.0
1982-02-05,1.5076,1.5161,1.4905,1.4991,154479.0
1982-02-08,1.4991,1.5076,1.482,1.482,184539.0
1982-02-09,1.465,1.4735,1.4565,1.465,265327.0
1982-02-10,1.482,1.5076,1.4565,1.4905,222741.0
1982-02-11,1.4905,1.4991,1.4735,1.4991,277644.0
1982-02-12,1.482,1.4991,1.465,1.4735,291839.0
1982-02-16,1.465,1.4735,1.448,1.4735,239442.0
1982-02-17,1.4735,1.482,1.4565,1.465,153435.0
1982-02-18,1.4735,1.4735,1.465,1.4735,127132.0
1982-02-19,1.4735,1.482,1.465,1.4735,223368.0
1982-02-22,1.4735,1.4905,1.448,1.448,205415.0
1982-02-23,1.448,1.4565,1.4394,1.4565,179529.0
1982-02-24,1.4735,1.4991,1.448,1.4991,266371.0
1982-02-25,1.4991,1.5076,1.4905,1.4905,273469.0
1982-02-26,1.482,1.4905,1.4735,1.482,151765.0
1982-03-01,1.4735,1.482,1.465,1.482,159280.0
1982-03-02,1.4905,1.5076,1.4735,1.4905,276183.0
1982-03-03,1.4565,1.4735,1.4309,1.448,438803.0
1982-03-04,1.4304,1.4567,1.4041,1.4129,372836.0
1982-03-05,1.3865,1.4041,1.369,1.3778,503099.0
1982-03-08,1.3514,1.3953,1.3076,1.3163,500385.0
1982-03-09,1.3514,1.3953,1.3076,1.3602,655699.0
1982-03-10,1.3778,1.3953,1.3602,1.3865,376803.0
1982-03-11,1.3865,1.3953,1.3778,1.3865,264701.0
1982-03-12,1.3514,1.3778,1.3251,1.3251,467193.0
1982-03-15,1.3251,1.3427,1.3076,1.3339,684507.0
1982-03-16,1.3514,1.3602,1.3339,1.3514,320439.0
1982-03-17,1.3602,1.3778,1.3427,1.3427,206250.0
1982-03-18,1.3778,1.3953,1.3602,1.3953,193307.0
1982-03-19,1.4129,1.4216,1.3953,1.4216,173684.0
1982-03-22,1.4392,1.4567,1.4216,1.448,414378.0
1982-03-23,1.448,1.4655,1.4304,1.448,219401.0
1982-03-24,1.448,1.4567,1.4304,1.4392,313132.0
1982-03-25,1.4304,1.4392,1.4216,1.4304,160115.0
1982-03-26,1.4392,1.448,1.4216,1.4304,191219.0
1982-03-29,1.4304,1.4392,1.4216,1.4392,174102.0
1982-03-30,1.4392,1.448,1.4304,1.4392,165543.0
1982-03-31,1.4392,1.448,1.4216,1.4216,631692.0
1982-04-01,1.4304,1.4304,1.4216,1.4216,177233.0
1982-04-02,1.4392,1.448,1.4216,1.4392,373880.0
1982-04-05,1.4304,1.4392,1.4216,1.4392,112936.0
1982-04-06,1.4304,1.4392,1.4216,1.4304,194977.0
1982-04-07,1.4216,1.4304,1.4041,1.4304,187671.0
1982-04-08,1.4216,1.4304,1.4129,1.4304,111893.0
1982-04-12,1.4216,1.4304,1.4129,1.4304,140701.0
1982-04-13,1.4216,1.4304,1.4129,1.4216,132142.0
1982-04-14,1.4129,1.4216,1.4041,1.4216,114398.0
1982-04-15,1.4304,1.4567,1.4041,1.4392,318977.0
1982-04-16,1.448,1.4567,1.4304,1.4392,264492.0
1982-04-19,1.4304,1.4392,1.4129,1.4216,1217250.0
1982-04-20,1.4041,1.4216,1.3778,1.3865,473456.0
1982-04-21,1.3865,1.4041,1.369,1.4041,356345.0
1982-04-22,1.4216,1.4304,1.4041,1.4304,218566.0
1982-04-23,1.4304,1.4392,1.4129,1.4216,460513.0
1982-04-26,1.3865,1.4041,1.369,1.3778,573032.0
