date,open,high,low,close,volume
2024-09-12,3.296,3.634,3.296,3.427,32655.99068
2024-09-13,3.438,3.52,3.343,3.493,29806.59792
2024-09-14,3.446,3.446,3.272,3.332,5265.05669
2024-09-15,3.341,3.438,3.22,3.275,16412.46341
2024-09-16,3.277,3.308,3.16,3.239,30618.47412
2024-09-17,3.253,3.424,3.161,3.34,49942.08954
2024-09-18,3.34,3.41,3.092,3.41,51316.70106
2024-09-19,3.434,3.561,3.406,3.457,44619.68987
2024-09-20,3.413,3.79,3.34,3.603,70713.20613
2024-09-21,3.586,3.677,3.443,3.677,22474.99217
2024-09-22,3.677,4.448,3.677,4.097,68637.20174
2024-09-23,4.071,4.393,3.865,4.025,76121.44216
2024-09-24,3.966,4.219,3.855,4.147,22225.46869
2024-09-25,4.137,4.294,4.047,4.06,19222.31902
2024-09-26,4.08,4.799,4.08,4.552,109173.1963
2024-09-27,4.51,4.741,4.395,4.648,38098.0554
2024-09-28,4.66,4.66,4.434,4.476,16625.19601
2024-09-29,4.458,4.459,4.281,4.348,33025.26796
2024-09-30,4.335,4.378,4.134,4.223,29671.77224
2024-10-01,4.231,4.359,3.724,3.874,128470.06001
2024-10-02,3.869,3.988,3.689,3.689,30848.466
2024-10-03,3.686,3.89,3.6,3.711,43984.29026
2024-10-04,3.725,4.035,3.665,3.83,20506.86783
2024-10-05,3.85,3.9,3.744,3.859,22259.14063
2024-10-06,3.831,3.935,3.791,3.887,10032.01052
2024-10-07,3.888,4.289,3.841,3.891,29734.8045
2024-10-08,3.9,4.034,3.773,3.83,13939.28083
2024-10-09,3.888,4.066,3.695,3.722,19540.60175
2024-10-10,3.687,3.811,3.608,3.724,22349.95801
2024-10-11,3.739,4.046,3.708,4.01,13065.36803
2024-10-12,4.018,4.24,3.971,4.182,27169.63955
2024-10-13,4.197,4.21,3.913,4.024,29162.5796
2024-10-14,4.023,4.461,4.002,4.355,41778.43196
2024-10-15,4.36,4.445,4.065,4.229,28561.07761
2024-10-16,4.251,4.394,4.17,4.221,14909.18183
2024-10-17,4.243,4.335,4.076,4.187,7155.39969
2024-10-18,4.187,4.552,4.134,4.552,19391.34192
2024-10-19,4.507,4.934,4.483,4.843,81931.3789
2024-10-20,4.857,5.056,4.67,5.049,17961.37621
2024-10-21,5.017,5.125,4.724,4.815,33417.17071
2024-10-22,4.794,5.058,4.71,4.871,14187.67262
2024-10-23,4.876,4.955,4.5,4.687,24433.65626
2024-10-24,4.681,5.316,4.617,4.964,38612.75811
2024-10-25,4.932,5.107,4.32,4.396,57543.79741
2024-10-26,4.355,4.575,4.291,4.503,27504.15323
2024-10-27,4.489,4.585,4.467,4.524,8418.2353
2024-10-28,4.506,4.654,4.33,4.628,29049.14734
2024-10-29,4.648,6.75,4.615,5.033,83377.58783
2024-10-30,5.039,5.26,4.912,5.091,51373.69581
2024-10-31,5.105,5.25,4.71,4.783,43657.86254
2024-11-01,4.778,5.047,4.66,4.839,25208.07371
2024-11-02,4.861,4.885,4.549,4.582,9251.55077
2024-11-03,4.594,4.604,4.23,4.423,16366.9114
2024-11-04,4.383,4.58,4.042,4.1,23583.13108
2024-11-05,4.127,4.398,4.084,4.29,19604.39053
2024-11-06,4.265,5.226,4.265,5.123,49995.62789
2024-11-07,5.15,5.506,5.04,5.469,37137.3498
2024-11-08,5.491,5.929,5.176,5.261,29588.5781
2024-11-09,5.285,5.645,5.181,5.581,34686.22725
2024-11-10,5.569,5.678,5.1,5.389,41112.48581
2024-11-11,5.384,7.393,5.365,5.933,80731.09936
2024-11-12,5.901,5.901,5.15,5.556,57948.49858
2024-11-13,5.545,5.68,5.044,5.415,42268.91551
2024-11-14,5.426,5.505,4.984,5.133,22091.15685
2024-11-15,5.169,5.29,4.948,5.254,34340.64725
2024-11-16,5.258,5.491,5.219,5.45,17416.8479
2024-11-17,5.449,5.554,5.106,5.178,28461.87057
2024-11-18,5.161,5.54,5.116,5.429,30464.0196
2024-11-19,5.452,5.595,4.984,5.091,40026.71303
2024-11-20,5.059,5.17,4.808,4.886,30258.14369
2024-11-21,4.899,5.376,4.738,5.243,70538.01694
2024-11-22,5.217,5.3,4.902,5.161,26548.17128
2024-11-23,5.139,5.723,5.122,5.364,60553.07576
2024-11-24,5.379,5.581,4.969,5.436,51296.85952
2024-11-25,5.43,5.722,5.169,5.24,19692.95576
2024-11-26,5.232,5.346,4.766,5.021,75221.23146
2024-11-27,5.035,5.653,4.947,5.636,149968.42557
2024-11-28,5.628,5.656,5.317,5.527,19591.8334
2024-11-29,5.508,5.668,5.411,5.617,27549.05788
2024-11-30,5.599,5.89,5.515,5.757,31224.03775
2024-12-01,5.778,6.03,5.612,5.876,40512.04603
2024-12-02,5.864,6.074,5.372,5.8,114636.42582
2024-12-03,5.781,6.31,5.4,6.257,84544.12064
2024-12-04,6.262,6.999,6.241,6.41,85494.74624
2024-12-05,6.379,6.606,5.89,6.201,62235.42026
2024-12-06,6.206,7.024,6.167,6.858,77891.68912
2024-12-07,6.858,7.148,6.734,6.77,28313.39645
2024-12-08,6.764,6.843,6.519,6.756,24842.55961
2024-12-09,6.755,6.755,5.147,5.724,76341.98189
2024-12-10,5.724,5.968,5.321,5.849,76365.58919
