date,open,high,low,close,volume
1972-06-01,0.3625,0.3668,0.3625,0.3668,318600.0
1972-06-02,0.3668,0.3705,0.3657,0.3657,140400.0
1972-06-05,0.3668,0.3673,0.3545,0.3614,469800.0
1972-06-06,0.3583,0.3583,0.3572,0.3583,140400.0
1972-06-07,0.3583,0.3588,0.3551,0.3561,178200.0
1972-06-08,0.3561,0.3572,0.354,0.3561,432000.0
1972-06-09,0.3561,0.3572,0.3556,0.3567,199800.0
1972-06-12,0.3567,0.3572,0.3551,0.3556,183600.0
1972-06-13,0.3561,0.3598,0.3561,0.3598,415800.0
1972-06-14,0.3609,0.3646,0.3609,0.3636,216000.0
1972-06-15,0.3636,0.3646,0.362,0.3625,178200.0
1972-06-16,0.3625,0.3646,0.3604,0.362,183600.0
1972-06-19,0.362,0.3636,0.3583,0.3609,324000.0
1972-06-20,0.3609,0.3614,0.3593,0.3609,129600.0
1972-06-21,0.3609,0.3636,0.3598,0.3614,356400.0
1972-06-22,0.3614,0.3641,0.3604,0.3636,324000.0
1972-06-23,0.3636,0.3662,0.3636,0.3657,275400.0
1972-06-26,0.3657,0.3657,0.3625,0.3625,194400.0
1972-06-27,0.3625,0.3636,0.3604,0.3604,669600.0
1972-06-28,0.3604,0.3609,0.3593,0.3598,75600.0
1972-06-29,0.3598,0.362,0.3551,0.3598,280800.0
1972-06-30,0.3598,0.3614,0.3556,0.3567,135000.0
1972-07-03,0.3567,0.3572,0.354,0.3561,216000.0
1972-07-05,0.3561,0.3567,0.3519,0.3567,372600.0
1972-07-06,0.3567,0.3641,0.3567,0.3604,793800.0
1972-07-07,0.3598,0.3598,0.3551,0.3551,259200.0
1972-07-10,0.3551,0.3583,0.3519,0.3551,372600.0
1972-07-11,0.3551,0.3588,0.3535,0.3577,1080000.0
1972-07-12,0.3577,0.3598,0.3577,0.3583,367200.0
1972-07-13,0.3583,0.3604,0.3561,0.3604,302400.0
1972-07-14,0.3609,0.3742,0.3609,0.3731,993600.0
1972-07-17,0.3731,0.3763,0.3694,0.371,561600.0
1972-07-18,0.371,0.371,0.3657,0.3668,302400.0
1972-07-19,0.3668,0.3678,0.3625,0.3625,356400.0
1972-07-20,0.3614,0.3614,0.3593,0.3593,243000.0
1972-07-21,0.3593,0.362,0.3583,0.3604,275400.0
1972-07-24,0.3604,0.3625,0.3604,0.3609,410400.0
1972-07-25,0.3614,0.3641,0.3614,0.362,469800.0
1972-07-26,0.362,0.3646,0.362,0.3646,145800.0
1972-07-27,0.3646,0.3769,0.3636,0.3763,739800.0
1972-07-28,0.3763,0.3774,0.3721,0.3721,318600.0
1972-07-31,0.3721,0.3742,0.3705,0.3715,167400.0
1972-08-01,0.3715,0.3753,0.3705,0.3753,783000.0
1972-08-02,0.3753,0.3806,0.3742,0.3785,523800.0
1972-08-03,0.3785,0.379,0.3731,0.3742,410400.0
1972-08-04,0.3742,0.3742,0.3678,0.3742,432000.0
1972-08-07,0.3737,0.3737,0.3699,0.3737,151200.0
1972-08-08,0.3737,0.3737,0.3705,0.3715,329400.0
1972-08-09,0.3715,0.3726,0.3662,0.3721,669600.0
1972-08-10,0.3721,0.3721,0.3705,0.3721,372600.0
1972-08-11,0.3721,0.3742,0.371,0.3726,480600.0
1972-08-14,0.3737,0.38,0.3737,0.3747,756000.0
1972-08-15,0.3747,0.3774,0.3731,0.3737,291600.0
1972-08-16,0.3737,0.3753,0.3726,0.3726,194400.0
1972-08-17,0.3726,0.3747,0.3726,0.3731,280800.0
1972-08-18,0.3731,0.3742,0.3721,0.3737,923400.0
1972-08-21,0.3737,0.3753,0.3731,0.3753,378000.0
1972-08-22,0.3753,0.3774,0.3742,0.3753,248400.0
1972-08-23,0.3753,0.3779,0.3742,0.3742,172800.0
1972-08-24,0.3742,0.3753,0.3699,0.371,691200.0
1972-08-25,0.371,0.3721,0.3678,0.371,491400.0
1972-08-28,0.371,0.3721,0.3694,0.3694,210600.0
1972-08-29,0.3705,0.3742,0.3705,0.3726,286200.0
1972-08-30,0.3726,0.3737,0.3699,0.3699,329400.0
1972-08-31,0.3689,0.3689,0.3668,0.3668,270000.0
1972-09-01,0.3678,0.3705,0.3662,0.3705,507600.0
1972-09-05,0.3689,0.3689,0.3668,0.3668,113400.0
1972-09-06,0.3668,0.3689,0.3652,0.3662,799200.0
1972-09-07,0.3662,0.3673,0.3641,0.3641,156600.0
1972-09-08,0.3641,0.3646,0.3614,0.362,178200.0
1972-09-11,0.362,0.362,0.3593,0.362,216000.0
1972-09-12,0.362,0.3625,0.3604,0.3609,426600.0
1972-09-13,0.3604,0.3604,0.3598,0.3604,221400.0
1972-09-14,0.3604,0.3625,0.3598,0.3609,567000.0
1972-09-15,0.3609,0.3614,0.3529,0.354,750600.0
1972-09-18,0.354,0.354,0.347,0.3508,637200.0
1972-09-19,0.3508,0.3508,0.346,0.346,275400.0
1972-09-20,0.3454,0.3454,0.3422,0.3449,324000.0
1972-09-21,0.3449,0.3454,0.3422,0.3454,378000.0
1972-09-22,0.3454,0.3465,0.338,0.3396,372600.0
1972-09-25,0.3396,0.3412,0.3326,0.3326,2748600.0
1972-09-26,0.3326,0.3369,0.3305,0.3358,712800.0
1972-09-27,0.338,0.3518,0.338,0.3508,696600.0
1972-09-28,0.3529,0.3556,0.3529,0.3529,1204200.0
1972-09-29,0.3529,0.3561,0.3529,0.3556,189000.0
1972-10-02,0.3556,0.3561,0.3476,0.3497,891000.0
1972-10-03,0.3486,0.3486,0.346,0.3481,680400.0
1972-10-04,0.3497,0.3518,0.3497,0.3508,1096200.0
1972-10-05,0.3502,0.3502,0.3481,0.3492,545400.0
1972-10-06,0.3492,0.354,0.3481,0.3518,993600.0
1972-10-09,0.3518,0.3524,0.3502,0.3524,459000.0
1972-10-10,0.3524,0.354,0.3502,0.3518,982800.0
1972-10-11,0.3518,0.354,0.3497,0.3513,1166400.0
1972-10-12,0.3508,0.3508,0.3465,0.3465,243000.0
1972-10-13,0.3454,0.3454,0.3406,0.3417,820800.0
1972-10-16,0.3417,0.3417,0.339,0.3396,329400.0
1972-10-17,0.3396,0.3412,0.339,0.3406,815400.0
1972-10-18,0.3417,0.346,0.3417,0.3454,793800.0
1972-10-19,0.3454,0.3465,0.3438,0.3465,448200.0
1972-10-20,0.3465,0.3476,0.3449,0.3454,199800.0
1972-10-23,0.3454,0.354,0.3454,0.3497,513000.0
1972-10-24,0.3497,0.355,0.3449,0.355,1382400.0
1972-10-25,0.355,0.3625,0.354,0.3593,648000.0
1972-10-26,0.3604,0.3652,0.3604,0.3614,1485000.0
1972-10-27,0.3614,0.362,0.3561,0.3577,734400.0
1972-10-30,0.3577,0.3577,0.3529,0.3545,291600.0
1972-10-31,0.3545,0.3561,0.354,0.3561,939600.0
1972-11-01,0.3561,0.3572,0.354,0.3561,966600.0
1972-11-02,0.3561,0.3598,0.3556,0.3588,491400.0
1972-11-03,0.3588,0.3657,0.3577,0.3646,729000.0
1972-11-06,0.3646,0.3668,0.363,0.3636,561600.0
1972-11-08,0.3636,0.3668,0.363,0.3652,372600.0
1972-11-09,0.3652,0.3657,0.3625,0.3657,837000.0
1972-11-10,0.3657,0.3689,0.3646,0.3646,648000.0
1972-11-13,0.3646,0.3673,0.3636,0.3657,270000.0
1972-11-14,0.3657,0.371,0.3646,0.3705,1171800.0
1972-11-15,0.3705,0.3716,0.3694,0.3694,783000.0
1972-11-16,0.3694,0.3732,0.3684,0.3716,491400.0
1972-11-17,0.3785,0.3875,0.3785,0.3833,2052000.0
1972-11-20,0.3833,0.3838,0.3817,0.3833,955800.0
1972-11-21,0.3833,0.3833,0.3758,0.3758,1042200.0
1972-11-22,0.3758,0.379,0.3753,0.3769,405000.0
1972-11-24,0.3769,0.3785,0.3758,0.3764,145800.0
1972-11-27,0.3764,0.3774,0.3753,0.3774,399600.0
1972-11-28,0.3769,0.3769,0.3742,0.3753,361800.0
1972-11-29,0.3748,0.3748,0.3732,0.3742,772200.0
1972-11-30,0.3742,0.3742,0.3705,0.3716,388800.0
1972-12-01,0.3716,0.3732,0.3694,0.3716,864000.0
1972-12-04,0.3726,0.3748,0.3716,0.3737,421200.0
1972-12-05,0.3748,0.3758,0.3748,0.3758,594000.0
1972-12-06,0.3758,0.3796,0.3753,0.3796,777600.0
1972-12-07,0.3796,0.3844,0.3774,0.3844,1215000.0
1972-12-08,0.3844,0.3844,0.3817,0.3828,718200.0
1972-12-11,0.3828,0.3828,0.3774,0.3806,1495800.0
1972-12-12,0.3806,0.3806,0.378,0.3785,475200.0
1972-12-13,0.3785,0.3785,0.3774,0.378,199800.0
1972-12-14,0.378,0.378,0.3753,0.3764,599400.0
1972-12-15,0.3764,0.378,0.3764,0.3769,761400.0
1972-12-18,0.3764,0.3764,0.3742,0.3764,232200.0
1972-12-19,0.3742,0.3742,0.3689,0.371,793800.0
1972-12-20,0.371,0.3716,0.3673,0.3678,783000.0
1972-12-21,0.3678,0.3683,0.3619,0.363,675000.0
1972-12-22,0.363,0.3646,0.3619,0.3646,1366200.0
1972-12-26,0.3646,0.3651,0.3625,0.363,421200.0
1972-12-27,0.3635,0.3667,0.3635,0.3667,810000.0
1972-12-29,0.3678,0.3726,0.3678,0.3726,858600.0
1973-01-02,0.3732,0.3758,0.3732,0.3758,1296000.0
1973-01-03,0.3753,0.3753,0.3732,0.3732,372600.0
1973-01-04,0.371,0.371,0.3646,0.3673,572400.0
1973-01-05,0.3673,0.3673,0.3635,0.3651,675000.0
1973-01-08,0.3651,0.3673,0.3635,0.3667,1026000.0
1973-01-09,0.3651,0.3651,0.3625,0.363,280800.0
1973-01-10,0.3625,0.3625,0.3598,0.3603,394200.0
1973-01-11,0.3603,0.3689,0.3598,0.3635,1927800.0
1973-01-12,0.3657,0.3689,0.3657,0.3673,1150200.0
1973-01-15,0.3673,0.3673,0.3635,0.3667,313200.0
1973-01-16,0.3667,0.3667,0.3625,0.3667,1074600.0
1973-01-17,0.3667,0.3721,0.3646,0.3721,1279800.0
1973-01-18,0.3721,0.3764,0.37,0.3758,399600.0
1973-01-19,0.3758,0.3764,0.3705,0.3716,583200.0
1973-01-22,0.3716,0.3748,0.3689,0.3716,939600.0
1973-01-23,0.3721,0.3737,0.3721,0.3737,2181600.0
1973-01-24,0.3737,0.3753,0.3678,0.3678,1992600.0
1973-01-26,0.3678,0.3678,0.3625,0.3625,491400.0
1973-01-29,0.3625,0.3625,0.3528,0.3528,442800.0
1973-01-30,0.3528,0.3555,0.3491,0.3555,729000.0
1973-01-31,0.3555,0.3587,0.355,0.3566,302400.0
1973-02-01,0.3566,0.3587,0.3539,0.3539,545400.0
1973-02-02,0.3539,0.3561,0.3518,0.3561,372600.0
1973-02-05,0.355,0.355,0.3528,0.3528,210600.0
1973-02-06,0.3528,0.3593,0.3523,0.3593,928800.0
1973-02-07,0.3593,0.3609,0.355,0.3555,513000.0
1973-02-08,0.3555,0.3593,0.3539,0.3587,459000.0
1973-02-09,0.3587,0.3603,0.3577,0.3587,313200.0
1973-02-12,0.3593,0.3614,0.3593,0.3598,345600.0
1973-02-13,0.3598,0.363,0.3577,0.3593,653400.0
1973-02-14,0.3593,0.3619,0.3561,0.3561,302400.0
1973-02-15,0.3561,0.3598,0.3561,0.3571,216000.0
1973-02-16,0.3571,0.3603,0.3566,0.3603,183600.0
1973-02-20,0.3609,0.3641,0.3609,0.3609,896400.0
1973-02-21,0.3609,0.3619,0.3582,0.3587,405000.0
1973-02-22,0.3587,0.3587,0.3555,0.3582,367200.0
1973-02-23,0.3582,0.3614,0.3577,0.3577,658800.0
1973-02-26,0.3577,0.3603,0.355,0.3577,561600.0
1973-02-27,0.3577,0.3577,0.355,0.3555,475200.0
1973-02-28,0.3555,0.3561,0.3502,0.3528,675000.0
1973-03-01,0.3528,0.3571,0.3528,0.3561,847800.0
1973-03-02,0.3561,0.3571,0.3518,0.3561,469800.0
1973-03-05,0.3572,0.3594,0.3545,0.3594,507600.0
1973-03-06,0.3594,0.3636,0.3588,0.3636,658800.0
1973-03-07,0.3636,0.3701,0.3626,0.3674,712800.0
1973-03-08,0.3679,0.3728,0.3679,0.3712,621000.0
1973-03-09,0.3712,0.3728,0.3706,0.3728,534600.0
1973-03-12,0.3728,0.3728,0.3701,0.3701,561600.0
1973-03-13,0.3701,0.3733,0.3701,0.3733,1263600.0
1973-03-14,0.3738,0.3819,0.3738,0.3819,1036800.0
1973-03-15,0.3819,0.3851,0.3781,0.3781,1139400.0
1973-03-16,0.3781,0.3797,0.3744,0.376,561600.0
